-0.291009-0j -0.294025-0j -0.0341882-0j -0.0423057-0j -0.0246783-0j -0.0208702-0j -0.00301236-0j -0.0243486-0j -0.0149104-0j -0.00351442-0j -0.021305-0j -0.00215213-0j -0.00307512-0j -0.00878788-0j -0.00126842-0j -0.0151937-0j -0.00268588-0j -0.000223824-0j -0.0171631-0j -0.0140136-0j -0.00303403-0j -0.0141588-0j -0.000252836-0j -0.0122619-0j -0.00247727-0j -0.00250295-0j -0.00020644-0j -0.0101155-0j -0.00216762-0j -0.000208579-0j -0.00323196-0j -0.000180635-0j -0.00178819-0j -0.000149016-0j -0.000571336-0j -4.76113e-05-0j 0.0597428-0j 0.00995713-0j 0.00609747-0j -0.0132528-0j 0.00124464-0j 7.33412e-05-0j -0.0104772-0j -0.00220879-0j -0.00698481-0j -0.0105858-0j -0.0013526-0j -0.000276099-0j -0.0122234-0j -0.0017462-0j -1.62693e-05-0j -0.00116414-0j -0.00432163-0j -0.00106933-0j -0.00713033-0j -0.0017643-0j -0.000712884-0j -0.00756286-0j -0.00108041-0j -0.000218275-0j -0.000145517-0j -0.00203724-0j -0.000220537-0j -1.2862e-05-0j -0.00441167-0j -0.00124755-0j -0.000720272-0j -8.57467e-06-0j -0.00118839-0j -1.29953e-05-0j -0.00115089-0j -0.000441075-0j -0.000254655-0j -0.00126048-0j -0.000727736-0j -9.0034e-05-0j -0.000771881-0j -1.50057e-05-0j -0.000735278-0j -0.000148549-0j -0.00015756-0j -0.000450264-0j -5.3053e-06-0j -8.75331e-06-0j -0.000191815-0j -9.19097e-05-0j -0.000117462-0j -9.28428e-06-0j -2.39769e-05-0j -5.41583e-06-0j -1.41285e-06-0j 
0.322088-0j -0.314149-0j 0.0378394-0j 0.000811263-0j -0.0532081-0j 0.0230991-0j 0.00333407-0j 0.000466914-0j 0.0165028-0j 6.73932e-05-0j -0.0227633-0j 0.00238197-0j -0.00328559-0j -0.0285051-0j -0.00411436-0j -0.0668533-0j -0.0118181-0j -0.000984841-0j 0.000329122-0j 0.0155102-0j 5.81811e-05-0j -0.0151279-0j 4.84843e-06-0j 0.000235136-0j 0.00274184-0j -0.00267426-0j 0.000228487-0j -0.0218098-0j 4.15666e-05-0j -0.000222855-0j -0.0139986-0j 3.46388e-06-0j -0.00385546-0j -0.000321288-0j -0.00247463-0j -0.000206219-0j 0.0132528-0j 0.00220879-0j 0.0013526-0j -0.00101032-0j 0.000276099-0j 1.62693e-05-0j 0.0115962-0j -0.000168387-0j 0.00773077-0j -0.0113103-0j -0.000103116-0j -2.10484e-05-0j 0.000234399-0j 0.00193269-0j -1.24029e-06-0j 0.00128846-0j 0.00478317-0j 0.00118353-0j -0.0153735-0j -0.00188506-0j 0.000789019-0j -0.00808049-0j -0.00115436-0j 0.000241587-0j 0.000161058-0j 3.90665e-05-0j -0.000235632-0j 1.42356e-05-0j -0.0143101-0j 2.39232e-05-0j 0.000797195-0j 9.49042e-06-0j -0.00256224-0j -1.38847e-05-0j -0.0062366-0j 0.00048818-0j 4.88331e-06-0j -0.00134675-0j -0.00156905-0j 9.96494e-05-0j -0.000824712-0j 2.87752e-07-0j -0.00238501-0j -0.00032028-0j -0.000168344-0j -0.00146051-0j 5.8719e-06-0j -1.88727e-05-0j -0.00103943-0j -0.000298126-0j -0.00063652-0j -9.91974e-06-0j -0.000129929-0j -1.75673e-05-0j -7.65615e-06-0j 
-0.247384-0j 0.257272-0j 0.0299147-0j -0.0359637-0j 0.0215935-0j -0.0541985-0j -0.00782288-0j 0.021305-0j -0.038397-0j 0.00307512-0j -0.0181112-0j -0.00554213-0j -0.00261413-0j 0.00768939-0j 0.00110987-0j 0.0132945-0j 0.00235015-0j 0.000195846-0j -0.0445712-0j -0.0119128-0j -0.00787916-0j 0.012389-0j -0.000656596-0j -0.0315766-0j -0.00210591-0j 0.00219008-0j -0.000175492-0j -0.00859913-0j -0.005582-0j 0.000182507-0j 0.00282797-0j -0.000465167-0j -0.00152013-0j -0.000126677-0j 0.000499919-0j 4.16599e-05-0j 0.0104772-0j 0.0017462-0j 0.00106933-0j 0.0115962-0j 0.000218275-0j 1.2862e-05-0j 0.026434-0j 0.00193269-0j 0.00611171-0j -0.0274905-0j 0.00118353-0j 0.000241587-0j -0.010391-0j 0.00440567-0j 1.42356e-05-0j 0.00101862-0j -0.0185842-0j 0.00269791-0j 0.00623904-0j -0.00458176-0j 0.000623774-0j -0.0194757-0j -0.00280574-0j 0.000550709-0j 0.000127327-0j -0.00173184-0j -0.00057272-0j 3.24508e-05-0j -0.00375032-0j -0.00106053-0j -0.00309737-0j 7.50283e-06-0j 0.00103984-0j -3.37478e-05-0j 0.00100703-0j -0.00189674-0j -0.00021648-0j -0.00324595-0j 0.000636769-0j -0.000387171-0j -0.00198773-0j -1.27562e-05-0j -0.000625053-0j 0.00012998-0j -0.000405744-0j -0.000382765-0j -2.28143e-05-0j 7.65914e-06-0j 0.000167838-0j -7.81316e-05-0j 0.00010278-0j -2.39087e-05-0j 2.09798e-05-0j -4.60395e-06-0j 1.23625e-06-0j 
0.169755-0j 0.171515-0j -0.0983835-0j 0.0246783-0j 0.0143957-0j 0.0121743-0j 0.00175721-0j -0.0700681-0j 0.00869774-0j -0.0101135-0j 0.0124279-0j 0.00125541-0j 0.00179382-0j 0.00512626-0j 0.000739912-0j 0.00886297-0j 0.00156677-0j 0.000130564-0j 0.0100118-0j -0.0403269-0j 0.00176985-0j -0.0407449-0j 0.000147488-0j 0.00715277-0j -0.00712886-0j -0.00720274-0j -0.000594072-0j 0.00590073-0j 0.00126444-0j -0.000600228-0j 0.00188531-0j 0.00010537-0j 0.00104311-0j 8.6926e-05-0j 0.000333279-0j 2.77733e-05-0j 0.00698481-0j 0.00116414-0j 0.000712884-0j 0.00773077-0j 0.000145517-0j 8.57467e-06-0j 0.00611171-0j 0.00128846-0j 0.0274418-0j 0.00617505-0j 0.000789019-0j 0.000161058-0j -0.0351754-0j 0.00101862-0j 9.49042e-06-0j 0.00457364-0j 0.00252095-0j 0.000623774-0j -0.020519-0j 0.00102917-0j 0.00280077-0j 0.00441167-0j 0.000630238-0j 0.000127327-0j 0.000571705-0j -0.00586257-0j 0.000128647-0j 7.50283e-06-0j 0.00257347-0j -0.00359007-0j 0.000420159-0j 3.3688e-05-0j -0.00341983-0j 7.58059e-06-0j 0.000671353-0j 0.000257294-0j -0.000732821-0j 0.000735278-0j -0.00209421-0j 5.25198e-05-0j 0.000450264-0j -4.31819e-05-0j 0.000428912-0j -0.000427479-0j 9.19097e-05-0j 0.000262654-0j 3.09476e-06-0j -2.51894e-05-0j 0.000111892-0j 5.3614e-05-0j 6.85197e-05-0j 5.41583e-06-0j 1.39865e-05-0j 3.15924e-06-0j 8.24164e-07-0j 
-0.257272-0j 0.259782-0j -0.0302247-0j 0.0361051-0j -0.0195886-0j 0.0547602-0j 0.00790395-0j 0.0207799-0j -0.0131818-0j 0.00299932-0j 0.0188238-0j -0.00190263-0j 0.00271698-0j -0.0367197-0j -0.00530003-0j -0.0134322-0j -0.0023745-0j -0.000197875-0j -0.0434727-0j -0.012389-0j -0.00768495-0j 0.0125098-0j -0.000640413-0j 0.0104647-0j -0.00219008-0j 0.00221145-0j -0.000182507-0j -0.00802927-0j 0.00184991-0j 0.000184287-0j -0.029962-0j 0.00015416-0j -0.00141939-0j -0.000118282-0j -0.00529659-0j -0.000441382-0j -0.0105858-0j -0.0017643-0j -0.00108041-0j 0.0113103-0j -0.000220537-0j -1.29953e-05-0j 0.0274905-0j 0.00188506-0j -0.00617505-0j -0.0277588-0j 0.00115436-0j 0.000235632-0j 0.0104319-0j 0.00458176-0j 1.38847e-05-0j -0.00102917-0j -0.00382062-0j 0.00280574-0j -0.00565975-0j -0.00462646-0j -0.000630238-0j 0.00668206-0j -0.00283312-0j 0.00057272-0j -0.000128647-0j 0.00173865-0j -0.000578307-0j 3.37478e-05-0j -0.0184339-0j 0.0010647-0j -0.000636769-0j -7.58059e-06-0j -0.000943291-0j -3.40771e-05-0j -0.0184949-0j -0.00038994-0j 0.000217331-0j 0.00111368-0j -0.000577645-0j -7.95961e-05-0j 0.000681985-0j 1.28063e-05-0j -0.00307232-0j -0.000117911-0j 0.00013921-0j -0.0018814-0j -4.69025e-06-0j -6.94799e-06-0j -0.00308248-0j -0.00038404-0j -0.00188762-0j 8.20301e-06-0j -0.000385309-0j -2.26298e-05-0j -2.27046e-05-0j 
0.288615-0j 0.28975-0j 0.0686353-0j 0.000726952-0j 0.0490755-0j -0.021305-0j -0.00307512-0j 0.000846916-0j 0.0447965-0j 0.000122242-0j -0.0203976-0j 0.00646582-0j -0.00294413-0j 0.0262912-0j 0.0037948-0j -0.0155102-0j -0.00274184-0j -0.000228487-0j -0.00030356-0j -0.0273324-0j -5.36623e-05-0j -0.0274399-0j -4.47186e-06-0j 0.000638273-0j -0.00483174-0j -0.00485073-0j -0.000402645-0j -0.0195432-0j 0.000112832-0j -0.000404228-0j 0.0129114-0j 9.40265e-06-0j -0.00345478-0j -0.000287898-0j 0.00228243-0j 0.000190202-0j -0.0122234-0j -0.00203724-0j -0.00124755-0j -0.000234399-0j -0.000254655-0j -1.50057e-05-0j 0.010391-0j -3.90665e-05-0j 0.0351754-0j 0.0104319-0j -2.39232e-05-0j -4.88331e-06-0j -0.000413063-0j 0.00173184-0j -2.87752e-07-0j 0.00586257-0j 0.0216816-0j 0.00106053-0j -0.0278853-0j 0.00173865-0j 0.00359007-0j -0.0219343-0j 0.0010647-0j 0.00021648-0j 0.000732821-0j -6.88438e-05-0j 0.000217331-0j 1.27562e-05-0j -0.0128229-0j -4.21581e-05-0j 0.00361359-0j 4.31819e-05-0j -0.00464755-0j 1.28063e-05-0j 0.00575221-0j 0.00221287-0j -8.60548e-06-0j -0.00365572-0j -0.00284603-0j 0.000451699-0j -0.00223866-0j -5.07083e-07-0j -0.00213715-0j -0.000580944-0j -0.000456965-0j -0.00130873-0j 2.66166e-05-0j -3.42324e-05-0j 0.000958702-0j -0.000267143-0j 0.000587082-0j -2.69269e-05-0j 0.000119838-0j -1.57416e-05-0j 7.0615e-06-0j 
0.516184-0j -0.106119-0j -0.0123392-0j 0.0750407-0j -0.00890688-0j -0.00753247-0j -0.00108722-0j -0.00878788-0j -0.0672275-0j -0.00126842-0j 0.0377903-0j -0.00970346-0j 0.00545456-0j -0.00317171-0j -0.000457797-0j -0.00548368-0j -0.000969387-0j -8.07823e-05-0j -0.00619448-0j 0.0248569-0j -0.00109504-0j -0.00511018-0j -9.12533e-05-0j -0.0552859-0j 0.00439412-0j -0.000903361-0j 0.000366177-0j 0.0179427-0j -0.00977326-0j -7.52801e-05-0j -0.00116648-0j -0.000814438-0j 0.00317184-0j 0.00026432-0j -0.000206206-0j -1.71838e-05-0j -0.00432163-0j -0.000720272-0j -0.000441075-0j -0.00478317-0j -9.0034e-05-0j -5.3053e-06-0j 0.0185842-0j -0.000797195-0j -0.00252095-0j -0.00382062-0j -0.00048818-0j -9.96494e-05-0j 0.0216816-0j 0.00309737-0j -5.8719e-06-0j -0.000420159-0j -0.0112954-0j 0.00189674-0j -0.00257347-0j -0.000636769-0j -0.000257294-0j -0.0340991-0j -0.00038994-0j 0.000387171-0j -5.25198e-05-0j 0.00361359-0j -7.95961e-05-0j 2.28143e-05-0j 0.00782529-0j 0.00221287-0j -0.00188257-0j -3.09476e-06-0j -0.000428912-0j -4.69025e-06-0j -0.000415379-0j -0.00115283-0j 0.000451699-0j -0.00568319-0j -0.000262654-0j -0.000235321-0j -0.00348023-0j 2.66166e-05-0j 0.00130421-0j -5.3614e-05-0j -0.000710398-0j 0.000798665-0j -1.38664e-05-0j -3.15924e-06-0j -6.92298e-05-0j 0.000163027-0j -4.23944e-05-0j -4.18606e-05-0j -8.65372e-06-0j 9.60645e-06-0j -5.09926e-07-0j 
0.173292-0j 0.157202-0j -0.0400373-0j -0.0490755-0j 0.0564914-0j 0.0124279-0j 0.00179382-0j 0.0555465-0j 0.00887895-0j 0.00801744-0j 0.0113908-0j 0.00128157-0j 0.00164413-0j 0.00626517-0j 0.000904299-0j 0.00904761-0j 0.00159941-0j 0.000133284-0j -0.0199095-0j -0.0164111-0j -0.00351954-0j -0.0148873-0j -0.000293295-0j -0.014224-0j -0.0029011-0j -0.00263173-0j -0.000241758-0j 0.0231556-0j -0.00251448-0j -0.000219311-0j -0.0245121-0j -0.00020954-0j 0.00409336-0j 0.000341113-0j -0.00433317-0j -0.000361097-0j 0.00713033-0j 0.00118839-0j 0.000727736-0j -0.0153735-0j 0.000148549-0j 8.75331e-06-0j 0.00623904-0j -0.00256224-0j -0.020519-0j 0.00565975-0j -0.00156905-0j -0.00032028-0j 0.0278853-0j 0.00103984-0j -1.88727e-05-0j -0.00341983-0j 0.00257347-0j 0.000636769-0j -0.0320991-0j 0.000943291-0j -0.00209421-0j 0.00404352-0j 0.000577645-0j 0.00012998-0j -0.000427479-0j 0.00464755-0j 0.000117911-0j 7.65914e-06-0j 0.00314522-0j 0.00284603-0j 0.000428912-0j -2.51894e-05-0j -0.00534985-0j 6.94799e-06-0j -0.029915-0j 0.000262654-0j 0.000580944-0j 0.00067392-0j -0.0032761-0j 5.3614e-05-0j 0.00041269-0j 3.42324e-05-0j 0.000524204-0j -0.000668731-0j 8.424e-05-0j 0.000321008-0j 3.15924e-06-0j -3.94053e-05-0j -0.00498584-0j 6.55255e-05-0j -0.00305319-0j 4.96389e-06-0j -0.00062323-0j 3.86112e-06-0j -3.67242e-05-0j 
-0.540947-0j -0.185597-0j 0.0215935-0j 0.0759156-0j 0.0139948-0j 0.0131818-0j 0.00190263-0j -0.0148459-0j 0.00836043-0j -0.00214282-0j 0.0395794-0j 0.00120672-0j 0.00571279-0j 0.0262338-0j 0.00378652-0j 0.00959644-0j 0.00169643-0j 0.000141369-0j -0.0104647-0j -0.0260493-0j -0.00184991-0j -0.00893745-0j -0.00015416-0j -0.00663712-0j -0.00460492-0j -0.00157993-0j -0.000383743-0j -0.0168826-0j -0.00117329-0j -0.000131661-0j 0.0214059-0j -9.77741e-05-0j -0.00298444-0j -0.000248704-0j 0.00378407-0j 0.000315339-0j 0.00756286-0j 0.00126048-0j 0.000771881-0j -0.00808049-0j 0.00015756-0j 9.28428e-06-0j -0.0194757-0j -0.00134675-0j 0.00441167-0j -0.00668206-0j -0.000824712-0j -0.000168344-0j 0.0219343-0j -0.00324595-0j -9.91974e-06-0j 0.000735278-0j 0.0340991-0j -0.00198773-0j 0.00404352-0j -0.00111368-0j 0.000450264-0j -0.00423803-0j -0.000681985-0j -0.000405744-0j 9.19097e-05-0j 0.00365572-0j -0.00013921-0j -2.39087e-05-0j -0.0387596-0j 0.00223866-0j 0.00568319-0j 5.41583e-06-0j 0.00067392-0j -8.20301e-06-0j 0.0132134-0j 0.00348023-0j 0.000456965-0j -0.000706338-0j 0.00041269-0j 0.000710398-0j -0.000432542-0j 2.69269e-05-0j -0.00645994-0j 8.424e-05-0j -8.82922e-05-0j -0.00395589-0j 4.18606e-05-0j 4.96389e-06-0j 0.00220223-0j -0.000807493-0j 0.00134858-0j -5.20267e-06-0j 0.000275278-0j -4.7582e-05-0j 1.62209e-05-0j 
0.104167-0j -0.51201-0j -0.0125962-0j -0.0443805-0j -0.0108857-0j -0.00768939-0j -0.00110987-0j 0.0262912-0j 0.0161679-0j 0.0037948-0j 0.036044-0j 0.00233364-0j 0.00520251-0j 0.0450466-0j 0.00650191-0j -0.00559792-0j -0.000989583-0j -8.24652e-05-0j 0.0185323-0j 0.00501616-0j 0.00327609-0j -0.0246559-0j 0.000273007-0j -0.0389666-0j 0.00088674-0j -0.00435859-0j 7.3895e-05-0j 0.00433499-0j -0.00688839-0j -0.000363216-0j 0.0221708-0j -0.000574032-0j 0.000766325-0j 6.38604e-05-0j 0.00391927-0j 0.000326606-0j -0.00441167-0j -0.000735278-0j -0.000450264-0j 0.0143101-0j -9.19097e-05-0j -5.41583e-06-0j 0.00375032-0j 0.00238501-0j -0.00257347-0j -0.0184339-0j 0.00146051-0j 0.000298126-0j -0.0128229-0j 0.000625053-0j 1.75673e-05-0j -0.000428912-0j 0.00782529-0j 0.000382765-0j -0.00314522-0j -0.00307232-0j -0.000262654-0j 0.0387596-0j -0.0018814-0j 7.81316e-05-0j -5.3614e-05-0j -0.00213715-0j -0.00038404-0j 4.60395e-06-0j -0.0219704-0j -0.00130873-0j 0.00130421-0j -3.15924e-06-0j -0.000524204-0j -2.26298e-05-0j -0.0133332-0j 0.000798665-0j -0.000267143-0j 0.00645994-0j -0.000321008-0j 0.000163027-0j 0.00395589-0j -1.57416e-05-0j -0.00366173-0j -6.55255e-05-0j 0.000807493-0j -0.00224234-0j 9.60645e-06-0j -3.86112e-06-0j -0.00222219-0j -0.000457717-0j -0.00136081-0j 4.7582e-05-0j -0.000277774-0j -2.69712e-05-0j -1.6368e-05-0j 
0.0279707-0j 0.513702-0j 0.00328604-0j -0.0199086-0j -0.103537-0j 0.00200597-0j 0.000289536-0j -0.0114582-0j 0.00143313-0j -0.00165385-0j 0.0372228-0j 0.000206855-0j 0.00537266-0j 0.0265592-0j 0.00383349-0j 0.00146036-0j 0.000258157-0j 2.15131e-05-0j -0.00807675-0j 0.00134693-0j -0.00142778-0j 0.0247374-0j -0.000118982-0j -0.00577031-0j 0.000238106-0j 0.00437299-0j 1.98422e-05-0j -0.0424394-0j -0.00102006-0j 0.000364416-0j 0.0438693-0j -8.50047e-05-0j -0.00750229-0j -0.000625191-0j 0.00775506-0j 0.000646255-0j 0.00115089-0j 0.000191815-0j 0.000117462-0j -0.0062366-0j 2.39769e-05-0j 1.41285e-06-0j 0.00100703-0j -0.00103943-0j 0.000671353-0j 0.0184949-0j -0.00063652-0j -0.000129929-0j -0.00575221-0j 0.000167838-0j -7.65615e-06-0j 0.000111892-0j 0.000415379-0j 0.00010278-0j -0.029915-0j 0.00308248-0j 6.85197e-05-0j 0.0132134-0j 0.00188762-0j 2.09798e-05-0j 1.39865e-05-0j -0.000958702-0j 0.000385309-0j 1.23625e-06-0j 0.0133332-0j -0.000587082-0j 6.92298e-05-0j 8.24164e-07-0j -0.00498584-0j 2.27046e-05-0j -0.0168194-0j 4.23944e-05-0j -0.000119838-0j 0.00220223-0j -0.00305319-0j 8.65372e-06-0j 0.00134858-0j -7.0615e-06-0j 0.00222219-0j -0.00062323-0j 0.000275278-0j 0.00136081-0j 5.09926e-07-0j -3.67242e-05-0j -0.00280324-0j 0.000277774-0j -0.00171663-0j 1.62209e-05-0j -0.000350405-0j 1.6368e-05-0j -2.06478e-05-0j 
