-0.0836695-0j -0.0147908-0j -0.00123257-0j -0.00126446-0j -0.000210744-0j -0.000129054-0j -2.63429e-05-0j -1.55227e-06-0j -0.0460126-0j 0.0448785-0j -0.00742525-0j 0.00724223-0j -0.00606269-0j 0.00591326-0j -0.000875074-0j -0.000757836-0j 0.000853505-0j 0.000739157-0j -8.93119e-05-0j 8.71105e-05-0j -4.07651e-06-0j 3.97603e-06-0j -0.0341882-0j -0.000732982-0j 0.048074-0j -0.00540563-0j -0.000115895-0j -0.00427352-0j 0.00760116-0j -0.00284902-0j -0.00061683-0j -9.16228e-05-0j -6.10819e-05-0j -0.000712254-0j 0.00600924-0j -1.32246e-05-0j -0.00025182-0j 0.00400616-0j -5.93545e-05-0j 0.00086736-0j -6.29549e-05-0j -1.52705e-05-0j -5.39893e-06-0j 0.00100154-0j -1.27254e-06-0j -5.24625e-06-0j 0.000354098-0j -1.34973e-06-0j 8.34617e-05-0j -1.95516e-07-0j -1.12478e-07-0j 8.85245e-05-0j -4.19179e-09-0j 7.37704e-06-0j 2.74926e-07-0j 
0.0085127-0j -0.0709551-0j -0.0179896-0j 0.00742525-0j -0.0583514-0j 0.000757836-0j -0.0147425-0j -0.00174654-0j -0.00454814-0j 0.00472992-0j 0.0346067-0j -0.0359898-0j -0.00059927-0j 0.000623222-0j 0.00824336-0j 0.00353203-0j -0.00857284-0j -0.0036732-0j 0.00126642-0j -0.00131703-0j 9.66082e-05-0j -0.000100469-0j 0.00347837-0j -0.00418173-0j 0.00251082-0j -0.0259321-0j 0.0311758-0j 0.000434797-0j -0.0187188-0j 0.000289864-0j -0.00598092-0j -0.000522717-0j -0.000348478-0j -0.00341685-0j 0.000313853-0j 0.00719032-0j 2.56206e-05-0j 0.000209235-0j -0.000866291-0j -0.00431725-0j -0.000610425-0j 0.00410777-0j -3.08014e-05-0j -0.00246641-0j 0.00104146-0j -0.000102271-0j 1.8494e-05-0j 0.000733859-0j -0.000625322-0j -5.72708e-06-0j 0.000122951-0j -0.000440628-0j 6.88515e-06-0j -7.38233e-05-0j -4.13403e-06-0j 
-0.00860092-0j 0.0716904-0j 0.018176-0j 0.00724223-0j -0.0569131-0j 0.000739157-0j -0.0143792-0j -0.00170349-0j -0.00472992-0j 0.00477607-0j 0.0359898-0j -0.036341-0j -0.000623222-0j 0.000629303-0j 0.00857284-0j 0.0036732-0j -0.00865648-0j -0.00370903-0j 0.00131703-0j -0.00132988-0j 0.000100469-0j -0.00010145-0j -0.00351442-0j 0.00419818-0j -0.00227769-0j 0.0262008-0j -0.0312984-0j -0.000439302-0j 0.0169807-0j -0.000292868-0j 0.0060429-0j 0.000524772-0j 0.000349848-0j 0.00345226-0j -0.000284712-0j -0.00721859-0j -2.58861e-05-0j -0.000189808-0j 0.000875268-0j 0.0039164-0j 0.000616751-0j -0.00412392-0j 3.09225e-05-0j 0.00223741-0j -0.00104556-0j 0.000103331-0j -1.67768e-05-0j -0.000736744-0j 0.000567261-0j 5.78643e-06-0j -0.000123435-0j 0.000399716-0j -6.91223e-06-0j 6.69688e-05-0j 3.75018e-06-0j 
0.00489939-0j -0.0828034-0j 7.21749e-05-0j 0.00427352-0j 0.000712254-0j -0.0838353-0j -0.00851189-0j 5.24625e-06-0j 0.00269434-0j 0.00272226-0j 0.000434797-0j 0.000439302-0j -0.0339408-0j -0.0342925-0j 5.12413e-05-0j -0.00852956-0j 5.17723e-05-0j -0.00861796-0j -0.000499995-0j -0.000505176-0j 2.38706e-07-0j 2.4118e-07-0j -0.00393702-0j 0.00247727-0j 0.00144508-0j -0.000622498-0j 0.000391692-0j 0.0470499-0j 0.000228487-0j -0.000328085-0j -7.10325e-05-0j -0.029605-0j 0.00020644-0j 0.00784165-0j -0.0172696-0j 4.46955e-05-0j 0.00837533-0j 0.000120423-0j -6.83511e-06-0j 2.60724e-05-0j 0.00139347-0j -0.00493417-0j -0.00526997-0j -0.00287826-0j 4.30082e-06-0j 5.77592e-05-0j -0.00307415-0j -0.000876808-0j 2.50881e-06-0j -2.25151e-08-0j -3.63436e-05-0j -0.000511471-0j 1.41671e-08-0j -2.12004e-05-0j 8.26413e-09-0j 
-0.000707167-0j 0.0119138-0j -0.141921-0j -0.00061683-0j 0.00979753-0j -6.29549e-05-0j -0.0571267-0j -0.0207769-0j -0.000388894-0j -0.000392924-0j 0.00598092-0j 0.0060429-0j -5.12413e-05-0j -5.17723e-05-0j -0.0328787-0j 0.000610425-0j -0.0332194-0j 0.000616751-0j -0.0102836-0j -0.0103901-0j -0.0015811-0j -0.00159749-0j 0.00056826-0j -0.000357564-0j -0.000208579-0j -0.00856288-0j 0.00538798-0j 7.10325e-05-0j 0.00314299-0j 4.7355e-05-0j 0.0455776-0j -4.46955e-05-0j -2.9797e-05-0j -0.00112826-0j -2.60724e-05-0j -0.0286786-0j 4.18563e-06-0j -1.73816e-05-0j 0.0134402-0j -0.0167292-0j 0.00465174-0j 0.000709928-0j -2.63371e-06-0j 0.000414125-0j -0.0084569-0j 0.00239262-0j -1.53633e-06-0j -0.002927-0j -0.00493319-0j 0.000224166-0j -0.0015055-0j -0.00170741-0j -0.000141051-0j -0.000878206-0j -8.22797e-05-0j 
-0.00606269-0j 0.102464-0j -8.93119e-05-0j -9.16228e-05-0j -1.52705e-05-0j 0.0017974-0j 0.000182492-0j -1.12478e-07-0j 0.00323916-0j 0.00325189-0j 0.000522717-0j 0.000524772-0j -0.0408039-0j -0.0409643-0j 6.16028e-05-0j -0.0102543-0j 6.1845e-05-0j -0.0102946-0j -0.000601098-0j -0.000603462-0j 2.86975e-07-0j 2.88103e-07-0j -0.00247727-0j 5.15999e-05-0j 0.00348344-0j -0.000391692-0j 8.15866e-06-0j 0.029605-0j 0.00055078-0j -0.00020644-0j -4.46955e-05-0j -0.000616652-0j 4.29999e-06-0j 0.00493417-0j -0.0416293-0j 9.30976e-07-0j 0.00526997-0j 0.000290286-0j -4.30082e-06-0j 6.28489e-05-0j 0.000876808-0j -0.000102775-0j -0.00010977-0j -0.00693821-0j 8.95832e-08-0j 3.63436e-05-0j -0.0074104-0j -1.82633e-05-0j 6.04763e-06-0j -1.41671e-08-0j -7.57011e-07-0j -0.00123293-0j 2.9509e-10-0j -5.11048e-05-0j 1.99211e-08-0j 
0.00353657-0j -0.0597707-0j 5.20986e-05-0j -0.00600924-0j -0.00100154-0j 0.117886-0j 0.011969-0j -7.37704e-06-0j 0.00194487-0j 0.00176429-0j 0.000313853-0j 0.000284712-0j -0.0244997-0j -0.0222249-0j 3.69879e-05-0j -0.00615697-0j 3.35536e-05-0j -0.00558529-0j -0.000360915-0j -0.000327404-0j 1.72307e-07-0j 1.56309e-07-0j 0.00144508-0j -0.00348344-0j 0.00400982-0j 0.000228487-0j -0.00055078-0j -0.0172696-0j 0.000634009-0j 0.000120423-0j 2.60724e-05-0j 0.0416293-0j -0.000290286-0j -0.00287826-0j -0.0479199-0j -6.28489e-05-0j -0.00307415-0j 0.000334152-0j 2.50881e-06-0j 7.2346e-05-0j -0.000511471-0j 0.00693821-0j 0.0074104-0j -0.00798666-0j -6.04763e-06-0j -2.12004e-05-0j -0.0085302-0j 0.00123293-0j 6.9615e-06-0j 8.26413e-09-0j 5.11048e-05-0j -0.00141924-0j -1.99211e-08-0j -5.88273e-05-0j 2.29315e-08-0j 
0.000875074-0j -0.0147425-0j 0.175618-0j 1.32246e-05-0j -0.000210055-0j 1.34973e-06-0j 0.00122478-0j 0.00044545-0j -0.000467532-0j -0.00046937-0j 0.00719032-0j 0.00721859-0j -6.16028e-05-0j -6.1845e-05-0j -0.039527-0j 0.000733859-0j -0.0396825-0j 0.000736744-0j -0.012363-0j -0.0124116-0j -0.00190082-0j -0.00190829-0j 0.000357564-0j -7.4478e-06-0j -0.000502791-0j -0.00538798-0j 0.000112228-0j 4.46955e-05-0j 0.00757634-0j 2.9797e-05-0j 0.0286786-0j -9.30976e-07-0j -6.2065e-07-0j -0.000709928-0j -6.28489e-05-0j -0.000597355-0j 2.63371e-06-0j -4.18992e-05-0j 0.0084569-0j -0.0403266-0j 0.002927-0j 1.47873e-05-0j -5.48583e-08-0j 0.000998271-0j -0.000176151-0j 0.0015055-0j -3.7034e-06-0j -6.09673e-05-0j -0.0118917-0j 0.000141051-0j -3.13584e-05-0j -0.00411582-0j -2.93799e-06-0j -0.00211696-0j -0.00019834-0j 
-0.00051046-0j 0.00859981-0j -0.102444-0j 0.00086736-0j -0.0137769-0j 8.85245e-05-0j 0.0803291-0j 0.0292156-0j -0.000280718-0j -0.000254654-0j 0.00431725-0j 0.0039164-0j -3.69879e-05-0j -3.35536e-05-0j -0.0237331-0j 0.000440628-0j -0.0215295-0j 0.000399716-0j -0.00742307-0j -0.00673384-0j -0.0011413-0j -0.00103533-0j -0.000208579-0j 0.000502791-0j -0.000578768-0j 0.00314299-0j -0.00757634-0j -2.60724e-05-0j 0.00872122-0j -1.73816e-05-0j -0.0167292-0j 6.28489e-05-0j 4.18992e-05-0j 0.000414125-0j -7.2346e-05-0j 0.0403266-0j -1.53633e-06-0j -4.82307e-05-0j -0.00493319-0j -0.0464204-0j -0.00170741-0j -0.000998271-0j 3.7034e-06-0j 0.00114912-0j 0.0118917-0j -0.000878206-0j -4.26303e-06-0j 0.00411582-0j -0.0136887-0j -8.22797e-05-0j 0.00211696-0j -0.00473776-0j 0.00019834-0j -0.00243686-0j -0.000228311-0j 
-0.498564-0j 0.000610503-0j 5.08753e-05-0j 0.00301236-0j -0.0724792-0j 0.000307448-0j 6.27575e-05-0j 3.69802e-06-0j 0.00189921-0j 0.00191889-0j 0.000306483-0j 0.000309659-0j -0.0361259-0j -0.0365003-0j -0.00521433-0j 3.12803e-05-0j -0.00526836-0j 3.16045e-05-0j 3.68642e-06-0j 3.72462e-06-0j 1.68261e-07-0j 1.70005e-07-0j 0.00141115-0j 0.0017462-0j 0.00101862-0j 0.000223122-0j 0.000276099-0j 0.000176393-0j 0.000161058-0j -0.0340706-0j 2.54602e-05-0j 0.000218275-0j -0.0421602-0j -0.00424412-0j 0.000127327-0j 3.15053e-05-0j 1.03941e-05-0j -0.0245935-0j -0.000353677-0j 1.83781e-05-0j 2.59852e-06-0j -0.00525184-0j 1.2862e-05-0j -0.00306357-0j -0.000437653-0j 2.16543e-07-0j 7.50283e-06-0j 3.2155e-06-0j -0.000255298-0j 8.07008e-09-0j 2.67958e-07-0j 1.87571e-06-0j 9.98622e-09-0j 1.56309e-07-0j 5.82529e-09-0j 
-0.000610503-0j -0.486503-0j 0.00129015-0j -0.000532515-0j 0.00418477-0j 0.0104465-0j -0.101082-0j 0.000125256-0j -0.000335736-0j -0.000339215-0j 0.0025546-0j 0.00258107-0j 0.00422929-0j 0.00427311-0j 0.00060851-0j -0.0501145-0j 0.000614816-0j -0.0506339-0j -0.0089376-0j -0.00903022-0j 7.13144e-06-0j 7.20534e-06-0j -0.000249458-0j -0.000308688-0j -0.000180068-0j 0.00185976-0j 0.00230134-0j 0.00298118-0j 0.00134245-0j -2.07881e-05-0j 0.000428932-0j 0.00368902-0j -2.5724e-05-0j -0.0234276-0j 0.00215193-0j 0.000530776-0j 0.000530677-0j -1.50057e-05-0j 6.21275e-05-0j 0.000309619-0j -0.00841452-0j -0.0289902-0j 0.00065668-0j -0.0169109-0j 7.68789e-05-0j -0.000701221-0j 0.000383063-0j -0.0104124-0j 4.4846e-05-0j 4.10728e-07-0j -0.000867717-0j -0.00607392-0j 5.0825e-07-0j -0.000506168-0j 2.96479e-07-0j 
