-0.000483671+1.49333e-16j -0.000103582+3.24791e-17j -0.000949552+5.26814e-18j 0.00041958-5.85352e-18j -0.000828946+1.02707e-18j -0.000872286+6.88693e-18j -0.000715754-3.09923e-19j -0.00053821-1.89892e-18j -0.00126397+6.71167e-19j -0.00103682+2.79195e-18j 0.00142475-3.68638e-18j -0.000638739+5.65878e-18j 0.00066509+1.03965e-18j -0.00208046+9.72032e-18j -0.00216466+3.14166e-17j 0.000172703-2.03682e-17j -0.000363678-1.57653e-17j 0.00124207+1.46092e-17j -0.00033407-8.45759e-18j 0.000976733+2.89259e-19j 0.000822322+7.07211e-18j 0.000522858+2.74771e-18j -7.5076e-05-2.71151e-18j -0.000122086-3.83666e-19j 0.000597401-4.41409e-18j 0.00108174+6.70011e-18j -0.000716762+4.31912e-18j 0.00285973-1.84067e-17j -5.51777e-05-5.19942e-17j -0.000708402-1.4551e-17j -0.00106106-1.99921e-17j 0.000580077-1.21758e-17j 0.000120303+6.20161e-18j 9.4105e-05+6.07558e-19j -0.000531249+2.98191e-18j -0.000827428-6.44964e-18j -0.000978035+1.18036e-17j -0.000399799-1.33464e-17j -0.00122844-4.5603e-17j 0.000351858-4.49167e-18j 7.68548e-05-2.12543e-17j 0.00215427-1.09514e-17j -0.00204384-1.4714e-17j 0.000670969-3.94276e-18j 0.000658679+8.88579e-18j 0.00139043+9.72142e-18j -0.00101178-2.39235e-18j -0.00122794-1.6301e-18j -0.000535728-1.39338e-18j -0.000706206-9.26845e-19j -0.000863078+4.92348e-19j -0.000819146+4.94421e-19j 0.000417491-4.40249e-18j 0.000941297-3.86995e-18j -0.000103223+4.37462e-17j 0.000481274-2.00656e-16j 
4.95993e-18-1.53137e-30j 1.06221e-18-3.33066e-31j 9.73743e-18-5.40235e-32j -4.30269e-18+6.00264e-32j 8.50065e-18-1.05324e-32j 8.94509e-18-7.06238e-32j 7.33988e-18+3.17819e-33j 5.51921e-18+1.9473e-32j 1.29617e-17-6.88266e-33j 1.06323e-17-2.86308e-32j -1.46105e-17+3.78029e-32j 6.55012e-18-5.80295e-32j -6.82034e-18-1.06613e-32j 2.13346e-17-9.96796e-32j 2.21981e-17-3.2217e-31j -1.77103e-18+2.08871e-31j 3.72943e-18+1.6167e-31j -1.27372e-17-1.49814e-31j 3.4258e-18+8.67306e-32j -1.00162e-17-2.96629e-33j -8.43272e-18-7.25228e-32j -5.36179e-18-2.81772e-32j 7.69886e-19+2.78059e-32j 1.25197e-18+3.9344e-33j -6.1262e-18+4.52655e-32j -1.10929e-17-6.87081e-32j 7.35023e-18-4.42916e-32j -2.93258e-17+1.88756e-31j 5.65834e-19+5.33188e-31j 7.26449e-18+1.49217e-31j 1.08809e-17+2.05014e-31j -5.94855e-18+1.2486e-31j -1.23368e-18-6.3596e-32j -9.65024e-19-6.23036e-33j 5.44783e-18-3.05788e-32j 8.48508e-18+6.61395e-32j 1.00295e-17-1.21044e-31j 4.09984e-18+1.36864e-31j 1.25974e-17+4.67648e-31j -3.60822e-18+4.6061e-32j -7.88128e-19+2.17958e-31j -2.20915e-17+1.12304e-31j 2.09591e-17+1.50889e-31j -6.88063e-18+4.04321e-32j -6.75459e-18-9.11217e-32j -1.42586e-17-9.96908e-32j 1.03755e-17+2.4533e-32j 1.25922e-17+1.67162e-32j 5.49377e-18+1.42887e-32j 7.24197e-18+9.50458e-33j 8.85066e-18-5.04891e-33j 8.40015e-18-5.07016e-33j -4.28127e-18+4.51465e-32j -9.65277e-18+3.96854e-32j 1.05853e-18-4.48607e-31j -4.93535e-18+2.05768e-30j 
-0.000726376+2.24268e-16j -0.000155559+4.8777e-17j -0.00142604+7.91168e-18j 0.000630124-8.7908e-18j -0.00124491+1.54246e-18j -0.00131+1.03428e-17j -0.00107492-4.65442e-19j -0.000808282-2.85179e-18j -0.00189823+1.00796e-18j -0.00155709+4.19294e-18j 0.00213969-5.53619e-18j -0.000959257+8.49834e-18j 0.00099883+1.56134e-18j -0.00312442+1.4598e-17j -0.00325088+4.71814e-17j 0.000259366-3.05889e-17j -0.00054617-2.36764e-17j 0.00186534+2.19401e-17j -0.000501705-1.27016e-17j 0.00146685+4.34409e-19j 0.00123496+1.06209e-17j 0.000785227+4.12651e-18j -0.000112749-4.07214e-18j -0.000183349-5.76189e-19j 0.000897175-6.62907e-18j 0.00162455+1.00622e-17j -0.00107643+6.48645e-18j 0.00429473-2.76431e-17j -8.28657e-05-7.80847e-17j -0.00106388-2.18527e-17j -0.0015935-3.0024e-17j 0.000871159-1.82856e-17j 0.000180671+9.31356e-18j 0.000141327+9.12429e-19j -0.000797828+4.47822e-18j -0.00124263-9.68605e-18j -0.00146881+1.77267e-17j -0.000600417-2.00435e-17j -0.00184487-6.84865e-17j 0.00052842-6.74558e-18j 0.00011542-3.19197e-17j 0.00323528-1.64468e-17j -0.00306943-2.20975e-17j 0.00100766-5.92123e-18j 0.000989202+1.33447e-17j 0.00208815+1.45996e-17j -0.00151948-3.59283e-18j -0.00184411-2.44807e-18j -0.000804556-2.09257e-18j -0.00106058-1.39193e-18j -0.00129617+7.39406e-19j -0.00123019+7.42519e-19j 0.000626987-6.61165e-18j 0.00141364-5.81187e-18j -0.00015502+6.56979e-17j 0.000722776-3.01345e-16j 
-2.19791e-17+6.78602e-30j -4.70699e-18+1.47592e-30j -4.31498e-17+2.39396e-31j 1.90667e-17-2.65997e-31j -3.76692e-17+4.66725e-32j -3.96386e-17+3.12957e-31j -3.25255e-17-1.40836e-32j -2.44575e-17-8.62912e-32j -5.74377e-17+3.04993e-32j -4.71154e-17+1.26872e-31j 6.4744e-17-1.67517e-31j -2.90258e-17+2.57148e-31j 3.02232e-17+4.72438e-32j -9.45406e-17+4.41713e-31j -9.8367e-17+1.42764e-30j 7.84803e-18-9.25576e-31j -1.65263e-17-7.16413e-31j 5.64427e-17+6.63876e-31j -1.51809e-17-3.84332e-31j 4.43849e-17+1.31446e-32j 3.73682e-17+3.21373e-31j 2.37599e-17+1.24862e-31j -3.41162e-18-1.23217e-31j -5.54788e-18-1.74347e-32j 2.71472e-17-2.00586e-31j 4.91565e-17+3.04468e-31j -3.25713e-17+1.96271e-31j 1.29953e-16-8.36442e-31j -2.5074e-18-2.36273e-30j -3.21914e-17-6.61232e-31j -4.8217e-17-9.08485e-31j 2.636e-17-5.53295e-31j 5.46685e-18+2.81815e-31j 4.27634e-18+2.76088e-32j -2.41411e-17+1.35505e-31j -3.76002e-17-2.93086e-31j -4.44441e-17+5.36384e-31j -1.81678e-17-6.06489e-31j -5.58231e-17-2.0723e-30j 1.59892e-17-2.04112e-31j 3.49246e-18-9.65844e-31j 9.78948e-17-4.97656e-31j -9.28765e-17-6.68639e-31j 3.04903e-17-1.79168e-31j 2.99318e-17+4.0379e-31j 6.31845e-17+4.41763e-31j -4.59774e-17-1.08714e-31j -5.58001e-17-7.40752e-32j -2.43447e-17-6.33181e-32j -3.20916e-17-4.21179e-32j -3.92202e-17+2.23734e-32j -3.72238e-17+2.24676e-32j 1.89717e-17-2.00059e-31j 4.27746e-17-1.75859e-31j -4.69068e-18+1.98793e-30j 2.18702e-17-9.11826e-30j 
0.00159809-4.93408e-16j 0.000342243-1.07314e-16j 0.0031374-1.74064e-17j -0.00138633+1.93405e-17j 0.00273891-3.39353e-18j 0.0028821-2.2755e-17j 0.00236491+1.02401e-18j 0.00177829+6.27419e-18j 0.00417626-2.21759e-18j 0.00342573-9.22482e-18j -0.0047075+1.21801e-17j 0.00211045-1.86971e-17j -0.00219751-3.43507e-18j 0.006874-3.21167e-17j 0.00715221-1.03803e-16j -0.000570626+6.72981e-17j 0.00120162+5.209e-17j -0.00410392-4.827e-17j 0.00110379+2.79446e-17j -0.0032272-9.55736e-19j -0.00271702-2.33668e-17j -0.00172757-9.07867e-18j 0.000248057+8.95904e-18j 0.000403383+1.26766e-18j -0.00197386+1.45845e-17j -0.00357414-2.21377e-17j 0.00236824-1.42707e-17j -0.00944878+6.08172e-17j 0.000182312+1.71793e-16j 0.00234062+4.80778e-17j 0.00350583+6.60554e-17j -0.00191662+4.02298e-17j -0.000397492-2.04906e-17j -0.000310931-2.00742e-18j 0.00175529-9.85247e-18j 0.00273389+2.13101e-17j 0.00323151-3.90002e-17j 0.00132097+4.40975e-17j 0.00405887+1.50676e-16j -0.00116257+1.48409e-17j -0.000253935+7.0226e-17j -0.00711788+3.61843e-17j 0.006753+4.86164e-17j -0.00221694+1.30272e-17j -0.00217633-2.93594e-17j -0.00459411-3.21203e-17j 0.00334299+7.90452e-18j 0.0040572+5.38597e-18j 0.00177009+4.60382e-18j 0.00233336+3.06237e-18j 0.00285168-1.62676e-18j 0.00270652-1.63361e-18j -0.00137943+1.45462e-17j -0.00311012+1.27866e-17j 0.000341056-1.44541e-16j -0.00159017+6.62984e-16j 
-2.76887e-19+8.54886e-32j -5.92975e-20+1.85933e-32j -5.4359e-19+3.01585e-33j 2.40197e-19-3.35096e-33j -4.74547e-19+5.87969e-34j -4.99358e-19+3.94256e-33j -4.09748e-19-1.77422e-34j -3.08109e-19-1.08708e-33j -7.23586e-19+3.84223e-34j -5.93548e-19+1.59831e-33j 8.15628e-19-2.11034e-33j -3.65659e-19+3.23948e-33j 3.80744e-19+5.95166e-34j -1.191e-18+5.56459e-33j -1.2392e-18+1.79851e-32j 9.88676e-20-1.16602e-32j -2.08195e-19-9.02519e-33j 7.11051e-19+8.36334e-33j -1.91245e-19-4.84172e-33j 5.5915e-19+1.65592e-34j 4.70755e-19+4.04857e-33j 2.99321e-19+1.57298e-33j -4.29787e-20-1.55226e-33j -6.98907e-20-2.19637e-34j 3.41994e-19-2.52693e-33j 6.19261e-19+3.83561e-33j -4.10325e-19+2.47257e-33j 1.63711e-18-1.05373e-32j -3.15876e-20-2.97651e-32j -4.05539e-19-8.33003e-33j -6.07425e-19-1.14449e-32j 3.32077e-19-6.97027e-33j 6.887e-20+3.55024e-33j 5.38723e-20+3.47809e-34j -3.04124e-19+1.70705e-33j -4.73678e-19-3.69222e-33j -5.59896e-19+6.75723e-33j -2.28873e-19-7.6404e-33j -7.03246e-19-2.61064e-32j 2.01428e-19-2.57135e-33j 4.39971e-20-1.21675e-32j 1.23325e-18-6.26934e-33j -1.17003e-18-8.42334e-33j 3.8411e-19-2.25711e-33j 3.77074e-19+5.08685e-33j 7.95982e-19+5.56522e-33j -5.79211e-19-1.36955e-33j -7.02956e-19-9.33181e-34j -3.06688e-19-7.97666e-34j -4.04282e-19-5.30591e-34j -4.94086e-19+2.81854e-34j -4.68937e-19+2.83041e-34j 2.39001e-19-2.52029e-33j 5.38864e-19-2.21543e-33j -5.9092e-20+2.50434e-32j 2.75515e-19-1.1487e-31j 
0.000333378-1.0293e-16j 7.13955e-05-2.23868e-17j 0.000654494-3.63115e-18j -0.000289202+4.03463e-18j 0.000571365-7.07927e-19j 0.000601237-4.74693e-18j 0.000493345+2.1362e-19j 0.00037097+1.30886e-18j 0.000871213-4.62613e-19j 0.000714644-1.92439e-18j -0.000982034+2.54089e-18j 0.000440261-3.90041e-18j -0.000458424-7.16592e-19j 0.00143399-6.69989e-18j 0.00149203-2.16544e-17j -0.000119039+1.40391e-17j 0.000250671+1.08665e-17j -0.00085612-1.00696e-17j 0.000230263+5.82953e-18j -0.000673229-1.99377e-19j -0.000566799-4.87457e-18j -0.000360389-1.89391e-18j 5.17473e-05+1.86895e-18j 8.415e-05+2.64448e-19j -0.000411768+3.04248e-18j -0.000745604-4.61816e-18j 0.00049404-2.97703e-18j -0.00197112+1.26871e-17j 3.80321e-05+3.58378e-17j 0.000488277+1.00295e-17j 0.000731353+1.37799e-17j -0.000399828+8.39235e-18j -8.2921e-05-4.27456e-18j -6.48634e-05-4.18769e-19j 0.000366172-2.05533e-18j 0.000570319+4.44552e-18j 0.000674127-8.13586e-18j 0.000275568+9.1992e-18j 0.000846723+3.14326e-17j -0.000242524+3.09596e-18j -5.29735e-05+1.46499e-17j -0.00148486+7.54842e-18j 0.00140875+1.01419e-17j -0.000462476+2.71761e-18j -0.000454005-6.12468e-18j -0.00095838-6.70064e-18j 0.000697383+1.64897e-18j 0.000846374+1.12357e-18j 0.00036926+9.60407e-19j 0.000486764+6.38843e-19j 0.000594891-3.39359e-19j 0.00056461-3.40787e-19j -0.000287763+3.03449e-18j -0.000648804+2.66742e-18j 7.1148e-05-3.01528e-17j -0.000331726+1.38305e-16j 
0.00220499-6.80789e-16j 0.000472216-1.48068e-16j 0.00432888-2.40167e-17j -0.00191281+2.66854e-17j 0.00377906-4.68229e-18j 0.00397664-3.13966e-17j 0.00326303+1.4129e-18j 0.00245363+8.65692e-18j 0.00576228-3.05976e-18j 0.00472672-1.27281e-17j -0.00649526+1.68057e-17j 0.00291193-2.57976e-17j -0.00303206-4.7396e-18j 0.00948452-4.43137e-17j 0.0098684-1.43224e-16j -0.000787332+9.28558e-17j 0.00165796+7.18721e-17j -0.00566245-6.66015e-17j 0.00152298+3.8557e-17j -0.00445279-1.31869e-18j -0.00374886-3.22408e-17j -0.00238364-1.25265e-17j 0.000342261+1.23614e-17j 0.000556575+1.74908e-18j -0.00272347+2.01233e-17j -0.00493149-3.05449e-17j 0.00326762-1.96903e-17j -0.0130371+8.39136e-17j 0.000251548+2.37035e-16j 0.00322951+6.63362e-17j 0.00483723+9.11411e-17j -0.0026445+5.55077e-17j -0.000548446-2.82723e-17j -0.000429012-2.76977e-18j 0.00242189-1.35941e-17j 0.00377214+2.9403e-17j 0.00445873-5.38112e-17j 0.00182263+6.08443e-17j 0.0056003+2.07898e-16j -0.00160407+2.04769e-17j -0.000350371+9.68956e-17j -0.00982102+4.99259e-17j 0.00931758+6.70793e-17j -0.00305886+1.79745e-17j -0.00300283-4.05091e-17j -0.00633881-4.43186e-17j 0.00461255+1.09064e-17j 0.00559799+7.43139e-18j 0.00244231+6.35221e-18j 0.0032195+4.22536e-18j 0.00393466-2.24455e-18j 0.00373438-2.254e-18j -0.00190329+2.00704e-17j -0.00429125+1.76426e-17j 0.000470579-1.99433e-16j -0.00219406+9.14764e-16j 
-0.0023486+7.25128e-16j -0.000502971+1.57711e-16j -0.00461082+2.55809e-17j 0.00203739-2.84234e-17j -0.00402518+4.98724e-18j -0.00423563+3.34414e-17j -0.00347554-1.50492e-18j -0.00261343-9.22074e-18j -0.00613757+3.25904e-18j -0.00503456+1.35571e-17j 0.00691828-1.79002e-17j -0.00310158+2.74778e-17j 0.00322953+5.04829e-18j -0.0101022+4.71998e-17j -0.0105111+1.52552e-16j 0.00083861-9.89034e-17j -0.00176594-7.65531e-17j 0.00603124+7.09392e-17j -0.00162217-4.10682e-17j 0.0047428+1.40458e-18j 0.00399302+3.43406e-17j 0.00253889+1.33423e-17j -0.000364552-1.31665e-17j -0.000592824-1.863e-18j 0.00290085-2.14339e-17j 0.00525267+3.25343e-17j -0.00348044+2.09727e-17j 0.0138862-8.93789e-17j -0.000267931-2.52472e-16j -0.00343984-7.06566e-17j -0.00515227-9.70771e-17j 0.00281673-5.91229e-17j 0.000584166+3.01137e-17j 0.000456953+2.95017e-18j -0.00257963+1.44795e-17j -0.00401781-3.1318e-17j -0.00474912+5.73159e-17j -0.00194134-6.4807e-17j -0.00596504-2.21438e-16j 0.00170855-2.18106e-17j 0.00037319-1.03206e-16j 0.0104607-5.31775e-17j -0.00992442-7.14481e-17j 0.00325808-1.91452e-17j 0.0031984+4.31474e-17j 0.00675165+4.72051e-17j -0.00491296-1.16167e-17j -0.00596258-7.91539e-18j -0.00260138-6.76592e-18j -0.00342918-4.50056e-18j -0.00419092+2.39073e-18j -0.00397759+2.4008e-18j 0.00202725-2.13775e-17j 0.00457073-1.87916e-17j -0.000501227+2.12422e-16j 0.00233696-9.74341e-16j 
-5.42308e-17+1.67437e-29j -1.16139e-17+3.64166e-30j -1.06467e-16+5.90681e-31j 4.70446e-17-6.56315e-31j -9.29441e-17+1.15159e-31j -9.78035e-17+7.72184e-31j -8.02526e-17-3.47496e-32j -6.03458e-17-2.12913e-31j -1.4172e-16+7.52534e-32j -1.16251e-16+3.13042e-31j 1.59748e-16-4.13328e-31j -7.16175e-17+6.34481e-31j 7.4572e-17+1.16568e-31j -2.33267e-16+1.08987e-30j -2.42709e-16+3.52253e-30j 1.93641e-17-2.28374e-30j -4.07767e-17-1.76766e-30j 1.39265e-16+1.63803e-30j -3.74569e-17-9.48292e-31j 1.09514e-16+3.24327e-32j 9.22014e-17+7.92948e-31j 5.86245e-17+3.08082e-31j -8.41776e-18-3.04023e-31j -1.36887e-17-4.30179e-32j 6.69825e-17-4.94922e-31j 1.21288e-16+7.51238e-31j -8.03657e-17+4.84274e-31j 3.20642e-16-2.06382e-30j -6.1867e-18-5.82975e-30j -7.94282e-17-1.63151e-30j -1.18969e-16-2.24157e-30j 6.50401e-17-1.36519e-30j 1.34888e-17+6.95344e-31j 1.05514e-17+6.81213e-32j -5.95653e-17+3.34341e-31j -9.27739e-17-7.23154e-31j -1.0966e-16+1.32346e-30j -4.48267e-17-1.49644e-30j -1.37737e-16-5.11315e-30j 3.94515e-17-5.03621e-31j 8.61721e-18-2.3831e-30j 2.41543e-16-1.2279e-30j -2.29161e-16-1.64978e-30j 7.52312e-17-4.42075e-31j 7.38531e-17+9.96303e-31j 1.559e-16+1.09e-30j -1.13444e-16-2.68238e-31j -1.3768e-16-1.82772e-31j -6.00676e-17-1.5623e-31j -7.9182e-17-1.03921e-31j -9.67711e-17+5.52036e-32j -9.18452e-17+5.5436e-32j 4.68105e-17-4.93621e-31j 1.05541e-16-4.33911e-31j -1.15737e-17+4.90496e-30j 5.3962e-17-2.24982e-29j 
-0.0061714+1.90541e-15j -0.00132165+4.14417e-16j -0.0121158+6.72188e-17j 0.00535363-7.46879e-17j -0.0105769+1.31049e-17j -0.0111299+8.78737e-17j -0.00913266-3.95446e-18j -0.00686728-2.42293e-17j -0.0161276+8.56375e-18j -0.0132293+3.56238e-17j 0.0181791-4.70363e-17j -0.00814999+7.22032e-17j 0.00848621+1.32653e-17j -0.0265456+1.24026e-16j -0.02762+4.0086e-16j 0.00220361-2.59888e-16j -0.00464034-2.01158e-16j 0.0158482+1.86406e-16j -0.00426256-1.07915e-16j 0.0124626+3.6908e-18j 0.0104924+9.02366e-17j 0.00667141+3.50595e-17j -0.000957932-3.45975e-17j -0.00155776-4.89539e-18j 0.00762253-5.63216e-17j 0.0138024+8.54901e-17j -0.00914552+5.51098e-17j 0.0364887-2.3486e-16j -0.00070404-6.6342e-16j -0.00903885-1.85664e-16j -0.0135386-2.55089e-16j 0.00740149-1.55357e-16j 0.00153501+7.91294e-17j 0.00120073+7.75213e-18j -0.00677846+3.80477e-17j -0.0105576-8.22941e-17j -0.0124792+1.50609e-16j -0.00510123-1.70293e-16j -0.0156743-5.81871e-16j 0.00448953-5.73115e-17j 0.000980629-2.71194e-16j 0.0274874-1.39734e-16j -0.0260783-1.87744e-16j 0.00856122-5.03077e-17j 0.00840441+1.13378e-16j 0.0177412+1.2404e-16j -0.0129097-3.05252e-17j -0.0156678-2.07992e-17j -0.00683562-1.77788e-17j -0.00901083-1.18261e-17j -0.0110124+6.28211e-18j -0.0104519+6.30856e-18j 0.00532698-5.61735e-17j 0.0120105-4.93785e-17j -0.00131707+5.58179e-16j 0.00614081-2.56027e-15j 
