-0.00328227-2.62539e-15j -0.0011584-5.82652e-16j 0.00475719+3.16034e-17j -0.00274916-3.24189e-17j 0.00247531+8.08701e-19j 0.00520027+3.95054e-18j 0.00289353-4.07172e-18j 0.00168547+1.58044e-18j 0.00147959-2.35857e-18j 0.00494051+1.00032e-17j -0.00452298+1.09049e-17j -0.00414726-1.21302e-17j -0.00222715-1.26279e-17j 0.000943688+3.96033e-18j 0.00210993+1.84776e-17j -0.00512568-2.62576e-16j 0.00162342-1.59578e-17j 0.00179182-2.37712e-16j 0.00592114-9.92463e-17j 0.00110086-9.56219e-18j 0.00399176+3.85961e-17j -0.00236666-4.06156e-18j -0.00557766-1.24485e-17j -0.00305394+1.29843e-16j -0.00075692-1.51564e-17j 0.0030375+5.14635e-17j 0.00320961-1.23317e-16j -0.00403407+1.30587e-16j 0.00496773+2.18192e-18j 0.00191201-1.44798e-17j 0.0022763-2.97654e-17j 0.000585464+1.39123e-16j -0.000580132-1.23291e-17j 0.00153921-6.80025e-17j 0.00499937+2.00924e-17j 0.0034412+8.66763e-17j -0.00145879-2.22831e-17j 0.00344051-1.22263e-15j 0.00659312+2.72277e-15j -0.00296635-7.2415e-15j -0.00141174-6.07308e-17j 0.00346995+1.3711e-16j 0.00496221+6.81371e-18j -0.00156328+2.85866e-17j 0.000476282+1.49439e-17j 0.000503065-1.91203e-17j 0.00220801+2.40391e-17j -0.00197813+3.59738e-17j 0.00508969-3.08922e-17j -0.00364887-1.82074e-17j -0.00342736-2.30533e-17j 0.00305099+1.30345e-16j -0.000775567-3.64935e-18j -0.00307846+2.95792e-16j -0.00548248+3.88275e-17j 0.00219359-1.99865e-18j -0.00401153+2.35856e-17j 0.00103282-1.57057e-17j -0.00590414-7.55183e-17j -0.00174468-4.71499e-17j 0.00152093+1.33399e-17j -0.00499703-1.57423e-16j 0.00214078+1.29252e-17j 0.00101406-4.46979e-18j -0.00225657+5.0548e-18j -0.00411196+4.02604e-18j -0.00449491+5.71333e-18j 0.00488169-4.59491e-18j 0.0014644-3.49795e-19j 0.00168078+1.32624e-18j 0.00287822-1.83017e-17j 0.00516794-8.05014e-18j 0.0024588+2.41645e-17j -0.00273778+4.12501e-18j -0.00473425+5.50065e-18j 0.00115538+1.81508e-15j -0.00327198-8.16331e-15j 
0.000842382+6.73795e-16j 0.000297299+1.49535e-16j -0.00122091-8.11089e-18j 0.000705561+8.32018e-18j -0.000635279-2.0755e-19j -0.00133463-1.01389e-18j -0.000742612+1.04499e-18j -0.000432569-4.05613e-19j -0.00037973+6.05317e-19j -0.00126796-2.56727e-18j 0.0011608-2.79871e-18j 0.00106438+3.11316e-18j 0.000571589+3.24089e-18j -0.000242194-1.0164e-18j -0.000541504-4.74221e-18j 0.00131549+6.73889e-17j -0.000416645+4.0955e-18j -0.000459863+6.10079e-17j -0.00151963+2.54711e-17j -0.000282532+2.4541e-18j -0.00102447-9.90554e-18j 0.000607395+1.04238e-18j 0.00143148+3.19485e-18j 0.000783781-3.33237e-17j 0.00019426+3.88983e-18j -0.00077956-1.32079e-17j -0.000823734+3.16488e-17j 0.00103533-3.35146e-17j -0.00127495-5.59982e-19j -0.00049071+3.71619e-18j -0.000584202+7.63916e-18j -0.000150257-3.57053e-17j 0.000148888+3.16421e-18j -0.000395033+1.74526e-17j -0.00128307-5.15663e-18j -0.00088317-2.22451e-17j 0.000374393+5.71886e-18j -0.000882992+3.13783e-16j -0.0016921-6.98789e-16j 0.0007613+1.8585e-15j 0.000362317+1.55863e-17j -0.000890547-3.51887e-17j -0.00127353-1.74871e-18j 0.000401208-7.33664e-18j -0.000122236-3.83528e-18j -0.00012911+4.90716e-18j -0.000566675-6.16955e-18j 0.000507679-9.23254e-18j -0.00130625+7.92836e-18j 0.000936468+4.67285e-18j 0.000879617+5.91653e-18j -0.000783024-3.34526e-17j 0.000199046+9.3659e-19j 0.000790074-7.59139e-17j 0.00140705-9.96491e-18j -0.000562975+5.12945e-19j 0.00102954-6.05314e-18j -0.00026507+4.0308e-18j 0.00151527+1.93814e-17j 0.000447766+1.21008e-17j -0.00039034-3.42364e-18j 0.00128247+4.0402e-17j -0.000549423-3.31721e-18j -0.000260254+1.14715e-18j 0.000579139-1.29729e-18j 0.00105532-1.03327e-18j 0.0011536-1.4663e-18j -0.00125287+1.17926e-18j -0.000375831+8.97733e-20j -0.000431364-3.40373e-19j -0.000738683+4.69706e-18j -0.00132633+2.06604e-18j -0.000631042-6.20171e-18j 0.00070264-1.05867e-18j 0.00121502-1.41172e-18j -0.000296524-4.65832e-16j 0.000839741+2.09508e-15j 
-0.00371822-2.97409e-15j -0.00131226-6.6004e-16j 0.00538903+3.5801e-17j -0.0031143-3.67248e-17j 0.00280408+9.16112e-19j 0.00589096+4.47525e-18j 0.00327785-4.61252e-18j 0.00190933+1.79035e-18j 0.00167611-2.67183e-18j 0.00559671+1.13318e-17j -0.00512371+1.23533e-17j -0.0046981-1.37413e-17j -0.00252296-1.43051e-17j 0.00106903+4.48634e-18j 0.00239016+2.09318e-17j -0.00580647-2.97451e-16j 0.00183905-1.80773e-17j 0.00202981-2.69285e-16j 0.00670758-1.12428e-16j 0.00124708-1.08322e-17j 0.00452194+4.37224e-17j -0.002681-4.60102e-18j -0.00631847-1.41019e-17j -0.00345956+1.47089e-16j -0.000857453-1.71695e-17j 0.00344093+5.82989e-17j 0.00363591-1.39696e-16j -0.00456988+1.47932e-16j 0.00562754+2.47173e-18j 0.00216596-1.6403e-17j 0.00257863-3.37188e-17j 0.000663225+1.57601e-16j -0.000657184-1.39666e-17j 0.00174365-7.70346e-17j 0.00566338+2.27611e-17j 0.00389826+9.81886e-17j -0.00165255-2.52427e-17j 0.00389747-1.38502e-15j 0.00746881+3.08441e-15j -0.00336033-8.20332e-15j -0.00159925-6.8797e-17j 0.00393082+1.55321e-16j 0.00562129+7.7187e-18j -0.00177091+3.23835e-17j 0.000539542+1.69287e-17j 0.000569882-2.16599e-17j 0.00250127+2.7232e-17j -0.00224086+4.07519e-17j 0.0057657-3.49953e-17j -0.00413352-2.06257e-17j -0.00388258-2.61152e-17j 0.00345622+1.47658e-16j -0.000878578-4.13405e-18j -0.00348734+3.35079e-16j -0.00621065+4.39845e-17j 0.00248494-2.26411e-18j -0.00454433+2.67182e-17j 0.00117-1.77917e-17j -0.00668833-8.55486e-17j -0.00197641-5.34123e-17j 0.00172294+1.51117e-17j -0.00566073-1.78332e-16j 0.00242512+1.46419e-17j 0.00114875-5.06346e-18j -0.00255629+5.72617e-18j -0.00465811+4.56078e-18j -0.00509191+6.47217e-18j 0.00553008-5.2052e-18j 0.0016589-3.96254e-19j 0.00190402+1.50239e-18j 0.0032605-2.07326e-17j 0.00585434-9.11936e-18j 0.00278538+2.7374e-17j -0.00310141+4.67289e-18j -0.00536305+6.23124e-18j 0.00130884+2.05615e-15j -0.00370656-9.24756e-15j 
-0.00718995-5.75101e-15j -0.00253753-1.27632e-15j 0.0104208+6.92285e-17j -0.00602214-7.10148e-17j 0.00542227+1.77149e-18j 0.0113914+8.65382e-18j 0.00633839-8.91925e-18j 0.00369208+3.46201e-18j 0.00324109-5.16654e-18j 0.0108224+2.19123e-17j -0.00990775+2.38877e-17j -0.00908473-2.65717e-17j -0.00487866-2.76618e-17j 0.00206718+8.67526e-18j 0.00462187+4.0476e-17j -0.011228-5.75182e-16j 0.00355617-3.49561e-17j 0.00392505-5.20718e-16j 0.0129705-2.17403e-16j 0.00241148-2.09463e-17j 0.0087441+8.45463e-17j -0.00518427-8.89701e-18j -0.0122181-2.72688e-17j -0.00668977+2.84426e-16j -0.00165806-3.32007e-17j 0.00665375+1.12733e-16j 0.00703078-2.7013e-16j -0.00883679+2.86056e-16j 0.010882+4.77959e-18j 0.00418833-3.17186e-17j 0.00498631-6.52022e-17j 0.00128248+3.04754e-16j -0.0012708-2.70074e-17j 0.00337171-1.48962e-16j 0.0109513+4.40132e-17j 0.00753808+1.89868e-16j -0.00319554-4.88119e-17j 0.00753656-2.67822e-15j 0.0144425+5.96434e-15j -0.00649789-1.58628e-14j -0.00309247-1.33033e-16j 0.00760105+3.00344e-16j 0.0108699+1.49257e-17j -0.00342442+6.26201e-17j 0.00104331+3.27351e-17j 0.00110198-4.18838e-17j 0.00483672+5.26586e-17j -0.00433317+7.88021e-17j 0.0111492-6.76705e-17j -0.007993-3.9884e-17j -0.00750776-5.04991e-17j 0.00668331+2.85526e-16j -0.00169891-7.99404e-18j -0.00674349+6.47944e-16j -0.0120096+8.5053e-17j 0.00480514-4.37812e-18j -0.0087874+5.16651e-17j 0.00226244-3.44039e-17j -0.0129332-1.65426e-16j -0.0038218-1.03284e-16j 0.00333165+2.92216e-17j -0.0109462-3.44842e-16j 0.00468947+2.83132e-17j 0.00222133-9.79124e-18j -0.0049431+1.10727e-17j -0.00900741+8.8192e-18j -0.00984626+1.25153e-17j 0.0106935-1.00653e-17j 0.00320782-7.66238e-19j 0.0036818+2.90517e-18j 0.00630485-4.00906e-17j 0.0113206-1.76341e-17j 0.0053861+5.29332e-17j -0.00599721+9.03599e-18j -0.0103705+1.20494e-17j 0.00253091+3.97599e-15j -0.0071674-1.7882e-14j 
0.0065373+5.22898e-15j 0.00230719+1.16047e-15j -0.00947487-6.29444e-17j 0.0054755+6.45686e-17j -0.00493007-1.61069e-18j -0.0103574-7.86829e-18j -0.00576303+8.10963e-18j -0.00335694-3.14775e-18j -0.00294689+4.69755e-18j -0.00984-1.99232e-17j 0.0090084-2.17193e-17j 0.00826009+2.41597e-17j 0.00443581+2.51509e-17j -0.00187954-7.88778e-18j -0.00420233-3.68019e-17j 0.0102088+5.22971e-16j -0.00323337+3.17831e-17j -0.00356876+4.73451e-16j -0.0117931+1.97668e-16j -0.00219259+1.9045e-17j -0.00795037-7.68718e-17j 0.00471368+8.0894e-18j 0.011109+2.47936e-17j 0.00608252-2.58608e-16j 0.00150755+3.0187e-17j -0.00604977-1.025e-16j -0.00639258+2.4561e-16j 0.00803465-2.6009e-16j -0.00989421-4.34573e-18j -0.00380815+2.88394e-17j -0.00453369+5.92836e-17j -0.00116607-2.7709e-16j 0.00115545+2.45558e-17j -0.00306565+1.3544e-16j -0.00995722-4.0018e-17j -0.00685383-1.72633e-16j 0.00290547+4.43811e-17j -0.00685245+2.43511e-15j -0.0131315-5.42294e-15j 0.00590806+1.44229e-14j 0.00281176+1.20957e-16j -0.00691108-2.73081e-16j -0.00988322-1.35708e-17j 0.00311357-5.69359e-17j -0.00094861-2.97636e-17j -0.00100195+3.80819e-17j -0.00439768-4.78787e-17j 0.00393983-7.1649e-17j -0.0101371+6.15279e-17j 0.00726745+3.62636e-17j 0.00682626+4.59151e-17j -0.00607665-2.59608e-16j 0.00154469+7.2684e-18j 0.00613136-5.89129e-16j 0.0109194-7.73325e-17j -0.00436896+3.98071e-18j 0.00798974-4.69753e-17j -0.00205707+3.1281e-17j 0.0117593+1.50409e-16j 0.00347488+9.39083e-17j -0.00302923-2.65691e-17j 0.00995257+3.13539e-16j -0.00426379-2.57431e-17j -0.0020197+8.90246e-18j 0.0044944-1.00676e-17j 0.00818978-8.01866e-18j 0.00895249-1.13792e-17j -0.00972285+9.15167e-18j -0.00291664+6.96685e-19j -0.0033476-2.64146e-18j -0.00573254+3.64515e-17j -0.010293+1.60334e-17j -0.00489719-4.81283e-17j 0.00545282-8.21577e-18j 0.00942918-1.09556e-17j -0.00230117-3.61508e-15j 0.0065168+1.62588e-14j 
0.00291659+2.33289e-15j 0.00102934+5.17738e-16j -0.00422718-2.80824e-17j 0.00244287+2.88071e-17j -0.00219953-7.18602e-19j -0.0046209-3.51041e-18j -0.00257116+3.61808e-18j -0.00149769-1.40436e-18j -0.00131474+2.0958e-18j -0.00439008-8.88868e-18j 0.00401906-9.69e-18j 0.00368521+1.07787e-17j 0.00197902+1.1221e-17j -0.00083855-3.51911e-18j -0.00187485-1.6419e-17j 0.00455462+2.33321e-16j -0.00144256+1.41799e-17j -0.00159219+2.11228e-16j -0.00526145+8.8189e-17j -0.000978215+8.49685e-18j -0.00354703-3.42961e-17j 0.00210299+3.60906e-18j 0.00495624+1.10616e-17j 0.00271369-1.15377e-16j 0.00067259+1.34678e-17j -0.00269908-4.57299e-17j -0.00285202+1.09578e-16j 0.00358463-1.16038e-16j -0.00441426-1.93883e-18j -0.00169899+1.28666e-17j -0.00202269+2.64492e-17j -0.000520237-1.23623e-16j 0.000515498+1.09555e-17j -0.00136773+6.04262e-17j -0.00444238-1.78539e-17j -0.00305781-7.70195e-17j 0.00129626+1.98005e-17j -0.00305719+1.08642e-15j -0.00585857-2.41942e-15j 0.00263586+6.43471e-15j 0.00125445+5.39646e-17j -0.00308335-1.21834e-16j -0.00440936-6.05458e-18j 0.00138911-2.54017e-17j -0.000423219-1.32789e-17j -0.000447018+1.69901e-17j -0.00196201-2.13609e-17j 0.00175774-3.19659e-17j -0.00452264+2.74504e-17j 0.00324235+1.61789e-17j 0.00304551+2.04849e-17j -0.00271107-1.15823e-16j 0.00068916+3.24277e-18j 0.00273548-2.62838e-16j 0.00487166-3.45016e-17j -0.0019492+1.77598e-18j 0.00356459-2.09579e-17j -0.000917754+1.39559e-17j 0.00524635+6.71046e-17j 0.00155031+4.18968e-17j -0.00135148-1.18537e-17j 0.0044403+1.39884e-16j -0.00190228-1.14852e-17j -0.000901081+3.9718e-18j 0.00200516-4.49163e-18j 0.00365384-3.57749e-18j 0.00399412-5.0768e-18j -0.00433781+4.08298e-18j -0.00130125+3.10823e-19j -0.00149352-1.17848e-18j -0.00255755+1.62627e-17j -0.00459217+7.15326e-18j -0.00218486-2.14723e-17j 0.00243276-3.66544e-18j 0.0042068-4.88781e-18j -0.00102666-1.61286e-15j 0.00290744+7.25382e-15j 
0.00302247+2.41758e-15j 0.00106671+5.36533e-16j -0.00438063-2.91019e-17j 0.00253155+2.98528e-17j -0.00227938-7.44689e-19j -0.00478864-3.63784e-18j -0.00266449+3.74942e-18j -0.00155206-1.45534e-18j -0.00136247+2.17188e-18j -0.00454945-9.21136e-18j 0.00416496-1.00418e-17j 0.00381899+1.117e-17j 0.00205086+1.16283e-17j -0.000868991-3.64686e-18j -0.00194292-1.70151e-17j 0.00471996+2.41792e-16j -0.00149492+1.46947e-17j -0.00164999+2.18896e-16j -0.00545245+9.13905e-17j -0.00101373+8.8053e-18j -0.00367579-3.55411e-17j 0.00217933+3.74007e-18j 0.00513616+1.14631e-17j 0.00281221-1.19565e-16j 0.000697006+1.39567e-17j -0.00279706-4.739e-17j -0.00295556+1.13556e-16j 0.00371476-1.20251e-16j -0.00457451-2.00922e-18j -0.00176067+1.33337e-17j -0.00209612+2.74093e-17j -0.000539122-1.28111e-16j 0.000534212+1.13532e-17j -0.00141738+6.26198e-17j -0.00460365-1.8502e-17j -0.00316882-7.98155e-17j 0.00134332+2.05193e-17j -0.00316818+1.12585e-15j -0.00607125-2.50726e-15j 0.00273155+6.66831e-15j 0.00129999+5.59237e-17j -0.00319529-1.26257e-16j -0.00456943-6.27437e-18j 0.00143954-2.63239e-17j -0.000438583-1.3761e-17j -0.000463245+1.76069e-17j -0.00203323-2.21363e-17j 0.00182155-3.31264e-17j -0.00468682+2.8447e-17j 0.00336005+1.67662e-17j 0.00315607+2.12285e-17j -0.00280949-1.20028e-16j 0.000714178+3.36049e-18j 0.00283479-2.72379e-16j 0.00504851-3.57541e-17j -0.00201996+1.84045e-18j 0.003694-2.17187e-17j -0.00095107+1.44625e-17j 0.0054368+6.95407e-17j 0.00160658+4.34178e-17j -0.00140054-1.2284e-17j 0.00460149+1.44963e-16j -0.00197133-1.19021e-17j -0.000933792+4.11598e-18j 0.00207795-4.65469e-18j 0.00378648-3.70737e-18j 0.00413911-5.26109e-18j -0.00449529+4.2312e-18j -0.00134848+3.22107e-19j -0.00154774-1.22126e-18j -0.0026504+1.68531e-17j -0.00475887+7.41294e-18j -0.00226418-2.22518e-17j 0.00252107-3.7985e-18j 0.00435951-5.06525e-18j -0.00106393-1.67141e-15j 0.00301299+7.51715e-15j 
0.0140741+1.12574e-14j 0.00496712+2.49836e-15j -0.0203984-1.35512e-16j 0.0117881+1.39009e-16j -0.0106139-3.46763e-18j -0.0222982-1.69396e-17j -0.0124072+1.74591e-17j -0.00722713-6.77676e-18j -0.00634433+1.01133e-17j -0.0211844-4.28926e-17j 0.0193941-4.67593e-17j 0.0177831+5.20131e-17j 0.00954981+5.4147e-17j -0.00404644-1.69815e-17j -0.00904716-7.92303e-17j 0.0219784+1.1259e-15j -0.00696108+6.84255e-17j -0.00768315+1.01929e-15j -0.0253893+4.25558e-16j -0.0047204+4.10017e-17j -0.0171163-1.65496e-16j 0.010148+1.74156e-17j 0.0239164+5.33778e-17j 0.013095-5.56754e-16j 0.0032456+6.49893e-17j -0.0130245-2.20671e-16j -0.0137625+5.28771e-16j 0.0172977-5.59945e-16j -0.0213011-9.35588e-18j -0.00819852+6.20881e-17j -0.00976053+1.27631e-16j -0.00251041-5.96545e-16j 0.00248755+5.2866e-17j -0.0066+2.91588e-16j -0.0214368-8.61543e-17j -0.0147555-3.7166e-16j 0.00625516+9.55476e-17j -0.0147526+5.24252e-15j -0.0282707-1.1675e-14j 0.0127194+3.10509e-14j 0.0060534+2.60408e-16j -0.0148788-5.87914e-16j -0.0212775-2.92165e-17j 0.00670318-1.22577e-16j -0.00204225-6.40778e-17j -0.00215709+8.19862e-17j -0.00946771-1.03078e-16j 0.00848203-1.54252e-16j -0.0218241+1.32463e-16j 0.015646+7.80716e-17j 0.0146962+9.88502e-17j -0.0130823-5.58908e-16j 0.00332556+1.56481e-17j 0.0132001-1.26833e-15j 0.0235083-1.66488e-16j -0.0094059+8.57002e-18j 0.017201-1.01133e-16j -0.00442864+6.73445e-17j 0.0253164+3.23815e-16j 0.00748104+2.02174e-16j -0.0065216-5.72003e-17j 0.0214268+6.75016e-16j -0.00917948-5.54221e-17j -0.00434819+1.9166e-17j 0.00967596-2.16745e-17j 0.0176317-1.72633e-17j 0.0192737-2.44982e-17j -0.0209322+1.97025e-17j -0.00627919+1.49989e-18j -0.00720701-5.68677e-18j -0.0123415+7.8476e-17j -0.0221596+3.45182e-17j -0.0105431-1.03615e-16j 0.0117393-1.76876e-17j 0.0203-2.35863e-17j -0.00495416-7.78287e-15j 0.0140299+3.50035e-14j 
0.0200614+1.60465e-14j 0.00708021+3.5612e-15j -0.0290761-1.93162e-16j 0.016803+1.98146e-16j -0.0151292-4.94282e-18j -0.0317843-2.41459e-17j -0.0176854+2.48865e-17j -0.0103017-9.65971e-18j -0.00904331+1.44157e-17j -0.0301966-6.11397e-17j 0.0276446-6.66515e-17j 0.0253483+7.41403e-17j 0.0136124+7.7182e-17j -0.00576787-2.42057e-17j -0.012896-1.12936e-16j 0.0313284+1.60487e-15j -0.00992244+9.75347e-17j -0.0109517+1.45291e-15j -0.0361902+6.06598e-16j -0.00672853+5.84445e-17j -0.0243978-2.35901e-16j 0.0144652+2.48245e-17j 0.0340909+7.60856e-17j 0.0186658-7.93606e-16j 0.00462633+9.26368e-17j -0.0185653-3.14547e-16j -0.0196173+7.53718e-16j 0.0246564-7.98155e-16j -0.030363-1.3336e-17j -0.0116863+8.85014e-17j -0.0139128+1.81927e-16j -0.00357839-8.50325e-16j 0.00354579+7.5356e-17j -0.00940775+4.15634e-16j -0.0305564-1.22806e-16j -0.0210328-5.29769e-16j 0.0089162+1.36195e-16j -0.0210285+7.47278e-15j -0.0402975-1.66417e-14j 0.0181304+4.42604e-14j 0.00862861+3.71189e-16j -0.0212085-8.38022e-16j -0.0303293-4.16457e-17j 0.00955481-1.74723e-16j -0.00291106-9.13375e-17j -0.00307476+1.16864e-16j -0.0134954-1.46928e-16j 0.0120904-2.19874e-16j -0.0311084+1.88815e-16j 0.0223021+1.11284e-16j 0.0209482+1.40903e-16j -0.0186478-7.96676e-16j 0.0047403+2.2305e-17j 0.0188157-1.8079e-15j 0.0335091-2.37315e-16j -0.0134073+1.22158e-17j 0.0245186-1.44156e-16j -0.00631266+9.59939e-17j 0.0360864+4.61571e-16j 0.0106636+2.88182e-16j -0.00929599-8.15342e-17j 0.0305421+9.62178e-16j -0.0130846-7.89996e-17j -0.00619797+2.73195e-17j 0.0137923-3.08952e-17j 0.0251325-2.46074e-17j 0.0274731-3.49201e-17j -0.0298371+2.80843e-17j -0.00895046+2.13796e-18j -0.010273-8.10602e-18j -0.0175918+1.11861e-16j -0.0315867+4.92028e-17j -0.0150283-1.47694e-16j 0.0167334-2.52123e-17j 0.0289359-3.36202e-17j -0.00706174-1.10938e-14j 0.0199985+4.98945e-14j 
-0.0343372-2.74653e-14j -0.0121185-6.09536e-15j 0.0497669+3.30616e-16j -0.0287601-3.39147e-16j 0.0258953+8.46015e-18j 0.0544021+4.13283e-17j 0.0302704-4.25959e-17j 0.0176324+1.65336e-17j 0.0154786-2.4674e-17j 0.0516847+1.04647e-16j -0.0473167+1.14081e-16j -0.0433862-1.26899e-16j -0.0232991-1.32105e-16j 0.00987231+4.14307e-17j 0.0220728+1.93302e-16j -0.0536219-2.74691e-15j 0.0169833-1.66941e-16j 0.018745-2.48681e-15j 0.0619434-1.03826e-15j 0.0115166-1.00034e-16j 0.0417594+4.0377e-16j -0.0247586-4.24897e-17j -0.0583501-1.30228e-16j -0.0319485+1.35834e-15j -0.00791845-1.58558e-16j 0.0317765+5.38381e-16j 0.0335771-1.29007e-15j -0.0422021+1.36613e-15j 0.0519694+2.2826e-17j 0.0200023-1.51479e-16j 0.0238133-3.11388e-16j 0.00612478+1.45542e-15j -0.00606899-1.2898e-16j 0.0161023-7.11402e-16j 0.0523004+2.10195e-16j 0.0359998+9.06756e-16j -0.015261-2.33112e-16j 0.0359925-1.27904e-14j 0.0689733+2.84841e-14j -0.0310322-7.57563e-14j -0.0147688-6.35329e-16j 0.0363005+1.43436e-15j 0.0519117+7.12809e-17j -0.0163541+2.99056e-16j 0.00498258+1.56334e-16j 0.00526277-2.00026e-16j 0.0230988+2.51483e-16j -0.020694+3.76337e-16j 0.0532453-3.23176e-16j -0.0381724-1.90475e-16j -0.035855-2.4117e-16j 0.0319176+1.36359e-15j -0.00811352-3.81773e-17j -0.032205+3.0944e-15j -0.0573544+4.0619e-16j 0.022948-2.09087e-17j -0.0419662+2.46738e-16j 0.0108048-1.64304e-16j -0.0617656-7.90027e-16j -0.0182518-4.93254e-16j 0.0159111+1.39554e-16j -0.0522759-1.64687e-15j 0.0223956+1.35216e-16j 0.0106085-4.67602e-17j -0.0236069+5.28803e-17j -0.0430169+4.21181e-17j -0.047023+5.97695e-17j 0.0510694-4.80692e-17j 0.0153197-3.65934e-18j 0.0175833+1.38743e-17j 0.0301102-1.91462e-16j 0.0540639-8.42158e-17j 0.0257225+2.52795e-16j -0.028641+4.31534e-17j -0.0495269+5.75445e-17j 0.0120869+1.89883e-14j -0.0342295-8.53997e-14j 
-0.0293618-2.34856e-14j -0.0103626-5.21215e-15j 0.0425557+2.8271e-16j -0.0245928-2.90005e-16j 0.022143+7.23428e-18j 0.0465193+3.53398e-17j 0.0258842-3.64238e-17j 0.0150775+1.41379e-17j 0.0132357-2.10987e-17j 0.0441956+8.94837e-17j -0.0404605+9.75507e-17j -0.0370996-1.08511e-16j -0.0199231-1.12963e-16j 0.00844181+3.54274e-17j 0.0188745+1.65293e-16j -0.0458521-2.34888e-15j 0.0145224-1.42751e-16j 0.0160288-2.12647e-15j 0.0529678-8.87813e-16j 0.00984784-8.55391e-17j 0.0357085+3.45264e-16j -0.0211711-3.63329e-17j -0.0498952-1.11358e-16j -0.0273192+1.16152e-15j -0.00677107-1.35583e-16j 0.0271721+4.6037e-16j 0.0287118-1.10314e-15j -0.036087+1.16817e-15j 0.0444391+1.95185e-17j 0.017104-1.2953e-16j 0.0203627-2.66268e-16j 0.0052373+1.24453e-15j -0.0051896-1.10291e-16j 0.0137691-6.0832e-16j 0.0447221+1.79738e-16j 0.0307835+7.75367e-16j -0.0130497-1.99334e-16j 0.0307772-1.09371e-14j 0.0589791+2.43567e-14j -0.0265356-6.47793e-14j -0.0126288-5.4327e-16j 0.0310406+1.22652e-15j 0.0443897+6.09524e-17j -0.0139844+2.55723e-16j 0.00426061+1.33681e-16j 0.0045002-1.71042e-16j 0.0197518+2.15043e-16j -0.0176955+3.21806e-16j 0.0455301-2.76348e-16j -0.0326412-1.62875e-16j -0.0306596-2.06224e-16j 0.0272928+1.16601e-15j -0.00693788-3.26454e-17j -0.0275385+2.64603e-15j -0.0490438+3.47333e-16j 0.0196229-1.7879e-17j -0.0358853+2.10986e-16j 0.00923917-1.40496e-16j -0.0528158-6.75553e-16j -0.0156072-4.21782e-16j 0.0136056+1.19333e-16j -0.0447012-1.40824e-15j 0.0191505+1.15623e-16j 0.00907132-3.99847e-17j -0.0201863+4.5218e-17j -0.0367838+3.60152e-17j -0.0402094+5.11089e-17j 0.0436694-4.1104e-17j 0.0130998-3.12911e-18j 0.0150355+1.18639e-17j 0.0257473-1.63719e-16j 0.04623-7.2013e-17j 0.0219954+2.16165e-16j -0.0244909+3.69005e-17j -0.0423505+4.92063e-17j 0.0103355+1.62369e-14j -0.0292697-7.30253e-14j 
