-0.135005+0.0257964j 0.209225-0.0722574j -0.214952-0.117654j 0.173508-0.260993j 0.178512-0.0335873j 0.188439-0.17819j -0.0734288+0.215098j -0.224653+0.0574814j -0.0400091-0.0181293j -0.148033+0.111398j 0.254502-0.110432j -0.0713872+0.108356j -0.286261+0.0905471j -0.0248188-0.130306j 0.388802-0.055562j 0.251694-0.0948845j -0.279003+0.138247j 0.288057-0.0121684j -0.0517867-0.0869736j -0.892132+0.0488613j -0.378247-0.0326759j -0.34042+0.0623859j -0.664914+0.0859305j 0.0252274+0.0393067j -0.848926+0.0493548j -0.684575+0.249441j 0.798174-0.240608j 1.19216-0.454069j -0.0691509-0.197214j 0.709338-0.5544j 0.476363-0.327278j 0.139597-0.62385j 0.153816-0.15793j 0.412883+0.238289j 0.454427-0.334802j -0.343556+0.0968383j 0.221206-0.176781j -0.549678+0.424881j 0.50943-0.99952j 0.292329+1.86299j -0.557216-1.16605j -0.0102983+0.910142j 1.41634+0.642575j -2.7475+0.138539j 1.24518-0.905676j 1.86795-1.26888j -0.234172+0.496338j 2.23812-1.79674j -2.83102+2.2924j -0.785069+0.686678j -3.76602+3.07068j 2.39629-2.40465j 1.6019-1.06329j 3.22039-2.65781j 1.26007-1.00733j 6.97294-6.0838j 5.1926-4.60408j 0.045334-0.201182j -1.67763+1.54623j 0.190906-0.0547419j -2.00474+1.75398j -7.29496+6.45903j 1.00726-0.378266j 6.43327-5.84901j 0.254023+0.196949j 6.04073-4.99083j 2.28591-1.90554j 0.562504-0.627492j 5.78383-5.12356j -0.719286+0.600172j 8.43693-7.54462j 0.352663-0.271686j -2.30722+1.61053j -2.3319+2.26707j 0.425446-0.510554j -3.79829+4.29579j 7.13806-8.01837j -0.837922+0.99204j 2.96341-4.32627j -1.873+2.40852j 1.68102-2.41132j -2.72259+3.31797j -0.350336-0.432786j -1.58544+1.78013j 2.0097-2.18329j 0.745645-1.79108j -2.07295+1.57577j 0.410572+0.859397j 1.12585-2.29183j 2.14208-0.553558j -2.03255-0.97762j 0.973382-3.34038j 
-0.0378492-0.293586j -0.272213+0.266266j 0.150301+0.144887j -0.0172806+0.251303j 0.0624628+0.084919j 0.0716718-0.0410566j 0.169758-0.0733377j -0.545191-0.0219095j -0.0683616+0.0619852j -0.0635401-0.307228j 0.86491+0.132935j 0.203764-0.112751j -1.45338-0.107907j -0.434789+0.000937505j 1.3704-0.24723j 0.994948-0.13607j 0.188139-0.211003j 0.927919-0.27083j -1.0005+0.384611j -3.10325+0.969919j -0.355864+0.354599j -1.1024+0.634838j -1.56482+0.404866j -0.030952-0.0270314j -1.10489+0.305008j -1.90047+0.757472j 1.67457-0.368754j 2.70578-1.22691j 0.152601+0.273959j 2.10101-1.45639j 1.44047-0.600442j 1.58938-1.27081j 0.527353-0.349265j -0.0505404-0.935698j 1.23141-1.26605j -0.702326-0.0453895j -0.14093-0.0275074j -1.36476+1.22911j 0.727207-0.697124j 1.72094+1.48552j 0.826709+1.95378j -3.85963+1.39394j -2.20721+0.804088j -1.44496-1.28211j 6.35248+0.724354j 12.7446-0.403774j -2.48213-0.79241j 15.6556-0.932245j -20.3353-0.225439j -6.09835-0.280432j -26.623+3.48221j 17.9462-1.71447j 11.4899-1.62133j 23.0074-1.87944j 9.17578-0.395199j 51.6166-6.7285j 39.3191-5.34981j 0.567482+0.280316j -12.9826+2.50618j 3.11698-0.180531j -15.869+2.60461j -54.6117+8.88442j 6.5379+0.0648684j 46.8432-9.21784j 0.708941+0.538156j 42.1087-8.53485j 15.0349-3.02955j 4.0074-1.58829j 40.0803-8.34815j -3.60532-0.178694j 56.2102-13.9241j 1.98271-0.637268j -12.0629+3.41768j -13.7933+2.85108j 3.48809-1.83351j -26.7634+7.58824j 50.2399-13.6406j -7.48378+3.19948j 24.3887-7.42565j -14.5374+4.14865j 13.4422-4.57509j -24.4419+6.22457j 1.77149-2.19233j -10.1778+5.44237j 17.6712-6.57097j 0.192818-1.09636j -12.8806+4.68588j -2.47153+1.85598j 5.94731-4.53857j 6.07067-0.989152j -0.953155+1.78125j 1.96995+0.928558j 
0.0749713+0.229258j -0.118512-0.0312608j 0.0167304-0.18336j -0.27945-0.023169j 0.0146689+0.160299j 0.0411678+0.254493j -0.349585-0.0998755j -0.0523835-0.131201j -0.100095-0.141128j 0.0276061-0.183345j 0.00346959-0.219481j 0.0108084+0.0677069j -0.291295+0.25631j 0.05714+0.116199j 0.726791-0.153634j 0.378793-0.22551j 0.269297-0.193488j 0.692402-0.109417j -0.771146+0.265358j -2.45923+0.354543j -0.496801+0.111378j -1.56739+0.154365j -1.4683+0.243828j 0.587853+0.0324064j -1.04885+0.352744j -1.54967+0.501746j 1.66573+0.227811j 2.33491-0.87274j 0.784056-0.381242j 2.01111-0.794983j 0.28597-0.464917j 1.5205-0.641322j 0.363946-0.0237961j 0.744496-0.773361j 1.92189+0.410555j -0.786826-1.22246j 2.01669-1.19276j -0.992032+0.670235j 4.20841+0.338293j 0.809907+0.373272j 0.542832-1.58893j -7.19987+0.204567j -4.77774-1.41269j -1.70238-1.45216j 11.9744+4.14592j 23.5531+4.89836j -5.70631-3.20987j 28.7658+5.6387j -38.027-9.86214j -11.2484-2.73717j -48.7731-6.42874j 33.1933+5.50964j 20.5453+1.9441j 42.8803+6.74881j 16.3517+2.98794j 94.2056+11.6939j 71.8427+8.83518j 0.99006+0.653718j -23.716-1.95955j 6.07971+2.06786j -29.3663-3.82731j -98.9145-10.3556j 11.6156+2.09383j 85.5+6.79865j 1.83458+0.960528j 76.8172+5.37715j 27.9178+2.07781j 7.74634-0.177373j 73.7503+4.73823j -7.18246-1.67582j 104.394+3.0936j 3.98231-0.187084j -22.2553+0.80762j -25.3543-1.18378j 7.19009-0.489241j -49.2885+0.0859995j 92.0684+0.635011j -15.0827-0.352501j 44.0648-0.166772j -26.8195-0.475951j 25.7152-0.150275j -44.9362-1.32284j 2.50291-1.88559j -19.3712+2.93227j 34.6135-1.54096j 1.20128-1.65375j -23.7944+2.54207j -6.29174+1.33815j 11.1303-1.76637j 7.32921+2.3705j -6.15061+1.03728j 2.04858-0.304903j 
-0.16473-0.329758j -0.248683+0.114713j 0.0329428+0.302261j -0.488759-0.0415733j -0.233808-0.159646j -1.3786+0.0903474j 0.137595+0.22154j 2.76034-0.556385j 0.62829-0.394538j 0.272194-0.0221875j -2.97698+0.275917j 0.324945-0.171355j 4.397-1.1088j 1.58607-0.459614j -3.83484+1.1224j -2.397+0.410644j -0.902132+0.498273j -2.72265+0.970874j 2.72371-1.1508j 7.73739-3.15914j 2.06957-0.633905j 3.15005-1.76411j 3.83828-1.76053j 0.157323+0.829678j 3.38573-1.21274j 4.58431-1.65243j -2.50597+1.6091j -6.93127+2.32256j 0.108779+0.601548j -6.14412+2.59182j -3.17422+1.00397j -5.38247+2.58416j -1.53304+0.967741j -0.484584+0.0923925j -3.5973+2.0591j 1.42914+0.855545j -0.870849-0.516427j 1.95183-1.84575j -5.15636+1.12549j -1.39593-0.899318j -0.576824-0.651056j 8.94582-4.19349j 5.72886+0.934447j 3.10758-1.30763j -15.1438+0.625629j -30.2658+4.06112j 6.30223+2.30613j -37.1301+5.80055j 49.0082-4.43773j 14.1807-1.72915j 62.5354-14.0494j -42.6746+8.08326j -26.7618+6.8144j -54.4027+10.7903j -22.0284+4.28301j -120.695+28.1723j -91.5131+22.3662j -0.851464-0.0999455j 30.4506-7.71983j -7.42712+0.498977j 37.0478-9.04406j 126.494-33.1029j -15.0798+3.43152j -108.736+31.6586j -2.67096-0.221124j -98.1404+28.8597j -36.3529+10.3977j -9.68137+4.63985j -93.4477+28.3004j 8.66463-1.42492j -131.663+43.6433j -4.53942+1.69114j 27.4873-12.3654j 32.4333-11.633j -9.47403+3.63733j 60.8223-22.1002j -117.63+41.9664j 17.5509-7.87332j -57.9693+23.1896j 33.8746-12.8497j -31.8046+13.5913j 58.5788-21.5423j -4.94364+3.1152j 25.0072-15.4748j -41.3105+19.6823j -4.71054+1.69432j 28.8869-13.2373j 8.58576-4.08367j -14.0273+8.58118j -9.23665+1.585j 5.20943-3.98893j -0.793591+1.8734j 
-0.0303948-0.0725462j -0.00948449+0.081186j 0.155119-0.0434199j -0.193509-0.190266j -0.363429+0.154305j -1.15959+0.0858305j -0.393936+0.178398j 2.20731-0.467535j 0.684549+0.061822j 0.160244+0.148561j -2.18125+0.792964j -0.19156+0.230907j 3.95917-0.759193j 1.13458-0.113602j -2.96702+1.04928j -2.10482+0.8763j -0.995375-0.0916786j -1.99416+0.671117j 2.58277-0.922725j 6.81984-2.34454j 1.38006-0.585119j 2.58314-1.00843j 3.78135-1.23768j -0.0374188+0.309865j 2.87612-0.734335j 4.37945-1.40971j -3.83945+1.0685j -6.55322+2.11655j -0.189176+0.1338j -6.49788+2.88118j -1.83861-0.0366895j -4.31483+2.80787j -1.52391+1.01293j -2.02846+0.438558j -3.4612+2.89291j 0.748865+0.5639j 0.39221+2.23661j 0.723261-0.588487j -4.39272+0.243122j -2.05808+0.647199j -2.1461+0.693993j 8.34568-3.06388j 5.87504+0.66425j 1.55572-0.238097j -14.762-0.2248j -30.1108+2.85303j 6.10483+1.75488j -36.5025+4.79567j 47.7068-2.4961j 14.494-1.07114j 61.5932-12.3058j -40.8877+6.49219j -26.3864+5.75022j -53.8769+7.92758j -20.9395+2.76213j -118.406+23.2122j -89.9931+18.279j -1.62743+0.299029j 29.4427-6.79557j -7.5426+0.0113716j 36.4448-7.43371j 124.65-28.1369j -15.68+1.84366j -106.883+26.4838j -3.05633-0.16927j -96.029+24.0802j -34.745+8.99583j -9.27355+3.66217j -92.1538+24.1145j 8.74448-0.961951j -130.373+37.0365j -4.69264+1.50969j 27.7719-10.8077j 32.0542-9.25676j -9.74468+3.59741j 60.8577-20.0016j -116.988+37.2921j 18.0989-8.19226j -55.4789+20.7848j 34.1945-11.5728j -31.3114+11.8665j 56.1268-19.4474j -5.74729+1.84061j 26.3141-13.802j -42.4331+17.0323j -2.55582+5.3219j 28.6393-13.1768j 6.53035-1.89684j -12.196+6.15604j -7.76988+1.78373j 3.37196-2.76611j 0.210369+1.26674j 
-0.0690907-0.0812886j -0.417661+0.0503339j -0.351983-0.1896j 0.416558-0.180711j 0.434987-0.131622j 1.42075+0.138818j 0.108977-0.266487j -3.82834+0.63669j -0.917949+0.0722368j -0.492575+0.318728j 4.56051-0.966111j -0.0826543-0.165155j -7.41475+1.49458j -2.98866+0.468385j 6.41102-1.57828j 4.94527-1.36517j 1.90376-0.369351j 4.53945-1.36662j -5.39926+1.26433j -14.6394+4.41949j -3.36769+0.767817j -6.49618+1.71107j -8.26379+2.28556j 0.604445-1.21309j -5.57662+1.53307j -9.95776+2.4458j 7.74595-2.52598j 14.7017-3.4534j 1.04543-0.382935j 12.3369-5.19223j 5.0269-2.58915j 11.0798-2.89958j 2.28066-1.78475j 4.16117-2.87963j 8.41048-2.144j -2.84885-0.849677j 2.06916-2.18943j -5.10018+4.17333j 11.2491-0.169572j 6.03243-0.0686723j 3.31043-0.548491j -21.4212+5.83651j -14.2588-2.25077j -6.01924-0.464847j 38.2111+4.26261j 77.1819-0.0373162j -16.0649-6.86298j 93.9521-2.45357j -123.415-5.39315j -37.4821-0.689011j -158.62+14.4616j 106.748-5.81679j 68.2293-7.80738j 138.588-8.01688j 54.4688-2.27711j 306.6-28.4708j 233.965-23.2146j 2.97819+1.56284j -76.5592+9.24146j 18.5654+1.37918j -94.0692+8.87421j -322.65+39.2318j 39.3361-2.12445j 277.255-40.1723j 6.46429+1.82932j 249.979-38.3671j 90.2501-13.8612j 24.0152-7.20091j 239.258-37.2058j -22.1042-0.68389j 337.454-62.0616j 11.1049-2.43482j -73.0465+20.1095j -84.1196+15.463j 24.4387-5.03902j -158.396+34.7517j 300.632-65.6085j -47.2755+13.8658j 147.331-36.573j -87.1552+19.9667j 80.2709-22.4872j -147.809+30.928j 11.1307-4.8072j -65.8555+27.4588j 111.305-33.7774j 7.86667-10.0902j -73.0781+19.085j -24.0516+10.3911j 35.6829-16.1827j 23.7541-2.92467j -13.0985+5.03637j 1.63748-1.718j 
0.116773+0.0123041j 0.280954+0.233581j 0.275321-0.131061j 0.451523+0.206965j 0.54689+0.184922j 0.912021+0.0583737j 0.00964453+0.0552247j -2.28185+0.416951j -0.396194+0.154657j -0.389098-0.264414j 2.46846-0.376893j 0.175376+0.0766195j -3.36988+0.631321j -0.980182+0.586269j 2.48192-0.374716j 1.99323-0.217541j 0.873598-0.407512j 1.74285-0.230737j -2.18376+0.746395j -5.63774+1.79174j -1.30905+0.435933j -2.14246+0.694795j -2.91952+1.32433j 0.214567-0.504856j -2.33372+1.51039j -3.46008+1.0429j 1.7759-1.4702j 4.75327-2.27394j -0.268599-0.789628j 3.35311-1.81792j 1.15029-2.0202j 1.55106-0.971754j 0.949318-0.505721j 0.960515+0.924747j 2.03486-0.88855j -0.334108-0.08092j 0.596984-0.921852j -0.397124+0.0696807j 1.61051-0.883928j 0.498709-0.226342j 1.11829-0.536554j -3.47607+2.78053j -1.58852+1.23149j -1.14826+1.07241j 5.063-2.86144j 10.2434-7.1891j -2.20216+0.488861j 13.1894-8.77859j -17.2877+10.8662j -5.10466+2.55007j -22.2745+16.8702j 14.6309-10.9912j 9.32597-7.59191j 18.813-14.2431j 7.51995-5.66776j 41.6785-33.2956j 31.5074-25.7947j 0.632489+0.111823j -10.2733+8.76882j 2.7208-2.69771j -13.1158+10.8349j -44.3895+36.4847j 5.73837-4.10621j 38.5115-31.5433j 0.668225-0.775021j 34.7208-29.5295j 12.5813-10.7398j 4.59211-3.5711j 32.8345-28.4429j -3.62857+2.4427j 46.1841-42.1395j 1.24557-1.92389j -10.4215+10.8916j -12.2315+10.558j 3.24231-2.90651j -20.2893+20.6124j 40.2656-39.8681j -6.5416+7.26446j 18.9719-20.251j -11.5763+11.3481j 10.2344-11.9623j -20.8024+17.7883j 0.649942-0.248821j -8.97449+10.3756j 14.6425-15.8325j 2.43569-3.55949j -9.02941+10.1007j -2.08014+5.25851j 5.69901-3.08433j 1.78737-1.72959j -0.458863+1.32017j 0.848653-1.6613j 
-0.0224295+0.0306538j -0.458141-0.075512j -0.458029-0.358797j 0.806971-0.215634j 0.786055+0.0849441j 1.95848-0.364831j 0.121345-0.0744498j -4.64848+0.596666j -0.927808+0.0183602j -0.286678+0.00331646j 6.05841-1.18528j -0.29045-0.525326j -9.66498+1.88935j -2.81784+1.06006j 8.40309-2.05272j 5.91128-1.03352j 1.83963-0.0292146j 5.78157-1.49466j -7.03183+1.51516j -19.8344+5.16967j -4.3821+0.876972j -7.87512+2.2808j -9.9701+2.0065j 0.424061-0.523447j -7.95367+2.46076j -13.3564+2.78916j 9.49917-3.16804j 17.7655-5.25063j 1.45901-0.272107j 17.1121-5.53448j 8.09826-2.73422j 13.1648-2.99266j 4.06545+0.260611j 3.68851-2.1079j 12.7916-5.31227j -3.32151-2.08844j 2.70031-1.36028j -4.93244+2.59638j 14.3897-0.44954j 7.53854+1.3254j 5.68856-1.65164j -26.8998+7.34056j -19.1135-2.77808j -6.83877-0.568221j 48.3388+6.30352j 98.0828+1.26498j -21.1825-8.66976j 118.719-1.62283j -155.461-8.65644j -46.9962-1.24809j -201.203+15.2908j 135.085-5.41108j 86.7697-9.21234j 176.248-6.84439j 69.4584-2.63295j 388.356-31.232j 294.858-25.4406j 3.96371+1.49625j -97.3357+10.7408j 22.9763+2.58236j -118.667+9.74265j -408.673+43.2302j 49.7502-1.7117j 351.245-45.8486j 7.50846+2.66055j 316.717-44.4199j 114.876-15.981j 30.0846-7.89634j 303.052-43.0118j -28.4768-0.178829j 427.465-74.1356j 14.2232-3.04551j -92.3626+24.3216j -105.951+18.0344j 28.8855-7.77725j -199.895+40.8668j 380.805-77.5737j -59.8878+17.0181j 184.62-42.5096j -110.816+19.276j 104.32-27.49j -189.781+38.2126j 15.4709-7.75784j -81.5083+31.6947j 141.663-41.6005j 10.7501-13.2119j -94.0624+26.1265j -30.6704+10.7619j 43.4936-18.6987j 29.6676-1.45302j -15.7282+5.50725j 1.33922-1.83172j 
0.118594+0.027736j -0.290697+0.0290029j -0.403948-0.328731j 1.30648-0.351198j 0.812787-0.0597338j 3.13307-0.604185j 0.144004-0.220476j -6.56331+1.10188j -1.35459+0.173141j -0.457852+0.0903345j 8.16846-1.65573j 0.023004-0.106043j -12.3581+2.45015j -3.79391+1.02169j 10.1942-2.8092j 7.84367-2.10067j 2.49221-0.364648j 6.77563-2.03803j -8.58948+1.95456j -24.1015+7.03975j -4.90792+0.675516j -9.82834+2.35432j -12.4462+4.26441j 0.20827+0.213691j -9.35146+3.75953j -14.122+4.78853j 11.6932-3.49659j 21.5243-6.93202j 1.66639-0.991554j 17.6969-5.43873j 9.61317-2.83742j 15.4237-4.84499j 5.09458-2.84695j 5.45507-2.4824j 13.8557-5.67312j -3.22767-1.67046j 3.57092-1.4457j -6.46455+5.20331j 15.121-1.26103j 6.59751-0.108167j 5.49369-1.04738j -27.6525+9.59041j -19.2749-1.51226j -7.45831-0.425088j 49.1224+2.39225j 99.6341-6.27708j -21.3527-7.48197j 120.337-10.6016j -157.921+2.94974j -47.3591+1.72359j -203.925+30.3159j 137.136-16.2464j 87.8327-15.4701j 178.3-20.1634j 69.4137-7.2006j 393.875-61.5042j 299.85-48.352j 4.20732+1.5028j -98.1039+18.9917j 23.0358+0.602995j -120.144+18.5624j -414.099+75.4455j 50.5767-5.05912j 356.063-73.3064j 8.48542+1.91498j 322.017-68.9374j 117.117-25.3491j 30.7961-9.73992j 307.044-68.6424j -29.2202+2.18217j 432.363-109.418j 15.2401-4.49646j -96.1154+32.1352j -106.277+27.6486j 30.0296-10.6766j -201.422+57.7115j 385.212-106.368j -59.7257+21.5375j 186.218-59.2196j -112.343+32.5261j 105.724-36.1899j -191.313+52.4899j 16.2376-9.93756j -86.6921+40.5225j 141.1-52.5841j 11.422-14.5123j -94.7578+35.412j -32.098+14.4302j 44.6206-24.1982j 28.6763-3.67248j -15.3082+7.33086j 1.77579-2.40044j 
-0.0700388+0.0466187j 0.282143+0.238154j 0.118851-0.29283j -0.276042-0.22205j -0.369436+0.304453j -0.835326+0.200544j -0.369396-0.256763j 2.09043-0.23343j 0.199655-0.229944j 0.121428+0.0154297j -2.19901+0.443667j -0.242642+0.188223j 2.35446-0.891734j 0.512302-0.174099j -2.72209+0.592845j -1.83833+0.98177j -0.0119506+0.209064j -1.73597+0.644622j 1.62843+0.120322j 5.61725-1.12052j 1.3002-0.498889j 2.38754-1.05523j 2.88079-0.67866j -0.198304+0.46674j 3.12165-1.12386j 3.42196-0.767434j -2.73564+0.438744j -5.16944+0.950512j 1.26116+1.28089j -4.4635+1.31136j -2.67867+1.68868j -3.7762+1.25188j -0.960245+0.979069j -1.60807+1.42288j -2.17249+1.52616j 0.607545+0.774606j -0.171313-1.43271j 0.756451-0.458914j -3.65049+0.313872j -0.408146+0.833814j -1.57592-0.603025j 5.70628-2.18657j 4.07362+0.68329j 0.914846-0.0863976j -10.4382-0.467858j -22.1461+1.32841j 4.38868+0.769719j -26.6804+1.93834j 34.3428-0.893102j 10.517-0.44721j 44.9976-6.94656j -29.992+3.97127j -20.0243+3.77332j -38.9498+4.91619j -14.8032+1.09827j -86.0889+13.9716j -65.0441+11.3362j -0.424528-0.835715j 21.5777-4.64375j -4.4122-0.522711j 26.4359-3.83166j 89.6688-16.4276j -11.2568+0.376167j -77.2529+16.4874j -1.19344-0.495463j -70.5711+15.1744j -25.9045+6.04526j -6.69771+2.73188j -66.8717+14.4767j 6.41053-0.323368j -95.4936+24.3966j -3.78882+0.662504j 19.568-7.27395j 23.276-6.46047j -6.31431+1.5349j 44.1875-12.5622j -83.4296+23.7312j 15.6779-3.08864j -41.5529+13.6202j 24.4532-7.56715j -24.0102+7.44095j 41.7434-11.3272j -3.68159+1.5461j 18.7876-9.90508j -30.9399+12.8622j -1.4677+1.49363j 19.142-6.95327j 7.56999-2.21006j -10.0328+5.0249j -5.11732+1.81936j 3.2105-2.38587j 0.123916+0.538178j 
0.278012+0.0499862j 0.960887+0.159432j 0.646917+0.630171j -0.772115+0.151041j -0.937996-0.320971j -2.00826-0.0541834j 0.190858+0.138791j 5.31301-0.741947j 1.06303-0.140748j 0.514827-0.0165016j -7.31033+1.02124j -0.0289603+0.0968154j 12.4797-1.69258j 4.3833-1.19743j -11.7352+2.00628j -8.725+1.33547j -3.2545-0.140648j -8.44551+1.813j 10.1513-1.18936j 27.8014-5.76524j 6.3574-1.25493j 11.7837-1.85234j 14.3636-3.62132j -0.921821+0.994482j 12.2364-3.14887j 17.2718-4.32628j -14.1592+4.07649j -27.4898+6.85571j -2.37768+0.111289j -24.7353+6.11231j -10.6766+2.74617j -19.4623+6.75125j -5.71996+2.97125j -8.34197+2.36816j -18.1372+6.71837j 5.28441+2.94721j -3.168+2.96709j 9.14712-5.5109j -24.4373-1.30503j -10.5724-2.58619j -10.2882+1.54979j 43.179-8.65655j 30.6205+7.71693j 11.0154+0.927179j -77.8267-16.2823j -158.066-14.26j 33.9946+17.3086j -192.158-11.7875j 251.995+32.4457j 76.07+8.50858j 324.858-0.643576j -218.421-7.65412j -140.139+3.86037j -284.53-10.1425j -111.347-4.27315j -628.139+2.24786j -477.548+4.35045j -6.16805-2.84577j 157.187-4.85936j -37.6095-7.61013j 192.076-0.544801j 660.493-20.0569j -81.0963-3.63608j -568.486+30.8202j -12.9872-4.35145j -513.374+32.4717j -186.04+11.4738j -49.4002+10.1197j -489.49+33.6412j 46.2835+2.42351j -693.245+67.6596j -25.0904+2.71941j 150.259-27.782j 171.217-14.9125j -49.0428+9.76875j 324.161-43.1209j -616.052+75.5892j 97.3145-15.6269j -300.432+47.4717j 181.485-23.0861j -167.926+31.772j 306.068-39.4604j -25.6848+8.87129j 133.959-41.1025j -227.171+49.9629j -18.6841+18.5748j 149.723-30.9402j 48.1283-15.3378j -72.5084+26.0725j -46.0855-0.536834j 25.6828-6.61595j -2.11916+3.28498j 
