0.351162-0.143467j 0.839778-0.130128j 1.23367-0.239585j -1.94186+0.753777j -1.94063+0.587795j 5.20946-1.03586j 0.655425-0.792115j 6.55068-1.47654j 6.55145-1.7047j -1.41061+0.387073j -10.7301+2.18843j 5.1142-1.27933j -5.90857+1.19236j -9.76202+2.09917j 3.43344-0.757141j 20.2877-4.3051j -13.1544+2.95266j -1.21318+0.309208j 5.17794-1.00774j 4.47435-1.04383j 3.90864-0.815993j 22.3673-4.7571j 0.730116-0.167919j 16.8988-3.56953j -1.11346+0.222457j 0.942515+0.0540681j 17.7297-3.69418j 0.742497-0.208902j 16.9888-3.67201j 0.459477-0.0370614j 22.1255-4.84969j 3.91918-0.840416j -4.45205+1.21989j -5.25752+1.34917j 1.21237-0.108311j 12.5844-3.21424j -19.5331+4.50362j 3.22769-0.782416j 9.02458-2.03205j 5.64856-1.2363j 4.82479-1.21621j 10.2245-1.54111j 1.08286-0.0085204j 6.5863-1.06925j -6.36943+0.770827j 0.850897-0.780263j 5.2209-0.774989j 1.45928-0.336467j 1.9696-0.889242j 2.44968-1.8167j 1.19068-0.449001j -1.85173-2.46882j 
4.33758-0.168927j 27.0753+0.0767639j 46.4182+1.26454j -65.472-0.246533j -64.2919-0.351355j 163.027+1.47104j 25.425-0.838342j 206.016+2.07756j 211.978+1.3359j -46.3954-0.272317j -329.392-4.40307j 163.986+1.89979j -185.511-2.41618j -301.651-3.39017j 110.167+1.16179j 634.302+8.50445j -411.094-5.94833j -38.198-0.281023j 166.224+2.36713j 134.554+2.06879j 121.837+1.78483j 697.877+10.0815j 15.0375-0.384631j 530.973+8.26436j -26.6612+0.0114716j 28.7055+0.742804j 553.339+8.49208j 26.6179+0.993652j 531.207+8.06508j 15.4671+1.10374j 698.819+11.7602j 121.917+1.99227j -134.753-3.12857j -166.161-2.16624j 38.6357+0.979449j 411.795+7.95587j -635.141-10.9863j 111.012+2.58935j 302.083+6.01065j 185.882+3.00132j 164.535+3.29638j 329.659+4.76977j 46.8888+1.86085j 213.112+5.43291j -206.595-3.8748j 25.2552+1.05874j 163.039+3.45421j 65.0421+1.917j 66.2372+1.90796j 46.8162+1.4228j 28.2625-0.749496j 3.77241+0.748203j 
15.057-0.888408j 92.7608+0.259332j 161.46+2.5665j -226.512+2.58601j -221.211+2.06083j 561.989-1.58659j 87.8922-3.7657j 710.43-2.01968j 732.233-5.68222j -160.662+1.49346j -1134.27-1.77802j 565.212-1.69678j -639.445-0.965581j -1039.38+1.32471j 380.607-0.925586j 2185.63+1.69709j -1416.89-0.771783j -131.881+0.581379j 572.075+1.52761j 463.42-1.79948j 419.451+0.744051j 2404.05+3.72581j 52.8217-1.76711j 1827.9+6.00681j -91.4429+1.38234j 99.6988+1.49868j 1904.93+6.27051j 91.2046+2.01002j 1827.95+6.31379j 52.43+2.29054j 2404.27+12.5857j 419.596+2.13031j -464.1-5.19344j -572.349-2.2868j 131.984+1.48834j 1416.71+9.16121j -2185.89-12.9049j 379.929+3.39448j 1039.35+7.89971j 639.402+3.24338j 564.845+5.20157j 1134.7+5.24467j 160.848+2.77294j 731.851+10.5851j -709.786-6.69888j 88.8754+4.52473j 561.629+6.42808j 222.823+3.55551j 225.762+4.17273j 160.337-2.42475j 92.1952+2.68941j 14.1111+1.32653j 
1.56994-0.233391j 6.81668-1.08769j 11.5468-0.887806j -17.0575+2.93329j -16.581+2.57362j 41.6891-5.16181j 6.8521-2.245j 52.7485-6.67236j 54.6045-8.19365j -11.6982+1.8089j -83.6883+9.0832j 42.0149-5.51694j -47.0841+5.2833j -76.771+9.29026j 28.1943-4.03835j 161.07-18.4837j -104.073+12.6164j -9.61507+1.41067j 42.3026-4.35081j 34.3882-5.36895j 30.7582-3.53993j 177.203-19.8665j 3.81408-1.15862j 134.341-14.2837j -7.03111+1.30886j 7.37411-1.01507j 140.327-14.5978j 6.75447-0.867675j 134.402-14.1108j 4.067-0.0887809j 176.498-17.8483j 30.7605-3.17276j -33.754+3.61672j -41.9257+4.39962j 9.56708-0.953239j 104.062-10.5294j -160.633+16.1672j 27.9679-3.2382j 76.2091-7.94111j 47.0225-4.7344j 41.1481-4.76548j 82.5066-8.21787j 12.4837-0.897399j 53.6492-5.51637j -51.1415+4.68323j 8.10105-0.727263j 40.7102-3.39223j 16.3999-0.811063j 17.1889-0.752663j 12.0517-0.306996j 6.28593-0.809623j 0.83936+0.579059j 
1.46059-0.0783429j 8.45415-0.143484j 14.275+0.28502j -20.3272+0.396428j -19.7232+0.092036j 50.5488-0.0526474j 8.10367-0.394871j 63.8394+0.0617629j 65.6914-0.38252j -14.1026+0.13341j -102.238-0.560152j 50.854-0.279795j -57.5632-0.0140276j -93.3098-0.0900496j 34.0898-0.323835j 196.61+0.377962j -127.325-0.262583j -11.9328-0.25182j 51.6303+0.256978j 41.5919+0.345172j 37.7392+0.151204j 216.293+0.884579j 4.25486-0.00915553j 164.22+0.741952j -8.26277-0.294653j 8.85166-0.00684848j 171.417+0.47709j 8.14703+0.24672j 164.458+0.877384j 4.61891+0.306518j 215.67+1.57121j 37.7472+0.1375j -41.7875-0.712625j -51.1877+0.00813134j 11.5649+0.433658j 127.885+1.57287j -196.546-1.75688j 34.6041+0.693168j 94.0457+0.780611j 57.6855+0.489012j 50.5669+0.562843j 102.987+0.608697j 13.5904+0.543193j 65.2841+0.546307j -63.6841-0.245955j 9.87021+0.72006j 50.5672+0.159544j 19.9669-2.17149j 20.2314+1.15657j 15.6984-0.758397j 7.74709+0.968246j 0.476822+0.0368415j 
32.8332-0.891997j 200.87+0.737866j 349.066+6.21197j -490.27+2.13413j -478.747+1.22145j 1215.82+3.07584j 190.405-6.34983j 1537.18+4.53397j 1583.62-1.95874j -347.091+0.316554j -2455.26-16.2826j 1223.25+3.29224j -1383.56-9.1081j -2249.37-9.4353j 823.04+3.25758j 4729.68+28.6892j -3066.22-19.8784j -285.189-0.233694j 1238.26+8.47682j 1003.54+3.61866j 907.873+6.16284j 5202.89+36.253j 113.746-1.83898j 3956.47+32.7915j -197.666+1.16578j 215.17+3.92756j 4122.94+34.2219j 198.161+5.44475j 3956.22+32.8292j 113.835+5.97102j 5203.54+51.4172j 907.706+9.58951j -1004.54-17.3986j -1238.43-11.5797j 284.925+4.61726j 3066.73+35.0053j -4730.55-51.7609j 824.34+12.541j 2249.43+30.8496j 1384.29+14.1571j 1224.32+17.6103j 2456.38+23.0248j 346.974+7.39106j 1585.04+33.3444j -1537.8-21.1883j 190.883+10.5731j 1214.81+18.1129j 480.574+9.26534j 491.549+12.0162j 348.902-1.92388j 201.843+2.57834j 33.3062+2.0467j 
-5.92079+0.202847j -38.1542-1.05044j -66.6628-2.00707j 93.1682+1.78241j 90.9286+1.35968j -231.278-4.60883j -35.8477-0.162939j -292.111-5.75192j -300.633-5.65401j 65.7805+1.00224j 467.26+9.99048j -232.89-4.76624j 263.482+5.53512j 428.229+8.84272j -156.388-3.40444j -900.502-19.291j 583.831+13.3105j 53.9142+0.824456j -235.783-4.86681j -191.067-5.19984j -172.686-3.9241j -990.236-22.2015j -21.5607-0.28008j -752.795-17.1755j 37.9856+0.507878j -40.606-1.39688j -784.888-18.4546j -37.1359-2.02096j -753.268-17.2196j -21.9706-1.66883j -991.195-24.3026j -172.638-4.61888j 191.733+6.77663j 235.432+5.47265j -54.1306-1.53443j -584.214-15.2327j 901.662+23.2881j -157.17-5.25791j -428.512-12.091j -263.65-6.10973j -234.042-6.57063j -467.074-9.80703j -66.893-0.920397j -301.434-11.2133j 292.191+8.31119j -35.8622-3.92751j -231.531-5.80245j -91.7401-3.85785j -92.177-2.92195j -66.9977+0.0307415j -38.8168-0.705276j -6.56976-0.882192j 
-23.0555+0.933126j -142.067+0.39223j -246.873-3.77314j 347.243-4.0299j 339.209-3.32471j -860.643+3.08118j -135.044+6.07373j -1088.17+3.31761j -1121.25+9.30022j 245.605-1.98741j 1737.68+2.5169j -865.91+2.85575j 979.325+1.13099j 1591.73-2.28307j -582.557+1.01569j -3347.88-1.75169j 2170.45+1.0026j 202.311-0.901595j -876.505-1.55639j -710.564+2.74374j -642.849-0.824657j -3682.48-5.3384j -80.4479+2.30836j -2800.4-8.40335j 140.074-1.90654j -152.768-2.07093j -2918.23-8.93124j -140.384-2.80066j -2799.99-8.50405j -80.264-3.35387j -3682.63-16.9535j -642.522-3.35941j 711.078+6.94888j 875.741+3.27052j -202.057-1.698j -2169.73-12.6444j 3348.24+20.0537j -583.015-5.48918j -1591.2-12.3739j -979.09-3.74009j -865.785-7.51966j -1738.44-8.782j -246.088-3.8609j -1122.18-15.3221j 1086.4+11.953j -135.175-6.99292j -861.79-7.10122j -338.874-5.95383j -347.447-7.18393j -247.591+1.89869j -142.006-2.27401j -22.8389-1.19337j 
35.4692-0.941975j 217.33+1.25282j 377.908+7.27162j -530.402+0.518386j -518.309+0.143882j 1316.09+5.98174j 205.498-5.82354j 1664.11+8.02138j 1713.97+1.88615j -375.647-0.241227j -2657.6-21.8308j 1324.01+6.4647j -1497.75-12.3219j -2434.24-14.9615j 891.14+5.48755j 5119.92+40.7205j -3318.83-27.7526j -308.893-1.07747j 1340.6+11.729j 1086.23+6.77531j 982.928+8.13326j 5631.88+49.9032j 123.086-1.60982j 4282.5+42.9079j -214.004+0.318847j 232.965+4.96133j 4463.11+45.3836j 213.623+6.10712j 4283.4+43.7159j 123.146+6.8053j 5633.92+66.5284j 982.709+12.0734j -1086.17-22.2897j -1340.78-14.4092j 309.5+5.65484j 3320.49+43.6078j -5121.63-64.3118j 892.971+15.3182j 2436.09+36.0889j 1498.42+16.6428j 1324.77+22.1576j 2658.08+29.9577j 376.74+10.0853j 1714.78+39.1806j -1664.64-27.7897j 206.414+13.9563j 1317.05+22.0266j 520.674+11.3689j 532.08+13.9742j 377.982-1.61997j 217.94+3.83734j 35.5854+2.95071j 
-49.4955+1.40116j -303.496-1.12394j -527.099-9.36896j 740.31-3.15664j 723.282-1.67093j -1835.91-4.89884j -287.652+9.13245j -2321.25-6.97849j -2391.73+2.59179j 523.831-0.643737j 3707.74+24.9065j -1847.8-5.3539j 2089.52+14.3697j 3396.59+14.7948j -1243.09-4.35957j -7143.32-44.3303j 4630.94+30.1033j 430.937-0.00871277j -1870.6-13.5654j -1515.16-5.08032j -1370.9-9.28404j -7857.72-55.0244j -170.718+2.96554j -5975.27-49.9308j 298.919-1.40436j -324.996-5.71869j -6226.31-52.8677j -298.929-7.96366j -5975.75-50.5283j -171.976-8.5903j -7859.48-79.9529j -1371.03-14.3717j 1515.99+26.9304j 1870.48+16.5255j -431.529-7.29481j -4632.49-53.5857j 7145.66+78.1154j -1243.01-19.618j -3398.47-45.6604j -2090.54-19.9822j -1849.37-28.1515j -3708.38-36.0235j -524.236-10.5139j -2393.85-50.4589j 2323.02+33.8287j -288.823-17.5962j -1837.38-27.1967j -723.311-16.1624j -741.28-16.9319j -526.792+3.68209j -303.307-3.85261j -48.5951-2.54097j 
8.74567-0.0880321j 53.1417+0.651946j 92.1913+2.00025j -129.37-0.814123j -126.405-1.08907j 320.921+3.71113j 50.2945-0.771547j 405.782+4.76468j 417.934+3.71165j -91.6907-0.921013j -648.473-9.43835j 322.896+3.89017j -365.47-5.56748j -593.933-7.9897j 217.357+2.92461j 1249.33+18.2292j -809.843-12.3115j -75.3004-0.55125j 327.486+5.1301j 265.223+3.94308j 239.851+3.5738j 1374.21+20.8949j 29.6416-0.254388j 1045.14+17.0445j -51.9276-0.0231287j 56.1535+1.31425j 1089.15+17.6777j 52.4168+1.752j 1045.12+17.4108j 30.2153+2.01634j 1374.87+25.0095j 240.416+4.68396j -265.55-7.77517j -327.03-5.46972j 75.5003+1.95701j 810.901+15.6418j -1250.32-23.3193j 217.23+5.87476j 594.788+12.6206j 363.908+8.04076j 322.867+7.99882j 648.423+9.96615j 91.8901+2.85885j 420.075+12.5858j -405.422-9.51012j 50.4683+3.94141j 322.015+6.53523j 126.97+4.08022j 130.208+4.43759j 92.6929-0.633855j 53.3939+1.29502j 8.50424+0.820878j 
