-0.080011-0j 0.0144938-0j 0.000210829-0j -0.0993558-0j -0.0165714-0j -8.64731e-05-0j 0.00170712-0j 2.04042e-05-0j -0.101453-0j 0.000419159-0j -0.00827489-0j -0.0145508-0j -0.00147576-0j -0.100413-0j 0.00041486-0j -0.00819002-0j -0.0144016-0j -0.00146062-0j -5.43479e-05-0j -5.49111e-05-0j 1.17006e-06-0j 1.15806e-06-0j 
-0.0101488-0j 0.000596696-0j 8.79016e-06-0j 8.64731e-05-0j -0.00103999-0j -0.101634-0j -0.0102427-0j 6.36935e-07-0j -0.00417675-0j -0.0104148-0j -0.00104961-0j 6.26584e-06-0j -6.15293e-05-0j -0.00413391-0j -0.010308-0j -0.00103885-0j 6.20157e-06-0j -6.08982e-05-0j 0.000326087-0j 0.000329466-0j 2.91893e-08-0j 2.88899e-08-0j 
-0.00631136-0j 0.000754767-0j -0.00160008-0j -0.00517399-0j -0.00130717-0j 0.000656285-0j 6.69818e-05-0j -0.000154857-0j 5.49111e-05-0j -0.00318119-0j -0.000324679-0j -0.00075774-0j -0.000116409-0j 5.43479e-05-0j -0.00314856-0j -0.000321349-0j -0.000749968-0j -0.000115215-0j -0.10174-0j -0.102794-0j -8.88016e-06-0j -8.78908e-06-0j 
0.00145559-0j -8.61257e-05-0j -0.0173946-0j 0.00119328-0j -0.00698027-0j 0.0146695-0j -7.64322e-06-0j -0.00253849-0j -6.26584e-06-0j -0.143718-0j 7.48808e-05-0j -0.00404632-0j -0.00126549-0j -6.20157e-06-0j -0.142244-0j 7.41127e-05-0j -0.00400482-0j -0.00125252-0j -4.70666e-05-0j -4.75544e-05-0j -0.000194564-0j -0.000192569-0j 
0.0287357-0j 8.79016e-06-0j 0.00177533-0j -0.000121788-0j -0.137802-0j 7.64322e-06-0j 0.0144419-0j 0.000259084-0j -0.000123698-0j -7.48808e-05-0j -0.141487-0j 0.000412976-0j -0.024983-0j -0.000122429-0j -7.41127e-05-0j -0.140036-0j 0.00040874-0j -0.0247267-0j 4.80372e-06-0j 4.8535e-06-0j 1.98576e-05-0j 1.96539e-05-0j 
-0.000210829-0j -0.00120781-0j -0.0774774-0j 0.025189-0j 0.00205824-0j 7.20609e-06-0j 7.35469e-07-0j -0.0231888-0j -8.78712e-05-0j -0.000106267-0j -1.08458e-05-0j -0.173885-0j -0.00563666-0j -8.69699e-05-0j -0.000105177-0j -1.07345e-05-0j -0.172102-0j -0.00557885-0j 4.52899e-06-0j 4.57592e-06-0j -0.00268481-0j -0.00265727-0j 
-0.00239472-0j -7.32514e-07-0j 0.0282863-0j 2.04042e-05-0j 0.0352528-0j -6.36935e-07-0j 1.25741e-05-0j -0.0938238-0j 5.12744e-06-0j 1.25454e-05-0j -0.000247667-0j -0.000212394-0j -0.197998-0j 5.07485e-06-0j 1.24167e-05-0j -0.000245127-0j -0.000210216-0j -0.195967-0j -4.0031e-07-0j -4.04458e-07-0j -0.0224479-0j -0.0222176-0j 
0.0695711-0j 8.64731e-05-0j -0.00018332-0j -8.43753e-06-0j 0.000205097-0j -0.000209646-0j -2.11284e-05-0j -2.52535e-07-0j 0.000588062-0j -0.0693618-0j -0.00699035-0j 8.43423e-05-0j -0.00124667-0j -0.000599085-0j 0.0706619-0j 0.00712138-0j -8.59233e-05-0j 0.00127004-0j 4.72565e-05-0j -4.6387e-05-0j 9.88431e-07-0j -1.00696e-06-0j 
-0.0165714-0j 0.00148523-0j -0.00205824-0j -0.000292904-0j 0.00113114-0j -1.26129e-07-0j 2.49e-06-0j -4.27543e-06-0j 0.0101003-0j -8.43423e-05-0j 0.00166506-0j -0.0677921-0j -0.0139971-0j -0.0102897-0j 8.59233e-05-0j -0.00169627-0j 0.0690629-0j 0.0142595-0j -5.56923e-06-0j 5.46676e-06-0j 2.23667e-05-0j -2.2786e-05-0j 
0.00180651-0j -3.51606e-05-0j -5.17965e-07-0j -5.09548e-06-0j 0.00018512-0j -3.05729e-05-0j -0.175116-0j -3.75317e-08-0j 0.000743467-0j -3.13292e-06-0j -0.0179448-0j -3.69218e-07-0j 1.09523e-05-0j 0.000735842-0j -3.10079e-06-0j -0.0177608-0j -3.65431e-07-0j 1.084e-05-0j -1.92149e-05-0j -1.9414e-05-0j -1.71999e-09-0j -1.70235e-09-0j 
-1.39378e-06-0j 2.72992e-08-0j -0.00535447-0j -1.14261e-06-0j 3.43276e-05-0j 2.37372e-08-0j 2.42266e-09-0j 0.0555408-0j 1.98608e-09-0j -7.02525e-07-0j -7.17012e-08-0j 1.9899e-05-0j -0.00038955-0j 1.96571e-09-0j -6.9532e-07-0j -7.09658e-08-0j 1.96949e-05-0j -0.000385554-0j 1.49187e-08-0j 1.50733e-08-0j -0.239909-0j -0.237448-0j 
-8.64731e-05-0j 0.0712911-0j -7.20609e-06-0j 0.000147057-0j -1.26129e-07-0j 0.00118594-0j -6.17905e-07-0j -7.43224e-09-0j -0.00503894-0j -0.00829489-0j 4.32185e-06-0j -0.000727308-0j 5.09335e-07-0j 0.00513339-0j 0.00845037-0j -4.40287e-06-0j 0.000740941-0j -5.18883e-07-0j -0.000267323-0j 0.000262405-0j 2.32479e-08-0j -2.36836e-08-0j 
