-0.147406-0j -0.173666-0j 0.205788-0j -0.360504-0j -0.295162-0j 0.311295-0j 0.117665-0j -0.0970521-0j 0.356036-0j -0.146811-0j 0.162424-0j 0.158244-0j 0.201711-0j -0.211284-0j -0.190249-0j 
0.331924-0j 0.00295526-0j -0.16936-0j 0.00121898-0j 0.414747-0j -0.239105-0j -0.00982995-0j -0.237054-0j -0.153606-0j -0.334678-0j -0.180416-0j 0.183798-0j 0.00337744-0j -0.0508618-0j 0.217428-0j 
0.295162-0j -0.220538-0j 0.0363378-0j -0.0909672-0j -0.359623-0j 0.0432636-0j -0.147025-0j 0.0508624-0j -0.263757-0j 0.0605564-0j 0.320017-0j 0.0663362-0j -0.252043-0j 0.643459-0j 0.0784737-0j 
0.0112996-0j -0.0292741-0j 0.0727957-0j -0.0607684-0j -0.00601837-0j 0.0260459-0j 0.0198342-0j -0.0343314-0j -0.0364912-0j -0.0122836-0j -0.0124509-0j 0.0132402-0j 0.0340015-0j 0.0621128-0j -0.0159181-0j 
-0.311295-0j -0.377347-0j 0.0496142-0j 0.666703-0j 0.0432636-0j 0.0687332-0j 0.0847613-0j 0.0741662-0j -0.0710579-0j 0.102746-0j 0.113719-0j -0.334048-0j 0.145305-0j 0.00527872-0j 0.133147-0j 
0.0438286-0j -0.000778378-0j -0.0140732-0j 0.00137525-0j -0.0184523-0j 0.00996081-0j 0.000174843-0j -0.0210373-0j 0.0404579-0j 0.01489-0j -0.016011-0j -0.0484102-0j 0.00029973-0j -0.00451373-0j 0.0192956-0j 
0.034996-0j -0.0206702-0j 0.0081203-0j -0.008526-0j -0.0689512-0j -0.024502-0j 0.0687543-0j 0.0113661-0j 0.0423762-0j -0.0342957-0j -0.019022-0j 0.0188345-0j -0.023623-0j 0.0247441-0j 0.0222806-0j 
-0.0340953-0j 0.0207198-0j 0.0260459-0j 0.0430111-0j 0.0142929-0j -0.0719742-0j 0.0700431-0j -0.0122836-0j 0.00390173-0j 0.033944-0j -0.0188345-0j 0.0183423-0j -0.0240658-0j -0.000874276-0j -0.0220521-0j 
-0.146811-0j 0.537105-0j -0.0741662-0j -0.0734055-0j -0.0605564-0j -0.102746-0j -0.118641-0j 0.313311-0j -0.0335118-0j 0.434047-0j -0.159174-0j -0.157541-0j -0.203385-0j -0.00738866-0j -0.186366-0j 
0.0206702-0j 0.00110792-0j 0.0210373-0j -0.000151418-0j 0.0258278-0j -0.01489-0j -0.000244729-0j -0.0888713-0j 0.0190805-0j 0.062902-0j 0.0224108-0j -0.0228309-0j -0.000419535-0j 0.0063179-0j -0.0270082-0j 
0.0423762-0j -0.0190805-0j -0.0262239-0j -0.0078703-0j -0.0308893-0j 0.00280392-0j -0.0127203-0j -0.0367058-0j 0.0464788-0j 0.00392467-0j 0.0459447-0j 0.00429926-0j -0.0218063-0j -0.00337306-0j 0.00508589-0j 
-0.0235172-0j -0.000209383-0j 0.0361935-0j -0.000434646-0j 0.0298643-0j 0.0510988-0j -0.000707816-0j -0.0170693-0j 0.0108831-0j -0.0240988-0j -0.0129911-0j -0.0130223-0j 0.000243196-0j -0.00366236-0j 0.0156561-0j 
0.00339441-0j 3.02218e-05-0j -0.00522408-0j 6.27358e-05-0j -0.00431054-0j -0.00737547-0j 0.000102165-0j 0.00246375-0j -0.00157085-0j 0.00347837-0j 0.0018751-0j 0.0018796-0j -3.51023e-05-0j 0.000528616-0j -0.00225976-0j 
0.0188345-0j 0.0228309-0j 0.00951484-0j 0.00941725-0j 0.00776883-0j 0.0131814-0j 0.0152206-0j 0.013318-0j 0.00429926-0j 0.0184501-0j -0.0827905-0j -0.0819413-0j 0.0260924-0j 0.000947898-0j 0.0239091-0j 
-0.0226383-0j -0.0266713-0j -0.00330567-0j 0.0471233-0j -0.0150285-0j -0.0050005-0j 0.00599103-0j -0.0049415-0j 0.0546793-0j -0.00747503-0j 0.00826998-0j 0.0243027-0j 0.0102703-0j -0.0107577-0j -0.00968672-0j 
-0.0209125-0j 0.0156253-0j -0.0077657-0j 0.0324357-0j -0.025895-0j -0.00924578-0j -0.0105867-0j 0.0036624-0j 0.0186874-0j 0.00436043-0j 0.0230432-0j -0.00469999-0j -0.0181486-0j 0.046333-0j 0.00565059-0j 
0.0131424-0j 0.0170693-0j -0.0140723-0j 0.00704074-0j 0.00688758-0j 0.0100433-0j -0.056777-0j -0.0196971-0j 0.0212776-0j 0.0140577-0j -0.0071435-0j -0.00772017-0j 0.0195078-0j 0.0356362-0j -0.00913273-0j 
-0.00189694-0j -0.00246375-0j 0.00203116-0j -0.00101624-0j -0.000994136-0j -0.00144962-0j 0.00819506-0j 0.00284303-0j -0.00307115-0j -0.00202905-0j 0.00103108-0j 0.00111431-0j -0.00281571-0j -0.00514365-0j 0.0013182-0j 
0.00301846-0j -0.00225532-0j 0.00112088-0j -0.0046817-0j 0.00373763-0j 0.00133451-0j 0.00152806-0j -0.000528622-0j -0.0026973-0j -0.000629374-0j -0.003326-0j 0.000678385-0j 0.00261953-0j -0.00668759-0j -0.000815592-0j 
0.00326755-0j 0.00384968-0j 0.000477133-0j -0.00680167-0j 0.00216917-0j 0.00072176-0j -0.000864731-0j 0.000713245-0j -0.00789228-0j 0.00107893-0j -0.00119367-0j -0.0035078-0j -0.0014824-0j 0.00155275-0j 0.00139816-0j 
-0.0106765-0j 0.0379633-0j 0.0049415-0j -0.00518839-0j 0.0210355-0j 0.00747503-0j -0.0083857-0j -0.0208751-0j 0.0257875-0j -0.0315779-0j -0.0115756-0j 0.0114615-0j -0.0143755-0j 0.0150577-0j 0.0135586-0j 
0.00154102-0j -0.00547952-0j -0.000713245-0j 0.000748879-0j -0.00303621-0j -0.00107893-0j 0.00121037-0j 0.00301307-0j -0.0037221-0j 0.00455788-0j 0.00167079-0j -0.00165432-0j 0.00207492-0j -0.00217339-0j -0.00195701-0j 
0.0104017-0j -0.0380545-0j 0.0158499-0j 0.0261738-0j -0.00436043-0j 0.0219577-0j -0.00854289-0j 0.0225603-0j 0.00237435-0j 0.031254-0j -0.0114615-0j 0.011162-0j -0.0146449-0j -0.000532029-0j -0.0134195-0j 
-0.00150136-0j 0.00549269-0j -0.00228774-0j -0.00377787-0j 0.000629374-0j -0.00316932-0j 0.00123306-0j -0.0032563-0j -0.000342708-0j -0.00451113-0j 0.00165432-0j -0.00161109-0j 0.00211382-0j 7.67918e-05-0j 0.00193694-0j 
0.0129911-0j -0.000230716-0j 0.0132218-0j -9.51655e-05-0j 0.0162326-0j -0.00935826-0j -0.000153811-0j 0.0185067-0j 0.011992-0j -0.0130988-0j -0.0571046-0j 0.058175-0j -0.000263675-0j 0.00397076-0j -0.0169745-0j 
-0.0018751-0j 3.3301e-05-0j -0.00190841-0j 1.3736e-05-0j -0.00234298-0j 0.00135075-0j 2.22007e-05-0j -0.00267122-0j -0.00173089-0j 0.00189065-0j 0.00824234-0j -0.00839684-0j 3.80583e-05-0j -0.00057313-0j 0.00245006-0j 
0.0351628-0j -0.00854289-0j -0.00356028-0j -0.00352376-0j 0.0145039-0j 0.0246089-0j -0.0396254-0j -0.00498335-0j -0.0016087-0j 0.0344452-0j -0.00764099-0j -0.00756262-0j -0.0097633-0j -0.000354686-0j -0.00894635-0j 
