-0.103211-0j -0.102152-0j 0.700263-0j 0.408487-0j 0.565898-0j -0.00743182-0j 0.102555-0j -0.00849351-0j 0.117205-0j 0.0294135-0j -0.00520119-0j 0.0717734-0j 0.0356546-0j 0.0423017-0j -0.00306547-0j 0.0411704-0j 0.0407481-0j -0.00728015-0j 0.100462-0j 0.049906-0j 0.00745702-0j -0.00492352-0j -0.00351753-0j 0.0104377-0j -0.00487302-0j -0.00426389-0j 0.0103306-0j 0.00939777-0j 0.00903927-0j -0.0059682-0j 0.0126523-0j 0.0441795-0j 0.00238255-0j -0.00528337-0j -0.00112387-0j 0.0112005-0j 
-0.00325478-0j -0.00351753-0j -0.0471962-0j 0.0544619-0j 0.0194862-0j -0.000234364-0j 0.00323409-0j 0.000572445-0j -0.0078994-0j 0.00392159-0j -0.000179099-0j 0.00247145-0j -0.00240304-0j 0.0016949-0j -0.000122824-0j 0.00129832-0j 0.00140313-0j -0.000250686-0j 0.00345931-0j -0.00336356-0j 0.000994215-0j 0.0226282-0j 0.0683489-0j 0.000329154-0j 0.0244549-0j -0.0418824-0j 0.000355725-0j -0.00419281-0j -0.000609228-0j -0.0586231-0j -0.000852741-0j 0.00152128-0j -0.00106298-0j 0.0265142-0j -0.073076-0j 0.000385681-0j 
0.0355146-0j 0.0355999-0j 7.34343e-05-0j 0.00598652-0j -0.00423718-0j -0.00251625-0j -0.000363189-0j -4.28186e-05-0j -6.18034e-06-0j -0.000424151-0j 0.00546737-0j 0.000789147-0j 1.12779e-05-0j 0.000461211-0j 0.00319537-0j 0.000299489-0j 0.000300209-0j -0.00257848-0j -0.000372172-0j -5.3188e-06-0j -3.53459e-05-0j 0.00169417-0j -0.00239936-0j 2.49574e-05-0j 0.00169824-0j 6.37974e-05-0j 2.50174e-05-0j 0.000276457-0j 9.39825e-07-0j -3.00877e-05-0j -4.43234e-07-0j -0.000330796-0j 2.30381e-05-0j -0.00187126-0j 0.00156388-0j -2.75663e-05-0j 
-0.00362469-0j -0.0036334-0j -7.49486e-06-0j -0.000610996-0j 0.000432456-0j -0.0496749-0j 3.70678e-05-0j -0.000845311-0j 6.30778e-07-0j -0.00837344-0j 0.107935-0j -8.0542e-05-0j 0.000222644-0j -4.70722e-05-0j 0.0630818-0j 0.00591241-0j 0.00592662-0j -0.0509035-0j 3.79846e-05-0j -0.000105002-0j 3.60748e-06-0j -0.00017291-0j 0.000244884-0j -2.54721e-06-0j -0.000173326-0j -6.5113e-06-0j -2.55333e-06-0j 0.00545771-0j -9.59205e-08-0j 3.07081e-06-0j 4.52373e-08-0j -0.00653045-0j -2.35131e-06-0j 0.000190985-0j -0.000159612-0j 2.81347e-06-0j 
0.000406848-0j 0.000439691-0j 0.0119238-0j -0.0137594-0j -0.00492305-0j -0.00281864-0j 0.0189183-0j 0.00688465-0j -0.0462088-0j 0.095325-0j -0.00215397-0j 0.0144572-0j -0.0584126-0j 0.00991458-0j -0.00147717-0j 0.0315592-0j 0.0341068-0j -0.00301493-0j 0.0202358-0j -0.0817606-0j 0.0118398-0j 1.9408e-05-0j 5.86223e-05-0j 0.00391979-0j 2.09748e-05-0j -3.59221e-05-0j 0.00423622-0j -0.101918-0j -0.0072551-0j -5.02805e-05-0j -0.010155-0j 0.0369789-0j -0.0126586-0j 2.2741e-05-0j -6.26766e-05-0j 0.00459295-0j 
-4.35983e-05-0j -4.3703e-05-0j 1.73276e-05-0j 0.00141258-0j -0.000999807-0j 3.08898e-06-0j 0.0123111-0j 5.25648e-08-0j 0.000209496-0j -0.000100083-0j -6.71183e-06-0j -0.0267499-0j 2.66114e-06-0j -0.0156338-0j -3.92268e-06-0j 7.06676e-05-0j 7.08374e-05-0j 3.16539e-06-0j 0.0126156-0j -1.25503e-06-0j -0.113741-0j -2.07979e-06-0j 2.94549e-06-0j 0.0803117-0j -2.08478e-06-0j -7.83187e-08-0j 0.0805047-0j 6.52328e-05-0j 0.00302431-0j 3.69361e-08-0j -0.0014263-0j -7.80546e-05-0j 0.0741353-0j 2.29719e-06-0j -1.91984e-06-0j -0.0887069-0j 
-0.00492352-0j -0.00487302-0j 0.0334049-0j 0.0194862-0j -0.0538473-0j -0.000354523-0j 0.00489221-0j 0.00080819-0j -0.0111525-0j 0.00140313-0j -0.000248115-0j 0.00342383-0j 0.00170085-0j 0.00201793-0j -0.000146233-0j -0.00391752-0j -0.00387734-0j -0.000347288-0j 0.00479237-0j 0.00238069-0j 0.000355725-0j -0.0682779-0j 0.0244549-0j -0.000993182-0j -0.0675776-0j 0.0296438-0j -0.000982995-0j 0.000448305-0j 0.000431204-0j 0.0414927-0j 0.00060356-0j 0.00210751-0j 0.000113656-0j 0.0367316-0j 0.00781346-0j 0.000534304-0j 
0.00061544-0j 0.000609127-0j -0.00843951-0j -0.00492305-0j 0.0136041-0j -0.00426376-0j 0.0286178-0j 0.00971989-0j -0.0652386-0j 0.0341068-0j -0.00298401-0j 0.0200283-0j 0.0413437-0j 0.0118042-0j -0.00175871-0j -0.095226-0j -0.0942493-0j -0.00417675-0j 0.0280337-0j 0.0578691-0j 0.00423622-0j -5.85614e-05-0j 2.09748e-05-0j -0.0118275-0j -5.79607e-05-0j 2.54253e-05-0j -0.0117062-0j 0.0108973-0j 0.00513507-0j 3.55879e-05-0j 0.0071876-0j 0.0512289-0j 0.00135349-0j 3.15043e-05-0j 6.70154e-06-0j 0.00636285-0j 
0.0195287-0j 0.0211052-0j -0.00598652-0j 0.00690811-0j 0.00247169-0j 0.00140618-0j 0.000202965-0j -0.00343467-0j -0.000495752-0j 0.000497426-0j 0.00107459-0j 0.000155104-0j -0.000304809-0j 0.000106369-0j 0.000736944-0j 0.000164682-0j 0.000177977-0j 0.00150411-0j 0.0002171-0j -0.000426644-0j 4.14522e-05-0j 0.000931585-0j 0.00281387-0j 1.37235e-05-0j 0.00100679-0j -0.00172426-0j 1.48314e-05-0j -0.000531829-0j -2.54008e-05-0j -0.00241347-0j -3.55537e-05-0j 0.000192964-0j -4.43191e-05-0j 0.00109157-0j -0.00300848-0j 1.60803e-05-0j 
0.0295411-0j 0.0292381-0j 0.00423718-0j 0.00247169-0j -0.00683016-0j 0.00212714-0j 0.000307026-0j -0.00484914-0j -0.000699913-0j 0.000177977-0j 0.00148869-0j 0.000214874-0j 0.00021574-0j 0.000126642-0j 0.0008774-0j -0.00049691-0j -0.000491813-0j 0.00208373-0j 0.00030076-0j 0.000301974-0j 1.48314e-05-0j -0.00281095-0j 0.00100679-0j -4.14091e-05-0j -0.00278212-0j 0.00122041-0j -4.09844e-05-0j 5.68644e-05-0j 1.79784e-05-0j 0.00170822-0j 2.51645e-05-0j 0.000267323-0j 4.7387e-06-0j 0.00151221-0j 0.000321674-0j 2.22769e-05-0j 
-0.00301503-0j -0.0029841-0j -0.000432456-0j -0.000252266-0j 0.0006971-0j 0.0419933-0j -3.13357e-05-0j -0.09573-0j 7.14345e-05-0j 0.00351356-0j 0.0293892-0j -2.19304e-05-0j 0.00425907-0j -1.29253e-05-0j 0.0173213-0j -0.00980982-0j -0.00970921-0j 0.0411363-0j -3.06962e-05-0j 0.00596146-0j -1.51372e-06-0j 0.000286891-0j -0.000102755-0j 4.2263e-06-0j 0.000283948-0j -0.000124558-0j 4.18296e-06-0j 0.0011226-0j -1.83491e-06-0j -0.000174345-0j -2.56834e-06-0j 0.0052774-0j -4.83642e-07-0j -0.000154339-0j -3.28307e-05-0j -2.27363e-06-0j 
-0.00199314-0j -0.00215404-0j 0.000610996-0j -0.000705056-0j -0.000252266-0j 0.0277604-0j -2.07151e-05-0j -0.0678061-0j 5.05974e-05-0j 0.00982002-0j 0.0212142-0j -1.58302e-05-0j -0.00601745-0j -1.08562e-05-0j 0.0145485-0j 0.00325111-0j 0.00351356-0j 0.0296937-0j -2.21577e-05-0j -0.00842267-0j -4.2307e-06-0j -9.50795e-05-0j -0.000287189-0j -1.40065e-06-0j -0.000102755-0j 0.000175982-0j -1.51372e-06-0j -0.0104992-0j 2.59246e-06-0j 0.000246323-0j 3.62868e-06-0j 0.00380943-0j 4.52329e-06-0j -0.000111408-0j 0.000307051-0j -1.64119e-06-0j 
-2.39737e-05-0j -2.59091e-05-0j -0.00141258-0j 0.00163004-0j 0.000583221-0j -1.72625e-06-0j -0.00687995-0j 4.21645e-06-0j 0.0168046-0j 0.000117373-0j -1.31919e-06-0j -0.00525759-0j -7.19229e-05-0j -0.0036056-0j -9.04684e-07-0j 3.88585e-05-0j 4.19955e-05-0j -1.84648e-06-0j -0.00735909-0j -0.000100671-0j 0.133391-0j -1.14363e-06-0j -3.45435e-06-0j 0.0441616-0j -1.23595e-06-0j 2.11673e-06-0j 0.0477267-0j -0.00012549-0j -0.0817384-0j 2.96281e-06-0j -0.11441-0j 4.55319e-05-0j -0.142616-0j -1.34003e-06-0j 3.69325e-06-0j 0.0517457-0j 
-3.62651e-05-0j -3.58932e-05-0j 0.000999807-0j 0.000583221-0j -0.00161165-0j -2.61131e-06-0j -0.0104073-0j 5.95288e-06-0j 0.0237251-0j 4.19955e-05-0j -1.82754e-06-0j -0.00728361-0j 5.09062e-05-0j -0.0042928-0j -1.07711e-06-0j -0.000117251-0j -0.000116048-0j -2.55802e-06-0j -0.0101949-0j 7.12538e-05-0j 0.0477267-0j 3.45076e-06-0j -1.23595e-06-0j -0.133252-0j 3.41537e-06-0j -1.4982e-06-0j -0.131886-0j 1.34177e-05-0j 0.0578535-0j -2.09704e-06-0j 0.080978-0j 6.30777e-05-0j 0.0152489-0j -1.85641e-06-0j -3.94892e-07-0j 0.071686-0j 
