0.000584343-0j -0.0142041-0j 0.0145191-0j 0.00146325-0j 1.74893e-05-0j 0.00084383-0j -0.0995295-0j -0.0100307-0j 0.000121026-0j -0.00178889-0j -6.65623e-05-0j 1.41833e-06-0j -0.00409028-0j -0.00404832-0j -0.101631-0j 0.000322645-0j -0.0145763-0j -0.00146901-0j 1.07779e-05-0j -0.000122422-0j -0.100588-0j 0.000319336-0j -0.0144268-0j -0.00145394-0j 1.06673e-05-0j -0.000121166-0j 9.14041e-05-0j -4.31391e-05-0j -3.59493e-06-0j 7.12521e-08-0j -4.26966e-05-0j -3.55805e-06-0j 9.23513e-05-0j 7.05213e-08-0j 
0.0202851-0j -0.078337-0j 8.73511e-06-0j -0.000172445-0j 0.000296095-0j 0.0144933-0j -0.000121026-0j 0.00238925-0j -0.0972772-0j -0.0200849-0j 7.84444e-06-0j 3.20948e-05-0j -0.141991-0j -0.140535-0j -6.11439e-05-0j -7.68521e-05-0j 0.000410389-0j -0.00810177-0j -0.0176359-0j -0.00207261-0j -6.05168e-05-0j -7.60639e-05-0j 0.00040618-0j -0.00801867-0j -0.0174551-0j -0.00205135-0j -1.07721e-05-0j 5.08399e-06-0j -0.000123914-0j 2.01821e-06-0j 5.03185e-06-0j -0.000122643-0j -1.08837e-05-0j 1.99751e-06-0j 
7.65506e-05-0j -0.000920655-0j 0.000459304-0j -0.00906742-0j 5.63849e-07-0j -0.00522902-0j 6.65623e-05-0j -0.00131405-0j 7.84444e-06-0j -7.70308e-05-0j -0.10174-0j 3.65431e-08-0j -0.000535838-0j -0.000530342-0j -0.00321503-0j -0.0104257-0j 4.8231e-06-0j -9.5216e-05-0j 4.64103e-07-0j -3.94682e-06-0j -0.00318205-0j -0.0103188-0j 4.77363e-06-0j -9.42394e-05-0j 4.59343e-07-0j -3.90634e-06-0j -0.000566411-0j 0.000267323-0j 2.22769e-05-0j 1.52877e-09-0j 0.000264581-0j 2.20484e-05-0j -0.00057228-0j 1.51309e-09-0j 
0.00103945-0j 0.000172445-0j -4.27931e-05-0j -0.0808576-0j -5.25335e-08-0j -0.142743-0j -6.20157e-06-0j -0.0117179-0j 0.000106516-0j 1.44284e-05-0j -3.84297e-05-0j -3.4047e-09-0j -0.0146274-0j -0.0144774-0j 0.000602199-0j -3.93804e-06-0j -4.49366e-07-0j -0.000849077-0j 6.30183e-06-0j 7.39269e-07-0j 0.000596022-0j -3.89765e-06-0j -4.44757e-07-0j -0.000840368-0j 6.2372e-06-0j 7.31686e-07-0j -0.01019-0j -2.49064e-05-0j 0.000607052-0j -1.42435e-10-0j -2.46509e-05-0j 0.000600825-0j -0.0102956-0j -1.40974e-10-0j 
-0.00467474-0j -0.00118104-0j 0.000592959-0j 6.05186e-05-0j -0.000139915-0j 7.01628e-05-0j -0.00406478-0j -0.00041486-0j -0.000968205-0j -0.000148742-0j 0.000532498-0j -1.13467e-05-0j -0.000340098-0j -0.00033661-0j 4.31391e-05-0j -0.00258116-0j -0.000595294-0j -6.07569e-05-0j -8.62229e-05-0j -1.01791e-05-0j 4.26966e-05-0j -0.00255469-0j -0.000589188-0j -6.01338e-05-0j -8.53385e-05-0j -1.00747e-05-0j 2.51592e-06-0j -0.102866-0j 2.87594e-05-0j -5.70017e-07-0j -0.101811-0j 2.84644e-05-0j 2.542e-06-0j -5.6417e-07-0j 
-0.113939-0j 9.84199e-05-0j -4.94132e-05-0j -5.04322e-06-0j 1.16596e-05-0j 0.0017101-0j 0.000338732-0j 3.45716e-05-0j -0.0235984-0j 1.23952e-05-0j -4.43748e-05-0j 9.45555e-07-0j -0.00828933-0j -0.00820431-0j -3.59493e-06-0j 0.000215097-0j 4.96078e-05-0j 5.06308e-06-0j -0.00210154-0j 8.4826e-07-0j -3.55805e-06-0j 0.000212891-0j 4.9099e-05-0j 5.01115e-06-0j -0.00207998-0j 8.39559e-07-0j -2.0966e-07-0j -2.87594e-05-0j -0.101807-0j 4.75014e-08-0j -2.84644e-05-0j -0.100763-0j -2.11833e-07-0j 4.70142e-08-0j 
-3.44327e-05-0j 0.00252834-0j 4.36755e-06-0j 0.0250166-0j -1.03057e-06-0j -0.000150203-0j -2.99399e-05-0j -0.171491-0j -7.1315e-06-0j 0.000318424-0j 3.92222e-06-0j -8.3576e-08-0j 0.000728075-0j 0.000720608-0j -9.23513e-05-0j -1.90121e-05-0j -4.38475e-06-0j -0.0251151-0j -6.35091e-07-0j 2.17912e-05-0j -9.14041e-05-0j -1.88171e-05-0j -4.33978e-06-0j -0.0248575-0j -6.28577e-07-0j 2.15677e-05-0j -0.0990162-0j 2.542e-06-0j 2.11833e-07-0j -4.19857e-09-0j 2.51592e-06-0j 2.0966e-07-0j -0.100042-0j -4.15551e-09-0j 
0.00105635-0j -0.00617931-0j -6.62948e-05-0j -6.76618e-06-0j -0.00224721-0j -7.84444e-06-0j 0.00091852-0j 9.3746e-05-0j -0.00506574-0j -0.00158432-0j 0.0146849-0j -0.000243582-0j 7.68521e-05-0j 7.60639e-05-0j -4.8231e-06-0j -0.143868-0j -0.00311464-0j -0.000317886-0j -0.000918398-0j -0.000163489-0j -4.77363e-06-0j -0.142393-0j -0.00308269-0j -0.000314626-0j -0.000908978-0j -0.000161813-0j -2.81289e-07-0j -3.85848e-05-0j -3.2154e-06-0j -1.53172e-05-0j -3.8189e-05-0j -3.18242e-06-0j -2.84204e-07-0j -1.51601e-05-0j 
-0.0101844-0j 8.73511e-06-0j -0.0821323-0j 4.27931e-05-0j 5.14721e-07-0j -0.00723054-0j -0.0119026-0j 6.20157e-06-0j -0.00104364-0j 7.30862e-07-0j 0.000376533-0j 3.33591e-08-0j -0.000740941-0j -0.000733342-0j -0.00597532-0j 3.85848e-05-0j -0.000862463-0j 4.49366e-07-0j -6.17451e-05-0j 3.74471e-08-0j -0.00591403-0j 3.8189e-05-0j -0.000853617-0j 4.44757e-07-0j -6.11118e-05-0j 3.70631e-08-0j 1.77903e-06-0j 0.000244032-0j -0.00594787-0j 1.39557e-09-0j 0.000241529-0j -0.00588686-0j 1.79746e-06-0j 1.38126e-09-0j 
-0.000148145-0j 0.00176421-0j -0.00120992-0j 6.30402e-07-0j -0.0198761-0j 7.30862e-07-0j 0.0252331-0j -1.31471e-05-0j 0.00144628-0j -0.00683266-0j 5.54685e-06-0j -0.00325448-0j -1.07779e-05-0j -1.06673e-05-0j -8.80247e-05-0j -8.17982e-05-0j -0.174189-0j 9.07572e-05-0j -0.00396076-0j -0.00144604-0j -8.71219e-05-0j -8.09592e-05-0j -0.172403-0j 8.98263e-05-0j -0.00392013-0j -0.0014312-0j 2.62075e-08-0j 3.59493e-06-0j 2.99577e-07-0j -0.000273728-0j 3.55805e-06-0j 2.96504e-07-0j 2.64791e-08-0j -0.000270921-0j 
1.51199e-05-0j 0.0348284-0j -6.30402e-07-0j -0.00119115-0j 0.0020286-0j 1.44284e-05-0j 1.31471e-05-0j 0.0248414-0j -0.00014761-0j -0.134888-0j -5.66124e-07-0j 0.000332159-0j -0.000212773-0j -0.00021059-0j 8.87122e-06-0j 8.34849e-06-0j -9.07572e-05-0j -0.171486-0j 0.000404243-0j -0.0285471-0j 8.78023e-06-0j 8.26286e-06-0j -8.98263e-05-0j -0.169727-0j 0.000400097-0j -0.0282543-0j -0.000150112-0j -3.66906e-07-0j -3.05755e-08-0j 2.79373e-05-0j -3.63142e-07-0j -3.02619e-08-0j -0.000151668-0j 2.76507e-05-0j 
