0.01741-0.00878072j 0.00958483+0.0172243j 0.00392795+0.0248176j 0.0255233+0.000499478j -0.0159053+0.0120579j -0.0164892+0.00263474j -0.0267472-0.0244102j 0.0276256-0.0270418j 0.00877468-0.0174641j 0.00907361+0.00381698j 0.00749028-0.00249405j -0.0129488+0.0175873j 0.0249499+0.0205592j -0.0242122+0.0127045j 0.0131841-0.018505j 0.00504318-0.00188489j -0.00603222+0.000131486j -0.0126363-0.00295821j -0.000578082-0.00343658j -0.00703734+0.0272115j 0.0106599+0.0191081j 0.00668196-0.0110949j -0.00590132-3.03332e-05j 0.0158953-0.0128416j -0.0111878+0.00158776j -0.0119916-0.00429914j 0.00588249+0.00295086j -0.00471866+0.010326j 0.00617919-0.0065077j 0.00609753+0.00657308j -0.012454+0.0109659j -0.0274286-0.00924125j -0.00582294-0.010609j -0.00434198+0.0104946j -0.00434919+0.00643405j 0.00589625-0.00562848j -0.00168311+0.00117179j -0.0032711+0.0210648j 0.00524666+0.014845j -0.00362808-0.00705057j 0.00212026+0.00320405j -0.0110166+0.0080807j -0.00886319-0.0229822j 0.00218348-0.0141708j -0.0039067+0.00437368j -0.0021986+0.011134j -0.00236612+0.0108725j -0.00735938-0.00302439j 0.0137776+0.00933113j -0.00044816-0.0036019j 0.010432-0.0103842j 0.000827691-0.00307935j 0.00418741+0.00460426j -0.0103617+0.00601565j -0.00615487-0.0070694j -0.00572441-0.0146716j -0.00272618-0.00682303j 0.0078061+0.00822005j 0.0118634+0.00507483j 0.00220771+0.00459417j 0.00775851-0.00676688j 0.00445424-0.00255825j 0.0109636-0.0211156j -0.0125712+0.012625j 0.00158028+0.00662879j 0.00536437+0.0106577j 0.00107283+0.0265976j 0.000532864+0.00203245j -0.0262747-0.0219998j 0.0149394-0.00288896j 0.00541971+0.017343j 0.021124-0.00957435j 0.0203837+0.0428104j 0.0168496+0.0109227j -0.00734168+0.0213037j 0.0180993+0.0217409j 0.0213247-0.0177159j 
-0.00506547-0.0195032j 0.0203538-0.00460586j 0.0135427+0.0171536j 0.012847-0.0115021j 0.00262362-0.0234806j 0.0146887+0.0130682j -0.0127828-0.00683271j 0.00967644-0.00668661j 0.00325444+0.0094594j 0.0108625+0.0104453j -0.00402386+0.0334872j 0.019704-0.0037229j -0.013488-0.012251j -0.0186899-0.0049232j -0.000771418+0.00886417j -0.0144009-0.00843229j -0.00238273+0.00973139j -0.00432094-0.00189568j 0.00464993-0.00162369j -0.00865468+0.000935583j 0.0020513-0.00999808j 0.0332575+0.000602719j 0.00910403+0.0164865j 0.0192292-0.0119777j -0.019262-0.00318382j 0.00258088-0.000972523j -0.000462308-0.0206875j -0.0116881-0.00938421j -0.000303897-0.0113802j -0.00106389+0.00769699j 0.00952558-0.00505763j 0.0167636+0.00423084j -0.0121191+0.00667522j 0.000310893+0.0054911j 0.00969776-0.00445885j -0.00645818-0.01031j 0.00474347-0.00718669j -0.00654185+0.00278137j 0.00853994+0.00719203j -0.00332315+0.00256449j -0.00239697-0.00595583j 0.00378192+0.00110951j -0.00945699+0.00879752j -0.00412296+0.00445865j 0.00742554+0.000550861j 0.00603799+0.00575586j -0.000753368-0.0095165j 0.00557304+0.00432833j 0.017153-0.013154j -0.0253621-0.0016714j 0.0020036-0.00598955j -0.00159134+0.0113774j -0.0142912-0.0115568j 0.00713406+0.0166243j 0.0146699+0.00180064j 0.0155477+0.00120219j -0.00652722+0.00321223j 0.009571+0.011488j 0.00305174+0.00957575j -0.00832105-0.00679933j 0.000612827-0.0124913j 0.00267831-0.00187966j 0.00718734+0.0154703j -0.0186485+0.00628524j -0.0178578-0.000597109j -0.00572128+0.000940311j -0.0102364+0.0146533j 0.0127647-0.0112795j 0.0276153-0.0126463j 0.0169426+0.0181491j -0.0312127+0.0190562j -0.00673863-0.00197208j -0.0265412+0.00926665j 0.0173135+0.00407141j -0.00749914+0.0201344j 0.0239151-0.0131225j -0.0130185-0.024157j 
0.0126117+0.024462j -0.025744+0.0117921j -0.0100297-0.0430053j -0.0358668+0.00905299j 0.00690738+0.0424366j -0.024788-0.000830386j 0.00763952+0.0243888j -0.032091+0.0155379j 0.0243653+0.00365518j -0.0100603+0.00595389j -0.00476916-0.036094j -0.0138324+0.00561773j 0.00427182-0.00226255j 0.0239139+0.0081986j -0.0170523-0.000929125j 0.00420957+0.0204047j -0.00470447-0.0313641j -0.00264031+0.00304771j -0.00451046+0.00990708j -0.0184948+0.0316412j 0.000153263-0.0133604j 0.00576267+0.00373948j 0.00763417-0.001367j 0.00677695+0.0106197j 0.00248383-0.00903703j 0.0225761+0.0024889j -0.00985903-0.0154402j 0.0239495-0.000251346j -0.00849947+0.00665743j -0.000473816+0.0196292j -0.0102802-0.00124294j -0.0126334-0.00566828j 0.0037637-0.0150183j -0.00490428+0.00586585j -0.0143205-0.00466696j 0.00216101+0.0117694j 0.0108555-0.0140818j -0.00712337+0.0269591j -0.0193833+0.0206571j 0.00880383-0.00687331j 0.000543198+0.011546j -0.0028806-0.00983048j -0.00102721-0.006278j 0.00701114-0.0185272j 0.00191046-0.00967906j -0.0140813-0.00632471j 0.000923258+0.00917127j -0.0152379-0.0163569j 0.0285018-0.00465355j 0.00520777+0.00670941j -0.000407916+0.00307139j 0.0130928-0.0035723j 0.0172437+0.00143727j -0.00960314-0.00520826j -0.00788328-0.0170448j -0.0278001-0.016489j 0.00146726-0.0251025j 0.00266144+0.0155072j -0.0274065-0.0119767j -0.000807999+0.0114126j -0.0143362+0.0175433j -0.00378815+0.00724838j 0.00576196-0.00710432j 0.0236028+0.0345642j 0.0332676-0.000325504j 0.0186272+0.031419j 0.00556292-0.00662631j -0.017573+0.000818209j -0.00850238-0.0233452j -0.0365544-0.0349692j 0.0228487-0.0247428j 0.000625904-0.00609602j 0.0193249-0.0138185j -0.0506438-0.0221264j 0.0198369-0.0558352j -0.0146023+0.0172801j 0.0178899+0.0151023j 
-0.0224978+0.0256641j -0.0271295-0.0229213j -0.0130653-0.0146459j -0.0118704+0.00758268j 0.00037396-0.00304592j 0.015696-0.0305264j 0.0458293+0.0217358j -0.021544+0.0233218j -0.0354564-0.00762485j -0.0272748-0.0371448j 0.00350453-0.0447428j -0.00944729-0.0038422j 6.72233e-06-0.00124432j 0.040613+0.00231536j 0.0080458+0.0104653j 0.0130425+0.0133388j 0.0153509+0.0048281j 0.0146375+0.000120564j 0.000744368+0.0003807j 0.0328368-0.034712j -0.00638508+0.0104595j -0.0789744+0.00146201j -0.0183664-0.0174249j -0.0524178+0.0143686j 0.0377212+0.00829794j -0.00738992+0.00902208j -0.0118432+0.0486752j 0.0166191+0.00511092j -0.0178507+0.026632j -0.00282205-0.0253432j -0.00628211-0.0157946j -0.0171422-0.0102247j 0.0346789+0.00374897j 0.0058126-0.0259707j 0.00577175-0.0052462j 0.00169505+0.0222286j 0.00253754+0.0255451j 0.0192277-0.0138923j -0.00194647-0.0435204j -0.00845629+0.00234706j 0.00875757+0.000726345j -0.00242919+0.00623521j 0.0259933+0.00461201j 0.0217528+0.0145792j -0.0346443-0.00295659j 0.00248578-0.0331687j -0.0190836+0.00770527j -0.00347505-0.00325259j -0.0437556+0.0327635j 0.0470042-0.0106728j -0.0107729+0.0199597j -0.00609254-0.0201191j 0.00294492+0.00375803j 0.00203871-0.0247872j -0.0232447-0.00255971j -0.0325846+0.0178591j -0.00414695+0.0255503j -0.0318455-0.0309565j 0.0067371-0.0130859j 0.000204968-0.000813573j 0.00727707+0.0120378j -0.0127082+0.0121154j -0.015981+0.00603213j 0.0544481-0.0287994j -0.00594715-0.0155457j -0.00238983-0.0483958j 0.00513995-0.0576833j 0.00601046+0.0305577j -0.0143868+0.0618545j -0.0160363-0.00305243j 0.0140868-0.0306685j -0.0197789+0.015214j -0.0151121-0.0440524j 0.00240889-0.0127159j 0.00680242-0.00136097j -0.0457861-0.00449916j -0.00269838+0.0441619j 
-0.0371498-0.00576615j 0.00396844-0.036134j 0.00636827-0.0520312j -0.0515618-0.0176217j 0.0510208-0.033852j 0.0433208+0.0252816j 0.0305208+0.0532968j -0.0571355+0.0525639j -0.00670902+0.0459688j -0.0139882+0.00771481j -0.0327761+0.0410918j 0.0652694-0.0371208j -0.0667274-0.0551993j 0.035524-0.030555j -0.0451896+0.0418449j -0.0171711-0.0163468j 0.0100892-0.000466039j 0.0212186+0.0117016j -0.00908566+0.0181993j 0.0169905-0.0547884j -0.00964743-0.0757924j 0.0339439+0.0455245j 0.02938+0.0173074j -0.0101112+0.0208359j 0.00315361-0.00597933j 0.0388998+0.0250441j -0.0109391-0.0375451j 0.00179149-0.0333204j -0.0100422-0.0145426j -0.0265353-0.0202656j 0.0515902-0.018177j 0.0985037+0.0422392j 0.0176509+0.034676j 0.0346515-0.0131323j 0.00815831-0.0146341j -0.0179257+0.00732368j -0.00617874+0.00476545j -0.00899901-0.0321397j -0.00432306-0.0146371j 0.017078+0.0168394j -0.0210677+0.00830285j 0.0296973-0.0202986j 0.0183351+0.0634745j -0.013588+0.0499469j 0.0246476+0.00239552j 0.0298945-0.0291321j 0.00820853-0.0444282j 0.0216749+0.0151275j -0.00535397-0.0589903j -0.0202003+0.0300288j -0.0346028+0.0116703j -0.00772528+0.0190157j -0.0100422-0.019841j 0.0228592-0.0182642j 0.047585+0.018034j 0.0309536+0.0269216j 0.0130374+0.0076572j 0.00455708-0.00555364j -0.033726-0.000617932j -0.00913524-0.0171643j -0.0220577+0.0161104j -0.00235849-0.00109568j -0.0134606+0.0492405j 0.00904762-0.0197369j -0.0209659-0.012394j -0.0277586-0.00509086j -0.0371273-0.0186766j 0.0254456-0.0368434j 0.0928238-0.0117639j -0.0366003+0.020642j -0.061037-0.00494146j -0.0611896+0.0162118j -0.0694826-0.0523575j -0.0460927-0.0163332j -0.00295453-0.03997j -0.0168494-0.0567516j -0.0563596+0.0137513j 
-0.00169002+0.0320955j -0.0349999-0.00262902j -0.0198472-0.0526778j -0.0414245+0.0180496j 0.000209295+0.0368104j -0.0180955-0.0140516j 0.0151274+0.0249494j -0.0307137+0.021803j 0.00555224-0.0052481j -0.0118204-0.0298583j 0.0152111-0.0497985j -0.0153021-0.00107458j 0.00297964+0.0145106j 0.0397797+0.00403471j -0.00620345-0.0120902j 0.0327928+0.021762j 0.018569-0.0182309j 0.0159299+0.0225308j -0.0243945-0.00231589j 0.0378769-0.0170315j -0.0167147-0.00671616j -0.0599603-0.00340531j -0.00501585-0.0376329j -0.0525315+0.0205886j 0.0326523+0.0131802j -0.00204328+0.0028027j -0.00192632+0.0332428j 0.0185124+0.0139206j -0.0144765+0.0227387j -0.0127353-0.0319389j -0.0109193+0.00591955j -0.0100845+0.010215j 0.0254595-0.0262004j 0.000520786-0.0364079j -0.0193914+0.00198343j 0.0173047+0.0194623j -0.00596715+0.0173754j 0.0144594-0.0128069j -0.0166651-0.0286213j 0.00943687+0.00279439j 0.00122556+0.0167875j -0.00303274-0.000565476j 0.0205072+0.000849862j 0.022542-0.00436516j 0.00220398-0.01728j -0.0122739-0.0227138j -0.0168116+0.0197613j -0.0101659-0.00214727j -0.0295003+0.0164011j 0.0529618+0.00465392j -0.011852+0.0221435j 0.0109995-0.0198539j 0.00726102+0.0113486j -0.0208424-0.0379518j -0.0168304-0.00923952j -0.000900353+0.0142939j 0.0231855-0.00851853j -0.0151961-0.0258007j -0.0163667-0.00845758j 0.0160679-0.00584916j 0.00494534+0.0350615j -0.000753122+0.00564523j -0.013625-0.0285271j 0.0162996-0.0111407j 0.0343804-0.00889097j 0.00711646-0.0205265j 0.00321328-0.044499j -0.00642102+0.0271594j 6.28209e-06+0.0302786j -0.0330373-0.0431277j 0.0302279-0.0517622j 0.000375535-0.0167378j 0.0241744-0.0480978j -0.037592-0.00413983j -0.00300048-0.0561834j -0.046638+0.0107482j 0.0114483+0.0476141j 
-0.0297042-0.0176607j 0.0183435-0.0286911j -0.00265575-0.00614156j -0.0133832+0.000529555j 0.059211-0.0268161j -0.019423+0.052649j 0.00210813-0.0714527j 0.0472789+0.0276424j -0.0279472+0.0287993j -0.0285519-0.0477853j 0.0298455+0.0155854j -0.0427726-0.00393897j -0.0405047+0.0591373j -0.0547509-0.0733739j 0.0352874+0.00864297j 0.0475841-0.0386312j 0.0385799-0.00560924j 0.0187627+0.0545962j -0.0874814-0.0421754j 0.0812883-0.0826558j -0.0182742+0.0243101j -0.025705-0.0364364j -0.0118337-0.0557725j -0.0698933-0.00933216j 0.0378499+0.025629j -0.0345443-0.00866863j 0.0213623+0.0680817j -0.0162345+0.0138467j -0.012469-0.0315357j -0.0150837-0.0636815j 0.0047656+0.0321546j -0.0186675+0.00831051j 0.00931719+0.0178842j -0.0158358-0.0341983j 0.0062484-0.00582258j 0.0424695-0.00953666j -0.0348057+0.0197474j 0.00752822-0.0404697j 0.0636825-0.0796977j 0.0114673-0.00149094j -0.00991965-0.00479714j -0.0139989+0.0543586j -0.00139283-0.0146172j 0.0249867+0.0266124j -0.0110032-0.0189355j 0.0399539-0.0204228j -0.0259685+0.0144114j -0.0110468+0.0403851j -0.0755535+0.0160693j 0.0472945-0.0367967j 0.0170127-0.0118131j -0.00141915-0.0247679j -0.0363663+0.00185842j -0.0271253-0.0545722j 0.0167478+0.0247163j 0.0911337+0.0586852j 0.0158718+0.0125178j 0.0184361-0.0319786j 0.00653142+0.00442126j -0.000212606-0.0329452j 0.0227996+0.0378383j 0.0173868-0.0451983j -0.00241537-0.0244746j -0.0302594-0.0240766j -0.0454564+0.0377912j -0.0616783-0.0458965j -0.0087162+0.00633633j 0.0580149+0.0253583j 0.00628978+0.0795086j 0.0508712+0.0105594j -0.042436+0.0483458j -0.0474882-0.0950906j 0.0957817-0.0454943j 0.0217933+0.0251778j -0.0119956+0.0171298j -0.0276411-0.0142638j -0.0166085+0.0283421j 
0.019709-0.0449524j 0.0472002+0.0216547j -0.00161646+0.067701j 0.0616737+0.00479726j -0.074763-0.0671309j 0.0615595-0.0423916j -0.0278771+0.00933295j 0.0359041-0.0508404j 0.00465188-0.04513j 0.0899088+0.0434438j 0.00590268+0.118444j 0.0675331-0.0608718j -0.019217-0.0164815j -0.0130929+0.014j 0.00603738-0.0391647j 0.0034614-0.0112551j -0.0212568+0.120528j 0.0416205-0.00936176j 0.0564097-0.0186663j 0.0437145-0.0835353j -0.0491204+0.0547159j -0.051926-0.00863235j -0.0111637-0.0297179j -0.0239967+0.0234196j -0.00333947+0.0343372j -0.102636-0.051631j 0.0739123+0.0200035j -0.067744-0.0356849j 0.0713603+0.0177733j 0.0210739-0.0654348j 0.0334982+0.0174478j 0.0435614+0.0458273j -0.0320918-0.0221525j 0.0438734-0.0162171j 0.0253633+0.0672441j 0.0221881+0.00188939j -0.0265067+0.0459035j -0.0235131-0.0441453j 0.0386344-0.0325786j -0.0521474+0.0258951j 0.0133895-0.00290619j 0.0145983+0.00468401j -0.0227615+0.041616j -0.0165589+0.0115795j 0.056337+0.00954343j -0.04445+0.0559801j -0.0552825-0.0294551j 0.0426357+0.0294822j -0.0480102+0.00470542j -0.0333374+0.0444809j -0.0134805-0.0184255j -0.0169188-0.021723j -0.0638851-0.0181585j 0.0417778+0.0197049j 0.0436499-0.00551701j 0.0536654+0.021843j 0.0344509+0.0469392j 0.00803755-0.00489894j 0.0902746+0.013782j 0.0641233-0.078426j 0.0375288-0.114434j 0.0466433-0.00188054j -0.0348174-0.063342j -0.0933526-0.0748376j -0.0163667-0.0171584j -0.0314409+0.00185399j -0.0130815+0.0240942j 0.0140252-0.0636221j 0.0685681+0.0147745j -0.000227725-0.0158109j 0.0327285-0.0544902j 0.0717198+0.0475851j -0.0486468+0.0311928j 0.094229+0.0547291j -0.0603744+0.0894534j 0.0393748-0.0354392j -0.0360324-0.0351123j 
-0.0215357+0.00318453j -0.000826224-0.0212521j -0.0254126+0.0733058j 0.0689113+0.0242987j -0.0384295-0.0445862j 0.0332473-0.0656399j 0.0610675-0.0356331j 0.0561428-0.0117009j -0.0771561-0.0645106j -0.0255454-0.0692811j 0.0271303-0.0473287j -0.0523843+0.00854274j 0.0206159+0.044521j -0.0163129-0.00297895j 0.0701021-0.013322j 0.0373591+0.00255438j -0.00241626+0.0821945j 0.0253052-0.00161382j 0.0120457-0.038683j 0.0993343-0.0646992j -0.0173022+0.13039j -0.181165-0.0581216j -0.0776326-0.0552377j -0.0925686-0.0204254j 0.0646782+0.0404538j -0.108751-0.0324755j 0.0296654+0.145525j -0.0303123+0.0062808j -0.00566149+0.0484387j 0.0127325-0.0660432j -0.0369745-0.00973817j -0.0980467-0.038589j 0.0335303+0.00137127j 0.00084986-0.0530131j 0.0439791+0.0308724j 0.0329116+0.00595365j 0.00432513+0.0720376j 0.0208382-0.0133446j 0.0538704-0.116137j -0.0645959-0.00425962j 0.0464809-0.0124095j -0.0320032+0.0554211j 0.00385867-0.0317556j 0.0534078+0.0155381j -0.0624354-0.00814335j -0.000734922-0.0124715j -0.0916674+0.040655j -0.00271769+0.00200585j -0.120059+0.121547j 0.074329-0.043149j 0.0069809+0.00336156j -0.0309457-0.0377214j -0.0532187-0.00129179j 0.0138665-0.0337509j -0.0364845-0.0136338j -0.00838747+0.0325927j 0.000451678+0.10533j -0.0635827-0.0631412j 0.103436+0.00766004j 0.0205562-0.0191755j 0.0423309-0.0486134j 0.0210567+0.0183492j -0.0290477-0.0341069j 0.0372231-0.0528926j -0.0488047-0.0204139j -0.0434979-0.106004j 0.0216758-0.0533266j 0.0545083+0.0580123j -0.0514827+0.149639j 0.0345299-0.00342799j 0.0458285-0.0172939j 0.0101253+0.00646262j 0.0257139-0.000845493j 0.110732+0.0174402j -0.00960259+0.117446j -0.0425501+0.00749041j 0.00962122+0.0409676j 
-0.0115866-0.0392893j 0.0374286-0.0102429j 0.0367232-0.00927359j -0.00608398-0.0406041j -0.0244034-0.0700539j 0.0870017-0.0374155j 0.0492767+0.0855955j -0.0674638+0.0653887j 0.0480521+0.0688898j -0.0457205+0.0282997j 0.0031615+0.025869j 0.0688816-0.0713999j -0.0936441-0.0107349j -0.019287+0.00824602j -0.0718288+0.0501417j -0.0195434-0.0802446j 0.0239421+0.0860728j 0.0414203+0.0648889j -0.0117713+0.00701183j 0.100513-0.0753695j -0.0549644-0.020705j -0.0327376+0.0380492j 0.00634615-0.00786455j -0.0135167+0.0314479j 0.026267+0.038059j -0.0280851+0.027345j 0.0215004-0.0158456j -0.00730089-0.057313j 0.0298007+0.0375305j -0.0394547-0.0620516j -0.00568671+0.040959j 0.0985006+0.0652367j 0.0300273+0.0463353j 0.0568811-0.0502767j 0.0088404+0.0690957j 0.0107444+0.0439764j 0.00877879+0.0284759j -0.0357787-0.0236978j 0.0267639-0.0611104j -0.0247698+0.00442348j -0.023041+0.00472166j 0.0193611-0.017123j 0.00596876+0.0901942j -0.0410673+0.0467644j 0.0824763-0.00221544j 0.00863045-0.0369295j -0.0337725+0.00219951j 0.016868-0.00472968j -0.0883338-0.0642373j -0.0432661+0.053298j -0.0324941+0.00190503j -0.066269-0.0384199j -0.0600433-0.0207031j 0.0315891-0.082039j 0.0530671-0.0133269j 0.029151-0.0126824j 0.0493189+0.0191671j -0.0469313+0.00522488j 0.00215716+0.0334828j 0.0645699-0.0263461j 0.00153475-0.039319j -0.00531472+0.0295335j -0.0405841+0.0217298j -0.0024443-0.0662626j 0.0146746-0.0390162j 0.0171886+0.0324447j -0.0546958+0.0697147j 0.150037-0.0352651j 0.0839708+0.0829166j -0.0339252+0.066351j -0.054483-0.068028j 0.0185464+0.0332391j -0.0769558-0.0451403j 0.0175698+0.0136403j -0.0188703+0.00271692j -0.0205684-0.0693342j -0.0731655+0.0206152j 
0.0683488+0.0287921j -0.029151+0.0642961j -0.000148172-0.0922286j -0.087984+0.0173921j 0.00467064+0.106445j -0.106305+0.045541j -0.0765299-0.0439777j 0.00984058-0.0121846j 0.133294+0.00162672j 0.0744185+0.0357124j 0.0958866+0.0221002j -0.0788368-0.0495802j -0.0340844+0.0966218j -0.0399423-0.004594j -0.0149299-0.072417j 0.102113-0.0255811j 0.0658359-0.0423503j 0.0132018+0.133234j -0.110387-0.0533282j 0.0664929-0.0342162j -0.0775043-0.0223123j 0.0123238-0.081493j 0.0223175-0.134404j -0.0898379+0.0763189j 0.0398206+0.0622884j -0.0462376-0.0206967j 0.120055+0.0369782j 0.026226+0.0293509j 0.0274905-0.0181345j 0.00859621-0.0689709j -0.0349797+0.117667j -0.034436+0.0667898j -0.0342524-0.105728j -0.0326849-0.0545051j -0.0589602+0.0530567j 0.113684+0.00330739j -0.052444-0.0146435j -0.0334796-0.019253j 0.0565372+0.00988599j 0.019429-0.00262581j -0.0459442+0.0208399j 0.0137202+0.016655j -0.0572767-0.0264439j 0.0262753-0.073258j 0.13775-0.0787592j -0.0803382+0.0172687j -0.0261459+0.00893625j -0.0158424-0.0160628j -0.0128814-0.0212968j 0.0994844-0.00919202j 0.0382991-0.0343879j 0.0357253-0.122925j 0.0195162+0.0233399j -0.0819619-0.112708j 0.0114776-0.0268615j 0.075664-0.0105431j 0.0642008-0.133283j 0.0787052+0.0427575j -0.0941122-0.0209919j 0.0771453-0.100746j 0.0403771+0.0723645j -0.00128211-0.0770286j -0.0339474-0.150968j -0.0879017-0.0194455j 0.102631+0.0781766j -0.0017444+0.0717423j -0.0156186+0.0380046j 0.0154131+0.00706655j 0.0593831-0.00554415j -0.0438365-0.134092j 0.0337492-0.0471779j 0.016911-0.127485j 0.168111+0.015894j -0.0868673+0.0627225j -0.0499748-0.0833527j -0.0239367+0.0405602j 0.0444292+0.0208023j 
