-0.00303053+0.00107861j -0.00100547-0.0012187j 0.00590967-0.00240718j -0.0031805-0.00184634j -0.00497935+0.00300041j -0.00577535+0.000511639j -0.00476092+0.000511909j -0.00376837-0.00184953j -0.00838215+0.00428858j -0.00701611+0.00195921j 0.00953239-0.00210789j -0.00328947+0.000171967j 0.00359242-0.000123966j 0.0133644-0.00199027j 0.0128576-0.00154099j -0.00288169-1.13528e-05j -0.00244769-8.08495e-05j 0.00730977-0.000724484j 0.000177745+0.00035284j 0.00582611+0.000154479j -0.00480097-0.000638339j 0.00293402+0.000115713j -0.000206913+0.000574001j -0.000800066+5.11941e-05j 0.00414446+5.47738e-05j 0.00696112-0.000152395j 0.00466371+0.000334323j -0.0163585-0.000459468j -0.000315231-5.89459e-05j -0.0038209-8.04632e-05j -0.00527763-0.000599093j 0.00272993+0.000140212j 0.000645558+3.26401e-05j 0.00114453-0.00050498j -0.00319728-8.73515e-05j -0.00479271+0.000298269j -0.00566281-0.000217108j -0.00429452-0.000489609j -0.00604249-0.00112593j -0.00151026-7.67719e-05j -0.00865728-0.00171822j 0.00784655+0.00114573j -0.0103357-0.00230707j 0.00391441+0.000570757j 0.00439776+0.000852284j 0.00648886+0.00217773j -0.00482569-0.00175158j 0.0052551+0.00384066j -0.00370179+0.00166783j -0.00396739-0.000390803j -0.00497727-0.000453491j -0.00412029-0.00274623j 0.00318027-0.00181561j 0.00520546+0.00234205j -0.00118376+0.00137352j 0.00294843+0.00119024j 
0.00108184-0.00466157j 0.00353293+0.00555921j -0.000421526+0.00718662j 0.00437239+0.00773296j -0.00226271-0.00883027j 0.00233987-0.00124732j 0.00228716+0.00494107j 0.000908497+0.00635433j -0.00352525-0.00765698j -0.00117829-0.00730161j -0.000351937+1.44629e-05j 0.00276733+0.00382076j -0.00201447-0.0115563j 0.00355112+0.000607159j 0.00380987+0.00441023j 0.000310997+0.00160685j 0.000586794+0.00813634j 0.00104697+0.00729978j -0.000606251-0.00725412j -0.000603316-0.00810699j -0.000128174+0.0115518j 9.7135e-05+0.00238954j -0.000592239-0.0067858j -0.000656787-0.00548015j 0.00151482-0.00228962j 0.00165606+0.00657894j 0.00216925-0.0025906j -0.00311502+0.00127938j -0.000293812+0.000197395j -0.00199243-0.00131074j -0.00189172+0.00763152j 0.00121743+0.00248948j 0.000685551-0.00512567j -0.000292252+0.00599864j -0.00109282+0.00174955j -7.95573e-05-0.0115641j 0.00029346-0.00665543j -0.00123037-0.000832212j -0.00229305+0.00930953j 0.00075891-0.0051481j -0.00339258+0.00246068j 0.00197208-0.00104512j -0.00320253+0.00196335j -0.00152266+0.00873689j -0.0013845+0.00225418j 0.00135779-0.00242398j -0.00138512+0.00611678j 0.00386659-0.00607913j 0.000711172-0.00489036j 0.00177009-0.00436838j 0.00190336+0.00131619j -0.00210016+0.00770986j -0.00454364+0.00694178j -0.000200099-0.00680408j 0.00508853-0.00648759j -0.00218398-0.0060671j 
-0.000383897+0.00391297j -0.0058199+0.00422964j 0.00243842-0.00354096j -0.0055751+0.00195225j 0.00115302-0.000866381j -0.00507155+0.00383903j -0.00620051+0.000482321j 0.00209556-0.00173529j 0.0003282-0.00308396j -0.000438971+0.000839543j 0.00521348-0.00223807j -0.00630321+0.00231571j 0.000320781-0.00150654j -0.00310206+0.00413992j -0.00436932+0.00173121j -0.000326595+0.00166419j -0.00171945+0.00262518j 0.00367768+4.71185e-05j -0.00196241-0.00101856j 0.00368541-0.0040573j 0.00288285+0.00187909j 0.00148412+0.00417077j 0.00135815-0.000895676j 0.0039976-0.0017894j -0.00400506+0.000451529j -0.000531301+0.00357727j -0.0059675+0.000161371j -0.00166386+1.49709e-05j 0.00194629-0.000446369j 0.00653917-0.00127252j 0.00105702+0.00256991j -0.00454033+0.00114295j -0.00221629-0.00115972j 0.00232239+0.00110282j -0.000579861+0.00162988j 0.000835401-0.00423291j -0.00276514-0.00246617j 0.000786705-0.000298618j -0.00145793+0.00355036j -0.00200894-0.00269434j 0.00399755+0.0025037j -0.00119764-0.00195668j 0.00173021+0.00213315j -0.00135034+0.0028429j 0.0035488+3.71155e-05j 0.0010617-0.000298216j 0.000616154+0.0017448j -0.0030056-0.00494442j 0.00420503-0.00240948j -0.00222595-9.34929e-05j -0.0037979-0.00231789j 0.00138733+0.00138358j 0.00421301+0.00313409j 0.000291076+0.000137753j -0.0126371+0.000939967j 0.00500248+0.0102543j 
-0.0042419-0.00170004j -0.000702315-0.00603744j 0.00535475+0.00171021j 0.000770021-0.00615775j -0.00288552+0.00157572j -0.000542231-0.00507455j -0.00307541-0.00300391j 0.00239544-0.000114795j -0.00326832+0.00249669j -0.000826704-0.000181414j 0.00368164+0.00372202j 0.000425964-0.00501683j 0.00620807-0.00155727j -0.00426399-0.00257109j 0.00107231-0.00488089j 0.0029648-0.00204162j -0.00337562-0.000786204j -0.00165096+0.00294053j 0.00322452-0.00140788j 0.00503151+0.00313734j 0.00174253+0.00096889j -0.00673318+0.00130233j -0.00542197+0.0020245j 0.00591151+0.00261123j 0.00359031-0.00401584j -0.00383094-0.000936197j 0.000881857-0.00559458j 0.000517548-5.86778e-05j 0.000236351+0.00117192j 0.00095899+0.00592869j -0.00251924+0.00117583j -0.00397565-0.00390632j 0.00617944-0.0014941j 0.00440829+0.00176006j -0.00451181-0.00030104j 0.000660096+0.00111582j 0.00551191-0.00211801j 0.000967233+0.00108547j -0.00385435-0.00100469j 0.0026564-0.00100157j 0.00156559+0.00499493j 0.00344688-0.00124044j -0.00310671+0.00168512j -0.00610452-0.00241564j -0.000474788+0.00282035j -0.00280474+0.000655618j -0.000731609+0.000850614j -0.000963725-0.0032135j -0.00045724+0.00040972j 0.00400666-0.0011009j 0.000296754-0.00319544j 0.00203658+0.00109403j -0.000475091+0.00599337j -0.00495729+0.00082173j -0.000820137-0.0096099j -0.00845118+0.00357137j 
-0.00194494-0.00284274j -0.00187376-0.00300413j -0.00111909+0.00439216j -0.00206629-0.000620769j 0.00347985-0.00125724j -0.00437222-0.00167421j 0.00187506-0.00728382j 0.000684949+0.00524813j 0.00673351-0.00280617j -0.000740792-0.000271991j -0.000901768+0.00484074j -0.00368756-0.00342693j -0.00348306+0.00586095j -0.000853088-0.00451599j -0.00285192-0.00142513j -0.00452624+0.00278505j -5.26896e-05-0.00409761j 0.00223861+0.00128424j -0.0026816-0.00022435j -0.000285632+0.00559319j -0.00283003+0.00486382j 0.00285429-0.00258173j 0.0063259-0.00246886j -0.00370381+0.00676929j -0.00420898-0.000944366j 0.00102588-0.000498281j -0.00111421-0.00370678j -0.00169682-0.00269814j 0.000436214+0.00195132j 0.000308668+0.00511345j -1.75631e-06-4.68333e-05j 0.00297058-0.00623878j -0.00567337+0.000375837j -0.00527367+0.00539696j 0.00260072-0.0023702j 0.00316274-0.000501026j -0.00314998-0.00186205j -0.000862419+0.000240963j 0.00109871-0.00350214j -0.000576229-0.00280438j -0.00522101+0.00513489j -0.0021346+0.000207266j 0.000260732+0.00192698j 0.00521728-0.000668929j 0.000210576+0.00554498j 0.00328145-0.000299728j -0.000193416-0.00094505j 0.00691249-0.00470549j 0.00391749+0.00397241j -0.00539577-0.00145107j 0.00297423-0.00550085j -0.00296693+0.00260603j -0.00301426+0.00229934j 0.00319285+0.000161315j -0.000756245-0.00481306j -0.00138361+0.00415926j 
0.000619995+0.000134691j 0.00145316+0.00303906j 0.00170474+0.00294673j 0.00334218+0.00306161j -0.00211857-0.00426044j 0.00216112+0.00440742j -0.00379952-0.00283523j 0.00361026-0.000134232j -0.00488491-0.0073712j -0.00029539+0.000470715j 0.0015766+0.0019758j 0.000689809+0.00419011j 0.00512192+0.00680754j -0.000704376-0.00075977j 0.00265677+0.00397834j 0.00367463+0.00575165j -0.00169628-0.00180351j -0.000612564-0.00342152j 0.000817482+0.00465398j 0.00129898+0.00233036j 0.00287262+0.002412j -0.00203215-0.00593375j -0.00363059-0.00856256j 0.00290595+0.00562693j 0.00212909+0.00677985j 0.000246044-0.00278032j 0.000767916+0.00305478j -0.00147593+0.00190159j 0.000497495-0.000775787j -0.000104046-0.00129032j -0.000313213-0.00165584j -0.00173717-0.00362571j 0.00151714+0.00910916j 0.00267202+0.00626822j -0.00111931-0.00470631j -0.00148471-0.00235219j -1.84165e-05+0.00711069j -0.00017087+0.00133028j -0.00121668-0.00216125j -0.00125378+0.00273138j 0.000807024+0.0040692j 0.000892244+0.0035876j 0.000616447-0.00295778j 0.000867897-0.0078941j 0.0017633-0.00224831j -0.000851063-0.00478982j -0.000957983+0.000199411j -0.00209245-0.00568042j 0.00242941-0.00453687j 0.000235451+0.00709485j -0.0020192-0.000694101j 0.00138125+0.00322146j -0.00126293+0.00157945j -0.000815895-0.00575158j 0.000866561+0.00116083j 0.00114692-0.00352865j 
-0.00748642-0.000138972j -0.00260706-0.00288302j 0.0032284+0.00257353j 8.18407e-05+0.00124905j 0.000343877-0.000571916j -0.00349219-0.000800186j 7.80266e-05+0.00199313j 0.00383656+0.00163436j 0.00378748-0.000190742j -0.00101703-0.000954517j 0.00181392+0.000234347j -0.00241967+0.00108818j 0.000894243-0.00293743j -0.00468036-0.000573338j -0.00296005+0.000724731j -0.00281598-0.000635192j -0.00356484+0.000700583j 0.00208997+0.00100606j -0.00171532-0.000534356j 0.00548291-0.000372584j 0.00202738-0.000883635j -0.00247155-0.0028833j 0.00224573-0.000757356j 0.00302748-0.0022218j -0.00431437-0.00042413j 0.00104767-0.00114295j -0.00425444+0.000889351j -0.00199614+0.00113064j 0.00161058+0.000414024j 0.00491666-0.000914404j 0.000432594-0.000814759j -0.00539088+0.000977909j -0.00309597-0.00130995j 0.00349886-0.000672171j 0.000339279-0.000315111j 0.00164185+0.00153785j -0.00514792-0.000589373j 2.05568e-05+0.000784758j -0.00319488-0.000440024j -0.0035713+0.000317325j 0.00604994-0.00112598j -0.000751089+0.0010982j 0.00418578+0.000235524j 0.00180067-0.000231511j 0.00706695+0.0013305j 0.000703103-0.00119818j -0.00181894-0.000739271j -0.00317816+0.00109479j 0.000190721+0.000502248j -0.003124-0.00067811j -0.00509583+0.000612358j 0.00115261-3.84133e-05j 0.00410917-0.00154022j 0.00452712+0.00245263j 0.00445218-0.000677629j 0.00272154-0.00881891j 
-0.00629136+0.00455169j -0.00374833-0.00348531j 0.00415286+0.000450174j 0.00120978-0.00285884j -0.000904701-0.000366757j -0.00306852-0.00146386j 0.00452885-0.000153705j 0.00315714-0.0022308j 0.00308227-0.00253367j -0.00196037-0.000690255j -0.000121647+0.00144826j 0.000280399-0.000529244j -0.00416251-0.00198261j -0.00320152+0.00243644j -0.00133911+0.000320747j -0.00352256+9.9289e-05j 0.000307614+0.00371675j 0.00180505+0.000278026j -0.0016545+0.000661989j 0.00132978-0.0038197j -0.000321993-0.00320171j -0.00355409+0.000683176j 0.0020802-0.00170846j -0.00164459-0.00410047j -0.00346214+0.00116174j -0.000826006-0.00311503j -0.0010243+0.000661677j -5.17263e-05+0.00229314j 0.00119979-0.0016795j 0.000839085-0.00205909j -0.00122879-0.000144588j -0.000247962+0.00483526j -0.00418345+0.00129403j -0.000594872-0.0045151j 0.000883505-0.000514605j 0.00322851-0.000164635j -0.00304533+0.00227203j 2.5421e-05+0.00112295j -0.0023734+0.00229051j -0.00167008+0.00397771j -0.00104388-0.00496238j 0.00132175+0.000845627j 0.00140268-0.00248382j 0.00166934-0.000396328j 0.00393342-0.00389374j 0.000571963-1.37667e-05j -0.00168819+0.00121387j 0.0032783+0.00375374j 0.00165945+0.00168194j -0.00225419+0.00126675j -0.000765128+0.00425868j -0.000430407-0.00116238j -0.00230997-0.00114656j 0.00249999-0.00279209j 0.00497308-0.00972611j -0.0110282-0.00823322j 
0.00250863-0.00690862j 0.000758624-8.96902e-05j -0.0011699+0.00176966j -0.00366455-0.00162775j -0.00171737-0.00101223j 0.00174396-0.00546743j -0.00144105+0.00407129j -0.00320468-0.000754663j -0.00269089+0.00136296j 0.0017689-0.00308462j -0.00162928+0.00295408j -0.00201971-0.000388879j 0.00229233+0.00211707j 0.00281015-0.001672j -0.00250669-0.00178317j -0.000768221-0.00558239j 0.00274801-0.00165729j -0.00264524+0.00112934j 0.000253803+0.000569122j -0.00295755+0.00207522j 0.00163604-0.0041445j 0.00522649-0.00592879j 0.0023164-0.000585511j 0.00262368-0.00254659j -0.0017421-0.00270195j 0.000343945-0.00273315j -0.00352677-0.00361725j -0.0011516+0.00104573j -0.00096414-0.00232976j 0.000780941+0.00116443j 0.000577683+8.13371e-05j 3.31131e-05+0.000393769j 0.000754119+0.000842064j -0.00173387-0.000398419j 0.00510209-0.00262358j -0.0033707+0.00143956j -0.00459855-0.00224451j -0.00173875+0.00177578j -0.00255979+0.000374311j -0.0025416+0.00401435j 0.00202407+0.00264113j 0.00096201-0.00025416j 0.00421091+0.0025695j 0.00153565+0.00247422j 0.000588905+0.00191109j 0.00475715+9.32634e-05j -0.00177255-0.00143004j -0.00176766-0.00173716j 0.00224439-0.00436375j 0.00462176+0.00029383j -0.0052492+0.000686288j -0.000781342-0.000496323j -0.000994852+0.00677818j -0.00249126+0.00102927j 0.0059751+0.00225063j 0.00934636-0.00411177j 
-0.00013608-0.00231357j 0.00351403-0.0023374j 0.000250437+0.00204482j 0.00652891-0.0052899j 0.00195745-0.00309957j 0.0031561-0.00107405j -0.00249653+0.00139516j 0.00612451-0.00390355j 0.00288814-0.00244026j 0.00079772+0.000652542j -0.00255559+0.000482421j 0.000561407-0.00186377j -0.00350856+0.00106233j -0.00382336+0.00229474j 0.00235873-0.00406577j 0.00357483-0.00419262j -0.00400467+0.00345423j 0.0018502-0.0017353j -0.00289498+0.00191551j 0.00261076-0.00301091j 0.00802542-0.00424209j 0.000645607-7.45732e-05j 0.00427795+0.00124454j 0.00508327-0.00144429j -0.000363662-0.00282329j 0.00604884-0.00374858j 0.00521172-0.00393155j -0.00371712-2.15044e-05j 0.00685218-0.00199549j -7.55574e-05-0.000765296j -0.00237079-0.00134243j -0.0051332+0.00375754j -0.00698852+0.000280369j 0.00516308-0.00372521j 0.0031617-0.000188849j 0.00436716+0.000599017j 0.000658421-0.00174348j -0.00253756+0.000428895j -0.00256344-0.00137212j -0.00946242+0.00118678j -0.00359329-0.00217266j 0.00136264+0.000441891j -0.00205743+0.00089054j -0.00178385+0.000832509j 0.00177843-0.000182677j -0.00146039+0.00332786j -3.02605e-05-0.000256566j 0.00335999+0.00205495j 0.00817395+0.00281579j -0.00370091+0.00268728j -0.00124215-0.00112528j 0.00115858-0.000410308j -0.0108441-0.00134788j -1.26743e-05-0.00505963j 0.00495695+0.000184831j -0.000988957-0.00247907j 
-0.00271522-0.00337087j 0.00136925+0.000973911j -0.000924929+0.000250434j 8.36484e-05+0.00316586j 0.00197901+0.00135078j -0.00106721-0.00115547j 0.00261406+0.00213462j 0.000157006+0.00310048j 0.00609608+0.00386767j -0.00258581-0.000621359j 0.00150664+0.00166532j 0.00203422+0.00143957j 9.6935e-05-0.00243042j -0.00662766-0.00483947j 0.00164064+0.000716711j 0.00206514+0.000688866j 0.00116059-0.00077086j 0.00211005+0.00259568j -0.000915626-0.00101741j 0.00614797+0.00416977j 0.00169133+0.000422968j -0.000251685-0.0029838j -0.00161519-0.00162313j -0.00098325-0.00178967j 0.00213865+0.00241539j 0.00209368+0.00198514j 0.00277159+0.0045968j 0.00109911-0.000306932j 0.000563025+0.00154271j 0.00426564+0.00202853j 0.00212623+7.38915e-05j -0.00412097-0.00225699j -0.00140537-0.00343015j 0.00223179+0.00276806j 0.00174141-0.00213421j -5.19604e-05+0.0023314j 0.00199706+0.00537187j -0.000228539-0.000359493j 0.000471367+0.00214203j -0.00294936-0.00277109j 0.00206781-0.00164483j 0.00209589+0.00181981j -0.00189717-0.00709518j 0.00183183+0.000278518j 0.0013053+0.00173813j -0.00197989-0.00291289j -0.00151324+0.00257671j 0.00168012+0.00688084j -0.00209028+0.0023663j -0.0011378-0.00367815j -0.00217654+0.00232572j -0.000997554-0.00178721j 0.00228777-0.00258694j 0.0024778+0.00082652j 0.00242471-0.00292454j -0.00157028-0.00676821j 
