-0.0049725+0.00226615j -0.00246473-0.00168608j -0.00701998+0.00329931j 0.00482264+0.00129928j 0.00328208-0.00290278j 0.00811343-0.00181696j 0.00456245+6.75438e-05j 0.00236649+5.41479e-05j 0.00184188-0.00139742j 0.00744465-0.00314923j -0.00692406+0.000990921j -0.00641885+0.00134738j -0.00260408-9.96171e-05j -8.65694e-05-0.00230352j 0.00218852-0.00278948j -0.00860223+0.00250775j -0.00355159+0.000702699j -0.00287479+0.00163092j -0.00849034+0.00278551j -0.00243908-0.000526014j 0.00557023-0.000315638j -0.00541966-0.000199294j -0.00903736+0.000125873j 0.00391169-0.00192719j -0.000699636+0.00134646j -0.0043333+0.000930663j -0.00224318-0.00286619j 0.00909703-0.00100851j 0.00492287-0.00184895j -0.00226406+0.000510729j -0.00399362-0.0009971j -0.00186254-0.000764016j -0.000984005+0.00017047j 0.0014969+0.000674116j -0.00759753-0.000169295j -0.00475215+0.000158445j -0.00248621-0.000666775j 0.00505714-0.000140367j 0.00958038+3.88982e-05j 0.00431854+0.000124156j 0.00151874-0.000620624j -0.00531006-0.000398685j 0.0068571-0.000167598j 0.00212244-0.000558273j 0.000383309+0.00156381j -0.000192787-7.41399e-05j -0.0025938+0.000822837j 0.00342435+0.000945787j -0.00726375-0.00343414j -0.00236924-0.00107814j 0.00629778-0.00141072j -0.00445065-0.00120335j 0.00103733+0.00144263j 0.00443711+0.00161375j 0.00698546+0.000153568j 0.00202424-0.000764156j 0.00576283+0.000614507j -0.00118626+0.000480528j 0.00789259+0.00300356j 0.00176076+0.00121384j -0.00144632+3.35949e-05j -0.00603568-0.00194138j -0.00255263-0.00264137j -0.00103131-0.00218919j 0.00309324-0.000236353j 0.0054922+0.00115617j 0.0059113+0.00101867j -0.00599751-0.00278643j -0.00123196-0.00135361j -0.00234877-0.000124834j -0.00403455+3.14939e-05j -0.00724812-0.00169868j -0.00269244-0.00268117j 0.00473782-0.00125601j 0.00630695+0.00325504j -0.00269272+0.00197411j 0.00488697+0.00238349j 
0.000923811-0.00630762j 0.00458422+0.0065315j 0.000363858-0.00525747j -0.00302569-0.00715901j 0.00233867+0.00635248j -0.000768688+0.00264723j -0.00288226-0.00711922j 0.00158464-0.00582697j 0.00133057+0.000288686j 0.00268045+0.0075084j 0.00153116+0.00372003j -0.000519105+0.000972935j 0.000128385+0.00824989j 0.0031411+0.0020716j 0.00177296+0.00402238j -0.00443819-0.00890802j 0.000304399-0.000528531j -2.19262e-06+0.000753614j -0.00271755-0.00563919j -0.00079962-0.00280342j -0.00104272-0.00710354j 0.000547434-0.000662928j -0.00278446+0.000580242j 0.00346479+0.00786535j -0.000753062-0.00123297j -0.00191449-0.00807294j -3.15109e-05+0.00972988j 0.00204744+0.000236977j 0.000192098-0.00400886j -0.000170733+0.000111878j -0.00159292+0.00249031j -0.00119464-0.00791119j -4.47459e-05-0.00276252j 0.000637026-0.00237959j -0.00263363-0.00134858j -0.0017707-0.00791013j -0.00126194+0.00692028j 0.000401975-0.00352707j 0.00174147+0.000131383j 0.00170719+0.000161394j 0.00110859+0.00292092j -0.00170848+0.00481434j 0.00286422-0.000590312j 0.000825092+0.00178976j 0.000211762+0.00432236j 0.000133108+0.00333147j -0.00066379-0.00243869j 0.00103329+0.00360052j -0.00320821+0.00399681j -0.00163305+0.00663866j 0.000132702+0.00975709j -0.00154938+0.000788808j 0.0019829-0.00538294j 0.00323061-0.00504205j 0.0021823+0.000648524j 0.000272457-0.00584735j 0.000164857+0.00636341j -0.000612737+0.00195455j 0.00273139-0.00243739j 0.00111455-0.00244489j 0.00166772-0.00211855j -0.00222409+0.00417546j -0.00360099+0.00601699j -0.00381468+0.00433679j 0.00167707+0.00615464j -1.5581e-05+0.00208606j 0.000619543+0.000403448j -0.00317579+0.00737583j -0.00334862+0.00176436j -0.00220781+0.00100532j 0.000117018-0.00584808j 0.000686071+0.00275346j -0.0037366+0.00680338j -0.00287569+0.00329037j 0.00232256-0.00673034j 0.00595989-0.00662781j -0.0012142-0.00802328j 
0.000843421+0.00344645j -0.00161356-0.000544892j 0.0028409+0.00522391j 0.00102074-0.00298814j -0.00246886-0.00563401j 0.00100238-0.00156031j -0.00244216+0.000143256j -0.00178108-0.00873209j -0.00319931-0.00447387j -0.00091141-0.00400165j 0.00169336+0.00416675j -0.00184491-0.0030622j 0.00283378+0.00196586j -0.00120583-0.0100201j -0.00215606-0.00548314j -0.00160002-0.00453003j -0.00215071-0.00391258j 0.00189582+0.00691391j -0.000189564-0.00667607j 0.000650307+0.00131331j 0.000241387+0.00609639j 0.0016124+0.00878032j 0.000189991-0.000490207j -0.00108471+0.000744218j 0.00188323+0.00707663j -0.0010243-0.0121761j -0.00203985-0.00802076j -0.000831169-0.000650561j -0.00196808+0.00156583j 0.000508017-0.00763416j -0.000282795-0.000450316j -0.000471054+0.000973815j -0.000305843-0.000991442j 8.9742e-05+0.000528957j 0.00128655-0.00260356j -5.30196e-05-0.00383842j 0.000414426+0.00607667j -0.000120597-0.014821j -0.000939024+0.0012167j -0.000508108+0.00320728j 7.71575e-05-0.00828695j 0.00109042-0.00607118j -0.00103902+0.004544j -0.000568306-0.000331566j 0.00177472-0.00268873j 0.000194725-0.00200946j 0.00110953+0.00113474j 0.000166793+0.00635653j -0.00151667+0.00184739j 0.000276361-0.000326402j -0.00171306+0.000961719j 0.00249482-0.0132963j 0.000936591-0.00410282j -0.00133729+0.00286161j -0.00122757-0.000381748j 0.00105026-0.00561754j -6.04847e-05+0.000988469j 0.00116613-0.0034554j -0.00187678+0.00657734j 0.00165707-0.00633435j 0.00102204-0.00236742j 0.00399153-0.00653665j -0.00138312+0.00279324j 0.000425513+0.00717962j 0.00296464-0.00381641j -0.00159643+0.00210544j 0.00200409-0.0046528j 0.000887087-0.00120652j -0.00165442+0.0031522j -0.000919835+0.00953851j -0.00369493+0.00320035j 0.000427387-0.000693019j -0.000390609+0.00121363j 0.000833393-0.00627909j 0.00254683-0.00132785j -0.00134351+0.00378726j 0.00180875+0.000741737j 
0.00196813-0.00486127j 0.0072589-0.00344698j 0.00472079-0.00227865j -0.00322009+6.36227e-05j 0.000419786-0.000715244j -0.00343101+0.00176818j -0.00534191+0.00185262j 0.00482018-0.00330568j -6.91651e-05-0.00105351j -4.14875e-05-0.00122935j 0.00447728-0.00232532j 0.00250353+0.00125226j -0.00331196+0.000475662j 0.00216864-0.00234596j 0.00131014-0.00108267j -0.00208845+0.00476559j 0.0022393-0.00112938j 0.00202734-0.000417085j 0.00169549+0.000942381j -0.000129772-0.000203064j -0.00362582+0.00371972j 0.00331048-0.00140911j -0.00267528+0.00271048j 0.00599672-0.00496526j -0.00211146+0.000567015j -0.000527223+0.00179488j -0.00052971-0.00201736j 0.000502702+0.000122261j -0.00252424+0.00398567j 0.00177059-0.00013464j -0.00265293+0.000243297j 0.000741937+0.000733685j 0.00336784+0.000860149j 0.000697471-8.93738e-05j -0.00377253+0.00116394j -0.00278946+0.00371584j -0.00334617-0.00211759j -0.00227482+0.00125686j -0.00396877+0.00120557j 0.00271823-0.000707181j 0.00402552-0.00183193j 0.000834-0.0031598j 0.0069563-0.000995081j 0.00195361-0.000145007j -0.00104712-0.00180166j 0.00277652-0.00279023j -0.00177764+0.000598196j 0.000773717-0.00122075j -0.00341093-0.000387344j -0.000494821-0.00319379j -0.00155807-0.00355155j 0.0006214-0.00142728j 0.00291071+0.00273744j 0.00356288+0.00426679j 0.00195851+0.00171215j -0.00305858+0.00175398j 0.00160933-0.00100937j -0.0026168-0.000556107j -0.000615343+0.00364998j -6.95046e-05+0.00010464j 0.0042239+0.00210741j -0.0026434-0.00298012j -0.00249399-0.00093517j -0.00168635-0.00417176j 0.00365498-0.00232149j -0.00109235+0.000634764j -0.00343396-2.73797e-05j -0.00172167-0.00196975j -0.0032604-0.00294757j -0.00426014+0.00137242j 0.000358899-0.000412543j 0.00437393+0.000641758j -0.00329624-0.00292689j -0.00200301-0.00413485j 0.00247903+0.000715186j 0.0112899+0.000684382j -0.00353521-0.0066926j 
-0.0041991-0.00127485j 0.00186695-0.00595061j -0.00521085-0.000318492j -0.00293231+0.00445463j 0.00396654-0.00102606j -0.0033114+0.00412935j 0.00203786+0.000609748j -0.00229976-0.00124191j 0.0033609-0.00116844j -0.00110185-0.000290291j -0.00132837-0.00144714j 0.00286815-0.00196333j 0.0026207+0.000292526j -0.00357111-0.00126687j -0.00273922-0.00212652j -0.000883411+0.00120297j 0.00356806-0.00378187j -0.0044352+0.00209649j 0.000120597+0.000396647j -0.00341116+0.000934619j 0.00617461-0.000698274j -9.84669e-05-0.000599348j -0.000558416+0.00122148j -0.00068265-0.00365186j -0.00511771+0.00426945j 0.00324314-0.00201792j 0.001173-0.00217813j 0.000682732-0.000937622j 0.00747171-0.000668286j -0.00240491-0.000770884j -0.00161308+0.00155946j -0.00218643+0.00130957j 0.00486892-0.00136718j 0.0031434-0.00197113j -0.00197038+0.00172987j 0.00702239+0.000556717j -0.00390575+0.00302028j -0.00248499-8.9584e-05j 0.00110246+0.000825222j 0.000187985-0.000619494j 0.000115696-0.00349549j -0.00776154-9.69404e-05j -0.00387061-0.00134107j 0.00365166-0.00117432j -0.00139489-0.000771235j 0.000986014-0.00130338j -0.0016893+0.00105226j -0.00430008+9.11046e-05j 0.00468671+0.00291969j -0.00402766+0.000263189j 0.00244037-0.000147463j -0.00406309-0.00156768j 0.00410341-0.00272081j 0.00724486-0.000481729j 0.00184324-0.000506007j 0.0034115+0.000492596j -0.0044057-0.00184818j 0.00298085+0.000342442j -0.00251147+0.000336061j -0.00129679-0.000193052j -0.00150046-0.000287787j -0.00455836-0.00122353j 0.00158593+0.00320946j -0.00127534+0.00296445j -0.00225132-0.00372341j 0.000174594-0.000500223j -0.000504317-2.76713e-05j 0.00115993+0.000928325j 0.00133902+0.00275173j 0.000366368+0.00106853j 0.00580418+0.00170821j 0.000411336+0.000311307j -0.000163788+0.00147764j -0.000918296+0.00329212j -0.00646833-0.00185168j 0.0013866-0.00691979j -0.00774742+5.48148e-05j 
-0.00337369-0.00292644j -0.00250837-0.00406914j -0.000603109-0.00543313j 0.000417244-0.000400443j -0.00254601+0.00051065j 0.00325877-0.000552213j 0.00172424+0.00578637j -0.00242024-0.00547269j -0.00252193+0.000990812j 0.000722237-0.00144777j -0.00188725-0.00509704j -0.000139723-0.000313095j -0.000581431+0.00522239j -0.000467815-0.00399101j 0.0017508-0.0019209j 0.00461674+0.00123075j -0.00178675+0.000892539j 0.000746916-0.00557131j -0.000834698-0.00108802j 0.00045513-0.000723303j 0.00164939+0.00659986j -0.00149231-0.00355167j 0.00309826+0.00178897j -0.00463542-0.00404065j 0.00262816-0.00311397j 0.00052599+0.00259642j -0.000818351+0.00172841j -0.000313813+0.000826289j 0.000706107+0.00572789j 0.000591061-0.0025831j 0.00101448+0.00128423j 0.000475712-0.00215543j -0.00228885-0.000877028j -0.00204126+0.00296874j 0.000997619+0.0036988j 0.000443958+0.00496269j 0.00032551+0.000392044j 0.00278748+0.000490428j 0.000538115+0.00499415j -0.000830139-0.00273446j -0.00184529-0.00234323j 0.00075706-0.00379405j 0.000585587-0.00973238j -0.00289007+0.000677787j 0.000455634+0.00155928j -0.00325378-0.00152428j 0.00141879+0.00092239j 0.000953441-0.00209612j -0.00215367+0.00343431j -9.48857e-05-0.000581673j -0.00385361+0.00441981j 0.00119861-0.00137925j -0.000680781-0.00046706j -0.000896903-0.00212362j -6.53287e-05-0.00178329j -0.00102597+0.00476644j 0.00135036-0.00166465j -0.00193289+0.00501834j 0.00459786-0.00232563j -0.000152509-0.000108439j 0.00153488-0.00664591j 0.00123041+0.0020179j -0.00251703+0.00231059j -0.0042183+0.00200191j 0.00093509-0.00297813j 0.00118825+0.00237727j 1.97938e-06+0.00393218j -0.00203141+0.00257181j -0.00377386+0.00381963j 0.000769769+0.00463407j -0.00453199+0.00110583j -0.000419234-0.00541317j -0.00155532+0.00347807j -0.00289131+0.00188693j 0.00313915-0.00297158j -0.000738523-0.00728732j -0.00196746+0.00336452j 
0.00181764+0.000245604j 0.00202883+0.00538386j -0.000894294-0.00241716j -0.00317314-0.0032714j 0.00105657+0.00438245j -0.00356644-0.00510492j 0.000909802-0.00023182j -0.00208415+0.00104229j 0.00102395+0.00419778j -0.00100729-0.00126396j -0.00146784+0.000760096j 0.00104911+0.00217903j 0.00389117+0.000875032j -0.0015083-0.00160634j -0.00067441-0.00248874j -0.00267546-0.0039113j 0.00286857+0.00412575j -0.00445793-0.00340582j 0.000521332+0.0012736j -5.81625e-06-0.00281289j 0.00250597+0.00316976j -0.00267139+0.00116108j -0.00179056-0.00345405j 0.00355721+0.00420259j -0.00588662-0.00654171j 0.00158309+0.00222088j 0.00115136+0.000879092j 0.00187065+0.00130801j 0.00126616+0.00461974j -9.60166e-05-0.00162867j -0.00112923-0.00300975j -0.00182057-0.00182282j 0.00145588+0.00623934j 0.00469346+0.0046082j 0.00180014-0.00288428j -6.51462e-05+0.00396641j -0.00208328-0.00464235j -0.000717182-0.00425125j 0.00241549-0.000136012j -0.000859212+0.0012695j 0.00248907+0.00317063j -0.000370319-0.00585807j -0.00363301-0.00139706j 0.00283851+0.00592393j 0.000574815-0.00188781j 0.00193761+0.00402709j -0.000553052-0.0027906j -0.000354569-0.00342812j -0.0013667+0.00358604j 0.00032077-0.00296847j 0.00307994+0.00361449j 0.000908887-0.00300121j 0.00242056+0.00554098j -0.000996133+0.007631j -0.000281056+0.00216315j 0.00195944+0.00246439j 0.00152472-0.00342378j 0.00167465+0.00232551j -0.00241135-0.00488163j 0.000784003-0.000492197j -0.00271586+0.000158368j 0.00150088-0.00513736j 0.000605987+0.00234408j 0.00101614+0.0017866j 0.000405026-0.00221092j 0.0010595-0.00146709j 0.00258175-0.00124251j 0.00158896+0.00183263j 8.68784e-05+0.00246575j 0.00238459-0.00117756j -0.000429033+0.00707216j -0.00201822+0.00264798j 0.000361227+0.000193342j -0.00140268-0.00021685j 0.00022183-0.00607735j 0.000697876+0.00396052j 0.00300778-0.0048844j 
-0.000217478+0.00133013j 0.00111549-0.000934259j -0.00131849+0.00453399j 0.000583181+0.000476682j 0.00080048-0.00122027j -0.00152212-0.000911459j 0.00117098-0.00545818j 0.00295628-0.00211945j 0.000867438-0.00381719j 0.00254655-0.00352061j 0.00213714-0.00197875j 0.00142994+0.00144728j -0.00259839+0.00570323j 0.00082122-0.0038387j 0.00207863-0.00367192j -0.000364646-0.0027484j 0.00314043-0.00156791j 2.48843e-05-0.00218057j -0.00407206+0.00658703j -0.00256292+0.00405443j 0.000799551-0.00183321j 0.00412273-0.00496809j 0.000474857-0.00274387j -0.00246381+0.00547045j 0.00346039-0.00490887j 0.000472256-0.0019653j 0.00218666-0.00473415j -0.00273257+0.00325161j 0.000839883-0.00298462j -0.00195457+0.00199034j 0.000406162-0.00181977j -0.00107621+0.000713455j -0.000793082+0.00329556j -0.00496672+0.00673466j -0.00609621+0.00522181j 0.00361517-0.0036886j 0.00185212-0.00258078j 0.000253798-0.00308605j -0.00438388+0.00244124j 0.00144123-0.000143935j -0.00391288+0.00285456j -0.00248862+0.00172565j 0.00271071-0.00161996j -0.00552043+0.00539209j 0.00192405-0.00164282j -0.00222272+0.00330901j 0.00051928-0.000467256j -0.0015132+0.00134061j 0.00450314-0.00349263j -0.000490306-1.32963e-05j -0.00207221+0.0012021j -0.00269098+0.000849995j -0.00570762+0.00488416j -0.000449106+0.00210259j -0.00189401+0.00175633j -0.00353843+0.000467948j -0.00529654+0.00167342j -0.000536791-0.000444566j 0.0013966-0.00247754j -0.00416121+0.00193469j -0.00314852+0.00158161j 0.00142226-0.00298567j -0.00333746+0.00393111j -0.00508426+0.00243025j 0.00448541-0.00236128j 0.00106792+1.9248e-05j -0.00384746+0.00130283j -0.00185595+0.00264118j 0.000254354-0.00233352j -0.00414732+0.00118487j 0.00186057+0.000108974j -0.0029433+0.00300506j 0.000679751-0.00291643j 0.00314838-0.00121102j -0.00225839+0.00216123j 7.59709e-05+0.000533545j -0.00179364-0.000212371j 
-0.000139856-0.000560136j 0.00264139+0.00232941j -0.00425017-0.00216067j -0.00180981-5.78296e-05j 0.00224533+0.00163322j -0.000425191-0.00212515j 0.00479431+0.00133598j 0.00268143+0.00312925j 0.00465158+0.00156965j 0.00370761+0.00230252j 0.00241619+0.0020897j -0.000830405+0.00189554j -0.00570662-0.00282764j 0.00436092+0.000471019j 0.00388991+0.00186355j 0.00130404-0.00066959j 0.00285993+0.0038712j 0.00129543-0.000788523j -0.00642053-0.00374046j -0.00437222-0.00309679j 0.0016962+0.00185365j 0.00512437+0.00443278j 0.00154451-6.5205e-05j -0.00341909-0.00205389j 0.00318572+0.00205408j 0.00225384+0.00114045j 0.00516767+0.00235316j -0.00288829-0.00231749j 0.00262631+0.00215215j -0.00170338-0.00238293j 0.000948911-0.000412682j -0.00116636-0.00147908j -0.00209082+0.00074543j -0.00575986-0.0040497j -0.00592124-0.00699663j 0.00345877+0.00500951j 0.0015727+0.000617777j 0.00249707-0.000858108j -0.0030201-0.00487317j 0.000563816+0.00183824j -0.00168007-0.0034185j -0.00176683-0.00419261j 0.00227537+0.00245791j -0.0044916-0.0042972j 0.00143771+0.00165304j -0.00218782-0.00147862j -2.42633e-05+2.24705e-06j -0.0016123-0.0024074j 0.00299183+0.0055217j -6.96282e-05-0.00157309j -0.0010079-0.00197163j -0.000628243-0.0034117j -0.00383346-0.00415171j -0.00131073+0.00197771j -0.00148592-0.00134767j -0.000645613-0.00359794j -0.00151069-0.00669612j 0.000154195-8.57658e-05j 0.00183857+0.000650266j -0.00196791-0.00433401j -0.00125514-0.00259394j 0.0027002+2.95535e-05j -0.00401454-0.00310818j -0.00267105-0.00548186j 0.0029465+0.00410406j -0.000309344+0.000709379j -0.00165946-0.00443452j -0.00246442-0.00141308j 0.00180443+0.00030785j -0.00158513-0.00493239j 0.000368367+0.00337797j -0.00252657-0.00175885j 0.00231486+0.000342838j 0.000646297+0.00285494j -0.00229505-0.00360005j 0.00111545+0.000650383j -0.000413938-0.00379937j 
0.00417372+0.00409998j -0.00169143+0.000416244j -0.000739523+0.000950184j 0.00309569+0.00297478j 0.00273271-0.000496493j -0.000500427+9.82001e-05j -0.00164652+0.00243411j 0.00174985+0.00206057j 0.00179094+0.000996687j 0.000433858-0.000190741j 0.002438-0.000905298j -0.000727769-0.00210507j -0.00131949-0.00198277j 0.0011216-0.00132105j -0.0011069-0.00114131j -0.00428541-0.00222093j 0.000613583+0.000950394j 0.000912319-0.000911505j 0.00171454-0.000287743j 0.000706326-5.99629e-05j -0.00332355+0.00179306j 0.000800378+0.000512792j -0.00340335-0.00258795j 0.0040876+0.00132826j 0.000789213-0.000502388j -0.000299091+0.00168857j -0.00131164-0.000173355j -0.000759903-0.000572162j -0.00467037-0.00143464j 0.00120974-0.00117265j -0.000889164-0.00119986j 0.00198112+0.000742059j 0.00310794+0.00114779j -0.000922969+0.00124223j -0.00251437-0.001556j -0.00236864+0.000615652j 0.000149928+0.00127709j 2.33318e-05-0.000624229j -0.00378482-0.00150027j 0.00157316+0.000607658j 0.00166336-3.76738e-05j 0.00242972+0.00022923j 0.00597471+0.000422123j 0.0015791+0.000476121j -0.00234239+0.00067923j 0.00349867+0.0049308j -0.00195444-0.000497314j 0.000240745-0.00080009j -0.000404615+0.00148319j -0.00170124-9.40984e-06j -0.00382795+0.00150614j 0.000768728-0.000295672j 0.00217592-0.00145582j 0.00392372-0.000995873j 0.00245454-0.00131901j -0.00303727-0.000867506j -0.00149909-0.00204065j -0.00415961-0.000567403j 0.00292944-0.0024591j 0.000594449+0.000965919j 0.00529991-0.00103953j -0.00203619-0.000657713j 0.000525208+0.000207351j -0.00306628+0.00261401j 0.000394117+0.000690933j -0.00299097-0.00216471j -0.000639115+7.14802e-05j -1.16681e-05-1.68184e-05j -0.00341891+0.00147053j -0.00148058-0.00116864j 0.000271168+0.0025352j 0.00331061+0.000531717j -0.00293872+0.000636767j -0.00417807+0.00337326j -0.00251087-0.00217112j -0.00250051-0.00279977j -0.00501435+0.00587939j 
0.00727797-0.00291862j 0.0028658+0.00357514j 0.00107302+0.00199127j 0.00133307-0.0030807j -0.000988864-0.00271678j -0.00314375-0.00108285j 0.00289943-0.000174731j 0.003153-0.000711565j 0.00104251-0.00289676j -0.000301483-0.00100752j 0.000107764-0.00046425j -0.00194698+0.000381763j -0.0019624+0.000874036j -6.18922e-05-0.000182593j 0.000138578+0.00199718j -0.00282392+0.00332446j 0.00397689-2.95723e-05j -0.00223923-0.000617863j -0.000720665-0.000884235j -0.00100033+0.000216883j 0.00286846+0.0014114j 0.00170948+0.000904363j -0.00338986+0.00346734j 0.00292324-0.00201913j -0.00231915-0.000912017j 0.00183786-0.000257707j 0.00066667+0.00217209j -0.000312178-0.000283075j -0.000482626+0.00231995j -0.00240734-0.000949236j -0.00285063+0.000737317j -0.00197192-0.0026771j 0.00115011-0.0043384j 0.00364319+0.00194193j -0.00323312+0.00213799j 0.00171313+0.000579397j -0.000500311+0.000118645j -0.00240922+0.000204338j -0.00156856+0.00331484j 0.00095933-0.000687877j 0.00129215-0.000235863j -0.00131898-0.00140222j 2.62958e-05-0.00427036j 0.000765679-0.00245593j 0.000851811+0.00219893j 0.00487648-0.00221545j -0.000613931+0.00256547j -0.00110668+0.000353985j 0.00314841-0.00198825j 0.00018099+0.00251024j 0.00222347+0.00445097j -0.000986432-0.000864815j 0.000817058-2.53618e-05j 0.00132784-0.00352937j -0.000965677-0.00200558j -0.000983483+0.00284661j -0.00429914+0.00184418j -0.00035562+0.00287408j -0.00335211-0.00115782j -0.000554778-0.00142135j -0.00119983-0.00421845j -0.000489191+0.00198674j -7.83764e-05-0.00224592j 0.0018957+0.000425106j -0.000454009+0.000747024j -0.00194739+0.0017878j -0.00165856+0.000762461j 0.000525621+2.48147e-05j 0.0023172+0.000561161j -0.00294155+0.000584823j 0.00414967-0.00102349j 0.000394579-0.00339381j 0.00198611+0.000855569j 0.00233987+0.000845812j -0.00254593+0.00260427j -0.00196903+0.00599533j 0.00654726+0.00475646j 
