-0.17579-1.09635e-13j -0.0438473-2.38407e-14j -0.0601124-2.57334e-16j -0.0704983-4.13429e-17j -0.0838355-4.88766e-17j -0.00945734-7.91884e-16j -0.0691154-1.39444e-16j 0.0404826+1.11359e-15j 0.104894+2.30718e-17j 0.0895708+1.57374e-16j -0.0249649+1.15113e-15j 0.0704937+4.47093e-16j 0.0294595+2.79444e-16j 0.144701-1.9268e-15j -0.0565572+1.18731e-14j 0.0641453-1.32042e-14j -0.0570016+4.6677e-15j -0.077434+5.03801e-14j 0.0198801+8.00433e-15j 0.00282587-6.24288e-16j 0.00783216+5.20247e-15j 0.0925197+9.48838e-15j -0.0312824-3.48673e-15j -0.00450915+2.97541e-15j -0.00180448-5.42636e-17j 0.107622+1.63175e-14j -0.0367807+1.59956e-15j -0.0769867-9.01652e-15j 0.011891-1.2133e-14j 0.00153191-4.69866e-15j 0.0664621-1.58579e-14j 0.013132-1.14967e-14j -0.0208285-1.43454e-15j 0.0579605-1.98408e-15j -0.0457384+3.36862e-15j -0.000858411+1.94418e-15j 0.0709043+6.48165e-15j -0.0338933+9.87863e-16j 0.0223281-3.68927e-15j 0.00877909+6.24149e-15j 0.0313094+3.21495e-14j -0.0726047-2.20717e-13j 0.0595611+1.12455e-15j 0.0204881-2.48799e-16j 0.0233283+8.60389e-16j 0.0354809+1.79929e-15j -0.0161191+6.50075e-16j 0.0581912+1.83039e-15j -0.0981895-1.99703e-15j -0.0208522-5.6556e-16j 0.00480252-1.0162e-15j 0.0591919+1.47059e-16j -0.0432007-1.00768e-16j -0.109737-2.2549e-16j 0.136351-7.48073e-16j -0.00508386+3.70253e-15j 
-0.0640034-1.84779e-14j 0.151916-3.64542e-15j 0.0232956+3.43438e-16j 0.057598+5.51801e-18j -0.0114181-4.0647e-16j -0.0844408-2.79221e-15j -0.0222351-2.72196e-16j -0.0907129-6.68479e-16j -0.0186139-2.48609e-16j 0.00214804+2.81425e-15j 0.0788817-1.24843e-15j -0.0538883-2.84954e-15j 0.0279486+3.0661e-15j -0.0692447-1.91844e-15j -0.106888+1.87404e-14j 0.0791856-2.54803e-14j -0.021396-1.53141e-14j 0.161061-1.21978e-13j 0.0221628-1.76742e-14j -0.0521058+5.13837e-15j -0.0258474+2.60613e-15j 0.155947+2.76074e-15j 0.0358808-1.05196e-15j -0.00607774+5.42052e-15j 0.0290755+1.04981e-14j -0.0249156-8.02073e-15j 0.0410502-6.15125e-15j 0.0526254+5.65205e-16j -0.0112243+1.40801e-14j -0.0403447-1.56298e-15j -0.0367137+4.20903e-15j 0.0316046-4.46462e-15j -0.00348547-5.15684e-16j 0.0563211+1.15285e-15j -0.132029+1.0618e-14j -0.0374132+5.26986e-16j 0.0251557-5.62591e-15j -0.0416677-1.47779e-14j 0.0171963-1.022e-14j -0.00339551-8.08607e-16j 0.0144955+2.84563e-14j -0.0631055-1.89556e-13j 0.03619-2.72222e-15j -0.0142867-8.63751e-16j -0.0781188-8.25312e-16j -0.02751-1.36852e-15j 0.033866-1.61551e-15j 0.00513822-1.50512e-15j 0.0565177+8.59513e-16j 0.0274008+4.98739e-16j 0.00419233+3.1766e-16j -0.0795353-3.84928e-16j -0.0335071-1.98353e-16j -0.00528262+7.83697e-17j 0.0381285+3.09299e-15j 0.138271-1.40135e-14j 
0.0383187+1.3776e-14j -0.0566157+1.21398e-15j 0.34361+1.70187e-16j -0.0806579-9.29297e-16j 0.010605-1.31497e-15j -0.0500772-8.05306e-16j -0.125934-4.10669e-16j -0.208668+4.38987e-15j 0.291124+1.28935e-15j 0.11176-1.2233e-15j -0.0873992+2.40092e-15j 0.0576188+1.31073e-15j 0.0547481+1.50074e-15j 0.254519-3.47287e-15j -0.321716+3.73588e-14j 0.0677674-3.8911e-14j -0.155997+1.99348e-14j -0.0128437+1.43273e-14j -0.16074+2.87186e-15j 0.121511-9.94495e-15j 0.128457-4.57699e-15j -0.00988146+9.88031e-15j -0.173347+1.17189e-14j -0.394789-7.19704e-14j 0.0838796-1.17462e-14j 0.150144+1.81397e-14j 0.129172-2.23911e-15j -0.13393-3.309e-14j -0.0626005+3.54314e-14j -0.150507-1.18435e-15j -0.144629+2.36914e-14j -0.0492085+1.93216e-14j 0.0771683+6.5367e-15j 0.112972+2.1385e-14j 0.0724183+1.44109e-14j -0.0856339-2.22457e-14j -0.0755179-1.75647e-15j 0.0602866+3.61231e-14j 0.00371521+3.89814e-14j -0.0169951-7.72823e-15j 0.0435752-8.13332e-15j 0.0427065+9.7997e-14j 0.145812-3.92897e-15j -0.0447583+3.71834e-15j -0.000188944+2.28699e-15j -0.141398-3.82856e-15j 0.0802215-2.40281e-15j -0.124787-3.71276e-15j 0.117328-7.68183e-17j 0.0640314-6.0959e-16j 0.150555-5.75484e-15j 0.0533076+2.45084e-16j -0.111239-3.36772e-16j 0.15647+4.17152e-16j -0.0404944-1.19631e-15j -0.135611+1.22647e-14j 
-0.000647733+2.21922e-15j 0.0197846+4.12794e-16j 0.241249-1.53781e-16j 0.125981-4.53115e-16j -0.0818622+1.19045e-16j 0.0727476+7.2348e-16j -0.0559985+7.74897e-16j 0.13507-6.28892e-16j -0.142938+1.40523e-15j -0.173883-3.02061e-15j 0.178654-5.89962e-15j -0.187295+6.3725e-17j 0.0306543+4.05882e-15j -0.0380857+3.32681e-15j 0.0370158-6.41474e-17j -0.0346157+7.43489e-15j 0.0179729-9.45595e-15j 0.284284-2.39616e-13j 0.269413-5.18358e-14j 0.0771632-6.17705e-15j -0.295727+6.77923e-16j 0.245344-1.0494e-14j 0.0435541-3.83917e-15j 0.0278231+2.76874e-14j -0.0848945+1.07739e-14j 0.112207+1.18816e-14j 0.0669239-1.97532e-14j 0.414293-3.48306e-15j -0.254547+1.72544e-13j -0.129837+3.73493e-14j 0.116342-4.23953e-14j -0.125999-2.41037e-15j -0.0196824-4.64284e-17j 0.0476071+1.18842e-15j 0.171093-2.41515e-14j 0.105773-3.56861e-16j 0.0865927+1.44189e-14j 0.0212961+4.51011e-14j 0.0202985+3.53766e-14j 0.0297297+1.589e-14j 0.081876+3.84775e-14j -0.076616-2.5848e-13j 0.121601+3.60054e-16j -0.0641187-2.36049e-15j 0.0376132+4.92433e-16j 0.0156726+2.44932e-15j -0.0500824+1.40221e-15j 0.0610266+1.60049e-15j 0.0250042-6.02672e-17j -0.019348+3.86082e-16j 0.120226-4.64568e-15j -0.00694532-1.03489e-15j -0.110394+4.80585e-16j 0.188262-2.73863e-16j 0.044891-1.94609e-15j -0.0600232+7.62247e-15j 
-0.0605657-3.19972e-14j 0.0136291-7.69998e-15j -0.0258622+2.53743e-15j -0.00723399+1.67283e-15j -0.0597929+1.00364e-15j -0.345822+8.75559e-15j 0.0922234-6.29317e-15j 0.115128-3.87799e-15j 0.181545-6.57689e-15j 0.186598+1.21995e-15j 0.112802-4.24897e-15j -0.188447+3.22179e-16j 0.233847-5.42508e-15j 0.0838998-1.47743e-14j -0.0866089+3.03454e-14j 0.160391-3.45376e-14j -0.133253+1.37252e-14j -0.107604+1.05995e-13j -0.175746+2.53629e-14j 0.0622964+1.74837e-15j -0.0231872+1.331e-14j 0.113202+1.59704e-14j -0.230996-5.1484e-15j 0.196981+5.39539e-14j -0.132099+4.03625e-15j 0.269841+3.30523e-14j 0.108376+1.13878e-14j 0.126437+8.66894e-16j 0.174032-8.93322e-14j -0.130382+1.95527e-15j -0.0429364-1.46678e-14j 0.205951-1.9634e-14j 0.0464782+4.06755e-15j -0.169562+7.09018e-15j 0.00654214+6.06941e-15j -0.123711-4.04646e-15j -0.124864+3.08693e-14j 0.191914+2.64637e-13j 0.242677+2.54087e-13j -0.151401-7.18332e-14j 0.047135+1.0015e-14j -0.0160451-7.6282e-14j -0.0390598-6.7951e-15j 0.0133629-2.96778e-15j -0.238185+6.37955e-15j -0.0966019+8.16728e-16j -0.0165323-3.19049e-15j 0.161753-8.57922e-15j -0.0858695-4.02315e-16j 0.21443-1.18844e-14j -0.137627+1.29714e-14j -0.0331497+2.2634e-15j 0.016898-1.13969e-15j -0.0490941+4.91992e-15j 0.0248695-9.93744e-16j -0.0257252+4.81362e-15j 
-0.00239368+4.24893e-15j 0.0452686+5.27545e-15j 0.0310308+3.41839e-16j 0.0109509+6.92869e-17j -0.0599467-5.10211e-15j -0.127612-1.29285e-14j 0.170625+1.19358e-14j -0.105839-1.16875e-14j -0.112844-1.31373e-14j 0.155019+2.6357e-14j 0.120727+1.02597e-14j -0.0748304-8.97265e-15j -0.273566-2.37087e-14j -0.0998851-1.02938e-14j 0.0718732-4.28871e-14j -0.284766+6.95366e-14j -0.253177+4.97481e-14j 0.194605-1.42465e-13j 0.0881671-1.5808e-14j -0.0548324-2.56525e-15j 0.124535+1.09411e-14j 0.170339+1.12282e-14j 0.0798927+1.37557e-14j -0.0839902-2.6927e-14j 0.0288455+6.35275e-15j -0.195914-4.69273e-14j 0.0122973+1.22314e-14j -0.030782-1.82204e-15j 0.221096-7.64303e-14j -0.156856-2.90211e-14j 0.224687+5.94655e-15j -0.159385-2.1325e-14j -0.00644439-2.05546e-14j -0.179307-2.71424e-14j -0.0477263-1.69382e-15j -0.169708-4.60292e-14j 0.339547+5.44807e-14j -0.0624384-1.87148e-13j -0.26463-2.04362e-13j 0.0715807+6.43126e-14j 0.170071-2.7439e-14j 0.149159+3.73679e-13j 0.0504661-5.42696e-15j 0.08084+1.71367e-14j -0.085291-9.81866e-15j -0.183196-2.3612e-14j -0.04058-4.252e-15j 0.0308687-1.30978e-15j 0.0619494+8.9265e-15j 0.12017+7.63091e-15j -0.129515-6.19362e-15j -0.000467713+9.89666e-17j -0.031909-1.50845e-15j -0.00130361-1.98148e-15j 0.0134933-1.86533e-16j 0.00463513+1.97564e-15j 
0.0683561+5.38491e-14j 0.099434+1.52584e-14j 0.0787971+2.39083e-17j 0.0670427+8.173e-16j 0.0307389-3.19031e-16j -0.17663-1.37382e-14j 0.171959+6.35088e-15j -0.0929667-4.17249e-15j -0.0868871-5.51491e-15j -0.174833-1.73059e-14j -0.0328841-3.13707e-15j 0.0457967+3.96907e-15j 0.00714515+8.10182e-15j -0.268843-6.7366e-15j 0.15516+1.15501e-14j 0.12061-2.57506e-14j 0.216416-4.76251e-14j 0.396019-2.5853e-13j -0.12232-4.61484e-14j 0.0810016+1.46106e-14j -0.0153266-1.08143e-14j 0.0582324-3.08924e-15j 0.0396389+7.63196e-16j -0.0450605-5.85435e-16j 0.287752+3.13489e-14j -0.216231-5.55114e-14j -0.125661-1.64146e-14j 0.170301+3.8437e-14j 0.155612-7.51117e-14j 0.117978-2.25824e-15j 0.00248532-2.99229e-14j 0.296305-1.91133e-14j -0.0120263+2.87156e-15j 0.11733-1.38998e-14j -0.0583913-2.32815e-14j 0.167008+6.62266e-14j -0.152908-5.35611e-14j -0.0294005-2.45493e-13j -0.323574-2.45379e-13j 0.129988+6.31471e-14j -0.185366-2.54213e-14j -0.00689776+5.44569e-14j 0.278893+2.29162e-14j -0.13065-3.39185e-15j -0.0572177+7.9732e-15j 0.00731781+9.58688e-15j -0.0141526+1.56117e-16j -0.00642177-5.72922e-16j 0.0523847+3.94841e-15j 0.206526+1.15088e-14j -0.128332-2.69429e-15j -0.0497205-1.30317e-15j -0.0363789-1.69423e-15j 0.0528746-3.2982e-15j -0.0162994+1.38856e-15j 0.0248027-1.32633e-15j 
-0.0257913+6.38343e-14j 0.0510213-1.53331e-13j 0.0557978-1.70705e-13j 0.0820646-2.47337e-13j 0.0334771-1.01988e-13j 0.120263-3.51836e-13j -0.115115+3.37502e-13j 0.0513411-1.56493e-13j 0.186753-5.52077e-13j 0.108668-3.07956e-13j 0.202597-5.85957e-13j -0.145905+4.27894e-13j -0.138831+4.14812e-13j -0.212662+6.26181e-13j 0.075476-2.09733e-13j 0.14733-4.37071e-13j 0.0313675-1.34952e-13j 0.105734-4.14047e-13j -0.0743333+2.18292e-13j -0.0374318+1.36186e-13j 0.271321-7.96007e-13j -0.0487955+1.57546e-13j 0.304528-9.03353e-13j 0.0683015-2.10357e-13j -0.0288136+9.55253e-14j 0.0393349-9.4317e-14j -0.120561+3.29191e-13j -0.0288204+7.72267e-14j -0.204033+6.98536e-13j -0.00718969+2.98037e-14j 0.0335469-1.62282e-13j 0.215679-6.68e-13j 0.293721-8.93057e-13j 0.0425717-1.44189e-13j -0.141887+4.52728e-13j -0.184058+5.12106e-13j -0.0365946+9.17132e-14j -0.186821+3.85877e-13j -0.0906455+1.01319e-13j 0.21116-4.91959e-13j 0.0400222-8.25607e-14j -0.0887715-1.82109e-14j -0.0583582+1.58713e-13j 0.00851747-4.17341e-16j -0.245713+7.1596e-13j -0.0338494+8.72236e-14j -0.264934+7.79839e-13j 0.0819148-2.4809e-13j -0.0929097+2.82203e-13j -0.140156+4.05918e-13j 0.206502-6.20221e-13j -0.00406527+1.42233e-14j -0.0108093+3.29146e-14j 0.134393-4.05858e-13j 0.0165414-4.83989e-14j 0.0277442-8.31038e-14j 
-0.0551424-3.68921e-14j -0.0244488-3.82776e-15j -0.0711269+4.02723e-15j -0.0783266+4.70389e-15j -0.0504057+2.00381e-15j 0.00545861+8.77973e-15j -0.0188898-7.20844e-15j -0.0774743+9.56299e-17j -0.0370866+1.21478e-14j 0.00322392+8.6939e-15j 0.124035+1.69978e-14j 0.0932664-6.64872e-15j -0.0353327-1.50791e-14j 0.0748842-1.81394e-14j 0.0376836+2.88506e-14j 0.227263-2.95246e-15j -0.187233+1.57983e-14j -0.227551+1.50598e-13j 0.124987-2.01274e-15j 0.368702-3.59883e-14j 0.119156+2.13505e-14j 0.108714+3.86638e-14j 0.0384913+1.94487e-14j -0.0571328+9.42013e-15j 0.252398+1.95331e-14j 0.173898+1.35556e-14j -0.238702-2.23401e-14j 0.0403009-2.87919e-15j -0.0851554+2.21798e-15j -0.0364792-9.78865e-16j -0.114364+2.91518e-14j -0.0187671+3.05227e-14j -0.234228+2.60169e-14j -0.127216+7.09184e-15j 0.13129-7.80911e-15j -0.0570257-4.59777e-14j 0.0276223+4.99354e-14j 0.343203+2.72949e-13j 0.0374743+2.33849e-13j 0.239578+1.47431e-13j -0.121394+9.41943e-14j -0.24623-6.75469e-13j -0.00889074+1.38609e-15j 0.303881+1.29884e-14j -0.0603301-2.12619e-14j -0.0729748-1.24062e-14j -0.0781783-1.95935e-14j -0.13048+1.73016e-15j 0.0986925-1.61347e-16j -0.0604729-1.09304e-14j -0.0469376+1.52394e-14j 0.0671438+1.70441e-15j 0.00405665-1.22802e-15j -0.135527+7.99102e-15j 0.0152262+1.50567e-16j 0.00623842+1.47148e-15j 
0.202655+1.15755e-13j -0.0756473+3.01218e-14j 0.151596+7.44843e-16j 0.0839393+3.13884e-15j 0.0178376+4.4278e-15j 0.045517+3.92977e-15j 0.200481-2.43068e-15j 0.100917-6.72009e-15j -0.0748377-4.61602e-15j 0.00319427+1.46064e-15j -0.092126+8.56099e-15j 0.00961413-4.30234e-15j -0.0574378-4.87611e-15j -0.158075-4.19148e-15j 0.0540074-1.80732e-14j -0.0581326+2.72516e-14j -0.0423385+2.17837e-14j -0.243966+1.86043e-13j -0.0850768+2.55865e-14j 0.109026-1.72107e-14j 0.0740388-8.90145e-16j -0.256794-2.41273e-16j -0.0152306-1.87517e-18j 0.0465014+1.60598e-14j -0.0261561-6.12968e-15j -0.0263175-9.79274e-15j 0.134194+1.55719e-15j 0.290193+2.07665e-14j -0.0765214+6.35768e-14j -0.155553+1.38859e-14j -0.210472+3.72813e-14j -0.0463295+2.54875e-14j -0.00196489-1.32073e-14j -0.21794+1.06293e-14j -0.10023+2.65532e-14j -0.221915-4.53346e-14j -0.206507-2.70407e-14j -0.0109457-1.02352e-13j -0.106354-7.78794e-14j -0.0437053-1.76394e-14j 0.00902207-5.67215e-15j -0.006973-1.13492e-14j -0.103056-6.12804e-15j 0.180752+3.55891e-15j 0.196528-5.29958e-15j 0.0372304-2.31818e-15j -0.101195+1.85807e-15j -0.00533904+1.09995e-15j 0.0763975+1.35676e-14j 0.033188-3.03529e-15j -0.153767+1.00723e-14j -0.0385085-4.05102e-15j -0.0267847+1.15662e-15j 0.277108+2.1232e-15j -0.0740316-8.93068e-15j -0.124326+1.76041e-14j 
0.0094243+3.44434e-14j 0.246992+1.04966e-14j -0.0473285+2.91673e-15j 0.0443916+3.98295e-15j 0.060839-4.86353e-15j -0.0742128-3.77583e-16j -0.101825+5.89959e-15j -0.244975+1.62722e-15j -0.151212-6.89235e-15j -0.0700085+3.7272e-15j 0.126419-5.41318e-15j -0.0566753+2.47284e-15j 0.0582639-5.56853e-15j -0.049723-9.34201e-15j -0.266904+3.72353e-14j 0.116669-4.69495e-14j -0.0337161-1.6063e-14j -0.00630134-8.12461e-15j 0.0237969+3.78084e-15j -0.152363-2.5795e-15j 0.0671601+8.11994e-15j 0.00652921-2.12338e-15j -0.0153017+6.49864e-15j 0.0374167+1.9954e-14j -0.0488161+1.36925e-14j -0.140182-3.20737e-14j 0.0891127-3.20342e-15j 0.107039+2.62922e-14j -0.114986+5.45375e-14j -0.0200061-2.89783e-15j -0.199014+5.97117e-14j -0.12375+2.08494e-14j -0.226782-1.59508e-14j 0.0646309+1.29944e-14j -0.233069+1.33127e-14j -0.219499-5.97998e-14j -0.0176936-1.14566e-14j -0.0999252+3.59076e-14j 0.200415+5.23612e-14j 0.0160047+1.10695e-14j -0.117132-2.86689e-14j 0.0544181+2.01126e-13j -0.0602066-7.4294e-16j 0.042174+7.45183e-15j 0.00655329+1.16079e-14j 0.0226321+7.85287e-15j 0.0447215-1.38803e-14j 0.0370062+7.76938e-15j 0.319073+9.58098e-15j -0.00141309+1.47406e-15j 0.0808775-7.80103e-15j -0.166916-3.80741e-15j -0.0132081-7.59168e-15j -0.110964+5.36238e-15j -0.073649+1.29778e-14j 0.248364-2.73813e-14j 
