-0.347915-2.47263e-13j -0.0219705-1.26324e-13j -0.125998-7.08644e-17j -0.116756-6.06363e-16j -0.0617193-3.47738e-16j 0.152051+3.81828e-15j 0.063965-4.51917e-16j 0.144213-3.13776e-14j -0.105046+5.75686e-15j -0.260491-5.45442e-15j -0.0319703+3.33486e-15j 0.101903-6.32087e-15j 0.125763-2.02371e-15j -0.026331+7.67818e-15j 0.00686844-1.2326e-14j 0.263528-7.7307e-15j -0.177771+1.72041e-14j -0.236057-5.21795e-15j 0.0502515+3.61507e-15j 0.0182514+4.7971e-15j 0.138654-3.99707e-15j -0.0393625+3.05964e-15j 0.1829-1.54734e-15j 0.00301041-4.00262e-15j -0.0172617+7.79466e-16j 0.113552+6.73167e-15j 0.290695+4.66322e-15j -0.230028+3.1891e-15j -0.0581963+2.71765e-14j 0.062063-4.07908e-13j -0.219051-1.29096e-12j 0.10392-6.52148e-14j 0.0844817-4.92269e-14j -0.00783383-3.11199e-15j -0.0231783-1.2718e-16j -0.031111+8.38614e-16j -0.0309164-5.01899e-16j -0.00116716-3.15394e-17j 0.00764859-1.08576e-16j -0.0307-2.11689e-16j -0.0238659+1.32403e-15j 0.0552442-1.35084e-15j 0.022514+8.68468e-14j -0.0300017+1.63618e-15j -0.0212506+9.15279e-16j -0.0148341-3.92533e-16j 0.000549596+8.9368e-17j 0.0757537+1.1335e-15j -0.00200781+1.33321e-15j -0.0244061-1.01988e-15j -0.010451-3.08899e-15j 0.0103002+1.80287e-15j 0.0425085+2.91704e-15j -0.0505769+1.48347e-15j 0.0369431-6.66412e-16j -0.0747574+5.49094e-15j -0.0266732+8.00868e-15j -0.0383522+2.18707e-15j -0.0180046-2.74298e-16j -0.020163+1.52218e-15j -0.0273811-2.39643e-15j -0.0398711-1.53385e-15j 0.0240056+5.73395e-16j 0.0144145-3.12289e-16j 0.0264907-1.24591e-17j -0.00819827-3.36157e-16j 0.0308434+5.10396e-17j -0.0251038-3.55136e-16j 0.0674689+1.7164e-15j 0.0726531+1.50796e-15j -0.113851-3.85126e-14j -0.110422+1.14419e-13j 
-0.0688888+2.99439e-14j 0.220127+1.62148e-14j 0.0774436+6.54211e-16j 0.296298+1.09414e-15j -0.0497942-8.39759e-16j 0.211752+5.02378e-15j -0.0602458-2.92814e-15j -0.214254+5.27651e-14j 0.0374801+1.00016e-14j -0.0872782-7.16037e-15j -0.108085+2.13827e-15j -0.298147-5.73945e-15j -0.0486272-7.95741e-15j -0.293975+3.29352e-14j -0.144637-1.4677e-15j 0.195265+1.02982e-14j 0.0239607+2.20151e-15j 0.0309755+5.13664e-15j 0.0451678+1.66372e-14j 0.244358-2.50312e-15j 0.0625818-3.53873e-15j -0.216082-8.89742e-14j -0.330586-1.36086e-14j -0.00283802+1.1538e-15j -0.0349653-2.63082e-15j -0.217982-9.22455e-15j -0.0136589-2.06327e-15j -0.0456285+2.99247e-16j -0.209308+3.01592e-14j 0.0582341-4.48464e-13j -0.144397-9.05502e-13j -0.109597-4.21955e-14j -0.00677969+8.37046e-15j -0.0722239+7.64775e-16j 0.00735538+5.10968e-16j 0.01941-5.14941e-16j -0.0246908+1.80428e-16j 0.0468371+5.3472e-16j 0.00347755+3.32646e-16j -0.00551356+2.84846e-16j -0.00545914-5.35324e-16j -0.0426944+9.41394e-17j 0.0218627+8.47574e-14j -0.0475436+1.17029e-15j -0.0283137-8.48799e-16j 0.012106+1.34242e-15j 0.0341209+5.72388e-16j 0.00412474-6.81917e-16j -0.0270692-4.04341e-15j 0.0578296-6.11904e-16j 0.0205273-3.884e-16j 0.017008+9.70841e-16j 0.0259747+6.9472e-16j -0.0158539+1.50031e-15j 0.0215751-2.44312e-16j -0.00391726+2.01353e-15j -0.0110831+2.11637e-15j -0.00744931+1.11283e-15j 0.0152414+4.91266e-16j -0.00222255+4.6404e-16j 0.0163381+1.16282e-15j -0.00619193+1.00147e-17j 0.0222669+1.79122e-16j 0.021653+3.59589e-16j -0.0523521-1.46551e-15j -0.0242202-7.76422e-16j 0.0252497+3.86277e-16j 0.0655213+7.38491e-16j -0.0332955-1.2867e-15j -0.0299952-1.09735e-15j 0.0353261-6.11749e-14j -0.104121+1.8309e-13j 
-0.0365578+9.39504e-16j 0.074324+2.82043e-16j -0.195043+1.44025e-16j 0.096334-6.85001e-16j 0.257228+5.88824e-16j -0.00796259-2.6654e-15j 0.219739+1.45832e-15j 0.0496449-1.33009e-14j 0.130155+6.06987e-15j 0.221124-6.10101e-15j 0.179682-9.03225e-15j -0.0553101+7.50468e-15j 0.454164-2.0113e-14j 0.0359009+7.67521e-15j -0.0136118-3.36654e-15j 0.0865884+2.56641e-15j 0.319116-3.5509e-14j -0.0844524+1.29777e-14j -0.335846-6.98947e-15j -0.282712-1.25458e-14j -0.0818762+4.66287e-15j 0.172064+4.97786e-14j -0.0635321+1.05452e-14j 6.04758e-05+1.84298e-14j -0.182293-2.42984e-15j -0.145156-4.9033e-15j 0.156486+7.80832e-15j 0.0243198+6.68335e-15j -0.218864-1.92347e-14j -0.0567055+2.55483e-13j -0.116101-7.23527e-13j -0.0754611-3.35896e-14j -0.0282406+1.76214e-14j 0.0032383+1.53002e-15j -0.0393019-2.23536e-16j 0.00905634-6.90639e-16j -0.0307989+1.77063e-17j 0.0158305+3.03299e-18j 0.0192206+7.78361e-16j -0.000882794-2.48359e-16j -0.000378333-2.5355e-16j -0.0257379+4.53065e-16j -0.00123011-5.1766e-15j -0.0187772+3.38054e-16j -0.0117229+3.1077e-16j -0.0118391-3.62679e-16j 0.00174151+1.22156e-16j 0.00753423-2.76576e-16j -0.00723084-1.12414e-15j 0.00440022+1.40279e-17j -0.00324259-1.82549e-15j 0.0144901+1.64211e-15j 0.00904512+5.78833e-16j -0.00929896+1.23807e-15j 0.002127+1.99512e-16j -0.00238161-2.2436e-16j 0.00176308-1.17172e-16j -0.00138219-1.15834e-16j 0.00148063+6.58112e-17j -0.00466353-1.6554e-16j 0.00414406-7.47738e-17j 0.010982+7.46451e-16j 0.0132181+1.05115e-16j -0.0250946-1.8015e-16j -0.000286229+1.37622e-16j -0.0093868-9.25059e-17j 0.0301807+2.87873e-16j 0.00291626-1.16448e-16j -0.0332654-1.28749e-16j 0.0182347-2.69199e-16j 0.0166265-3.08901e-14j -0.0520319+9.13987e-14j 
0.0137276-2.86552e-15j -0.0350576-1.50699e-15j 0.0207656-3.40843e-16j -0.0458806+1.48809e-16j -0.073204-7.36677e-16j 0.274076+3.73982e-15j 0.247936+5.3364e-16j -0.103924+2.49169e-14j 0.204062+7.59562e-15j 0.223829-1.63938e-15j -0.299654+1.31349e-14j 0.220043-9.12139e-15j -0.164505+6.25921e-15j 0.118348-1.13638e-14j 0.230146-2.37098e-14j 0.27431-1.04481e-14j 0.145801-4.18454e-16j 0.0363684+2.58095e-15j 0.080855+4.31259e-15j 0.0795297+3.99392e-15j -0.252814-6.29807e-15j -0.0728549-2.72564e-14j -0.0905453-6.45036e-15j 0.481439-4.08858e-14j -0.247621-3.15936e-14j 0.0384269-4.56945e-15j 0.102264+8.17105e-15j -0.0112706+3.90195e-15j 0.107895+6.54371e-15j 0.0191671-7.1861e-14j 0.0539066+3.41376e-13j 0.0521732+1.58155e-14j 0.000613387-2.05786e-15j 0.0122724+6.501e-17j 0.011885-4.26167e-17j -0.0352185+9.30637e-16j -0.0229398-6.20763e-17j -0.00410031-6.68979e-16j 0.00516651+3.32461e-16j -0.0190726-1.88238e-16j 0.017539-9.31499e-17j 0.00563114+3.16395e-16j -0.00323112-1.21819e-14j 0.00817937-1.09874e-16j 0.00205336-5.95796e-16j 0.00441204+7.1369e-16j 0.00565606-1.17196e-16j -0.000909155-9.96512e-17j 0.0113446+1.022e-15j -0.00749688+1.72954e-16j -0.0023065+1.8743e-16j -0.00538097+3.61377e-16j 0.00152536-1.11214e-16j -0.00437277+9.80352e-16j -0.00291626+6.06273e-16j 0.0114974-6.28218e-16j 0.000735598-9.06331e-16j 0.00435088-1.95144e-16j -0.00395937+2.95916e-16j -0.000658464+3.01051e-16j 0.00694369+5.9295e-16j 0.0100607+3.74643e-16j -0.024675-3.00079e-16j 0.00948617-1.14597e-16j 0.00300269-2.57814e-17j -0.0218044-1.23494e-16j 0.0171901+1.65859e-16j -0.0070528+3.13161e-17j 0.0153862+2.71007e-16j 0.00500897+3.16059e-16j -0.0105442+1.41384e-14j 0.0229555-4.19585e-14j 
-0.00807673-1.99145e-14j -0.0409005-1.02197e-14j 0.137175-2.09947e-16j -0.00488013+3.05228e-16j -0.171816+2.84103e-16j -0.0256671-1.27579e-15j 0.0642244+1.99066e-15j 0.151913-3.50597e-14j 0.333226+3.44602e-14j 0.0618476-2.23642e-14j 0.247713-4.52109e-15j -0.0870371-2.32043e-15j -0.100228-2.40589e-15j -0.231513+1.77489e-14j 0.00823231-6.64543e-15j 0.232866-2.37829e-15j -0.208855+3.01008e-14j 0.330382+2.60762e-15j -0.211985-2.40149e-14j -0.284835+8.98549e-15j 0.268688-3.48136e-15j 0.0045046+3.01956e-14j 0.0926025-2.05302e-15j 0.0424173+5.13477e-15j -0.239345+3.42775e-16j -0.0959893-9.39235e-15j -0.255256-1.82029e-14j -0.208157-1.45397e-14j 0.151637+7.8708e-14j 0.188858-1.09842e-12j 0.00845542+8.62069e-14j 0.11291+2.21585e-15j 0.0250722-1.44629e-14j -0.017471-9.31068e-16j 0.0247436+7.51328e-17j 0.00551321+4.23682e-16j -0.0101131+3.42877e-16j 0.0123917-3.55177e-16j -0.0360457-5.18258e-16j -0.0231355+1.006e-16j -0.0121244+7.92524e-17j 0.0151897-7.24707e-16j -0.00560433-2.29966e-14j 0.0104812-1.02315e-15j 0.00753854+2.08562e-16j 0.0012768-1.38794e-16j 0.0117874-6.37306e-16j -0.0028265+3.52235e-16j 9.94976e-06-2.30371e-16j -0.00441114+1.98877e-16j -0.00437866-4.54053e-16j -0.00573057-1.02948e-16j -0.00297959-5.64613e-17j -0.00462234+1.1851e-15j -0.00430009+4.9022e-16j -0.000263145-7.27378e-17j 0.00306947-3.29327e-16j -0.00334937-1.20852e-16j 0.000948153-6.96089e-16j 0.00731765-6.24204e-16j -0.0111917-2.67392e-16j -0.00228891-3.47678e-16j -0.00797675+1.35928e-17j 0.0194229-4.1244e-17j 0.00870445-8.51681e-17j 0.0120812-1.46664e-19j 0.00798032-8.9046e-18j 0.01775+2.44447e-16j 0.0332635+1.61274e-17j -0.0261416-5.18e-17j -0.0294845+1.2721e-14j 0.0137241-3.74611e-14j 
0.0122302+2.74201e-15j -0.0158621+1.32842e-15j -0.00580323-1.97478e-16j 0.0794354+8.85093e-17j 0.00205263+6.02677e-16j -0.0678132-1.73108e-15j -0.0418501+8.90372e-17j -0.0935686+2.11178e-14j 0.0514728-2.28286e-15j 0.119938+2.53807e-15j 0.0151964-1.72185e-15j -0.0707311+3.4582e-15j -0.0681067+1.56214e-15j 0.00721444-2.36733e-15j -0.0309112+6.86316e-15j -0.127192+5.53987e-15j 0.0950981-8.34158e-15j 0.110246+2.91376e-15j 0.0101559+1.07016e-15j 0.0321292-2.99866e-15j -0.0721652+1.93086e-15j -0.00900789-1.82491e-14j -0.207877-1.40997e-15j -0.00139295+3.46929e-15j -0.00862169+5.4416e-16j -0.106949-6.35385e-15j -0.226896-4.64586e-15j 0.137089-2.41033e-15j -0.0808701-5.11838e-14j -0.12352+7.27946e-13j 0.133192+8.06873e-13j 0.00929605+4.01085e-14j -0.0406957+2.89589e-14j -0.117675+6.67318e-16j -0.0856355-5.06929e-16j 0.0162063-4.82322e-16j -0.0226227+1.09798e-16j -0.124282-9.63059e-16j -0.0306529-1.44277e-15j -0.111193-2.23631e-15j -0.0224481+1.82455e-15j 0.114861-2.50361e-15j 0.0566229+2.2181e-13j -0.0136262+2.60615e-15j -0.0218863+3.01905e-15j -0.0209682-6.55959e-16j -0.0397296+1.59766e-17j 0.136361+2.23166e-15j 0.0109968+5.36348e-15j -0.0830097-8.09261e-16j -0.0267385-6.19504e-15j 0.0257934+2.75394e-15j 0.0453054+4.25094e-15j -0.0772602+1.20934e-15j 0.0798868-1.87041e-15j -0.110918+4.89423e-15j 0.00117748+1.02993e-14j -0.0681603+2.73699e-15j 0.018511-3.61316e-17j -0.0473943-2.94382e-17j -0.0848273-4.68117e-15j -0.0398455-2.34445e-15j 0.00957079+4.8867e-16j 0.0358412-6.07141e-16j 0.119066+2.2169e-15j 0.0530602+6.50189e-16j 0.0124974-7.57769e-16j -0.0741684-7.84336e-16j 0.0549644+2.20902e-15j 0.110927+2.66873e-15j -0.114193+8.06961e-15j -0.0229913-2.4072e-14j 
-0.0107898-1.67772e-14j -0.0268902-8.94991e-15j -0.00810712-2.95116e-16j 0.0557331-2.38755e-16j -0.0183501+9.2861e-17j 0.0922465+1.70565e-15j 0.0181913-7.92308e-16j -0.00773708+2.78479e-15j -0.0161007+3.41597e-15j -0.0657254-3.16511e-15j -0.00785779-4.03974e-16j -0.0998639-1.11667e-15j 0.0645457-5.0361e-15j -0.0924112+1.28693e-14j -0.0856372-1.19078e-15j 0.107985+3.8168e-15j 0.00928756-7.62799e-16j -0.0644205+1.61389e-15j -0.00286235+7.17053e-15j 0.0914022-2.57912e-15j 0.0596299-1.67648e-15j -0.0768759-2.89624e-14j -0.0855729-4.1712e-15j 0.00050702-1.95091e-15j 0.0165634-1.6408e-15j -0.0675196-1.84014e-15j 0.111503+7.38707e-17j -0.143804+9.16276e-16j -0.201658+4.83066e-14j 0.101298-7.12661e-13j -0.0813424-5.10706e-13j -0.0647952-2.38932e-14j -0.0697408+4.70412e-14j -0.104254+2.94182e-15j 0.0638695+6.22198e-16j -0.117578+2.82409e-15j -0.00214383-6.88251e-16j -0.0549855-1.14927e-15j -0.0435066-1.92816e-15j 0.0483365-4.2298e-16j -0.0238094+8.89533e-16j 0.0890383-1.37074e-15j -0.0765227-2.93988e-13j 0.0967514-1.65138e-15j 0.10309+2.55739e-15j -0.0794594-5.13749e-15j -0.126799-9.10481e-16j -0.0267742+1.17196e-15j 0.0922173+1.24197e-14j -0.167725+2.62011e-15j -0.0312939+6.33615e-16j -0.00580531-3.17517e-15j -0.0745575-9.93712e-16j 0.0709779-1.66428e-15j -0.111245+2.62714e-15j 0.0800343-7.26342e-15j 0.0322227-9.5051e-15j 0.0244968-4.02718e-15j -0.00689695-1.52936e-15j -0.00556434-2.73525e-15j -0.0804461-2.69479e-15j 0.0106151+2.54806e-16j -0.0645789-3.51623e-17j -0.0533684-3.29496e-16j 0.0802665+1.54115e-15j 0.0295045+6.63075e-16j -0.00277561-7.53353e-16j -0.086028-5.65538e-16j -0.0105449-5.6348e-16j -0.0279406+1.24604e-16j 0.00606952+7.28753e-14j 0.139315-2.16988e-13j 
-0.033891-1.12113e-14j 0.0344474-4.90709e-15j -0.138616-1.79823e-18j 0.0257737+1.42838e-16j 0.0161611+2.45596e-16j 0.000413824+2.2679e-16j -0.00230925-7.72392e-17j -0.02654+5.8605e-15j 0.0159723+1.41444e-15j 0.00702679-5.15168e-16j 0.0198883-1.14929e-15j -0.0109136+1.42178e-16j -0.0196052+1.00205e-15j 0.0050751-1.49176e-15j 0.00526955-3.44701e-16j 0.00758992-4.09444e-16j -0.030461+2.70054e-15j 0.00500555-7.72614e-16j 0.0102043-6.61033e-16j -0.00779827+1.14993e-15j 1.28538e-05+1.20706e-16j -0.0126958-3.43114e-15j -0.0130374-7.6612e-16j 0.0020464-1.85539e-15j 0.0118206+1.88238e-16j 0.03457+2.57029e-16j -0.0574506-1.27836e-15j 0.0437134-1.32555e-15j 0.0820146+1.0264e-14j 0.0279038-1.37358e-13j 0.0786696+4.87092e-13j 0.0428804+2.33186e-14j 0.236596-1.33933e-13j -0.218654-1.10798e-14j 0.199081+6.35732e-16j -0.0727588+2.40974e-15j 0.159967-6.31909e-16j -0.030488+1.16157e-15j 0.152663+3.31106e-15j 0.160366+1.46169e-15j 0.120536-2.86803e-15j -0.161308+6.46943e-15j -0.238514-9.3381e-13j 0.2853-1.59151e-14j -0.0723871-7.62391e-16j -0.272622-3.63256e-15j 0.188737+8.58259e-16j -0.0192537-4.27687e-15j -0.128971-2.28436e-14j -0.0109471+1.60374e-14j -0.278087-7.19637e-14j 0.276838+4.38526e-14j 0.00651949-1.501e-16j 0.0272873+3.31827e-15j -0.0520197+4.89915e-15j 0.178597-2.13163e-14j 0.221579-2.5488e-14j -0.112163-1.09903e-14j 0.0199429+6.53997e-16j -0.168435-2.74031e-15j 0.00735207-1.677e-15j -0.0286847-9.22039e-16j 0.0647663+1.07361e-15j -0.0550034-4.78756e-16j 0.0649433+6.53709e-16j 0.0302377-6.3871e-16j 0.146733+2.61488e-16j 0.00788804+6.90532e-16j -0.133987+4.68958e-16j 0.214525+1.91971e-15j 0.0277427-9.1096e-14j -0.163396+2.72589e-13j 
-0.00471869-4.67212e-15j -0.00427125-2.16353e-15j -0.0369635-1.14397e-15j -0.0177272-4.4642e-16j -0.000488922-2.17696e-17j 0.0775011+2.4466e-15j 0.0401288-1.21797e-16j -0.0132157+3.12313e-15j 0.00233909+1.65224e-15j -0.0207139-1.02871e-15j 0.00255429-2.03507e-18j 0.000995812+7.95213e-17j -0.0154084+8.06961e-16j 0.0119231-1.93638e-15j 0.0126221-2.85382e-16j -0.0017267-1.29127e-16j -0.0227978+7.68902e-16j 0.00818559-3.32229e-17j -0.00565758-2.32022e-15j -0.0225063+1.42579e-15j -0.0189459+7.4092e-16j 0.00237232+1.3062e-15j 0.000200518+1.91089e-16j -0.02802-6.63737e-16j 0.0537979+2.40804e-15j 0.00686288+6.40545e-16j -0.0462442-3.40225e-15j -0.00735459-1.99168e-15j -0.00532538+3.83446e-15j 0.00831537-5.22658e-14j -0.00904152-4.85382e-14j 0.0180594-2.01028e-15j 0.0265923-1.12389e-14j -0.0929696-4.30747e-15j -0.0834879-1.39944e-15j 0.338817-5.6404e-16j 0.258019+3.48761e-15j 0.0571753+3.86237e-15j -0.117555-6.49362e-15j -0.101738-3.77954e-15j -0.234022+2.32201e-16j 0.0725936+5.04382e-16j 0.0442832+1.82547e-13j -0.0732202+7.6983e-15j 0.0272135+2.29417e-15j 0.149054+5.03933e-15j -0.328932-8.37806e-15j 0.244062+1.16974e-14j 0.186322+4.28528e-14j -0.0403905+8.04811e-15j -0.330923-3.74995e-14j -0.236421+9.96988e-15j 0.108753+6.83333e-15j 0.0788281-1.55925e-14j 0.224656-7.95528e-15j 0.287275+1.07299e-15j -0.140165-5.5551e-15j 0.133702-4.23699e-16j -0.113145-3.75914e-15j 0.0386637+7.88856e-15j 0.240331+1.51307e-14j 0.0590286+6.5565e-15j -0.0351872-1.05938e-15j 0.0827716-4.9346e-16j 0.0698629-1.7095e-15j -0.29674-5.61823e-15j 0.254746+3.58556e-15j -0.0441175-4.90621e-16j -0.0343506-1.60001e-16j 0.130484+5.31139e-15j 0.0115731+1.12014e-14j 0.0224074-2.97823e-14j 
8.68489e-05-1.42057e-15j -0.00483638-7.63023e-16j 0.0648941+9.03199e-16j 0.0296364+4.46428e-16j -0.0123148-9.85642e-18j 0.0216897-3.22904e-17j 0.0282526-3.43027e-16j 0.03444-7.6423e-15j 0.00413982+7.27729e-16j 0.00300309-5.10113e-16j -0.0120544-1.89359e-16j -0.0121262+4.52101e-17j 0.00404494+3.43876e-16j 0.0055261-2.23887e-16j -0.0137358+1.5979e-15j -0.0169744+9.23606e-16j 0.00811106+8.34428e-17j 0.0124185+1.29136e-16j -0.00454836-7.73586e-16j -0.0189613-3.21999e-16j -0.0128239+4.38286e-16j 0.00384934+3.97865e-16j -0.0117955+9.07548e-17j -0.0197104+1.74756e-15j 0.0106242+6.42159e-16j -0.0170795-3.30615e-17j 0.0247587+1.42228e-15j -0.00889571+8.85705e-16j -0.0199339-2.16444e-14j -0.0516082+3.09768e-13j -0.0427006-2.7559e-13j -0.0551516-1.29022e-14j -0.00800483-1.61142e-15j 0.145092+2.27735e-15j -0.035407+2.84777e-16j 0.0145826-3.43675e-15j 0.237964-2.80735e-15j -0.202855+4.61785e-16j 0.0377109-3.41961e-15j 0.0532743-1.12188e-15j -0.100319-6.58614e-15j -0.424661+3.18843e-15j -0.256664-1.0174e-12j -0.0296946-2.65274e-16j -0.170894-1.25438e-14j -0.13817+6.65665e-15j 0.182872+1.24487e-14j -0.237509-9.43401e-15j -0.0838385-1.76345e-14j 0.14329-8.47301e-15j 0.0725475-1.47317e-14j 0.264631+2.99527e-14j 0.49773+2.24514e-14j -0.160892+3.74862e-14j -0.321458+2.53928e-14j -0.0231959-8.37562e-17j -0.130451+3.26135e-15j 0.00220375+2.91709e-15j -0.0776396+5.89279e-16j -0.0599811+7.29831e-15j 0.00946429-2.76236e-15j -0.237706-1.23677e-14j -0.116002-1.92497e-15j 0.253566+1.5356e-15j 0.130621+4.51058e-16j -0.0630553+2.47192e-15j 0.0615729-2.89256e-15j 0.0497027+1.40914e-15j 0.0984235-3.67465e-16j -0.181255-3.93411e-15j -0.0795932+4.95492e-14j 0.0669918-1.47985e-13j 
-0.0163032-1.18874e-14j -0.00028485-5.23857e-15j -0.0403474-1.45943e-16j -0.00579941+1.98827e-16j 0.00838783+2.19529e-16j -0.0261706-4.51188e-16j -0.0405715-4.13169e-16j 0.00949907-2.43101e-15j -0.0178308-2.82971e-15j 0.00112631+1.4345e-15j -0.0398973+1.36561e-15j 0.00609642-9.96629e-16j -0.0107652+5.0573e-16j -0.00246935+4.21683e-16j 0.00165095-4.17215e-17j -0.00899179-9.406e-16j -0.00857553+8.09765e-16j -0.00287795+9.58859e-17j -0.00334398-2.82796e-16j -0.0182082+1.28948e-16j 0.0190281-5.62332e-17j -0.00132701-2.50198e-16j -0.0194432-8.7068e-16j 0.0272658-1.45387e-15j -0.0305578-1.40482e-15j 0.0187963-2.52531e-16j -0.00255189-6.56346e-17j -0.00685087-2.82107e-17j 0.00601552+8.5029e-15j 0.0189901-1.15189e-13j 0.0170112+1.19363e-13j 0.0575437+4.86967e-15j 0.0275306-1.37437e-14j -0.0526987-9.0909e-16j 0.0358299+4.98667e-16j -0.0464364-2.43928e-16j -0.221602-1.18732e-15j -0.0672651-3.79187e-15j -0.247254-5.24076e-15j -0.180999-4.6602e-15j -0.19483-6.51209e-15j -0.216469-2.3478e-15j 0.04519+1.75479e-13j -0.15313+5.70787e-15j -0.103081-1.53826e-15j -0.0641727+2.77079e-15j 0.0273942+6.28274e-15j 0.227757+1.55693e-15j 0.107515+1.61875e-14j -0.476144-1.39608e-14j 0.120886+5.33602e-14j -0.154927-3.59423e-14j -0.118429+7.45235e-15j 0.0322293-1.41298e-14j 0.166883-8.09009e-15j 0.0958679+6.24928e-15j -0.0876976-5.49183e-16j 0.17082-3.52098e-15j -0.130356+8.46501e-15j -0.237772+1.83754e-14j 0.403878+9.67924e-15j -0.229053-6.49855e-15j 0.0962313-1.62682e-15j -0.0262713-1.09536e-15j 0.0813301+3.09839e-15j 0.181834+3.12282e-15j -0.25251-2.98342e-15j -0.042241-3.88383e-16j -0.104886-9.72776e-16j 0.0815601+2.28831e-17j 0.0607944-2.34701e-14j -0.0239501+6.92339e-14j 
