0.326599-0j -0.0845154-0j -0.0912871-0j -0.0456435-0j 0.188562-0j 0.282843-0j -0.0745356-0j -0.0248452-0j -0.0597614-0j -0.0456435-0j 0.11547-0j -0.0131762-0j 0.56921-0j -0.0912871-0j -0.09759-0j -0.0527046-0j -0.111803-0j -0.0559017-0j 0.326599-0j -0.0645497-0j -0.0372678-0j -0.0322749-0j -0.00721688-0j 0.282843-0j -0.0745356-0j -0.0248452-0j -0.0845154-0j -0.0645497-0j 0.2-0j -0.0263523-0j -0.0645497-0j -0.0322749-0j 0.188562-0j -0.0527046-0j -0.030429-0j -0.0322749-0j -0.00931695-0j -0.0345033-0j -0.0263523-0j 0.11547-0j -0.0186339-0j -0.0166667-0j -0.0096225-0j -0.0144338-0j -0.00589256-0j 0.0298142-0j -0.00680414-0j -0.0031497-0j -0.00222718-0j -0.00128586-0j -0.000524951-0j -7.07843e-05-0j 
0.0745356-0j 0.0771517-0j -0.166667-0j -0.0833333-0j -0.215166-0j -0.0645497-0j 0.136083-0j 0.181444-0j -0.163663-0j 0.25-0j -0.131762-0j 0.168394-0j 0.057735-0j 0.0833333-0j -0.178174-0j -0.240563-0j -0.102062-0j -0.051031-0j 0.149071-0j -0.176777-0j 0.51031-0j -0.147314-0j -0.0592927-0j 0.0645497-0j -0.136083-0j -0.181444-0j -0.0771517-0j 0.117851-0j -0.136931-0j 0.240563-0j 0.0589256-0j 0.0294628-0j -0.0860663-0j -0.0481125-0j 0.138889-0j -0.0883883-0j -0.0595362-0j 0.031497-0j -0.0481125-0j -0.0263523-0j 0.102062-0j 0.0152145-0j -0.0439205-0j -0.0131762-0j -0.0268957-0j 0.00680414-0j 0.0124226-0j 0.00287527-0j -0.00609938-0j -0.00234765-0j -0.000479212-0j 6.4617e-05-0j 
0.0912871-0j -0.283473-0j 0.102062-0j -0.357217-0j 0.0527046-0j -0.237171-0j 0.0833333-0j 0.0277778-0j 0.0668153-0j -0.153093-0j 0.0322749-0j 0.0147314-0j 0-0j -1.38778e-17-0j 0-0j -9.81308e-18-0j 0-0j -3.92523e-17-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.237171-0j -0.0833333-0j -0.0277778-0j -0.0944911-0j 0.216506-0j -0.0559017-0j -0.0294628-0j -0.144338-0j 0.505181-0j -0.105409-0j -0.117851-0j -0.0680414-0j 0.216506-0j -0.0208333-0j -0.115728-0j 0.265165-0j -0.0968246-0j -0.0625-0j -0.0745356-0j -0.0430331-0j 0.193649-0j -0.0263523-0j -0.0416667-0j -0.0380363-0j 0.0633866-0j -0.0149404-0j -0.0100635-0j -0.0046953-0j -0.000791393-0j 
-0.0645497-0j -0.0668153-0j -0.0721688-0j -0.0360844-0j -0.0372678-0j 0.167705-0j 0.176777-0j 0.0589256-0j -0.0472456-0j -0.0360844-0j -0.296683-0j -0.34375-0j 0-0j 0-0j 0-0j 0-0j -9.81308e-18-0j 6.93889e-18-0j 9.81308e-18-0j 2.08167e-17-0j 1.47196e-17-0j -9.01389e-18-0j -3.35928e-18-0j 0.0559017-0j 0.0589256-0j 0.0196419-0j -0.200446-0j -0.153093-0j 0.0395285-0j 0.270833-0j 0.102062-0j 0.051031-0j 0.0745356-0j -0.25-0j -0.144338-0j 0.051031-0j 0.486136-0j 0.0818317-0j 0.0625-0j -0.205396-0j 0.0441942-0j 0.0527046-0j 0.030429-0j -0.136931-0j 0.242241-0j 0.0294628-0j -0.0806872-0j 0.0149404-0j 0.0105644-0j 0.00711594-0j -0.00996024-0j 0.000559599-0j 
-0.0745356-0j -0.0771517-0j 0.166667-0j 0.0833333-0j 0.215166-0j -0.0645497-0j 0.136083-0j 0.181444-0j -0.0545545-0j 0.0833333-0j -0.0263523-0j 0.0240563-0j 0.057735-0j 0.0833333-0j -0.178174-0j -0.240563-0j 0.102062-0j 0.051031-0j -0.149071-0j 0.0589256-0j -0.170103-0j 0.0294628-0j 0.00658808-0j 0.0645497-0j -0.136083-0j -0.181444-0j 0.0771517-0j -0.117851-0j 0.0456435-0j -0.0481125-0j -0.0589256-0j -0.0294628-0j 0.0860663-0j -0.0481125-0j 0.138889-0j -0.0294628-0j -0.00850517-0j -0.157485-0j 0.240563-0j -0.131762-0j 0.170103-0j -0.16736-0j 0.483126-0j -0.144938-0j -0.0591706-0j -0.129279-0j 0.236029-0j -0.0833829-0j -0.0589606-0j 0.0962537-0j -0.0263567-0j -0.00575091-0j 
0.0527046-0j 0.0545545-0j 0.0589256-0j 0.0294628-0j 0.030429-0j -0.0456435-0j -0.0481125-0j -0.0160375-0j -0.115728-0j -0.0883883-0j -0.0931695-0j -0.0595362-0j -0.0816497-0j -0.117851-0j -0.125988-0j -0.0680414-0j 0.144338-0j 0.0721688-0j 0.105409-0j 0.25-0j 0.144338-0j 0.208333-0j 0.0838525-0j 0.0456435-0j 0.0481125-0j 0.0160375-0j -0.0545545-0j -0.0416667-0j -0.0968246-0j -0.0850517-0j 0.166667-0j 0.0833333-0j 0.121716-0j -0.136083-0j -0.0785674-0j -0.25-0j -0.168394-0j 0.0222718-0j 0.0170103-0j -0.0186339-0j -0.0360844-0j -0.150616-0j -0.0869582-0j 0.130437-0j 0.266254-0j -0.226129-0j 0.206426-0j -0.211445-0j 0.448543-0j -0.158534-0j 0.1064-0j -0.0316182-0j 
-0.0166667-0j -0.0172516-0j -0.0186339-0j -0.00931695-0j -0.0096225-0j -0.0144338-0j -0.0152145-0j -0.00507151-0j -0.0121988-0j -0.00931695-0j -0.00589256-0j -0.00268957-0j 0.0516398-0j 0.0745356-0j 0.0796819-0j 0.0430331-0j 0.0912871-0j 0.0456435-0j 0.0666667-0j 0.0527046-0j 0.030429-0j 0.0263523-0j 0.00589256-0j -0.158771-0j -0.16736-0j -0.0557866-0j -0.189768-0j -0.144938-0j -0.112268-0j -0.0591706-0j 0.184466-0j 0.0922331-0j 0.134715-0j 0.150616-0j 0.0869582-0j 0.0922331-0j 0.0266254-0j 0.133816-0j 0.102204-0j 0.111959-0j 0.0722689-0j -0.190516-0j -0.109994-0j -0.164992-0j -0.0673575-0j -0.229739-0j -0.209722-0j 0.0218596-0j 0.0154571-0j 0.304209-0j 0.467625-0j 0.356673-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
