-0.0453617-0.118276j 0.096337-0.0351454j 0.00779382-0.0101574j -0.0687804+0.0442874j 0.0561628-0.00747728j 0.01405-0.0364174j -0.0201368+0.146555j 0.100407+0.115487j 0.278563+0.0157145j -0.10216-0.0757973j -0.126401-0.178131j -0.0254437-0.113663j -0.172988+0.0904656j -0.149895+0.0738149j 0.0269003-0.0341997j -0.107803-0.037719j 0.153142-0.0574425j -0.179661+0.0752482j -0.000215112+0.0401855j 0.0919484+0.032149j -0.0468134+0.0304188j 0.0167698+0.0509692j 0.154623-0.333366j 0.0433596-0.0521253j -0.0154117-0.178126j -0.0496473+0.0616372j -0.025912-0.0450319j -0.0128928+0.0424966j -0.0910405-0.104686j -0.26078-0.120146j -0.0533533-0.258519j -0.0722883-0.0479022j -0.00676098-0.0469669j -0.0801249+0.0890595j 0.0803419-0.0843584j -0.114794-0.073899j 
0.0180669+0.0873815j -0.0725784+0.0161198j -0.00975989+0.00888679j 0.0531739-0.0361627j -0.0479526-0.0169145j -0.0139996+0.0101167j 0.00386098-0.0497307j -0.076678-0.0508859j -0.102275+0.0154121j 0.0406563+0.0312212j 0.125948+0.0497714j -0.0176374+0.0242811j 0.0694005-0.0727119j 0.0404486-0.01991j -0.0160256-0.0399731j 0.0466096+0.032568j -0.0910003+0.0757938j 0.0874282-0.0905522j 0.0284676-0.0148834j 0.000493906-0.0186554j 0.0723773-0.000978609j -0.0115903+0.0150634j -0.0352904+0.160035j 0.00848422+0.028632j -0.00552126+0.0971581j 0.00291968-0.0576813j -0.0690771+0.0469697j -0.0555043-0.0434311j 0.0464938+0.0573101j 0.142654+0.10602j -0.0232593+0.0763601j 0.0291696+0.0213964j 0.00231812-0.0369006j 0.0238158+0.0470046j -0.0523947-0.0783774j -0.0740195+0.0357111j 
-0.0700623+0.0697423j -0.0596226-0.0983419j -0.00510688+0.0100217j 0.108434+0.0221065j -0.0346186-0.122915j 0.00349389+0.103584j 0.0409753+0.04533j -0.134731+0.0421004j 0.142247+0.0246782j 0.00923324+0.018288j 0.0684411-0.0606135j -0.083933-0.0716358j -0.073628-0.0703773j -0.0732036+0.0151049j 0.0213939-0.106919j -0.0241099+0.0308917j -0.0354782+0.0234237j 0.00322516-0.00685838j 0.0369036+0.0239172j 0.0519091-0.0187632j 0.18551-0.0646214j -0.0317989-0.0646307j -0.00675711+0.0134212j -0.0226163+0.010592j 0.138446+0.00949511j 0.0673963-0.0259445j -0.0452709+0.0375906j -0.0111204-0.0346157j 0.0305304-0.125529j -0.0075037-0.0280969j 0.0350143+0.113816j 0.0131643+0.0080932j 0.0538536-0.233698j 0.12763+0.106259j 0.04522-0.243049j -0.254215-0.0453815j 
0.00382016+0.0669549j -0.0405828+0.0334383j -0.0657228+0.00675382j 0.0471645+0.0275914j -0.0279391-0.0372841j -0.000588505+0.0278452j 0.0325454-0.0400808j -0.0574993-0.0184437j -0.0561005-0.0151755j 0.0354957+0.0181977j 0.0379693+0.0245044j 0.00711748+0.0165332j 0.0325537-0.0312975j 0.0359579-0.0314415j -0.0174444-0.0168655j -0.00795329-0.018376j 9.47755e-05+0.0333339j 0.0469295-0.0735644j 0.021997-0.0203196j -0.0397222+0.0181055j 0.0335229+0.0155825j 0.273586+0.322162j 0.0923396+0.0277795j 0.36735-0.0726735j -0.294612+0.144348j -0.136451-0.0282669j -0.0921876+0.101243j -0.251395+0.248585j -0.0174679+0.0871726j -0.0281281+0.185368j 0.0568386-0.282307j -0.20213-0.355668j -0.053037-0.035732j -0.0631884+0.0292419j 0.0471462-0.0442994j -0.0551121-0.0345686j 
0.0859489-0.119024j 0.0901696+0.0596343j 0.00251492-0.0168775j -0.127401+0.0123205j 0.0530594+0.149417j -0.00573113-0.0453998j -0.0669544-0.0492834j 0.137249+0.00331791j -0.091502+0.0128939j -0.0223334-0.0509725j -0.0401203+0.038835j 0.0710342+0.0130684j 0.0740957+0.0579842j -0.0037869-0.00736068j 0.00286934+0.0736085j 0.00789197-0.012152j 0.0194086-0.0194971j -0.0235556+0.0116176j -0.042704-0.0161822j 0.0146426+0.00490962j -0.177636+0.0870763j 0.0090807-0.0337578j -0.0262938-0.0560934j -0.0438948+0.0161071j -0.048383-0.0246046j 0.0285598+0.0571735j 0.0516736-0.115712j 0.0111987-0.0332858j -0.072267+0.114688j -0.00660979+0.0201395j -0.0255458-0.05424j 0.00580659+0.00728259j -0.00687763+0.169535j -0.122989-0.125336j -0.105276+0.189666j 0.206324+0.105678j 
-0.00914989+0.021017j -0.0361611-0.0183672j 0.00717849+0.00896244j 0.023646-0.00494002j -0.0493651-0.0296309j 0.00349115+0.0475206j 0.0092084-0.0152729j -0.0276979+0.0460412j 0.0605984+0.00625617j -0.00382226-0.00468036j 0.0370249-0.0325931j -0.054264-0.00818592j -0.0643774+0.0167147j 0.0176519+0.0268731j -0.00539223-0.0192662j 0.00057515-0.000545562j 0.0075276+0.0389468j -0.0212741-0.00996796j 0.0116056+0.0163311j 0.0583711-0.0169804j 0.0633978-0.0345747j -0.00873936-0.0636183j -0.00276979-0.0143098j -0.0496943+0.0165025j 0.0195109-0.0365419j 0.0697898-0.0162321j -0.0128676+0.0449156j 0.000731052-0.00274752j 0.0419158-0.0683576j 0.0149501+0.0333542j 0.00655109+0.0781076j 0.0330518+0.00934735j -0.0219502-0.0834425j 0.0626039+0.0619354j 0.0886759-0.0584825j -0.0770334-0.0924157j 
0.0333603-0.00461496j 0.0160022+0.00870065j -0.0068697-0.0175919j -0.0131123-0.00836669j -0.025306+0.0298602j 0.00544195-0.0174823j -0.00474584+0.015651j 0.025829+0.0280988j 0.0173901-0.011547j -0.0198108-0.0288986j 0.0365223-0.00887546j -0.0408703-0.0143278j -0.00415708+0.0129163j -0.00188635-0.0189439j -0.0217804+0.000764861j -0.00451029+0.0342138j -0.0190342-0.000845957j -0.00483869-0.0390645j 0.0111145+0.000432629j -0.0098619-0.00630873j -0.0232594-0.00936178j 0.009686+0.0305937j 0.031351-0.023053j 0.00276995-0.0103198j -0.0493455-0.0194867j -0.0113707-0.0303945j -0.0248111+0.0268565j -0.021896+0.0219882j 0.000905342-0.000467936j -0.0118592+0.0509979j -0.0160826-0.0088022j -0.0249841-0.0144735j -0.019814+0.0207938j 0.0304476+0.0272518j 0.0567701+0.0154761j 0.0244018-0.0428723j 
0.00662249-0.00787418j -0.00572687+0.00292075j 0.00822515+0.0149475j -0.0267755+0.0115598j 0.00813115+0.0223135j 0.00219884-0.0155323j -0.00633906-0.0131843j 0.00326839-0.0193851j -0.0152192+0.0195201j 0.00518552+0.0180798j 0.00752298-0.0195933j 0.00407338-0.0227065j 0.00792473-0.00233228j -0.0124569+0.00821019j 0.0258912-0.0284007j 0.00769304-0.0176944j 0.0108886+0.0225725j 0.000456741+0.00872753j -0.00859486+0.00227594j 0.0444459+0.00882646j -0.0164031-0.00802685j -0.0155569-0.00325189j -0.0110044-0.0168495j 0.00433431+0.00985354j 0.0235195-0.00585364j -0.0144272-0.00393236j -0.0128291-0.00659568j -0.0051496-0.0138557j -0.0230799+0.0155756j -0.00211042+0.0154511j -0.0222821-0.0076408j 0.00376963+0.0240705j -0.0163219+0.018402j 0.00713246-0.00680891j 0.00461549+0.00358617j 0.0171855+0.0199053j 
-0.0120464-0.0168483j -0.0235498-0.00236907j 0.0071146+0.0434246j -0.0321364+0.00600942j 0.0058623-0.00409306j -0.00619045+0.00362672j -0.00540996+0.0218891j -0.00107926+0.0229788j 0.0310881-0.00687753j -0.00986106-0.0220829j 0.00587778+0.00244799j -0.0178108-0.0141935j -0.000371865-0.00272689j -0.024911-0.016245j -0.0143607-0.00122542j -0.0163169+0.028483j -0.0211114-0.0216901j -0.00485458-0.010058j 0.00719037+0.00214553j -0.0201265-0.0138262j -0.000517281-0.00333882j -0.0137445-0.0185826j 0.00834792-0.00963379j -0.0372621-1.26316e-05j 0.0203761-0.0131474j 0.021188+0.00222491j 0.00574847-0.0140564j 0.0126923-0.0174085j -0.00134774-0.0188917j -0.00761656-0.0139267j 0.00444869+0.032548j 0.00466206+0.0187541j 0.0218026-0.0114175j 0.0226451+0.00633161j -0.00199316-0.0111638j -0.00530054-0.000771525j 
-0.029816+0.00886797j 0.00643472-0.0141802j -0.00208208+0.00634535j 0.00545614+0.00442392j -0.00270151-0.0243533j 0.000977894+0.0230646j 0.000910719+0.031903j -0.0124805+0.0113976j 0.0351968-0.00537583j 0.0019521+0.00680167j -0.00149589-0.0113413j -0.0384804-0.0129678j -0.0123659+0.00800894j -0.021891-0.00370531j 0.0112852-0.0158942j -0.0082383+0.015113j 0.00916419+0.0116197j -0.00565435-0.00715215j 0.01282-0.0195062j 0.0224175-0.0138573j -0.00901988-0.0116417j 0.019649+0.000113191j 0.0100596-0.0377792j 0.0112558-0.00885749j 0.0332029+0.00829754j -0.0130131+0.00544564j -0.0199705+0.00209046j -0.0218204-0.0206057j -0.0208788+0.0115754j -0.0155336-0.0472699j 0.00106766-0.0319002j -0.00364608-0.0269553j 0.00764665-0.039782j -0.0107866+0.0332929j 0.0137907-0.0345649j -0.0562772-0.00819239j 
0.00541393+0.00817705j -0.00269327+0.0106506j -0.00322856+0.00830779j -0.0182062-0.0162123j -0.0145352+0.0110791j 0.00478976-0.00781402j 0.0110224-0.0243853j 0.012843-0.00419344j -0.0154865+0.00866128j -0.0209799-0.0177655j 0.0181165-0.00338815j -0.00686428-0.00845438j -0.0199898+0.0447112j 0.0353749+0.0018586j -0.000750334+0.012115j 0.0396485+0.00443252j 0.0147603+0.0123131j -0.00428266+0.0276955j 0.00416769+0.00512248j 0.026545-0.00523925j 0.00402866-0.00108492j -0.0115232+0.0156164j -0.00250301+0.0111124j 0.00823359-0.0297143j -0.0225658-0.00501266j -0.0212567-0.0237413j -0.00300657+0.00945143j 0.0132354+0.00911432j 0.0108547-0.00290017j -0.0178046+0.00396952j 0.0152976+0.0167704j -0.0320371-0.0149222j 0.022822+0.0117075j 0.0285083+0.0159317j 0.00868135+0.0214191j 0.0305475-0.0211932j 
