0.00409746-0.035744j -0.0469951-0.0590232j 0.166471+0.030256j 0.0886076-0.136605j 0.0791404+0.0569895j 0.0349211-0.106777j -0.0836037-0.0340985j 0.0491604+0.0830011j 0.0120936+0.0366453j 0.0933678-0.053981j 0.0344819+0.0113203j 0.0817042-0.0737899j -0.0577474+0.102148j -0.120373-0.085378j -0.00787929-0.079663j 
-0.0235228-0.229656j -0.226787-0.0378855j 0.169382+0.075375j 0.21768-0.139916j 0.0950671+0.0494194j 0.0853174-0.15008j 0.0290559+0.0245206j 0.074669+0.0318733j -0.0437141+0.0936656j -0.00151937+0.0677588j 0.227868+0.123995j 0.0384121-0.0528625j -0.16328+0.324665j -0.181333-0.0817909j -0.128973-0.170011j 
-0.00402573-0.194306j -0.194669+0.108806j -0.32057+0.0256754j 0.0208259+0.174452j -0.160807-0.0791085j -0.202273+0.0765713j 0.167993+0.322373j -0.0673353-0.278111j 0.050973+9.65181e-05j -0.209871+0.32584j 0.290659+0.102612j -0.0308866+0.236391j -0.152337+0.101657j 0.18031+0.110226j -0.194266+0.0183015j 
0.00283493-0.157442j -0.136882-0.0465381j 0.142844+0.0960315j 0.169245-0.109985j 0.0616456+0.0553665j 0.080729-0.1482j -0.0254211+0.0381009j 0.094024+0.0445731j 0.0196629+0.0662538j 0.0513094+0.0111654j 0.177227+0.087101j 0.0318403-0.108688j -0.110906+0.228756j -0.121308-0.0605519j -0.0949444-0.0805741j 
0.0240263+0.0557129j 0.0534412-0.0141655j 0.0166845-0.011261j -0.0523803-0.028269j -0.00307851-0.0108047j -0.0253236+0.00708456j -0.0239887-0.0333552j 0.00598285+0.0295569j 0.0277204-0.0371623j 0.0480414-0.0116774j -0.0567982-0.0273621j 0.0172372+0.000236523j 0.0206705-0.0702935j 0.00836571-0.00519711j 0.0392202+0.0089614j 
0.0298599-0.00129455j 0.0138444-0.00912636j 0.0205271+0.0167731j -0.0294012-0.0413132j 0.00338358-0.0466037j 0.0223083-0.00350975j 0.0412026-0.0543823j 0.0335924+0.0283123j 0.0102092-0.046699j 0.0370663+0.0206239j -0.00797846+0.0199297j -0.0205874-0.00926304j -0.00117817-0.024244j -0.0109954+0.0207217j 0.0104618-0.00993957j 
-0.00101428-0.0168662j -0.034384-0.0216022j 0.0427053-0.0169158j 0.0204011-0.0430624j 0.0345439+0.0380803j -0.00546676-0.0152168j -0.0128098-0.0150144j 0.0206228+0.0253351j -0.0176182+0.0152349j 0.0274705+0.0268855j 0.000336698-0.000601808j -0.000517411+0.000170881j -0.0155381+0.0575212j -0.0387423-0.0521834j -0.00570604-0.0655179j 
0.00765318-0.00619926j 0.0152963-0.00905677j 0.00638186+0.0186155j 2.11022e-05+0.0244806j 0.00798269+0.0189412j 0.0195625-0.0139072j -0.0152837+0.0124723j 0.0269603+0.00643828j 0.0213673-9.03496e-05j 0.0251701-0.0020084j -0.00239994-0.000363904j -0.0224463-0.021096j 0.0252597+0.0013192j -0.00379421-0.00788441j -0.00345426+0.0176784j 
-0.006358-0.00365295j 0.00333667-0.00638312j 0.0313501+0.00217636j 0.00656792+0.0111646j 0.0192219-0.00891725j 0.00672999-0.0142719j -0.00980754+0.00160765j -0.00982974+0.00797359j 0.00610816-0.0100067j 0.0123544-0.0110577j -0.00078703+0.00180315j 0.0213356+0.0107874j 0.00854157-0.0166527j -0.0300096-0.00381601j 0.00147622+0.000432777j 
-0.0133572-0.0210774j -0.0262698-0.00495381j 0.0124891-0.00142398j 0.0074441+0.0201345j 0.0322131-0.0095578j 0.00353194-0.00548842j -0.0133764+0.0130027j -0.0224007+0.00901667j -0.00682612-0.00458069j 0.0149425+0.0193397j 0.0231874+0.00946096j -0.00327061+0.00380253j -0.00136837+0.0140398j -0.00848674+0.00152918j -0.000989211-0.0188124j 
0.00655459-0.0168356j -0.00811233+0.000325968j -0.0128996-0.00088927j -0.00353231+0.0135808j 0.00575083+0.00386587j 0.00421249-0.00559853j 0.00747651+0.00163209j 0.0104233+0.00182619j -0.00172045-0.00324625j 0.00014924+0.0252156j 0.00415476-0.00608873j -0.0150884+0.00130496j -0.00381865+0.0177023j 0.00097417+0.00332452j -0.00433262-0.00503777j 
