-0.303593+0.0346298j 0.0470607+0.306481j -0.00784218+0.184991j 0.0632807+0.0556986j -0.0847653+0.0369777j -0.108415+0.00918444j -0.049659+0.117001j -0.000497343+0.177953j 0.280874-0.0577594j 0.0975021+0.0604337j -0.0902607-0.0109217j 0.0272113+0.0796511j -0.132729+0.00188553j 0.1059-0.205715j -0.137422-0.141411j -0.271069+0.0683363j 0.28012+0.0361341j -0.0459265-0.392427j 
-0.145431+0.110554j 0.0800886+0.163579j -0.106443+0.147118j -0.164749+0.449318j 0.175624+0.0791563j 0.256323+0.181615j -0.299494-0.38507j 0.268669-0.128677j 0.00138615+0.124239j 0.0308292-0.0596651j -0.381776+0.123359j 0.108812-0.0774664j 0.14981+0.0733916j 0.0318838-0.00338855j 0.0373904+0.0284358j 0.0732708-0.0489035j 0.0020088-0.0191995j 0.0449352+0.0238854j 
-0.119363+0.0324701j 0.0328402+0.1093j 0.0131641+0.0656621j 0.0275212-0.00975725j -0.0401837+0.0225557j -0.034333+0.0195159j 0.0152131+0.0384861j 0.00392102+0.0641716j 0.130519-0.0612952j 0.0651475+0.0237858j -0.0227763-0.0120998j 0.0218463+0.0103939j -0.0407529-0.0208802j 0.0414332-0.134995j -0.0688653-0.0825829j -0.142031-0.0457114j 0.0850656+0.0333761j 3.57705e-05-0.158888j 
-0.00132366-0.00841757j -0.0255485-0.0140234j 0.0391836-0.0023921j 0.00368165+0.00924167j -0.00429516+0.00376008j 0.024885-0.0138499j 0.0115637-0.00477406j 0.0110485-0.0262882j 0.0120449-0.0461418j 0.000489013+0.0405858j -0.000847111-0.0145927j 0.0141089-0.0127201j 0.00797836+0.0349003j -0.00770432+0.0114667j -0.0377756-0.0118533j 0.0332739+0.00197328j 0.0135991+0.0151458j 0.0354296-0.0196471j 
0.0134478+0.0291753j 0.0139694-0.00855456j 0.0259765-0.0286105j -0.01966-0.0247149j 0.00947988+0.00999855j -0.0173555+5.92606e-05j 0.00613855-0.00200356j 0.0142913-0.0323573j 0.000186895+0.0249752j 0.0533337+0.0140712j 0.0178862-0.0102521j -0.0334176+0.0291736j 0.0210494-0.0168948j 0.00273984-0.0179292j 0.044995-0.0331983j -0.0491942+0.000751164j -0.0531111-0.0129675j 0.00364018+0.0203867j 
0.00873634+0.0227952j 0.0128028-0.00563368j -0.0255092+0.0139645j 0.0298374-0.00965829j -0.053602-0.0296555j 0.0182209-0.0110077j 0.018072-0.0261139j 0.00352735+0.00868364j -0.0134957+0.011588j 0.0359185+0.0069049j -0.0342129-7.06944e-05j -0.0022062+0.0147197j 0.00954746-0.0082952j 0.00444973-0.0148858j 0.0160081-0.0080235j -0.0167597+0.00577677j -0.015177-0.00235689j 0.00105+2.5443e-05j 
-0.00851408-0.0245574j -0.0147595-7.6907e-05j 0.0125705+0.0130624j 0.0103783-0.00442665j 0.0226907+0.00204043j 0.033149+0.00735361j 0.0316827+0.00258504j -0.012514+0.0112478j 0.014375-0.0324061j 0.0392185-0.00812499j -0.00122289+0.00159766j -0.0181828-0.0787022j 0.0181396+0.0297442j -0.0195439+0.0107782j -0.040443-0.0364204j 0.0127583-0.00330672j 0.00600433+0.00495531j 0.035469+0.00564506j 
0.0146266-0.00424218j 0.00877232-0.0234095j 0.00402386+0.0252603j -0.0204285+0.00607884j -0.00352077-0.0176156j 0.0143895+0.00326129j -0.00185133-0.00236739j 0.015898+0.00116236j 0.0464127-0.0113373j -0.00916288+0.0098772j 0.0148715-0.00476734j 5.76749e-05-0.00674708j -0.0449127+0.0252892j 0.00583225-0.0159764j -0.000302243-0.043837j 0.0368537+0.00987564j -0.0061506+0.0174048j -0.000887039+0.0211884j 
-0.00270895+0.0291194j 0.0144318-0.00273901j 0.0235331-0.0148599j -0.0074988-0.0211029j 0.0092257+0.0158696j 0.0250596+0.0234678j 0.0290614-0.0281359j 0.0143685-0.0203817j 0.0226328-0.0180432j 0.0302685+0.00781418j 0.00413039+0.0078495j 0.0121551-0.0167425j 0.0212112-0.0359676j 0.0153837-0.012786j -0.00610058-0.020206j -0.00928771-0.0294228j -0.0366431+0.0143041j 0.026779-0.0200981j 
0.00449351-0.000622823j 0.0174895+0.00167411j -0.00922234-0.00297027j -0.0177235-0.00602776j -0.00963163-0.00180373j -0.00201126+0.0110163j -0.0092162-0.00798637j -0.0184442+0.000964957j -0.000248045-0.0164908j -0.00243258+0.0307244j -0.00288087+0.0239878j -0.00803329-0.00294j -0.00280409+0.0127045j -0.00900915+0.0416166j -0.00130239-0.0214601j -0.00798165-0.00586675j -0.00895409-0.00366886j -0.00852871-0.0151012j 
0.0443125+0.0171629j 0.00095838-0.0344404j -0.0322932-0.0086018j 0.00402001-0.017975j 0.00155091+0.00590951j -0.0130669+0.00174797j -0.00101488-0.00274825j 0.0102344-0.0184723j -0.0133522-0.0200159j -0.014435-0.00284892j 0.0146951-0.0158442j -0.000745771-0.00405753j 0.00704024-0.00967241j 0.000794614+0.0530559j -0.0177719+0.00334549j 0.000619378-0.0352639j -0.0413746-0.0186836j 0.00556862+0.0355496j 
0.0165752+0.0129905j 0.00498062-0.0148795j 0.00539447-0.0178119j -0.0147062-0.00543119j -0.00109613-0.0095675j 0.00589585+0.00815637j -0.00776508-0.0137175j 0.000553012-0.00303036j -0.00484106+0.00219187j 0.0093431-0.00908222j 0.00801159-0.00361754j 0.00329412-0.00180805j 0.0111824-0.00044298j 0.00244745-0.033949j 0.00359236+0.00592011j -0.0105321-0.0341431j -0.0263782-0.00864807j 0.00800926+0.0353022j 
0.0025587+0.00173054j -0.00275293+0.00927448j -0.0043917+0.00850807j 0.00426869+0.00213396j -0.0014798-0.00158901j -0.012033-0.0122195j -0.00384069+0.00395868j 0.00694597+0.00521076j -0.000146523-0.00243731j 0.0214822+0.00654124j 0.00301746-0.0107493j -0.0162953-0.00384976j -0.0109496-0.000563275j -0.00835067+0.00617092j 0.0211978-0.022449j 0.00392107+0.00319159j 0.00928682+0.00442237j -0.0209987-0.0173708j 
0.0086041-0.00232925j 0.0118667+0.0137743j -0.0209319-0.000809022j -0.0102669-0.000157666j -0.00353775+0.00192683j -0.0113181-0.00203272j -0.00940583+0.0119812j -0.00779464+0.00709553j 0.0125398-0.00278064j -0.00460915-0.0274298j -0.00429278+0.00648821j -0.0118527+0.0210692j 0.00279009+0.0177466j -0.00529207-0.00133875j -0.0113334-0.00369413j -0.00282961-0.0159281j -0.0204112-0.0204292j 0.00682977+0.00932453j 
0.00348103+0.014471j 0.00317232-0.0327873j 0.009408-0.0179442j 0.00423099-0.00534279j 0.00260985-0.00745508j 0.00816468+0.00916389j 0.00696004-0.0205063j 0.00409126+0.00307729j -0.0122568+0.0163688j -0.00655394+0.00946088j 0.0216051-0.00115283j 0.0181693+0.00254383j 0.0156208-0.0314476j -0.00579244+0.0203307j 0.00468311+0.0104986j -0.00202515-0.0036979j -0.00710221+0.0062295j 0.000183847+0.0248433j 
-0.00826105-0.0102643j 0.0133219-0.00251126j -0.000706488-0.016787j 0.00752797+0.00301733j -0.0108354+0.00829833j 0.0106693+0.00215249j 0.01022-4.37451e-05j 0.00312864-0.0109881j 0.00179733+0.0135784j -0.0161331+0.00224069j 0.00172849+0.00165125j 0.00421487-0.00695059j -0.00602326+0.00197121j 0.0246042-0.00152982j -0.0270035+0.00520311j -0.0160503+0.00416234j 0.00377578-3.74281e-05j -0.00170149+0.0133375j 
0.00540319+0.00636969j -0.00371969-0.00332618j 0.0182288+0.0167106j -0.00164984-0.0209116j 0.0177444-0.0311677j -0.0281911+0.00237141j -0.00539269-0.0222544j -0.0106626-0.0131114j 0.00108425-0.00136624j -0.00837916-0.00186996j -0.0169609-0.00173924j 0.0134544+0.00011774j 0.00315516-0.00339128j 0.0070321+0.00768528j -0.00680943-0.00014498j -0.00555593+0.000501104j -0.00324744-0.00287026j 0.000984361+0.00716131j 
0.00992779+0.000893287j -0.0094481+0.0115221j 0.0103532-0.00727572j 0.00184633+0.0119214j -0.016324-0.0123078j 0.00260551+0.00944282j 0.00313325+0.0185482j 0.0267783+0.00461357j -0.00422172+0.00350328j -0.00399631-0.0122216j -0.000173729-0.0121472j 0.00584393-0.0175152j -0.0042725-0.0182668j 0.00846554-0.00238995j -0.00209263+0.0141335j -0.000215435+0.00145565j -0.00529958-0.000833685j 0.00552482-0.0047275j 
0.00032885+0.0074805j -0.00202582+0.00437316j -0.00546087-0.00250968j -0.00182627-0.00871075j 0.00222334+0.00732137j 0.0133293+0.0166554j 0.00056115+0.00842921j -0.00874014-0.00227976j -0.00168518+0.00120123j -0.00431099+0.00126151j -0.00577749+0.00871909j -0.00581707+0.0134469j -0.00845264-0.00641717j 0.000822803+0.0107417j -0.0044636-0.00423955j 0.000620341-0.00231694j 0.00465287-0.0103855j 0.00538526+0.00116335j 
-0.0111933-0.00672831j 0.00629655+0.00554668j 0.000843774+0.00905882j 0.000323856+0.00541507j 0.00417819-0.0107356j -0.0160663-0.0224572j -0.00114619-0.00355299j -0.000751739+0.0166309j 0.0106795+0.00255662j -0.00421082+0.0042139j 0.00554472-0.00313524j 0.0196913-0.00495206j 0.00432172+0.0105461j -0.00398937-0.00685124j -0.00591648+0.000905752j -0.0187001+0.0063115j 0.00486695+0.00190885j -0.0038403-0.0112883j 
-0.000390296-0.000291277j 0.00813416+0.0116379j -0.0134062-0.0155226j 0.00237557-0.00774694j 0.00897477+0.000569807j -0.0127459-0.00232927j -0.0134838-0.00160791j -0.00819317+0.00526618j -0.00797237+0.00389129j -0.00464342-0.0103168j -0.00107909-0.00454377j -0.00374481-0.0106783j 0.0106582+0.00106213j 0.00869366-0.0100589j 0.00915865-0.0130159j 0.00014839+0.00704142j -0.00666881-0.00641351j -0.0097014-0.00156611j 
0.00146589-0.0144223j -0.0020613-0.00976941j 0.011103+0.00222514j 0.00359639-0.00704824j 0.01545-0.00992542j 0.00781052+0.0057417j 0.00389954+0.00511366j -0.00947831+0.00636532j 0.00500921-0.007767j 0.0110931-0.00310304j -0.000702664-0.00525196j 0.0116625-0.00279588j -0.00671194-0.00479299j -0.00728772+0.00548378j 0.00642744+0.0214047j 0.00526541-0.0113184j 0.00968159+0.00714919j -0.00172607+0.00805729j 
0.00235105+0.0171659j -0.0128044-0.00222257j -0.0054767-0.00589334j -0.0192521-0.00652374j 0.0115652+0.00122183j -0.00677255-0.0138671j -0.0201319-0.0073915j -0.00526706+0.00316731j 0.00664601-0.00260712j 0.0168919-0.000300403j 0.00103017+0.0071914j 0.00451211+0.00288368j 0.00985588+0.00444689j -0.00726685+0.00210216j 0.00794349-0.00359441j 0.0160261+0.0052935j -0.00747406-0.0173888j 0.0112229-0.00307852j 
0.00193826-0.00313908j -0.00806103-0.00718463j 0.0142362+0.011358j -0.0133546+0.00353817j -0.00395318+0.0026316j -0.000402033-0.00806176j 0.00850546+0.00704527j 0.00938419-0.0129563j -0.00453959+0.0149445j 0.0101448+0.0143354j -0.00368164+0.00976044j 0.00978842+0.00730976j -0.0108129-0.00892463j -0.0119052+0.000777664j -0.00672718+0.0131735j -0.00600621-0.0112774j 0.00939155+0.00531187j -0.00616921+0.00118206j 
