0.156039-0.118914j 0.123828+0.181561j 0.119805-0.00872404j 0.179176-0.0557963j -0.0793472+0.20838j 0.197963-0.107125j 0.171545+0.266467j 0.091815-0.238059j -0.120631-0.181092j -0.184886+0.075903j 0.236379+0.107826j 0.0508756-0.152306j -0.0528957+0.327473j 0.168485-0.0223183j 0.213963-0.0954072j 0.0414499-0.0566301j 0.105559+0.00636221j -0.306252-0.0373407j 0.113873+0.206114j -0.0157658+0.126022j -0.0559932+0.0103967j 0.0920447+0.0284185j 0.0380405-0.0308806j 0.00621664-0.0894654j 0.138009+0.0298757j -0.00654949+0.111967j 
-0.0641225+0.083346j -0.105277-0.0893767j -0.13994+0.129579j -0.254589-0.0117576j -0.126871-0.137056j 0.0701768-0.184698j 0.0615457+0.0872643j 0.0161674-0.123483j -0.140928-0.107841j -0.130642+0.122044j 0.0812591+0.113564j 0.263199-0.0575551j 0.0444407-0.120035j 0.0421395-0.120814j 0.118223+0.0501849j -0.15873-0.163576j 0.010675-0.0404115j -0.0478819+0.00880555j 0.0313047+0.172042j 0.0437044+0.0922589j 0.111728-0.181725j -0.0106376-0.0240667j 0.14178+0.0955467j -0.163199+0.255271j -0.245278-0.141579j 0.0695899-0.160347j 
-0.035297-0.253028j 0.231953-0.0468226j -0.00286537+0.0298069j -0.0378551+0.23438j -0.192177-0.0861385j -0.00383117-0.0165639j -0.203627+0.0189523j -0.0552853+0.0231669j -0.164664+0.0548925j 0.0550281-0.0564773j -0.105575+0.005467j 0.0400896+0.0900187j 0.0338087+0.0690691j -0.140189-0.114979j 0.0449032+0.136884j 0.00490168-0.227172j -0.0528196-0.111918j -0.0320644+0.0137952j -0.0110762-0.00771407j -0.0269757-0.138555j 0.217528-0.195661j 0.300853+0.177656j 0.117511-0.350656j 0.25891-0.0181812j 0.0925263-0.103967j 0.213032+0.111027j 
0.0316917-0.0575793j 0.0575247+0.0455998j 0.0699496-0.0534718j 0.137634+0.0167633j 0.0332957+0.0762577j -0.00309473+0.0554353j 0.00583726-0.0061934j -0.00806677+0.0500096j 0.041382+0.00578373j 0.0321483-0.0132921j 0.00762742-0.0258722j -0.152024+0.00441688j -0.0794301+0.0601509j -0.0634052+0.0663009j -0.0078035-0.0621014j 0.066714+0.101467j -0.033117+0.0199062j -0.0369727-0.0115848j -0.043395-0.037542j 0.0313792-0.0267044j -0.0411602+0.0681783j 0.00138009+0.0439685j -0.0278268-0.0481523j -0.0119484-0.151333j 0.127264+0.0400051j -0.0126201+0.099234j 
-0.0163925+0.00175958j -0.00183008-0.018647j -0.00979023+0.0139115j -0.00127502+0.000882378j -0.000714431-0.0455791j -0.0137922-0.0242939j 0.0124335+0.00118839j -0.0156947-0.0356429j -0.00820612+0.0122904j -0.0207818+0.003287j -0.00847554+0.00781304j 0.0190956+0.00967702j -0.0409518-0.0203981j -0.0371148+0.0317021j 0.000257207-0.0123998j -0.0326836+0.015742j 0.0267354-0.00425543j 0.0142182+0.000113358j -0.0260822-0.00203603j 0.0385152-0.00117559j 0.0262308-0.000384853j 0.00109989-0.00180096j 0.00700147+0.0075113j -0.0207588+0.0214426j -0.00692542-0.0217075j 0.00318231-0.00567214j 
-0.0313342+0.0387908j -0.0386061-0.0303715j -0.0390162+0.00516753j -0.0220394-0.0517018j 0.00201553-0.0221458j 0.0246452-0.0105378j 0.00512021+0.00342857j 0.000963083+0.000356286j 0.0148902-0.0297953j -0.0204298+0.0380599j -0.00294578+0.0274177j 0.0437944+0.00639698j 0.00940271-0.0700299j -0.00465912+0.00312691j 0.0345353-0.0291734j -0.0440448-0.00337398j -0.0210504+0.00740274j 0.0125218-0.00824749j 0.0195414+0.0217569j 0.065485+0.0143684j 0.0239534-0.00809888j -0.0725007-0.0419283j -0.0076557+0.0136547j -0.0323407+0.097618j -0.030192-0.0032751j -0.0227607-0.0208839j 
-0.0218152+0.000117327j -0.000328773-0.0245651j 0.00081681+0.00310478j -0.011534+0.0345015j -0.0402726-0.0118414j -0.0160515-0.0240999j -0.0202595+0.0030959j -0.000448883+0.0200471j -0.0290938-0.000505283j 0.0225705+0.00937478j 0.00773187+0.00268372j 0.00856788+0.00517463j -0.0250048-0.00918626j -0.0128463-0.0242633j -0.0105468+0.0269027j -0.010808-0.00826208j -0.027429-0.00167005j -7.45249e-05+0.0204151j 0.00194123+0.0280126j 0.0221454+0.00272486j 0.0567392+0.0292261j 0.0156746+0.0216752j 0.0168619+0.0145657j 0.0113569-0.0308632j -0.0222567-0.0376733j 0.0218791-0.0253878j 
0.0117699+0.00875527j -0.0250215+0.00595064j -0.00172248+0.034828j -0.0128867+0.0193241j 0.00176246-0.00330436j 0.00676013+0.00169567j 0.0288649-0.0115053j -0.0134232+0.0217809j 0.0196944+0.0124058j 0.00226743+0.0230818j -0.00679793-0.00885194j 0.00377636+0.0231321j -0.0156081+0.0177848j -0.0206506-0.0251905j -0.00749558-0.000760317j 0.0294428+0.00660584j -0.00162375+0.00628904j 0.0141245+0.00305645j 0.0224225-0.0100229j -0.0304632+0.0357395j -0.0232413+0.000741555j 0.0329988+0.021222j -0.00279275+0.0618795j -0.0101326-0.0123095j -0.00863778-0.0244026j 0.00642807-0.0319748j 
-0.0271916-0.00731894j 0.00443287-0.0123969j -0.00335371+0.0289997j 0.02689+0.0296581j -0.0309117-0.0146356j 0.00907606+0.00209594j -0.0185343-0.00883773j -0.00596722-0.00174493j -0.0345042-0.0516175j 0.00446871-0.0407195j -0.0192595-0.0176649j 0.00820425-0.0465676j -0.030324-0.00909533j 0.01624-0.0208509j -0.0149152+0.0494172j 0.0237564-0.0195606j 0.0157159-0.0108727j 0.00735876+0.0557527j 0.0385883+0.0301151j 0.0462826-0.0253099j 0.0208788+0.0362109j 0.0125873-0.00628112j -0.0184925-0.036362j 0.00157839-0.0340905j -0.000809107+0.00201973j 0.0213134-0.0141762j 
0.00286767+0.0104977j -0.00757371-0.00228028j -0.00680142-0.0429067j -0.00767503+0.0123924j -0.0124191-0.00292425j 0.0144013-0.0183625j 0.00550994-0.00700886j 0.00144229+0.0060333j 0.0305195+0.0108512j -0.0166571+0.0139145j -0.0348738-0.00686104j -0.00835241+0.00708406j 0.00831769-0.00600459j -0.0156093+0.00540325j -0.0495356+0.00312908j -0.0243546+0.00233108j 0.00871737+0.0114803j -0.0151082-0.0269157j 0.0303141-0.00115487j -0.00703694-0.00379351j 0.00118179-0.00892888j -0.00564059-0.00650517j 0.000159069-0.00176364j -0.0041067+0.00890523j -0.000344695+0.00339053j -0.00614713+0.00231373j 
-0.00180255-0.0142358j 0.0209566+0.00402584j 0.0227187-0.00299769j 0.0397284+0.0415881j 0.000220737-0.0202396j -0.0103873-0.021757j -0.00862596-0.011619j 0.019363-0.00466735j -0.0185775-0.0166405j 0.00583412+0.00640578j 0.0171769-0.0160196j -0.030632-0.0053701j -0.0236323+0.021808j 0.014987-0.0184107j -0.00518371+0.0229013j -0.00904597+0.00621324j -0.0169892+0.00962895j -0.0154335+0.00582818j -0.0137677+0.00576729j -0.0183165+0.00193947j 0.0122931+0.00676998j 0.014577+0.0152221j -0.0227539-0.00907051j 0.00177601-0.0156372j 0.0189842-0.0065801j 0.00957557+0.00312361j 
