3.4359e-15-0.080297j -1.59905e-14+0.143808j 8.09697e-16-0.139435j -2.25105e-15+0.187095j -1.39145e-15-0.19564j -2.05253e-15+0.0062471j -8.40797e-16+0.107577j -2.32815e-15-0.138546j -3.11771e-16-0.185967j 2.11695e-15-0.151937j -2.09527e-15-0.0033352j 3.62963e-15-0.0930597j 8.20093e-15+0.249133j -3.55766e-15-0.0363759j -2.99912e-15-0.104099j 1.47212e-14-0.0427346j -3.18147e-14-0.174828j -5.36162e-14-0.156613j -1.77523e-11-0.159382j 3.79142e-14+0.183108j 2.19162e-15-0.251323j -1.96314e-14-0.0626221j -2.21583e-13+0.150505j 3.10816e-14+0.121715j -1.0605e-14-0.0442154j 1.24534e-14+0.15672j -5.03962e-15+0.0488607j -1.21792e-15+0.0271493j 2.74041e-14+0.00217917j 2.28317e-14-0.0369319j 4.96058e-15-0.168565j 9.12079e-15-0.0557536j 2.40808e-14-0.113112j -1.85961e-14-0.133749j -1.41845e-14-0.0415416j -2.12376e-14-0.26235j 1.85044e-14-0.148132j -2.91329e-14+0.0125897j -3.20399e-14+0.219583j -7.41754e-14-0.122077j -1.27785e-14-0.0731557j 1.98018e-15+0.0389278j -1.86049e-15-0.0591065j 5.85802e-15-0.199263j -1.50809e-16+0.0492357j 1.32196e-15+0.0684379j -3.18373e-15+0.145845j -7.35524e-16+0.173218j 4.07044e-15+0.129001j 6.97126e-16-0.100925j -1.84741e-16-0.0106182j -1.16494e-16+0.175896j -1.40832e-15+0.173195j -7.26941e-16+0.130787j 9.74122e-14+0.136912j 2.09119e-14+0.0768406j 
4.79203e-17-0.0011199j -2.23018e-16+0.00200568j 1.12928e-17-0.00194469j -3.13953e-17+0.0026094j -1.94065e-17-0.00272857j -2.86265e-17+8.71278e-05j -1.17265e-17+0.00150037j -3.24706e-17-0.00193229j -4.34824e-18-0.00259366j 2.95249e-17-0.00211905j -2.92225e-17-4.65157e-05j 5.06222e-17-0.0012979j 1.14378e-16+0.00347463j -4.96184e-17-0.000507332j -4.18284e-17-0.00145186j 2.05316e-16-0.000596016j -4.43717e-16-0.00243831j -7.47781e-16-0.00218426j -2.4759e-13-0.00222289j 5.28786e-16+0.00255379j 3.05663e-17-0.00350519j -2.73797e-16-0.000873385j -3.09039e-15+0.00209908j 4.33492e-16+0.00169755j -1.47906e-16-0.000616668j 1.73686e-16+0.00218576j -7.02872e-17+0.000681456j -1.69862e-17+0.000378649j 3.82202e-16+3.03927e-05j 3.18432e-16-0.000515086j 6.91847e-17-0.00235096j 1.27207e-16-0.000777591j 3.35853e-16-0.00157756j -2.59358e-16-0.00186539j -1.97831e-16-0.000579378j -2.96199e-16-0.00365897j 2.5808e-16-0.00206598j -4.06314e-16+0.000175587j -4.46858e-16+0.00306251j -1.03452e-15-0.0017026j -1.7822e-16-0.0010203j 2.76174e-17+0.000542922j -2.59482e-17-0.000824353j 8.17013e-17-0.00277911j -2.10332e-18+0.000686686j 1.84373e-17+0.000954498j -4.44032e-17+0.00203409j -1.02583e-17+0.00241585j 5.677e-17+0.00179916j 9.72276e-18-0.00140759j -2.57657e-18-0.000148091j -1.62473e-18+0.00245321j -1.96417e-17+0.00241553j -1.01386e-17+0.00182407j 1.3586e-15+0.0019095j 2.91656e-16+0.00107169j 
9.06528e-18-0.000211855j -4.21894e-17+0.000379423j 2.1363e-18-0.000367885j -5.93917e-18+0.000493632j -3.67121e-18-0.000516176j -5.41539e-18+1.64823e-05j -2.21836e-18+0.000283832j -6.1426e-18-0.00036554j -8.22576e-19-0.000490654j 5.58534e-18-0.00040087j -5.52815e-18-8.79958e-06j 9.57641e-18-0.000245528j 2.16373e-17+0.000657311j -9.38653e-18-9.59742e-05j -7.91286e-18-0.000274654j 3.88405e-17-0.000112751j -8.39399e-17-0.000461265j -1.41461e-16-0.000413206j -4.68376e-14-0.000420513j 1.00033e-16+0.000483111j 5.78236e-18-0.000663091j -5.17954e-17-0.000165222j -5.84623e-16+0.000397092j 8.20055e-17+0.000321134j -2.79801e-17-0.000116658j 3.2857e-17+0.000413489j -1.32965e-17+0.000128914j -3.21336e-18+7.16307e-05j 7.23028e-17+5.74952e-06j 6.02391e-17-9.7441e-05j 1.3088e-17-0.000444741j 2.40643e-17-0.0001471j 6.35347e-17-0.000298434j -4.90639e-17-0.000352884j -3.74245e-17-0.000109603j -5.60332e-17-0.000692183j 4.88221e-17-0.00039083j -7.68641e-17+3.32166e-05j -8.4534e-17+0.000579349j -1.95704e-16-0.000322087j -3.37146e-17-0.000193014j 5.22451e-18+0.000102707j -4.90872e-18-0.000155946j 1.54558e-17-0.000525735j -3.97893e-19+0.000129903j 3.48786e-18+0.000180566j -8.39995e-18+0.000384797j -1.9406e-18+0.000457017j 1.07394e-17+0.000340356j 1.8393e-18-0.00026628j -4.8742e-19-2.8015e-05j -3.07357e-19+0.000464084j -3.71571e-18+0.000456956j -1.91796e-18+0.000345067j 2.57012e-16+0.000361228j 5.51739e-17+0.000202736j 
4.34056e-17-0.00101439j -2.02007e-16+0.00181672j 1.02289e-17-0.00176147j -2.84374e-17+0.00236356j -1.75782e-17-0.00247151j -2.59295e-17+7.89193e-05j -1.06217e-17+0.00135902j -2.94114e-17-0.00175025j -3.93858e-18-0.00234931j 2.67432e-17-0.00191941j -2.64694e-17-4.21334e-05j 4.58529e-17-0.00117562j 1.03602e-16+0.00314728j -4.49437e-17-0.000459535j -3.78876e-17-0.00131507j 1.85972e-16-0.000539863j -4.01913e-16-0.00220859j -6.7733e-16-0.00197848j -2.24264e-13-0.00201346j 4.78967e-16+0.00231319j 2.76866e-17-0.00317495j -2.48002e-16-0.000791101j -2.79924e-15+0.00190132j 3.92652e-16+0.00153762j -1.33972e-16-0.000558571j 1.57323e-16+0.00197983j -6.36653e-17+0.000617255j -1.53859e-17+0.000342976j 3.46194e-16+2.75293e-05j 2.88432e-16-0.000466558j 6.26667e-17-0.00212947j 1.15222e-16-0.000704332j 3.04211e-16-0.00142893j -2.34924e-16-0.00168965j -1.79193e-16-0.000524793j -2.68293e-16-0.00331425j 2.33766e-16-0.00187134j -3.68034e-16+0.000159045j -4.04758e-16+0.00277399j -9.37053e-16-0.00154219j -1.61429e-16-0.000924172j 2.50155e-17+0.000491772j -2.35035e-17-0.000746689j 7.4004e-17-0.00251728j -1.90516e-18+0.000621992j 1.67003e-17+0.000864572j -4.02199e-17+0.00184245j -9.29183e-18+0.00218825j 5.14216e-17+0.00162966j 8.80675e-18-0.00127498j -2.33382e-18-0.000134139j -1.47166e-18+0.00222209j -1.77912e-17+0.00218796j -9.1834e-18+0.00165222j 1.2306e-15+0.0017296j 2.64179e-16+0.000970723j 
5.98388e-18-0.000139843j -2.78487e-17+0.000250453j 1.41015e-18-0.000242836j -3.92038e-18+0.00032584j -2.42332e-18-0.000340721j -3.57463e-18+1.08798e-05j -1.46431e-18+0.000187354j -4.05465e-18-0.000241288j -5.42972e-19-0.000323875j 3.68682e-18-0.000264609j -3.64906e-18-5.80849e-06j 6.32127e-18-0.00016207j 1.42825e-17+0.000433883j -6.19593e-18-6.33514e-05j -5.22318e-18-0.000181295j 2.56381e-17-7.44254e-05j -5.54077e-17-0.000304475j -9.33766e-17-0.000272752j -3.09169e-14-0.000277575j 6.60303e-17+0.000318896j 3.81686e-18-0.000437698j -3.41895e-17-0.000109061j -3.85902e-16+0.000262115j 5.41308e-17+0.000211976j -1.84693e-17-7.70044e-05j 2.16885e-17+0.000272939j -8.77687e-18+8.50945e-05j -2.1211e-18+4.72825e-05j 4.77262e-17+3.79518e-06j 3.97631e-17-6.43196e-05j 8.63921e-18-0.000293568j 1.58845e-17-9.70991e-05j 4.19385e-17-0.000196992j -3.23865e-17-0.000232934j -2.47034e-17-7.23478e-05j -3.69868e-17-0.000456901j 3.22268e-17-0.000257982j -5.0737e-17+2.19258e-05j -5.57998e-17+0.000382421j -1.29182e-16-0.000212606j -2.22546e-17-0.000127406j 3.44863e-18+6.77955e-05j -3.24019e-18-0.000102938j 1.02022e-17-0.000347031j -2.62644e-19+8.57476e-05j 2.30229e-18+0.00011919j -5.5447e-18+0.000253999j -1.28097e-18+0.000301671j 7.08896e-18+0.000224664j 1.2141e-18-0.000175768j -3.2174e-19-1.84924e-05j -2.02883e-19+0.000306336j -2.45269e-18+0.000301631j -1.26602e-18+0.000227775j 1.6965e-16+0.000238442j 3.64196e-17+0.000133824j 
1.75567e-17-0.000410299j -8.17079e-17+0.000734827j 4.13736e-18-0.00071248j -1.15024e-17+0.000956014j -7.11001e-18-0.000999674j -1.0488e-17+3.19212e-05j -4.29628e-18+0.000549696j -1.18963e-17-0.000707939j -1.59308e-18-0.000950247j 1.08171e-17-0.000776363j -1.07063e-17-1.70421e-05j 1.85466e-17-0.000475513j 4.19049e-17+0.00127301j -1.81788e-17-0.000185873j -1.53248e-17-0.00053192j 7.52221e-17-0.000218364j -1.62566e-16-0.000893329j -2.73966e-16-0.000800254j -9.07101e-14-0.000814405j 1.93733e-16+0.000935638j 1.11987e-17-0.0012842j -1.00312e-16-0.000319984j -1.13224e-15+0.000769045j 1.5882e-16+0.000621938j -5.41889e-17-0.00022593j 6.3634e-17+0.000800801j -2.57513e-17+0.000249667j -6.22329e-18+0.000138727j 1.40028e-16+1.11351e-05j 1.16665e-16-0.000188713j 2.53474e-17-0.000861327j 4.66051e-17-0.000284888j 1.23047e-16-0.000577975j -9.50218e-17-0.000683428j -7.24797e-17-0.000212268j -1.08519e-16-0.00134055j 9.45534e-17-0.000756918j -1.48862e-16+6.43303e-05j -1.63716e-16+0.00112202j -3.79019e-16-0.000623784j -6.52949e-17-0.000373809j 1.01183e-17+0.000198912j -9.50669e-18-0.000302021j 2.99331e-17-0.00101819j -7.70598e-19+0.000251583j 6.75492e-18+0.000349702j -1.62681e-17+0.000745233j -3.75836e-18+0.000885102j 2.0799e-17+0.000659165j 3.56215e-18-0.000515703j -9.43984e-19-5.42565e-05j -5.95257e-19+0.000898789j -7.19619e-18+0.000884985j -3.7145e-18+0.00066829j 4.97754e-16+0.000699587j 1.06855e-16+0.000392638j 
1.1448e-17-0.00026754j -5.32785e-17+0.000479152j 2.69781e-18-0.00046458j -7.50024e-18+0.000623379j -4.63616e-18-0.000651848j -6.83878e-18+2.08146e-05j -2.80143e-18+0.000358435j -7.75713e-18-0.000461619j -1.03878e-18-0.000619619j 7.05341e-18-0.000506236j -6.98117e-18-1.11125e-05j 1.20935e-17-0.000310064j 2.73245e-17+0.00083008j -1.18537e-17-0.0001212j -9.99269e-18-0.000346844j 4.90494e-17-0.000142386j -1.06003e-16-0.000582505j -1.78643e-16-0.000521814j -5.91485e-14-0.000531042j 1.26325e-16+0.000610093j 7.30221e-18-0.000837379j -6.54094e-17-0.000208649j -7.38286e-16+0.000501464j 1.0356e-16+0.000405541j -3.53344e-17-0.00014732j 4.14932e-17+0.000522171j -1.67914e-17+0.000162798j -4.05796e-18+9.04582e-05j 9.1307e-17+7.26073e-06j 7.60725e-17-0.000123053j 1.6528e-17-0.000561637j 3.03894e-17-0.000185764j 8.02343e-17-0.000376875j -6.196e-17-0.000445636j -4.72612e-17-0.000138412j -7.07611e-17-0.000874118j 6.16546e-17-0.000493557j -9.70672e-17+4.19473e-05j -1.06753e-16+0.000731626j -2.47143e-16-0.000406745j -4.25763e-17-0.000243746j 6.59773e-18+0.000129703j -6.19894e-18-0.000196936j 1.95182e-17-0.000663921j -5.02476e-19+0.000164047j 4.40462e-18+0.000228027j -1.06078e-17+0.000485937j -2.45068e-18+0.00057714j 1.35622e-17+0.000429815j 2.32274e-18-0.00033627j -6.15535e-19-3.53785e-05j -3.88144e-19+0.000586065j -4.69235e-18+0.000577064j -2.42208e-18+0.000435765j 3.24566e-16+0.000456173j 6.96759e-17+0.000256024j 
2.05581e-18-4.80443e-05j -9.56766e-18+8.60452e-05j 4.84468e-19-8.34285e-05j -1.34688e-18+0.000111945j -8.32553e-19-0.000117058j -1.2281e-18+3.73785e-06j -5.03077e-19+6.43671e-05j -1.39301e-18-8.28967e-05j -1.86543e-19-0.00011127j 1.26664e-18-9.09089e-05j -1.25367e-18-1.99556e-06j 2.17173e-18-5.56807e-05j 4.90689e-18+0.000149064j -2.12867e-18-2.17649e-05j -1.79447e-18-6.22857e-05j 8.8082e-18-2.55695e-05j -1.90358e-17-0.000104605j -3.20803e-17-9.37065e-05j -1.06218e-14-9.53635e-05j 2.26853e-17+0.000109559j 1.31132e-18-0.000150375j -1.17461e-17-3.74689e-05j -1.3258e-16+9.0052e-05j 1.85971e-17+7.28263e-05j -6.3453e-18-2.64555e-05j 7.45128e-18+9.37705e-05j -3.01537e-18+2.9235e-05j -7.28721e-19+1.62443e-05j 1.63967e-17+1.30387e-06j 1.3661e-17-2.20976e-05j 2.96808e-18-0.000100858j 5.45727e-18-3.33592e-05j 1.44083e-17-6.76785e-05j -1.11267e-17-8.00266e-05j -8.48708e-18-2.48557e-05j -1.27071e-17-0.000156972j 1.10718e-17-8.8632e-05j -1.74311e-17+7.53281e-06j -1.91705e-17+0.000131384j -4.43816e-17-7.30426e-05j -7.64577e-18-4.37715e-05j 1.18481e-18+2.32918e-05j -1.11319e-18-3.53654e-05j 3.50505e-18-0.000119226j -9.02338e-20+2.94593e-05j 7.90973e-19+4.09487e-05j -1.90493e-18+8.72637e-05j -4.40088e-19+0.000103642j 2.43548e-18+7.71855e-05j 4.17114e-19-6.03867e-05j -1.10537e-19-6.35321e-06j -6.97022e-20+0.000105244j -8.42644e-19+0.000103628j -4.34952e-19+7.82539e-05j 5.82849e-17+8.19188e-05j 1.25123e-17+4.59762e-05j 
-1.23383e-17+0.000288347j 5.7422e-17-0.000516416j -2.90762e-18+0.000500711j 8.08354e-18-0.00067186j 4.99672e-18+0.000702543j 7.37064e-18-2.24334e-05j 3.01931e-18-0.000386311j 8.36041e-18+0.00049752j 1.11957e-18+0.000667807j -7.60196e-18+0.000545606j 7.52411e-18+1.19767e-05j -1.3034e-17+0.000334178j -2.94496e-17-0.000894636j 1.27756e-17+0.000130626j 1.07698e-17+0.000373819j -5.2864e-17+0.00015346j 1.14247e-16+0.000627807j 1.92536e-16+0.000562396j 6.37485e-14+0.000572341j -1.3615e-16-0.000657541j -7.87011e-18+0.000902503j 7.04964e-17+0.000224876j 7.95704e-16-0.000540464j -1.11614e-16-0.00043708j 3.80824e-17+0.000158778j -4.47202e-17-0.000562781j 1.80973e-17-0.000175459j 4.37355e-18-9.74933e-05j -9.84081e-17-7.82541e-06j -8.19887e-17+0.000132623j -1.78134e-17+0.000605316j -3.27528e-17+0.000200212j -8.64743e-17+0.000406185j 6.67787e-17+0.000480294j 5.09367e-17+0.000149176j 7.62642e-17+0.000942099j -6.64495e-17+0.000531941j 1.04616e-16-4.52095e-05j 1.15055e-16-0.000788525j 2.66364e-16+0.000438378j 4.58875e-17+0.000262702j -7.11084e-18-0.00013979j 6.68104e-18+0.000212252j -2.10362e-17+0.000715555j 5.41554e-19-0.000176806j -4.74717e-18-0.000245761j 1.14328e-17-0.000523729j 2.64127e-18-0.000622025j -1.46169e-17-0.000463243j -2.50338e-18+0.000362422j 6.63406e-19+3.813e-05j 4.1833e-19-0.000631644j 5.05728e-18-0.000621942j 2.61045e-18-0.000469655j -3.49807e-16-0.00049165j -7.50946e-17-0.000275935j 
-2.09395e-17+0.000489355j 9.74513e-17-0.000876412j -4.93455e-18+0.00084976j 1.37186e-17-0.00114022j 8.47996e-18+0.00119229j 1.25088e-17-3.80718e-05j 5.12408e-18-0.00065561j 1.41885e-17+0.000844344j 1.90003e-18+0.00113334j -1.29013e-17+0.000925951j 1.27692e-17+2.03257e-05j -2.21201e-17+0.000567135j -4.9979e-17-0.00151829j 2.16815e-17+0.000221686j 1.82775e-17+0.00063441j -8.97158e-17+0.000260438j 1.93889e-16+0.00106546j 3.26754e-16+0.000954446j 1.08188e-13+0.000971324j -2.31061e-16-0.00111592j -1.33564e-17+0.00153164j 1.1964e-16+0.000381639j 1.35039e-15-0.000917224j -1.89421e-16-0.000741772j 6.463e-17+0.000269463j -7.58949e-17-0.000955099j 3.0713e-17-0.000297773j 7.42239e-18-0.000165456j -1.67009e-16-1.32805e-05j -1.39144e-16+0.000225075j -3.02313e-17+0.00102729j -5.55849e-17+0.00033978j -1.46756e-16+0.000689339j 1.13331e-16+0.00081511j 8.64451e-17+0.000253168j 1.29428e-16+0.00159884j -1.12772e-16+0.000902761j 1.77545e-16-7.67254e-05j 1.95261e-16-0.00133821j 4.52048e-16+0.000743974j 7.78759e-17+0.000445834j -1.20679e-17-0.000237238j 1.13384e-17+0.000360214j -3.57006e-17+0.00121437j 9.19075e-19-0.000300058j -8.05645e-18-0.000417082j 1.94027e-17-0.000888824j 4.48251e-18-0.00105564j -2.48065e-17-0.000786172j -4.24851e-18+0.000615069j 1.12587e-18+6.47106e-05j 7.09951e-19-0.00107197j 8.58275e-18-0.0010555j 4.4302e-18-0.000797055j -5.9366e-16-0.000834383j -1.27444e-16-0.000468291j 
-1.91989e-17+0.000448677j 8.93505e-17-0.000803559j -4.52436e-18+0.000779122j 1.25782e-17-0.00104544j 7.77505e-18+0.00109318j 1.1469e-17-3.4907e-05j 4.69813e-18-0.000601112j 1.30091e-17+0.000774157j 1.74209e-18+0.00103913j -1.18289e-17+0.00084898j 1.17078e-17+1.86361e-05j -2.02813e-17+0.000519991j -4.58244e-17-0.00139208j 1.98792e-17+0.000203258j 1.67582e-17+0.000581674j -8.2258e-17+0.000238789j 1.77772e-16+0.000976888j 2.99592e-16+0.000875106j 9.91947e-14+0.000890581j -2.11853e-16-0.00102315j -1.22461e-17+0.00140432j 1.09695e-16+0.000349914j 1.23814e-15-0.000840979j -1.73675e-16-0.000680111j 5.92575e-17+0.000247063j -6.9586e-17-0.000875705j 2.816e-17-0.00027302j 6.80539e-18-0.000151703j -1.53126e-16-1.21766e-05j -1.27577e-16+0.000206365j -2.77183e-17+0.000941892j -5.09644e-17+0.000311535j -1.34557e-16+0.000632036j 1.0391e-16+0.000747353j 7.92592e-17+0.000232123j 1.1867e-16+0.00146594j -1.03398e-16+0.000827717j 1.62786e-16-7.03475e-05j 1.7903e-16-0.00122697j 4.14471e-16+0.00068213j 7.14023e-17+0.000408773j -1.10647e-17-0.000217517j 1.03959e-17+0.00033027j -3.27329e-17+0.00111343j 8.42676e-19-0.000275115j -7.38675e-18-0.000382412j 1.77898e-17-0.000814939j 4.1099e-18-0.00096789j -2.27444e-17-0.00072082j -3.89534e-18+0.00056394j 1.03228e-18+5.93314e-05j 6.50935e-19-0.000982858j 7.86929e-18-0.000967762j 4.06194e-18-0.000730798j -5.44311e-16-0.000765024j -1.1685e-16-0.000429363j 
