-4.14614e-13-0.131281j -2.68753e-14+0.15398j 1.81732e-15-0.15672j 3.70683e-16+0.106058j -1.32439e-15+0.191551j 4.71982e-17+0.0512289j -1.90511e-15+0.122348j -1.15061e-15+0.0227333j 2.18989e-15+0.0803697j -2.35926e-14-0.192489j -1.23023e-15-0.0143318j -7.10675e-15-0.0467008j 2.15666e-15-0.105104j 5.18015e-16-0.183282j 2.80138e-15-0.161643j -5.14877e-15+0.116395j 1.18284e-14-0.0474336j 1.44604e-15-0.0820332j -1.64148e-14+0.0302924j 1.50373e-14-0.0604708j 7.0932e-14+0.203843j -1.69913e-15+0.110825j 2.16664e-15+0.00605549j -1.22902e-14-0.149434j -6.2526e-15+0.12332j 4.97074e-15+0.00741823j 7.63267e-15-0.286475j 3.95895e-15-0.023183j 1.61275e-14-0.0871464j -4.0745e-14-0.0916226j 4.33217e-15+0.0487257j -2.02167e-14+0.147736j 4.85393e-13-0.0405928j 4.34149e-15-0.0434081j 1.33426e-14+0.0048326j -8.23425e-13-0.0994485j -3.25723e-14-0.0472864j 4.3481e-14-0.114135j -8.25886e-14+0.0185851j 1.8207e-14-0.035475j -3.39537e-14+0.164308j 1.27499e-13-0.165131j -1.80894e-17-0.0697124j 2.29877e-15+0.0399713j 1.05233e-14-0.118295j 1.01791e-14-0.0885904j 3.73869e-14-0.0608698j 3.58822e-15+0.0140128j -5.26254e-15+0.0541876j 1.08911e-13+0.128162j 2.82378e-14-0.172105j 4.15309e-14+0.192507j -2.40909e-15-0.0499031j -4.57172e-14+0.14648j -1.74836e-14-0.00346168j -4.13527e-17+0.0378734j -9.25476e-13-0.0986535j -1.41516e-14-0.0892012j -2.46202e-14-0.157321j -3.34346e-16-0.0349252j -5.41694e-15+0.0205986j -1.93226e-14-0.184369j 5.86873e-15+0.0713673j -8.20582e-16+0.0160776j 2.42967e-15+0.175812j -2.95515e-15-0.0105349j -5.53609e-15+0.0634028j -9.84193e-14-0.16261j -2.43047e-16+0.0188138j -6.59885e-16-0.109736j 5.36395e-15+0.148028j 1.92261e-15+0.0464725j -9.87376e-16+0.132313j 9.31249e-16-0.160659j -4.57317e-15-0.09913j 1.06362e-14-0.16372j -1.57342e-13-0.104894j 
4.82784e-16-0.00477406j 1.74329e-16+0.0761439j -5.40111e-16+0.0384533j -2.84539e-16+0.136212j 2.78941e-15-0.0201125j -2.41379e-15+0.00722591j -1.85246e-15+0.101559j 2.53572e-15-0.214206j -2.96489e-15-0.0787348j -3.37898e-15-0.0284502j -1.11663e-14-0.125533j 5.07334e-15+0.0514547j 4.45945e-15-0.145296j 1.55296e-15+0.136997j 9.90579e-15+0.0454039j -3.53133e-15+0.20823j -2.47121e-14+0.0816824j -1.11101e-14+0.131321j 3.22334e-15+0.19083j 1.02455e-15-0.00871725j -5.50606e-15-0.0144167j 4.53028e-15-0.15094j 3.52544e-15-0.0106282j -8.4019e-15-0.116774j -1.9807e-14-0.109846j -6.72872e-14-0.322212j -2.64176e-15+0.0210578j 2.99301e-15+0.00622394j -1.69061e-14-0.0316292j 5.97986e-14+0.133832j -3.46853e-14+0.0203423j -3.34207e-14+0.0812737j 5.64155e-13-0.0535798j 4.64103e-15-0.01968j 2.33115e-14-0.0622229j -1.40123e-12-0.170107j -8.96271e-14-0.197644j -1.15506e-13+0.311608j 2.33262e-13-0.0190892j -5.59e-14+0.0599009j 3.29131e-14-0.109205j -2.28659e-14+0.0431516j 5.29186e-15+0.0733955j 2.11477e-15+0.017785j -3.23454e-16-0.00666989j 1.06048e-14-0.0102962j 2.04633e-14-0.0107117j 1.7731e-14-0.156506j -2.20382e-15+0.0924673j 6.87264e-14+0.0860726j -1.28918e-14-0.146667j -8.5433e-14-0.220818j -1.96542e-14-0.150315j -1.78594e-14+0.0215515j -2.57734e-15+0.00497211j 1.1445e-14+0.178646j -8.74376e-13-0.0941412j -5.91633e-15+0.0388903j 7.25637e-15+0.0703892j 1.86486e-15+0.149054j -8.51989e-15+0.0738132j 3.76868e-15+0.0621037j -6.93638e-15+0.143036j 2.69022e-15+0.199367j -2.68226e-15-0.00897498j 2.78173e-15-0.0595857j 1.36899e-14-0.092258j -5.17395e-14-0.0865638j -2.98804e-15+0.102613j 3.17813e-15+0.167416j -3.96951e-17-0.00162948j -8.51596e-16+0.0271737j 3.41055e-15+0.123692j 2.87818e-15+0.0418595j -9.39819e-15-0.119099j 8.16834e-15-0.0310096j -1.18781e-13-0.0728789j 
3.19016e-14+0.0101481j 1.94911e-15-0.0129485j -4.22255e-17+0.01146j -1.18234e-16-0.0101604j -5.43632e-17-0.0144055j -1.1184e-18-0.00403952j 7.67706e-17-0.0108972j 8.0975e-17+0.00143043j -1.57708e-16-0.0050021j 1.9864e-15+0.0151975j 2.94847e-16+0.00296107j 4.88636e-16+0.00282203j -1.36371e-16+0.0102218j 2.25604e-17+0.0120381j -2.71001e-16+0.0117348j 3.32256e-16-0.0120215j -5.2911e-16+0.00243018j 7.74064e-17+0.00435023j 1.15394e-15-0.00515421j -1.13015e-15+0.00477105j -5.48669e-15-0.0154335j 2.57619e-17-0.00626951j -2.20133e-16-0.000307273j 1.18485e-15+0.0132018j 7.19818e-16-0.00783779j 6.78032e-16+0.00420715j -3.73363e-16+0.0216781j -3.3517e-16+0.0016873j -9.26735e-16+0.00715836j 2.2703e-15+0.0050491j 1.47203e-16-0.00404182j 1.93882e-15-0.0125453j -4.55864e-14+0.00391025j -3.71054e-16+0.00362381j -1.35989e-15+0.000551456j 8.40765e-14+0.0101555j 3.89921e-15+0.00655971j -1.61906e-15+0.00414179j 2.87408e-15-0.00114364j -5.59309e-16+0.00183512j 2.03909e-15-0.0109936j -9.35449e-15+0.012036j -4.90052e-17+0.00426317j -2.36287e-16-0.0033319j -7.28219e-16+0.00917936j -8.81474e-16+0.00695295j -3.13325e-15+0.00483124j -5.1458e-16+0.00124445j 3.83869e-16-0.00553028j -9.47633e-15-0.0111139j -1.83932e-15+0.0153852j -1.9952e-15-0.0115036j 5.38365e-16+0.00605894j 3.67873e-15-0.0115635j 1.38139e-15+0.000192015j -2.26971e-16-0.00555553j 8.40835e-14+0.00896835j 1.22129e-15+0.00627068j 1.86534e-15+0.0110327j -1.1171e-17+0.000471277j 5.14053e-16-0.00267541j 1.52889e-15+0.0132318j -4.21553e-16-0.00759867j -2.81404e-17-0.00418962j -2.53957e-16-0.0133626j 2.04476e-16+0.00169199j 2.01779e-16-0.00349922j 8.4406e-15+0.0137654j 3.00367e-17-0.00296534j 3.69607e-17+0.00594168j -5.02654e-16-0.0113386j -1.69415e-16-0.00397013j -8.2461e-17-0.0119902j -2.31449e-17+0.0117118j 5.76521e-16+0.00937491j -8.2955e-16+0.0130271j 1.39188e-14+0.00913218j 
1.51957e-15+0.00035317j 9.90787e-18+0.0011243j 5.20811e-17+0.00138454j -8.14069e-17+0.00260127j -2.4719e-17-0.00110587j -7.89741e-17-2.08523e-05j -1.0998e-16+0.00178875j 8.30901e-17-0.00475089j -9.86793e-17-0.00199711j 1.07017e-16+5.00139e-05j -2.11818e-16-0.00268787j 1.49807e-16+0.00128487j 1.64669e-16-0.00280272j 9.91716e-17+0.00362624j 2.77742e-16+0.00155328j -1.49757e-16+0.00413592j -5.70315e-16+0.00194667j -2.28702e-16+0.00314978j 8.16356e-17+0.00405636j 8.83301e-19+2.05194e-05j -4.64251e-16-0.00102446j 7.52294e-17-0.00367793j 6.81167e-17-0.000252886j -4.85247e-17-0.00202624j -4.52475e-16-0.00282522j -1.43598e-15-0.00705309j 5.21173e-17+0.00145713j 6.17815e-17+0.000216494j -3.77227e-16-0.000386257j 1.46901e-15+0.00323794j -7.98636e-16+0.000273927j -7.43763e-16+0.00125792j 1.06416e-14-0.00102714j 1.10474e-16-0.000278005j 4.69706e-16-0.00137388j -2.76155e-14-0.00336353j -1.78601e-15-0.00414578j -2.66562e-15+0.00719355j 5.36902e-15-0.000481062j -1.27501e-15+0.00142997j 7.7371e-16-0.00295403j -8.69276e-16+0.00151631j 1.37534e-16+0.00184354j 1.57207e-17+0.000248647j 1.50818e-17+0.00026659j 2.40719e-16+8.40317e-05j 3.475e-16-2.15879e-05j 3.92845e-16-0.00346211j -7.12188e-17+0.0018279j 1.04298e-15+0.00143076j -2.71691e-16-0.00259924j -2.06587e-15-0.00548647j -3.71443e-16-0.00310444j -3.05219e-16-4.02055e-05j 5.56942e-18+0.000120497j 2.02196e-16+0.00376424j -1.57825e-14-0.00170952j -4.25542e-17+0.00115889j 3.09301e-16+0.00208314j 3.46095e-17+0.00337243j -1.89009e-16+0.00153807j 2.29328e-16+0.00199665j -2.29819e-16+0.00287094j 2.12338e-17+0.00429206j -1.51265e-16-0.000808144j 8.58001e-17-0.00126283j 3.01942e-16-0.00223294j -6.92168e-16-0.00132148j -9.0202e-17+0.00217239j 9.78903e-17+0.00403347j -9.14948e-17-0.00055116j -5.23632e-17+0.000430763j -6.85805e-18+0.00223675j 1.31085e-16+0.00147255j -1.21295e-16-0.00225217j 2.2601e-16-0.000106015j -1.97943e-15-0.00122407j 
-1.06973e-15-0.000374543j -9.45291e-17+0.000868823j 2.14391e-17-0.000178289j -2.17591e-17+0.00110845j -1.21232e-17+0.000381621j -2.2008e-17+0.000178809j -3.79497e-17+0.000940325j 1.91684e-17-0.00124441j -1.9788e-17-0.000267892j -5.46608e-17-0.000679773j -6.34319e-17-0.000802044j 1.62814e-17+0.000190394j 5.41175e-17-0.00116125j 2.98876e-17+0.000351811j 8.79914e-17-0.000148925j -6.08167e-17+0.00157414j -1.1654e-16+0.000372513j -5.85439e-17+0.000583695j -3.6597e-17+0.00124162j 5.45952e-17-0.00021221j 1.25549e-16+0.000448648j 1.47317e-17-0.000627378j 2.68191e-17-4.87759e-05j -5.73835e-17-0.00110424j -1.49066e-16-0.00034429j -3.82733e-16-0.00194232j 4.27373e-17-0.000625665j 3.15674e-17-2.31122e-05j -4.69519e-17-0.000421912j 2.63381e-16+0.000573749j -2.07482e-16+0.000252083j -2.80928e-16+0.000883627j 4.72041e-15-0.000433053j 4.66101e-17-0.000234056j 1.79257e-16-0.000366138j -1.06769e-14-0.00129743j -6.1573e-16-0.00132783j -5.87449e-16+0.00159693j 1.20123e-15-6.73201e-05j -2.90297e-16+0.000271362j 9.33215e-17-0.000232525j 2.17193e-16-0.000171818j 3.84411e-17+0.000263429j 1.25621e-17+0.000213474j 4.24297e-17-0.000351912j 1.04112e-16-0.000295822j 2.31914e-16-0.000225403j 1.22698e-16-0.000916039j -3.90556e-17+0.000705602j 6.83313e-16+0.000861336j 2.64568e-17-0.00134592j -4.27353e-16-0.000837894j -1.12138e-16-0.00104654j -2.50349e-16+0.000516691j -6.14519e-17+2.11639e-05j 5.60625e-17+0.00118739j -7.74122e-15-0.000832808j -6.26977e-17+2.05159e-06j -2.05661e-18+1.45763e-05j 8.4212e-18+0.000815633j -7.23996e-17+0.000503632j -5.21858e-18-0.000107051j -4.32985e-17+0.00105871j 2.76987e-18+0.00125619j -3.3893e-17+0.000408017j 1.33769e-17-0.000390522j 6.42637e-17-0.00039488j -5.47477e-16-0.000954978j -2.61872e-17+0.000674287j 2.50814e-17+0.000730561j -6.5698e-18+0.000379623j -7.82444e-18+0.000287747j -5.89493e-18+0.00110131j 4.03086e-17-0.000167915j -5.0007e-17-0.00098602j 1.01853e-16-0.000619648j -1.11936e-15-0.000719772j 
1.21716e-14+0.00385246j 7.74073e-16-0.00454476j -4.17476e-17+0.00458255j -2.27254e-17-0.00316147j 2.32213e-17-0.00561102j -4.72123e-18-0.00150531j 4.42368e-17-0.0036264j 3.66547e-17-0.000587218j -6.74011e-17-0.00232812j 7.09206e-16+0.00565659j 4.46707e-17+0.000467014j 2.08898e-16+0.00135069j -5.27929e-17+0.00313684j -4.91357e-18+0.00532505j -7.42871e-17+0.00472437j 1.37663e-16-0.00349141j -3.36173e-16+0.00136096j -3.5271e-17+0.00235737j 4.72859e-16-0.000959424j -4.36445e-16+0.00177694j -2.09421e-15-0.00597368j 4.33834e-17-0.0031946j -6.50588e-17-0.000173669j 3.78484e-16+0.00442652j 1.83918e-16-0.00357635j -1.12899e-16-9.78754e-05j -2.00841e-16+0.00839495j -1.15569e-16+0.000677683j -4.59053e-16+0.00256789j 1.1766e-15+0.00263771j -1.18564e-16-0.00143676j 5.91605e-16-0.00436354j -1.44423e-14+0.00121056j -1.25123e-16+0.00128054j -3.98763e-16-0.00011863j 2.46853e-14+0.00298019j 9.97636e-16+0.00146042j -1.23165e-15+0.003232j 2.33482e-15-0.00053804j -5.1205e-16+0.00101828j 9.73596e-16-0.00477886j -3.71935e-15+0.00482753j 2.13357e-18+0.00201751j -7.18355e-17-0.00117903j -2.99034e-16+0.00347226j -2.95245e-16+0.00260232j -1.09914e-15+0.00178939j -1.0882e-16-0.000352872j 1.48465e-16-0.00162376j -3.23246e-15-0.00379118j -8.06023e-16+0.00510259j -1.1958e-15-0.00556451j 8.58624e-17+0.00151958j 1.33547e-15-0.00430449j 5.13921e-16+9.96894e-05j -1.07336e-17-0.00117726j 2.74808e-14+0.00292864j 4.23303e-16+0.00260196j 7.30016e-16+0.00458832j 7.94482e-18+0.000969032j 1.58483e-16-0.000631615j 5.78279e-16+0.00538477j -1.78962e-16-0.00214646j 1.65497e-17-0.000545652j -8.39093e-17-0.00515353j 8.80466e-17+0.000331144j 1.54722e-16-0.00182543j 2.92113e-15+0.00480177j 4.05161e-18-0.000589963j 2.24265e-17+0.00315654j -1.68959e-16-0.00434128j -6.04604e-17-0.00137321j 1.39934e-17-0.00392691j -1.68066e-17+0.00469682j 1.48591e-16+0.00295189j -3.01274e-16+0.00481369j 4.66942e-15+0.00310378j 
-7.57153e-15-0.00247183j -4.24464e-16+0.00416909j -2.54854e-17-0.00215602j 5.29908e-17+0.00437947j 8.88199e-17+0.00311919j -2.44042e-17+0.0010611j -1.4991e-17+0.00405171j 8.20487e-18-0.00344279j 4.77106e-18+4.33249e-05j -5.58086e-16-0.00401042j -2.42427e-16-0.00252019j -4.78456e-17+7.75014e-05j 6.73898e-17-0.00452563j -9.27765e-18-0.000864862j 1.79553e-16-0.00212037j -9.41111e-17+0.00586371j -2.36716e-16+0.000608315j -1.86671e-16+0.000873053j -2.08434e-16+0.00398567j 2.70238e-16-0.00125591j 1.25749e-15+0.00344511j 7.11702e-17-0.000702944j 1.03689e-16-8.12659e-05j -4.3849e-16-0.00481785j -4.40795e-16+0.000263864j -1.15485e-15-0.00566535j -3.59632e-18-0.00482732j 1.1867e-16-0.00030929j -4.43562e-17-0.00215315j 3.20017e-16+0.000743977j -5.26816e-16+0.00125172j -9.09735e-16+0.00414796j 1.89571e-14-0.00170222j 1.45499e-16-0.00114316j 6.56718e-16-0.00103225j -4.02415e-14-0.00486948j -2.24375e-15-0.00441719j -1.29245e-15+0.00353499j 2.70215e-15-5.8614e-06j -6.80617e-16+0.00043356j 1.87575e-17+0.00102033j 1.85443e-15-0.00222431j 7.95967e-17+5.42498e-05j 9.5412e-17+0.00104659j 1.44561e-16-0.00226995j 3.44686e-16-0.00179538j 1.02598e-15-0.00129906j 3.71432e-16-0.00256261j -1.06475e-16+0.00264931j 3.26969e-15+0.00387861j 2.06172e-16-0.00576799j -7.42814e-16-0.000476347j -4.3151e-16-0.00361276j -1.10024e-15+0.00305006j -3.64751e-16+2.65909e-05j 2.38327e-16+0.00390413j -3.26034e-14-0.00348756j -3.89537e-16-0.00092107j -3.62204e-16-0.00159206j 3.25163e-17+0.0020484j -2.36477e-16+0.00170308j -3.38818e-16-0.00223278j 2.21805e-17+0.00387183j 6.15244e-17+0.00388101j 5.44734e-17+0.00303365j -1.39471e-17-0.00126407j 1.5688e-16-0.000508463j -2.78497e-15-0.0045135j -4.02144e-17+0.00218906j 2.69505e-17+0.00101932j 1.4678e-16+0.00266091j 3.84448e-17+0.00133374j 1.02311e-16+0.00463123j 1.89938e-17-0.00216628j -2.9938e-16-0.00394548j 2.81317e-16-0.00353364j -5.04151e-15-0.00321823j 
2.61617e-15+0.000811075j 9.18026e-17-0.000952897j 4.83112e-17+0.000967247j -6.49628e-17-0.000658223j -6.8348e-17-0.00118282j -2.24278e-17-0.000316621j -5.28243e-17-0.000758071j 2.7217e-17-0.000135614j -3.58401e-17-0.000494701j 2.29374e-16+0.00118971j 3.11093e-17+9.13555e-05j 5.60033e-17+0.00028733j 5.01157e-17+0.000652528j 5.3675e-17+0.00112911j 4.30745e-17+0.000997502j -4.50123e-17-0.000723695j -6.41659e-17+0.000291177j 7.12491e-18+0.000503794j 6.2452e-17-0.000191418j -6.66937e-17+0.000373745j -5.20386e-16-0.00125888j -1.46162e-17-0.000681211j -1.45013e-17-3.71678e-05j 1.5405e-16+0.000925731j 3.21769e-18-0.000759317j 1.22194e-17-3.85786e-05j 6.85151e-17+0.00176918j -1.57917e-17+0.00014307j -5.88268e-17+0.000539045j 2.69779e-16+0.000562974j -4.89469e-17-0.000301453j 5.33004e-17-0.000914446j -2.98694e-15+0.000251961j -6.24891e-18+0.000268589j -7.63554e-17-2.84533e-05j 5.18272e-15+0.000618153j 2.50073e-16+0.000296549j -2.618e-16+0.000698045j 4.99879e-16-0.000114378j -1.04807e-16+0.000217794j 1.56106e-16-0.00101253j -7.24733e-16+0.0010191j 1.87e-17+0.000428987j -3.32388e-17-0.000247317j -1.51405e-17+0.000730899j -2.50475e-17+0.000547485j -2.04752e-16+0.000376254j -6.75598e-18-8.30425e-05j -2.62385e-18-0.000336815j -7.3923e-16-0.000793638j -8.26991e-17+0.00106645j -3.03784e-16-0.00118422j 5.6719e-17+0.000311649j 2.1924e-16-0.00090534j 1.08806e-16+2.12722e-05j -4.03317e-17-0.000237975j 5.79045e-15+0.000611534j 1.19085e-16+0.000550152j 2.07289e-16+0.000970242j -4.10501e-18+0.000212393j 1.49426e-17-0.000128905j 1.86976e-16+0.00113751j -8.53672e-17-0.000444077j -2.9165e-17-0.0001038j -8.64417e-17-0.00108585j 3.07763e-17+6.64177e-05j 2.03973e-17-0.000389586j 6.88354e-16+0.00100644j -2.03801e-17-0.000118527j 2.62904e-17+0.000674114j -9.41469e-17-0.00091438j -3.48341e-17-0.000287688j -6.57897e-17-0.000820126j 5.48671e-17+0.000991502j 8.59121e-17+0.000615039j 6.1231e-18+0.00101205j 1.02808e-15+0.000649605j 
6.76764e-15+0.00215261j 4.35583e-16-0.00267317j -2.63839e-17+0.00247686j -7.70408e-18-0.00201742j 1.29991e-17-0.00308389j 3.50919e-18-0.000851277j 3.26655e-17-0.00221039j 1.41698e-17+7.95359e-05j -3.03081e-17-0.00114606j 3.95152e-16+0.00320135j 4.44005e-17+0.000497942j 1.05753e-16+0.00065395j -4.22938e-17+0.00202095j -9.67519e-18+0.00270309j -6.43769e-17+0.00254258j 8.8694e-17-0.0023376j -1.40767e-16+0.000602331j 3.36719e-19+0.0010626j 2.5972e-16-0.000895769j -2.46627e-16+0.00100525j -1.14902e-15-0.00329648j 1.73028e-17-0.00149124j -4.28131e-17-7.64735e-05j 2.21056e-16+0.00268445j 1.42418e-16-0.00178158j 6.18931e-17+0.00055666j -1.14857e-16+0.00463111j -7.05934e-17+0.000365266j -2.26196e-16+0.0014888j 5.39896e-16+0.00121382j 1.42734e-18-0.000838013j 3.97642e-16-0.00258207j -9.10758e-15+0.000775191j -7.98738e-17+0.000749834j -2.66552e-16+5.20069e-05j 1.63883e-14+0.00198084j 7.21797e-16+0.00118745j -4.66528e-16+0.00120731j 8.57067e-16-0.000263166j -1.79339e-16+0.000452975j 4.8301e-16-0.00245189j -2.0305e-15+0.00260425j -1.01631e-17+0.00098336j -4.26476e-17-0.000689758j -1.69273e-16+0.00194466j -1.87064e-16+0.00146749j -6.52255e-16+0.00101595j -9.52879e-17+0.000100493j 8.9258e-17-0.00107886j -1.92437e-15-0.00227271j -4.3045e-16+0.00311732j -4.99873e-16-0.00267735j 8.21453e-17+0.00113061j 7.81405e-16-0.00243594j 2.90788e-16+4.60381e-05j -2.48475e-17-0.000993869j 1.69452e-14+0.00180808j 2.44538e-16+0.001374j 3.88539e-16+0.00241949j 1.31394e-18+0.00025648j 1.05655e-16-0.000491434j 3.0986e-16+0.00287836j -8.29614e-17-0.0014656j 6.50548e-18-0.000681733j -3.65811e-17-0.00285046j 4.28307e-17+0.000297264j 6.10717e-17-0.00084071j 1.71792e-15+0.00283594j 9.46266e-18-0.000522882j 4.88586e-18+0.00143881j -8.96516e-17-0.00241245j -3.04125e-17-0.000815609j 6.35967e-18-0.00241958j -1.90711e-17+0.00253397j 9.64689e-17+0.00186835j -1.88181e-16+0.00273721j 2.81965e-15+0.00186521j 
2.23034e-15+0.000684734j 1.57536e-16-0.000456427j -2.18425e-17+0.00103441j 6.48378e-18+9.7296e-05j 3.29087e-17-0.00113217j -8.61893e-18-0.000240842j 1.13631e-17-0.000160889j 1.54897e-17-0.00117537j -2.28564e-17-0.000820505j 9.74905e-17+0.000898564j -5.19081e-17-0.000539631j 6.13448e-17+0.000504807j 2.6505e-19-0.000147092j -4.13447e-18+0.001662j 2.40166e-17+0.00109513j 2.25434e-17+0.000395472j -1.86575e-16+0.000657317j -6.48947e-17+0.00108792j 1.1052e-16+0.000774439j -8.02171e-17+0.000283368j -3.96722e-16-0.00117048j 3.53735e-17-0.00133965j 5.80181e-18-8.48995e-05j 1.272e-17+0.000232227j -5.79614e-17-0.00120509j -3.64033e-16-0.00162356j -7.23837e-17+0.00164888j -8.02371e-18+0.000155649j -1.76459e-16+0.000314667j 5.10622e-16+0.00115199j -1.90214e-16-0.000162877j -4.37857e-17-0.000397537j 1.50326e-16-4.43446e-05j -3.87088e-18+0.000137446j 4.15512e-17-0.00033187j -2.4547e-15-0.000299533j -2.72155e-16-0.000716255j -8.02887e-16+0.00214713j 1.59271e-15-0.000194074j -3.73954e-16+0.000485759j 3.53258e-16-0.00142306j -8.1e-16+0.00110288j 2.31556e-17+0.000736773j 9.86566e-19-0.00012822j -6.62183e-17+0.000605364j -8.79487e-18+0.0004273j -1.05318e-16+0.000275719j 6.5292e-17-0.000844757j 2.31046e-17+0.000162124j -2.39528e-16-0.00026836j -2.30104e-16+0.000207607j -6.36158e-16-0.00212371j -9.01231e-17-0.000469533j 1.68873e-16-0.000684268j 8.15311e-17+4.311e-05j 6.28287e-17+0.000673666j 6.86794e-16+6.95209e-05j 4.22932e-17+0.000672327j 1.59747e-16+0.0011946j 1.19349e-17+0.000920944j -9.70017e-18+0.000251643j 1.12084e-16+0.0012998j -5.79807e-17+0.000317975j 2.30357e-17+0.000893078j -1.50177e-17-0.00099253j 2.76287e-17-0.000236009j 9.92722e-17-0.000795438j 2.64155e-16+0.000451774j -9.91352e-18+0.00040281j 1.56656e-17+0.00141475j -1.95119e-17-0.000806544j -1.09344e-17-0.000117149j 3.34096e-17-0.000105869j -4.45846e-19+0.0010724j -3.05758e-17-5.05639e-05j -2.8586e-17+0.00073079j 2.56595e-16+0.00020768j 
6.80689e-16+0.000198653j 7.09678e-17+9.25435e-05j -2.55884e-17+0.000440899j 1.91668e-17+0.0004503j 4.08436e-17-0.000414812j -3.74722e-18-5.27704e-05j 1.64151e-17+0.000262998j 6.84625e-18-0.00102672j -9.82881e-18-0.000498442j -4.06648e-18+0.000192286j -5.72921e-17-0.00055521j 3.12456e-17+0.000315954j -4.43835e-18-0.000493825j -1.28648e-17+0.000940302j 2.05998e-17+0.00048125j 1.82489e-17+0.000765265j -1.36734e-16+0.000456679j -5.90234e-17+0.000743911j 5.5557e-17+0.000829708j -2.93774e-17+6.1424e-05j -1.16925e-16-0.000409191j 3.21829e-17-0.000882845j 1.29763e-17-5.92255e-05j -4.43536e-17-0.00028768j -6.88227e-17-0.00071421j -3.32812e-16-0.0014994j -6.39438e-17+0.000578743j 4.21724e-18+6.76927e-05j -1.18736e-16+5.3327e-07j 3.37906e-16+0.000771618j -1.59614e-16+1.1966e-05j -9.5889e-17+0.000126711j 1.77934e-15-0.00017902j 7.15837e-18-1.78486e-05j 8.29288e-17-0.000295266j -5.10388e-15-0.000617827j -3.74624e-16-0.000832588j -6.07537e-16+0.00162985j 1.21698e-15-0.000119334j -2.90727e-16+0.000336061j 2.26772e-16-0.000780156j -3.4084e-16+0.00047672j 1.81526e-17+0.000455888j 1.22888e-17+1.48809e-05j -3.59689e-17+0.000168075j 1.90096e-17+0.000101407j 2.26093e-17+5.28909e-05j 7.04699e-17-0.00074579j 1.05214e-17+0.000335623j 1.55925e-16+0.000181761j -1.37748e-16-0.000387523j -4.47515e-16-0.00134262j -1.00587e-16-0.000609775j 1.58384e-17-0.000146779j 1.72452e-17+2.87641e-05j 6.64633e-17+0.00076074j -2.4974e-15-0.0002686j -1.41299e-17+0.000329417j 5.62325e-17+0.000589285j 1.12312e-17+0.000746555j -2.39114e-17+0.000306002j 2.70801e-17+0.000596518j -2.52867e-17+0.000540107j 2.52997e-17+0.000893j 7.6082e-18-0.000336959j 1.35678e-17-0.000257263j 7.70245e-17-0.000532327j -9.99927e-17-0.000126121j -5.99072e-18+0.000441906j 8.27242e-18+0.000957047j 1.13419e-17-0.000256355j 5.73978e-19+4.72787e-05j 4.15765e-17+0.000348386j -8.71473e-18+0.000463239j -5.50252e-17-0.000382971j -4.42942e-18+0.000132114j -3.01646e-16-0.00015999j 
