2.4087e-15+0.0521745j 1.35324e-15+0.0465741j -1.87775e-16+0.0661617j 1.3989e-17-0.0481208j 9.78779e-16+0.0508094j -5.50229e-16-0.000938166j -1.06322e-15+0.00071944j 5.2928e-16-0.0196948j -2.13747e-16+0.0237554j 5.28072e-16+0.00302975j 4.62006e-16+0.0159252j 5.84706e-17-0.00452547j 8.88147e-16-0.00213707j 4.16685e-16-0.0158466j 5.08178e-17+0.035956j -2.91739e-17-0.0122624j -1.22352e-14+0.00237915j -1.63491e-15+0.00122388j 9.43915e-16-0.0169317j -1.74183e-16+0.0110426j 1.65919e-15+0.00185962j -6.76526e-16-0.00611377j -8.0004e-16-0.0124968j -6.19103e-16-0.00186914j -9.21372e-17+0.0115318j -3.5749e-16-0.0302575j -5.54151e-16+0.0459893j -7.89409e-16+0.00826909j -1.78046e-14-0.0446154j 4.86816e-14+0.00875681j -1.72033e-13+0.0985912j -2.91505e-14-0.0162589j -9.20796e-16-0.0664843j 9.92314e-16+0.165326j 3.30036e-16-0.0452351j -2.86106e-16+0.138549j 1.51552e-16+0.124204j -7.33751e-16+0.245359j 1.06031e-15-0.288137j -4.87314e-16-0.141707j 3.28316e-15+0.205906j -4.52776e-16+0.131217j -3.58563e-15+0.143818j -2.4643e-14-0.0107996j 3.03148e-14+0.207449j 2.71597e-14-0.166744j 1.88282e-15+0.289259j 6.70427e-16-0.168269j 6.63694e-15+0.0539125j 3.49493e-15+0.00997607j 1.03823e-13-0.00188807j 3.14941e-16-0.0168785j 3.38155e-15-3.31908e-05j -1.30737e-14+0.0678104j -2.48118e-15-0.19933j -6.97664e-15+0.232671j -7.46295e-16-0.227132j 7.26223e-15+0.16469j 1.71107e-14+0.0720455j 1.28417e-14+0.145191j 1.93958e-15-0.171689j 1.44709e-15+0.196071j 8.71717e-16-0.0782357j -1.65434e-16+0.277784j 9.94935e-17-0.211313j 2.51722e-16+0.0511101j -1.47851e-16-0.0299882j -3.10414e-16-0.153928j 2.92265e-16-0.135695j 7.80407e-16-0.117818j -2.13939e-15-0.0711854j 2.87721e-15+0.0596305j 
3.35939e-17+0.000727674j 1.88736e-17+0.000649565j -2.61888e-18+0.000922752j 1.95104e-19-0.000671137j 1.3651e-17+0.000708634j -7.67399e-18-1.30845e-05j -1.48286e-17+1.0034e-05j 7.38183e-18-0.000274682j -2.98111e-18+0.000331315j 7.36498e-18+4.22557e-05j 6.44356e-18+0.000222108j 8.15485e-19-6.31164e-05j 1.23869e-17-2.98056e-05j 5.81147e-18-0.000221012j 7.08751e-19+0.000501476j -4.06885e-19-0.000171022j -1.70644e-16+3.31817e-05j -2.28019e-17+1.70694e-05j 1.31647e-17-0.000236145j -2.42932e-18+0.000154011j 2.31405e-17+2.59359e-05j -9.43545e-18-8.52683e-05j -1.11581e-17-0.000174292j -8.63457e-18-2.60687e-05j -1.28503e-18+0.000160833j -4.98589e-18-0.000421999j -7.72869e-18+0.000641408j -1.10098e-17+0.000115328j -2.48319e-16-0.000622247j 6.78959e-16+0.00012213j -2.39933e-15+0.00137504j -4.0656e-16-0.000226762j -1.28423e-17-0.000927251j 1.38397e-17+0.00230579j 4.60298e-18-0.000630891j -3.9903e-18+0.00193234j 2.11369e-18+0.00173227j -1.02336e-17+0.003422j 1.4788e-17-0.00401862j -6.79652e-18-0.00197637j 4.579e-17+0.00287176j -6.31483e-18+0.00183007j -5.00085e-17+0.00200582j -3.43694e-16-0.000150621j 4.22798e-16+0.00289328j 3.78794e-16-0.00232556j 2.62596e-17+0.00403427j 9.35039e-18-0.00234683j 9.25649e-17+0.000751913j 4.87434e-17+0.000139135j 1.448e-15-2.63328e-05j 4.39246e-18-0.000235403j 4.71623e-17-4.6291e-07j -1.82338e-16+0.000945746j -3.46047e-17-0.00278004j -9.73026e-17+0.00324505j -1.04085e-17-0.00316779j 1.01286e-16+0.00229691j 2.38642e-16+0.00100481j 1.79102e-16+0.00202497j 2.70511e-17-0.00239453j 2.01824e-17+0.00273459j 1.21578e-17-0.00109115j -2.3073e-18+0.00387423j 1.38763e-18-0.00294717j 3.51074e-18+0.000712828j -2.06206e-18-0.000418242j -4.32932e-18-0.00214683j 4.0762e-18-0.00189253j 1.08843e-17-0.00164319j -2.98379e-17-0.000992817j 4.01282e-17+0.000831661j 
6.35511e-18+0.000137657j 3.57039e-18+0.000122881j -4.95424e-19+0.000174561j 3.69086e-20-0.000126962j 2.58241e-18+0.000134055j -1.45172e-18-2.47526e-06j -2.80519e-18+1.89817e-06j 1.39645e-18-5.19628e-05j -5.63949e-19+6.26763e-05j 1.39326e-18+7.99368e-06j 1.21896e-18+4.20171e-05j 1.54269e-19-1.194e-05j 2.34328e-18-5.63844e-06j 1.09938e-18-4.18097e-05j 1.34078e-19+9.48663e-05j -7.69722e-20-3.2353e-05j -3.22814e-17+6.27713e-06j -4.31353e-18+3.22909e-06j 2.49042e-18-4.46726e-05j -4.59565e-19+2.91348e-05j 4.3776e-18+4.9064e-06j -1.78494e-18-1.61306e-05j -2.11082e-18-3.29716e-05j -1.63344e-18-4.93154e-06j -2.43095e-19+3.04255e-05j -9.43202e-19-7.98313e-05j -1.46207e-18+0.000121338j -2.08277e-18+2.18171e-05j -4.69757e-17-0.000117713j 1.28442e-16+2.31039e-05j -4.53892e-16+0.000260123j -7.69107e-17-4.28976e-05j -2.42943e-18-0.000175412j 2.61812e-18+0.000436197j 8.70766e-19-0.000119348j -7.54862e-19+0.000365548j 3.99856e-19+0.0003277j -1.93593e-18+0.000647354j 2.79751e-18-0.00076022j -1.28573e-18-0.000373879j 8.66229e-18+0.000543263j -1.1946e-18+0.000346203j -9.46032e-18+0.000379449j -6.5018e-17-2.84937e-05j 7.99826e-17+0.000547334j 7.16581e-17-0.000439936j 4.96764e-18+0.000763181j 1.76885e-18-0.000443959j 1.75109e-17+0.000142243j 9.22101e-18+2.63208e-05j 2.73925e-16-4.98149e-06j 8.30941e-19-4.45322e-05j 8.92189e-18-8.75706e-08j -3.44936e-17+0.000178911j -6.54633e-18-0.000525912j -1.84071e-17+0.00061388j -1.96902e-18-0.000599264j 1.91607e-17+0.000434517j 4.51449e-17+0.000190085j 3.38815e-17+0.000383072j 5.11737e-18-0.000452983j 3.818e-18+0.000517314j 2.29994e-18-0.000206417j -4.36482e-19+0.000732905j 2.62503e-19-0.000557528j 6.64142e-19+0.000134849j -3.9009e-19-7.91207e-05j -8.18996e-19-0.000406124j 7.71112e-19-0.000358017j 2.05902e-18-0.000310849j -5.64456e-18-0.000187816j 7.59122e-18+0.000157329j 
3.0429e-17+0.000659118j 1.70954e-17+0.000588368j -2.37215e-18+0.000835817j 1.76723e-19-0.000607907j 1.23649e-17+0.000641872j -6.951e-18-1.18518e-05j -1.34316e-17+9.08865e-06j 6.68637e-18-0.000248804j -2.70025e-18+0.000300101j 6.6711e-18+3.82747e-05j 5.8365e-18+0.000201182j 7.38656e-19-5.717e-05j 1.12199e-17-2.69975e-05j 5.26395e-18-0.00020019j 6.41978e-19+0.000454231j -3.68552e-19-0.00015491j -1.54567e-16+3.00556e-05j -2.06537e-17+1.54612e-05j 1.19244e-17-0.000213897j -2.20045e-18+0.000139501j 2.09604e-17+2.34924e-05j -8.54651e-18-7.72349e-05j -1.01069e-17-0.000157871j -7.82109e-18-2.36127e-05j -1.16396e-18+0.000145681j -4.51616e-18-0.000382241j -7.00055e-18+0.00058098j -9.97256e-18+0.000104463j -2.24925e-16-0.000563623j 6.14992e-16+0.000110624j -2.17328e-15+0.0012455j -3.68257e-16-0.000205398j -1.16324e-17-0.000839893j 1.25358e-17+0.00208856j 4.16933e-18-0.000571453j -3.61436e-18+0.00175029j 1.91455e-18+0.00156906j -9.26943e-18+0.0030996j 1.33948e-17-0.00364002j -6.15621e-18-0.00179018j 4.1476e-17+0.0026012j -5.7199e-18+0.00165766j -4.52971e-17+0.00181684j -3.11314e-16-0.000136431j 3.82965e-16+0.0026207j 3.43107e-16-0.00210646j 2.37856e-17+0.00365419j 8.46947e-18-0.00212573j 8.38441e-17+0.000681073j 4.41512e-17+0.000126027j 1.31158e-15-2.38519e-05j 3.97864e-18-0.000213225j 4.2719e-17-4.19298e-07j -1.65159e-16+0.000856645j -3.13445e-17-0.00251813j -8.81355e-17+0.00293933j -9.4279e-18-0.00286934j 9.17434e-17+0.00208051j 2.16159e-16+0.000910146j 1.62228e-16+0.00183419j 2.45026e-17-0.00216893j 1.8281e-17+0.00247696j 1.10124e-17-0.000988347j -2.08992e-18+0.00350923j 1.2569e-18-0.00266951j 3.17999e-18+0.000645671j -1.86779e-18-0.000378839j -3.92145e-18-0.00194457j 3.69217e-18-0.00171423j 9.85883e-18-0.00148838j -2.70268e-17-0.000899282j 3.63476e-17+0.000753308j 
4.19493e-18+9.08658e-05j 2.35677e-18+8.11122e-05j -3.27023e-19+0.000115226j 2.43629e-20-8.38059e-05j 1.70462e-18+8.84883e-05j -9.58263e-19-1.63389e-06j -1.85167e-18+1.25296e-06j 9.2178e-19-3.43e-05j -3.72256e-19+4.13718e-05j 9.19676e-19+5.27653e-06j 8.04618e-19+2.77349e-05j 1.01831e-19-7.88144e-06j 1.54677e-18-3.72187e-06j 7.25687e-19-2.75981e-05j 8.85029e-20+6.26201e-05j -5.08084e-20-2.13558e-05j -2.13086e-17+4.14346e-06j -2.84731e-18+2.13148e-06j 1.6439e-18-2.94878e-05j -3.03353e-19+1.92315e-05j 2.8896e-18+3.23866e-06j -1.17822e-18-1.06476e-05j -1.39333e-18-2.17641e-05j -1.07821e-18-3.25525e-06j -1.60464e-19+2.00835e-05j -6.22596e-19-5.26957e-05j -9.65094e-19+8.00937e-05j -1.37481e-18+1.44012e-05j -3.1008e-17-7.7701e-05j 8.47826e-17+1.52506e-05j -2.99608e-16+0.000171704j -5.07678e-17-2.83161e-05j -1.60363e-18-0.000115787j 1.72819e-18+0.000287928j 5.74782e-19-7.87803e-05j -4.98275e-19+0.000241294j 2.6394e-19+0.000216311j -1.27788e-18+0.00042731j 1.8466e-18-0.000501812j -8.48693e-19-0.000246793j 5.71787e-18+0.000358601j -7.88543e-19+0.000228524j -6.24464e-18+0.00025047j -4.29176e-17-1.88083e-05j 5.27955e-17+0.000361288j 4.73006e-17-0.000290396j 3.27908e-18+0.000503766j 1.1676e-18-0.000293052j 1.15587e-17+9.38925e-05j 6.08667e-18+1.73741e-05j 1.80815e-16-3.28822e-06j 5.48493e-19-2.93952e-05j 5.88923e-18-5.78043e-08j -2.27688e-17+0.000118097j -4.32115e-18-0.000347148j -1.21503e-17+0.000405214j -1.29973e-18-0.000395566j 1.26477e-17+0.000286819j 2.97996e-17+0.000125472j 2.23648e-17+0.000252861j 3.37792e-18-0.000299008j 2.52021e-18+0.000341473j 1.51816e-18-0.000136253j -2.88116e-19+0.000483781j 1.73275e-19-0.000368017j 4.38392e-19+8.9012e-05j -2.57493e-19-5.22266e-05j -5.40609e-19-0.000268078j 5.09001e-19-0.000236323j 1.35914e-18-0.000205188j -3.7259e-18-0.000123975j 5.01087e-18+0.000103851j 
1.23079e-17+0.0002666j 6.91476e-18+0.000237983j -9.59485e-19+0.000338071j 7.14807e-20-0.000245886j 5.00134e-18+0.000259624j -2.81154e-18-4.79381e-06j -5.43279e-18+3.67617e-06j 2.7045e-18-0.000100636j -1.0922e-18+0.000121385j 2.69833e-18+1.54813e-05j 2.36075e-18+8.13742e-05j 2.98771e-19-2.31241e-05j 4.53822e-18-1.09199e-05j 2.12916e-18-8.09727e-05j 2.59667e-19+0.000183727j -1.49072e-19-6.26579e-05j -6.25192e-17+1.21569e-05j -8.35399e-18+6.25376e-06j 4.82319e-18-8.65172e-05j -8.90037e-19+5.64252e-05j 8.47806e-18+9.5022e-06j -3.45689e-18-3.124e-05j -4.08802e-18-6.38558e-05j -3.16347e-18-9.55088e-06j -4.708e-19+5.8925e-05j -1.82669e-18-0.000154609j -2.83158e-18+0.000234995j -4.0337e-18+4.22531e-05j -9.09775e-17-0.000227974j 2.48752e-16+4.47453e-05j -8.79049e-16+0.000503778j -1.48952e-16-8.30795e-05j -4.70505e-18-0.00033972j 5.0705e-18+0.00084478j 1.68641e-18-0.000231141j -1.46194e-18+0.000707955j 7.74398e-19+0.000634655j -3.7493e-18+0.00125373j 5.41793e-18-0.00147231j -2.49006e-18-0.00072409j 1.67762e-17+0.00105213j -2.31358e-18+0.000670489j -1.83218e-17+0.000734877j -1.2592e-16-5.51836e-05j 1.54902e-16+0.00106002j 1.3878e-16-0.000852022j 9.6208e-18+0.00147805j 3.42573e-18-0.000859813j 3.39132e-17+0.00027548j 1.78583e-17+5.09754e-05j 5.30509e-16-9.64762e-06j 1.60928e-18-8.62453e-05j 1.7279e-17-1.69598e-07j -6.68036e-17+0.000346495j -1.26782e-17-0.00101853j -3.5649e-17+0.0011889j -3.81339e-18-0.00116059j 3.71083e-17+0.000841526j 8.74319e-17+0.000368136j 6.56181e-17+0.000741893j 9.91079e-18-0.000877289j 7.39429e-18+0.00100188j 4.45427e-18-0.000399766j -8.45332e-19+0.00141941j 5.08389e-19-0.00107976j 1.28624e-18+0.000261161j -7.55484e-19-0.000153233j -1.58615e-18-0.000786539j 1.49341e-18-0.00069337j 3.9877e-18-0.00060202j -1.09318e-17-0.000363741j 1.47019e-17+0.000304698j 
8.0255e-18+0.000173839j 4.50884e-18+0.000155179j -6.25642e-19+0.000220443j 4.66098e-20-0.000160333j 3.26117e-18+0.000169291j -1.83329e-18-3.12586e-06j -3.54251e-18+2.39709e-06j 1.7635e-18-6.56208e-05j -7.12178e-19+7.91503e-05j 1.75947e-18+1.00948e-05j 1.53935e-18+5.30609e-05j 1.94817e-19-1.50783e-05j 2.9592e-18-7.12046e-06j 1.38834e-18-5.27991e-05j 1.69319e-19+0.000119801j -9.72038e-20-4.08567e-05j -4.07663e-17+7.92702e-06j -5.44731e-18+4.07783e-06j 3.14501e-18-5.64144e-05j -5.80358e-19+3.67927e-05j 5.52821e-18+6.19601e-06j -2.2541e-18-2.03704e-05j -2.66564e-18-4.16379e-05j -2.06278e-18-6.22775e-06j -3.0699e-19+3.84226e-05j -1.19112e-18-0.000100814j -1.84636e-18+0.000153231j -2.63022e-18+2.75516e-05j -5.93228e-17-0.000148653j 1.62201e-16+2.91766e-05j -5.73194e-16+0.000328494j -9.7126e-17-5.41728e-05j -3.06798e-18-0.000221518j 3.30627e-18+0.000550848j 1.09964e-18-0.000150718j -9.53271e-19+0.000461629j 5.04955e-19+0.000413833j -2.44477e-18+0.000817505j 3.53282e-18-0.000960038j -1.62367e-18-0.00047215j 1.09391e-17+0.000686055j -1.5086e-18+0.0004372j -1.19469e-17+0.000479184j -8.21075e-17-3.5983e-05j 1.01005e-16+0.000691196j 9.04929e-17-0.00055557j 6.27334e-18+0.000963777j 2.23378e-18-0.000560651j 2.21135e-17+0.00017963j 1.16447e-17+3.32391e-05j 3.45924e-16-6.29083e-06j 1.04935e-18-5.62372e-05j 1.12669e-17-1.10588e-07j -4.356e-17+0.000225936j -8.26698e-18-0.000664144j -2.32453e-17+0.000775233j -2.48656e-18-0.000756775j 2.41969e-17+0.000548726j 5.70109e-17+0.000240047j 4.2787e-17+0.000483759j 6.46244e-18-0.000572046j 4.82153e-18+0.000653286j 2.90446e-18-0.000260672j -5.51208e-19+0.000925543j 3.315e-19-0.00070407j 8.38706e-19+0.000170293j -4.92621e-19-9.99169e-05j -1.03426e-18-0.000512871j 9.73793e-19-0.000452119j 2.60022e-18-0.000392554j -7.12819e-18-0.000237181j 9.58652e-18+0.000198681j 
1.4412e-18+3.12177e-05j 8.09689e-19+2.78668e-05j -1.12352e-19+3.95867e-05j 8.3701e-21-2.87923e-05j 5.85636e-19+3.04009e-05j -3.2922e-19-5.61336e-07j -6.36158e-19+4.30465e-07j 3.16686e-19-1.17841e-05j -1.27892e-19+1.42137e-05j 3.15963e-19+1.8128e-06j 2.76434e-19+9.52858e-06j 3.49849e-20-2.70774e-06j 5.31407e-19-1.27868e-06j 2.49316e-19-9.48157e-06j 3.0406e-20+2.15137e-05j -1.74557e-20-7.33698e-06j -7.32075e-18+1.42352e-06j -9.78218e-19+7.32289e-07j 5.64776e-19-1.01308e-05j -1.0422e-19+6.60716e-06j 9.92746e-19+1.11267e-06j -4.04788e-19-3.65807e-06j -4.7869e-19-7.47725e-06j -3.70429e-19-1.11837e-06j -5.51287e-20+6.89987e-06j -2.13898e-19-1.81041e-05j -3.31567e-19+2.75169e-05j -4.72329e-19+4.94767e-06j -1.06531e-17-2.66948e-05j 2.91278e-17+5.23948e-06j -1.02933e-16+5.89904e-05j -1.74417e-17-9.72826e-06j -5.50942e-19-3.97798e-05j 5.93734e-19+9.89202e-05j 1.97471e-19-2.70657e-05j -1.71187e-19+8.28986e-05j 9.06788e-20+7.43155e-05j -4.39027e-19+0.000146806j 6.34417e-19-0.000172402j -2.91576e-19-8.47879e-05j 1.96442e-18+0.000123201j -2.70911e-19+7.85115e-05j -2.1454e-18+8.60511e-05j -1.47447e-17-6.46177e-06j 1.81384e-17+0.000124124j 1.62505e-17-9.97682e-05j 1.12656e-18+0.000173073j 4.01139e-19-0.000100681j 3.9711e-18+3.22576e-05j 2.09113e-18+5.96901e-06j 6.21205e-17-1.1297e-06j 1.8844e-19-1.0099e-05j 2.0233e-18-1.98592e-08j -7.82242e-18+4.05732e-05j -1.48457e-18-0.000119266j -4.17435e-18+0.000139215j -4.46533e-19-0.0001359j 4.34523e-18+9.85392e-05j 1.02379e-17+4.31072e-05j 7.68361e-18+8.68726e-05j 1.16051e-18-0.000102727j 8.65841e-19+0.000117316j 5.21577e-19-4.6811e-05j -9.89849e-20+0.000166207j 5.95302e-20-0.000126436j 1.50613e-19+3.05808e-05j -8.84641e-20-1.79429e-05j -1.85731e-19-9.21004e-05j 1.74872e-19-8.11907e-05j 4.66943e-19-7.04941e-05j -1.28007e-18-4.25926e-05j 1.72153e-18+3.56789e-05j 
-8.64965e-18-0.000187359j -4.8595e-18-0.000167248j 6.74299e-19-0.000237587j -5.02347e-20+0.000172802j -3.5148e-18-0.000182457j 1.97587e-18+3.36896e-06j 3.81802e-18-2.58351e-06j -1.90065e-18+7.07242e-05j 7.67565e-19-8.53059e-05j -1.89631e-18-1.08798e-05j -1.65907e-18-5.71875e-05j -2.09968e-19+1.6251e-05j -3.18934e-18+7.67423e-06j -1.49632e-18+5.69053e-05j -1.82487e-19-0.000129118j 1.04763e-19+4.40342e-05j 4.39368e-17-8.54352e-06j 5.87095e-18-4.39497e-06j -3.3896e-18+6.08018e-05j 6.25493e-19-3.96541e-05j -5.95815e-18-6.67788e-06j 2.42941e-18+2.19546e-05j 2.87294e-18+4.48761e-05j 2.2232e-18+6.71209e-06j 3.30865e-19-4.14108e-05j 1.28375e-18+0.000108655j 1.98996e-18-0.000165148j 2.83477e-18-2.96943e-05j 6.39364e-17+0.000160214j -1.74816e-16-3.14457e-05j 6.17771e-16-0.000354041j 1.0468e-16+5.83859e-05j 3.30658e-18+0.000238745j -3.5634e-18-0.000593688j -1.18516e-18+0.00016244j 1.02741e-18-0.000497531j -5.44225e-19-0.000446018j 2.6349e-18-0.000881084j -3.80757e-18+0.0010347j 1.74994e-18+0.00050887j -1.17899e-17-0.000739411j 1.62592e-18-0.000471201j 1.2876e-17-0.000516451j 8.84931e-17+3.87815e-05j -1.08861e-16-0.000744952j -9.75306e-17+0.000598777j -6.76123e-18-0.00103873j -2.40751e-18+0.000604253j -2.38333e-17-0.0001936j -1.25503e-17-3.58241e-05j -3.72827e-16+6.78008e-06j -1.13096e-18+6.06108e-05j -1.21432e-17+1.19188e-07j 4.69477e-17-0.000243507j 8.90991e-18+0.000715795j 2.50531e-17-0.000835524j 2.67995e-18+0.000815631j -2.60787e-17-0.000591401j -6.14447e-17-0.000258716j -4.61146e-17-0.000521382j -6.96503e-18+0.000616534j -5.1965e-18-0.000704093j -3.13034e-18+0.000280945j 5.94076e-19-0.000997524j -3.57281e-19+0.000758826j -9.03933e-19-0.000183536j 5.30933e-19+0.000107688j 1.1147e-18+0.000552757j -1.04953e-18+0.000487281j -2.80244e-18+0.000423083j 7.68255e-18+0.000255627j -1.03321e-17-0.000214133j 
-1.46794e-17-0.000317968j -8.24708e-18-0.000283837j 1.14436e-18-0.00040321j -8.52536e-20+0.000293263j -5.96499e-18-0.000309648j 3.35327e-18+5.71748e-06j 6.47958e-18-4.3845e-06j -3.2256e-18+0.000120026j 1.30264e-18-0.000144773j -3.21824e-18-1.84642e-05j -2.81561e-18-9.70533e-05j -3.56338e-19+2.75796e-05j -5.41265e-18+1.3024e-05j -2.53941e-18+9.65744e-05j -3.097e-19-0.000219127j 1.77795e-19+7.47307e-05j 7.45654e-17-1.44993e-05j 9.96363e-18-7.45873e-06j -5.75252e-18+0.000103187j 1.06153e-18-6.72972e-05j -1.01116e-17-1.13331e-05j 4.12296e-18+3.72593e-05j 4.87569e-18+7.61595e-05j 3.77301e-18+1.13911e-05j 5.61513e-19-7.02786e-05j 2.17866e-18+0.000184399j 3.37717e-18-0.000280273j 4.81091e-18-5.03944e-05j 1.08507e-16+0.0002719j -2.96681e-16-5.33667e-05j 1.04842e-15-0.000600846j 1.77652e-16+9.90871e-05j 5.61162e-18+0.000405176j -6.04747e-18-0.00100755j -2.01134e-18+0.000275677j 1.74362e-18-0.000844363j -9.23608e-19-0.000756939j 4.47171e-18-0.00149529j -6.46185e-18+0.001756j 2.96984e-18+0.000863606j -2.00086e-17-0.00125486j 2.75936e-18-0.000799678j 2.1852e-17-0.000876472j 1.50182e-16+6.58163e-05j -1.84748e-16-0.00126426j -1.6552e-16+0.00101619j -1.14745e-17-0.00176284j -4.0858e-18+0.00102548j -4.04476e-17-0.00032856j -2.12992e-17-6.07973e-05j -6.32727e-16+1.15065e-05j -1.91935e-18+0.000102863j -2.06083e-17+2.02275e-07j 7.96752e-17-0.000413258j 1.51211e-17+0.00121478j 4.25178e-17-0.00141797j 4.54815e-18+0.00138421j -4.42583e-17-0.00100367j -1.04278e-16-0.000439068j -7.82614e-17-0.00088484j -1.18204e-17+0.00104632j -8.81902e-18-0.00119492j -5.31252e-18+0.000476793j 1.00821e-18-0.0016929j -6.06344e-19+0.00128781j -1.53407e-18-0.000311481j 9.0105e-19+0.000182757j 1.89176e-18+0.000938088j -1.78116e-18+0.000826967j -4.75604e-18+0.000718017j 1.30381e-17+0.000433826j -1.75346e-17-0.000363407j 
-1.34591e-17-0.000291536j -7.56153e-18-0.000260243j 1.04923e-18-0.000369693j -7.81667e-20+0.000268885j -5.46914e-18-0.000283908j 3.07452e-18+5.2422e-06j 5.94096e-18-4.02003e-06j -2.95747e-18+0.000110049j 1.19436e-18-0.000132739j -2.95072e-18-1.69294e-05j -2.58156e-18-8.89856e-05j -3.26717e-19+2.5287e-05j -4.96271e-18+1.19413e-05j -2.32832e-18+8.85465e-05j -2.83955e-19-0.000200912j 1.63015e-19+6.85186e-05j 6.8367e-17-1.3294e-05j 9.13539e-18-6.83871e-06j -5.27433e-18+9.46096e-05j 9.73287e-19-6.1703e-05j -9.27106e-18-1.0391e-05j 3.78023e-18+3.4162e-05j 4.47039e-18+6.98286e-05j 3.45937e-18+1.04442e-05j 5.14836e-19-6.44365e-05j 1.99755e-18+0.00016907j 3.09644e-18-0.000256975j 4.41099e-18-4.62053e-05j 9.94871e-17+0.000249298j -2.72019e-16-4.89305e-05j 9.61272e-16-0.0005509j 1.62885e-16+9.08503e-05j 5.14514e-18+0.000371495j -5.54477e-18-0.000923797j -1.84415e-18+0.000252761j 1.59868e-18-0.000774174j -8.46832e-19-0.000694018j 4.09999e-18-0.00137099j -5.9247e-18+0.00161003j 2.72297e-18+0.000791818j -1.83454e-17-0.00115055j 2.52998e-18-0.000733204j 2.00355e-17-0.000803614j 1.37698e-16+6.03452e-05j -1.69391e-16-0.00115917j -1.51761e-16+0.000931716j -1.05207e-17-0.0016163j -3.74616e-18+0.000940237j -3.70853e-17-0.000301248j -1.95287e-17-5.57434e-05j -5.80131e-16+1.055e-05j -1.7598e-18+9.43123e-05j -1.88952e-17+1.85461e-07j 7.30521e-17-0.000378905j 1.38641e-17+0.0011138j 3.89835e-17-0.0013001j 4.17008e-18+0.00126915j -4.05793e-17-0.000920238j -9.56099e-17-0.00040257j -7.17558e-17-0.000811287j -1.08378e-17+0.000959347j -8.08592e-18-0.00109559j -4.87091e-18+0.000437159j 9.244e-19-0.00155218j -5.55941e-19+0.00118076j -1.40655e-18-0.000285589j 8.26149e-19+0.000167565j 1.73451e-18+0.000860108j -1.6331e-18+0.000758224j -4.36069e-18+0.000658331j 1.19543e-17+0.000397764j -1.6077e-17-0.000333198j 
