-0.0058648-0j -0.000846511-0j -0.00480791-0j -0.000849926-0j -7.08272e-05-0j -0.00292579-0j -0.00295611-0j -0.000487632-0j -0.000298612-0j -0.000492685-0j -6.09539e-05-0j -0.000301707-0j -6.15856e-05-0j -3.59175e-06-0j -3.62897e-06-0j -0.00212331-0j -0.00262746-0j -0.00153269-0j -0.000342648-0j -0.000279771-0j -0.000424005-0j -4.03814e-05-0j -0.000247336-0j -3.49714e-05-0j -0.000346199-0j -4.12141e-06-0j -4.99695e-05-0j -0.000201949-0j -4.32748e-05-0j -1.88116e-07-0j -2.91489e-05-0j -2.52437e-05-0j -5.09999e-06-0j -2.32782e-07-0j -2.97499e-06-0j -1.35789e-07-0j 0.497205-0j 0.580072-0j 0.35522-0j -0.000263751-0j 0.507563-0j 0.209359-0j -0.000208514-0j -0.00030771-0j -0.000139009-0j -3.00964e-05-0j -0.000188433-0j -0.000269246-0j -0.000243266-0j -3.47523e-05-0j -0.000111058-0j -0.000162177-0j -1.22868e-05-0j -0.000148969-0j -3.51124e-05-0j -2.89603e-06-0j -9.9313e-05-0j -2.15019e-05-0j -0.000212858-0j -3.0717e-06-0j -0.000141905-0j -4.05444e-05-0j -3.07234e-05-0j -8.77994e-05-0j -2.55975e-07-0j -2.48282e-05-0j -1.43346e-05-0j -5.85329e-05-0j -3.3787e-06-0j -1.26728e-05-0j -9.53962e-09-0j -8.77811e-06-0j -2.06902e-06-0j -3.58365e-06-0j -3.54763e-05-0j -2.19453e-06-0j -1.25428e-05-0j -2.98637e-07-0j -1.46332e-05-0j -2.95636e-06-0j -3.13569e-06-0j -1.82877e-07-0j -5.17363e-06-0j -1.11296e-08-0j -1.21944e-06-0j -2.61308e-07-0j -6.81544e-09-0j -1.29341e-06-0j -9.73836e-09-0j -1.07784e-07-0j -4.01687e-09-0j 
0.000927306-0j -0.0127963-0j 0.000760197-0j -0.00635676-0j -0.00161159-0j 0.000462608-0j 0.000467402-0j -0.00364709-0j 4.72147e-05-0j -0.00368488-0j -0.00092141-0j 4.7704e-05-0j -0.000930958-0j -0.000109157-0j -0.000110288-0j -0.0828098-0j -0.102472-0j -0.0597752-0j -0.00256273-0j 4.42357e-05-0j -0.00317121-0j -0.000610426-0j -0.00184987-0j -0.000261557-0j 5.47388e-05-0j -9.37778e-05-0j -0.000755363-0j 3.1931e-05-0j -0.000323661-0j -7.15375e-06-0j -0.000440629-0j -0.000188802-0j -0.000116044-0j -8.85231e-06-0j -6.76924e-05-0j -5.16385e-06-0j 0.000263751-0j 0.00030771-0j 0.000188433-0j 0.486572-0j 0.000269246-0j 0.000111058-0j 3.29689e-05-0j 0.567668-0j 2.19793e-05-0j -0.000454952-0j 0.347624-0j 0.496709-0j 3.84638e-05-0j -0.000259919-0j 0.204882-0j 2.56425e-05-0j 1.94271e-06-0j 2.35541e-05-0j -0.000530777-0j -6.58956e-05-0j 1.57028e-05-0j -0.000325033-0j 3.36558e-05-0j -4.64333e-05-0j 2.24372e-05-0j -0.000303239-0j -0.00046443-0j 1.38823e-05-0j -7.77936e-06-0j -0.000185695-0j 2.2665e-06-0j 9.25487e-06-0j -7.68782e-05-0j -0.000191568-0j -4.35634e-07-0j 1.38794e-06-0j -4.70781e-05-0j -5.41722e-05-0j -0.000265334-0j -3.31736e-05-0j 1.98319e-06-0j -9.07592e-06-0j -0.000109445-0j -6.72684e-05-0j -4.74007e-05-0j -5.55784e-06-0j 8.18023e-07-0j -5.08239e-07-0j -2.77468e-05-0j -7.94143e-06-0j -3.11232e-07-0j -1.95518e-05-0j -4.44709e-07-0j -3.27567e-06-0j -1.83433e-07-0j 
-0.0705345-0j 0.000105814-0j 0.000600989-0j -0.0102218-0j 8.8534e-06-0j -0.0716404-0j -0.0723828-0j 6.09539e-05-0j -0.00721999-0j 6.15856e-05-0j -0.000733078-0j -0.00729481-0j -0.000740675-0j 4.48968e-07-0j 4.53621e-07-0j 0.000265414-0j 0.000328433-0j 0.000191586-0j -0.00839002-0j -0.00336473-0j -0.0103821-0j 5.04768e-06-0j -0.00605623-0j -0.000845555-0j -0.00416364-0j -4.95672e-05-0j 6.24619e-06-0j -0.00242879-0j -0.00104632-0j 2.35145e-08-0j 3.64361e-06-0j -0.000610354-0j -6.13363e-05-0j 2.90977e-08-0j -3.57795e-05-0j 1.69737e-08-0j 0.000208514-0j 0.000243266-0j 0.000148969-0j 3.29689e-05-0j 0.000212858-0j 8.77994e-05-0j 0.491233-0j 3.84638e-05-0j 1.73762e-05-0j -0.000736935-0j 2.35541e-05-0j 3.36558e-05-0j 0.573106-0j -0.000417957-0j 1.38823e-05-0j 2.02722e-05-0j -0.000446382-0j 0.350954-0j -0.000859757-0j 3.62003e-07-0j 1.24141e-05-0j -0.000526492-0j 0.501467-0j -7.42691e-05-0j 1.77382e-05-0j -0.000487617-0j -0.000752288-0j 0.206845-0j -3.07855e-06-0j -0.000298603-0j -0.000520779-0j 7.31662e-06-0j 4.22337e-07-0j -0.000310303-0j 1.19245e-09-0j -0.000318911-0j 2.58628e-07-0j -8.66472e-05-0j -0.000426665-0j -5.30604e-05-0j -0.000455682-0j -3.59164e-06-0j -0.00017599-0j 3.69545e-07-0j -7.58163e-05-0j -2.19942e-06-0j -0.000187959-0j 1.39119e-09-0j 1.5243e-07-0j -3.14268e-06-0j 8.51929e-10-0j -3.12726e-05-0j 1.2173e-09-0j -1.29629e-06-0j 5.02109e-10-0j 
0.000488733-0j 7.05426e-05-0j -0.117185-0j 7.08272e-05-0j 5.90226e-06-0j 0.000243816-0j 0.000246342-0j -0.0118852-0j 2.48843e-05-0j -0.0120084-0j 5.0795e-06-0j 2.51422e-05-0j 5.13213e-06-0j 2.99312e-07-0j 3.02414e-07-0j 0.000176943-0j 0.000218955-0j 0.000127724-0j 2.8554e-05-0j -0.00681895-0j 3.53338e-05-0j -0.000984231-0j 2.06114e-05-0j 2.91428e-06-0j -0.00843802-0j 3.43451e-07-0j -0.00121792-0j -0.00492218-0j 3.60624e-06-0j 1.56763e-08-0j -0.000710455-0j 2.10364e-06-0j 4.24999e-07-0j 1.93985e-08-0j 2.47916e-07-0j 1.13158e-08-0j 0.000139009-0j 0.000162177-0j 9.9313e-05-0j 2.19793e-05-0j 0.000141905-0j 5.85329e-05-0j 1.73762e-05-0j 2.56425e-05-0j 0.492085-0j 2.50803e-06-0j 1.57028e-05-0j 2.24372e-05-0j 2.02722e-05-0j -0.00084703-0j 9.25487e-06-0j 0.574099-0j 1.0239e-06-0j 1.24141e-05-0j 2.92604e-06-0j -7.05858e-05-0j 0.351563-0j 1.79182e-06-0j 1.77382e-05-0j 2.55975e-07-0j 0.502337-0j -0.000988202-0j 2.56028e-06-0j 7.31662e-06-0j 2.13312e-08-0j -0.000605148-0j 1.19455e-06-0j 0.207203-0j -8.23501e-05-0j 1.05606e-06-0j 7.94969e-10-0j 7.31509e-07-0j -5.0429e-05-0j 2.98637e-07-0j -0.000864677-0j 1.82877e-07-0j 1.04523e-06-0j 2.48865e-08-0j -0.000356661-0j -7.20564e-05-0j 2.61308e-07-0j 1.52398e-08-0j 4.31136e-07-0j 9.27463e-10-0j -2.97217e-05-0j 2.17756e-08-0j 5.67953e-10-0j 1.07784e-07-0j 8.1153e-10-0j 8.982e-09-0j 3.34739e-10-0j 
-0.000105814-0j -0.0683319-0j -8.67452e-05-0j 0.00146606-0j -0.0175197-0j 0.0103404-0j 0.0104476-0j 0.000841128-0j -5.38762e-06-0j 0.000849845-0j -0.00492032-0j -5.44345e-06-0j -0.00497131-0j -0.00178935-0j -0.0018079-0j -3.83092e-05-0j -4.74052e-05-0j -2.7653e-05-0j -0.115777-0j -5.04768e-06-0j -0.143267-0j -0.00325967-0j -0.0835724-0j 6.0323e-05-0j -6.24619e-06-0j -0.00101947-0j -0.00403363-0j -3.64361e-06-0j 7.46459e-05-0j -0.000156738-0j -0.00235295-0j 4.35434e-05-0j -0.00126153-0j -0.000193954-0j -0.00073589-0j -0.00011314-0j -3.00964e-05-0j -3.51124e-05-0j -2.15019e-05-0j 0.000454952-0j -3.07234e-05-0j -1.26728e-05-0j 0.000736935-0j 0.000530777-0j -2.50803e-06-0j 0.475894-0j 0.000325033-0j 0.00046443-0j 0.000859757-0j 5.99452e-05-0j 0.000191568-0j -2.92604e-06-0j -2.21681e-07-0j 0.000526492-0j 0.55521-0j -0.000716357-0j -1.79182e-06-0j 0.339995-0j 0.000752288-0j -0.000247953-0j -2.56028e-06-0j 6.9936e-05-0j 0.485809-0j 0.000310303-0j -0.000127523-0j 4.28269e-05-0j -2.58628e-07-0j -1.05606e-06-0j -0.000835749-0j 0.200386-0j -1.19475e-05-0j -1.58376e-07-0j -0.00051179-0j -0.000289279-0j 6.1194e-05-0j -0.000177146-0j -2.26299e-07-0j -0.000148777-0j 2.52412e-05-0j -0.000731281-0j -0.000253119-0j -9.11067e-05-0j -9.33436e-08-0j -1.39387e-05-0j -0.000301638-0j -0.00013018-0j -8.5357e-06-0j -0.000104406-0j -1.21964e-05-0j -5.36963e-05-0j -5.03076e-06-0j 
0.0117557-0j 0.00168606-0j 0.014598-0j -0.0805866-0j 0.000212345-0j -6.09539e-05-0j -6.15856e-05-0j -0.0700348-0j 0.00120333-0j -0.0707606-0j -0.011681-0j 0.0012158-0j -0.011802-0j 1.43827e-05-0j 1.45318e-05-0j -4.42357e-05-0j -5.47388e-05-0j -3.1931e-05-0j 0.000337669-0j -0.0817294-0j 0.000417844-0j -0.011722-0j 0.000243742-0j -0.00666615-0j -0.101135-0j -0.00118885-0j -0.0145052-0j -0.0589954-0j -0.00824894-0j 9.42589e-07-0j -0.00846136-0j -0.00481188-0j -0.00147113-0j 1.16639e-06-0j -0.000858157-0j 6.80397e-07-0j -3.47523e-05-0j -4.05444e-05-0j -2.48282e-05-0j 0.000259919-0j -3.54763e-05-0j -1.46332e-05-0j 0.000417957-0j 0.000303239-0j 0.00084703-0j 5.99452e-05-0j 0.000185695-0j 0.000265334-0j 0.000487617-0j 0.480224-0j 0.000109445-0j 0.000988202-0j 7.43971e-05-0j 0.000298603-0j 6.9936e-05-0j -0.00126539-0j 0.000605148-0j 4.28269e-05-0j 0.000426665-0j -0.00118342-0j 0.000864677-0j 0.560262-0j 6.1194e-05-0j 0.00017599-0j -9.86213e-05-0j 0.343089-0j 8.67966e-05-0j 0.000356661-0j -0.00147629-0j 2.52412e-05-0j 5.73998e-08-0j 5.31518e-05-0j -0.000904037-0j -0.00138065-0j 0.490229-0j -0.000845474-0j 7.5947e-05-0j -0.000115058-0j 0.202209-0j -0.00129175-0j -0.00120807-0j -7.04585e-05-0j 3.13265e-05-0j 6.69664e-08-0j -0.00053282-0j -0.000100676-0j 4.10084e-08-0j -0.000498304-0j 5.85956e-08-0j -4.15267e-05-0j 2.41694e-08-0j 
0.0125552-0j -6.23514e-06-0j -3.54136e-05-0j 0.0018195-0j -5.21691e-07-0j -2.15505e-05-0j -2.17738e-05-0j -3.59175e-06-0j -0.123438-0j -3.62897e-06-0j 0.000130489-0j -0.124717-0j 0.000131841-0j -2.64557e-08-0j -2.67299e-08-0j -1.56397e-05-0j -1.93531e-05-0j -1.12893e-05-0j -2.52384e-06-0j 0.000598928-0j -3.12309e-06-0j -2.97437e-07-0j -1.8218e-06-0j -0.0144561-0j 0.000741135-0j 8.82304e-06-0j -3.6806e-07-0j 0.000432329-0j -0.0178886-0j -1.3856e-09-0j -2.14702e-07-0j -0.010435-0j 1.0918e-05-0j -1.7146e-09-0j 6.36881e-06-0j -1.00018e-09-0j -1.22868e-05-0j -1.43346e-05-0j -8.77811e-06-0j -1.94271e-06-0j -1.25428e-05-0j -5.17363e-06-0j 0.000446382-0j -2.2665e-06-0j -1.0239e-06-0j -2.21681e-07-0j -1.38794e-06-0j -1.98319e-06-0j 0.000520779-0j 7.43971e-05-0j -8.18023e-07-0j -1.19455e-06-0j 0.483557-0j 0.000318911-0j -2.58628e-07-0j -2.13312e-08-0j -7.31509e-07-0j -1.58376e-07-0j 0.000455682-0j -0.00126975-0j -1.04523e-06-0j 8.67966e-05-0j -2.26299e-07-0j 0.000187959-0j 5.47986e-07-0j 5.31518e-05-0j 0.56415-0j -4.31136e-07-0j -2.48865e-08-0j -9.33436e-08-0j -7.0266e-11-0j 0.34547-0j -1.52398e-08-0j -0.00148138-0j 7.5947e-05-0j -0.000907154-0j 0.493631-0j 6.39317e-07-0j 3.13265e-05-0j -2.17756e-08-0j -0.0012962-0j 3.915e-07-0j 0.203612-0j -8.1977e-11-0j -8.982e-09-0j 5.59402e-07-0j -5.02004e-11-0j -0.000534657-0j -7.17298e-11-0j 2.30742e-07-0j -2.9587e-11-0j 
1.01819e-05-0j 0.0201487-0j -0.0012165-0j -0.000212345-0j -0.0780348-0j 5.0795e-06-0j 5.13213e-06-0j 0.0177555-0j 5.18424e-07-0j 0.0179395-0j 0.00145083-0j 5.23796e-07-0j 0.00146587-0j -0.0163456-0j -0.0165149-0j 3.6863e-06-0j 4.56157e-06-0j 2.66092e-06-0j -8.5607e-05-0j -7.07879e-05-0j -0.000105933-0j -0.14008-0j -6.17944e-05-0j -8.73723e-06-0j -8.75955e-05-0j -0.00454082-0j -0.17334-0j -5.10974e-05-0j -1.08118e-05-0j -0.00216285-0j -0.101115-0j -6.30687e-06-0j -0.00561898-0j -0.00267639-0j -0.00327774-0j -0.00156123-0j 2.89603e-06-0j 3.3787e-06-0j 2.06902e-06-0j -6.58956e-05-0j 2.95636e-06-0j 1.21944e-06-0j 3.62003e-07-0j -7.68782e-05-0j -7.05858e-05-0j 0.000716357-0j -4.70781e-05-0j -6.72684e-05-0j 4.22337e-07-0j 0.00126539-0j -2.77468e-05-0j -8.23501e-05-0j 2.13312e-08-0j 2.58628e-07-0j 0.000835749-0j 0.465018-0j -5.0429e-05-0j 0.00051179-0j 3.69545e-07-0j 7.31128e-05-0j -7.20564e-05-0j 0.00147629-0j 0.000731281-0j 1.5243e-07-0j -0.00116491-0j 0.000904037-0j 2.48865e-08-0j -2.97217e-05-0j 0.542521-0j 0.000301638-0j -0.000220512-0j 1.52398e-08-0j 0.332225-0j 8.52983e-05-0j 0.00129175-0j 5.22343e-05-0j 2.17756e-08-0j -0.00135906-0j 0.00053282-0j 0.474706-0j 7.4636e-05-0j -0.00083225-0j 8.982e-09-0j -0.000257264-0j 0.195806-0j -0.00118918-0j -0.000157541-0j 3.07858e-05-0j -0.000225106-0j -0.00049051-0j -9.28514e-05-0j 
-0.00208894-0j 0.0069741-0j 8.8534e-06-0j 0.0289424-0j 0.0017881-0j 5.38762e-06-0j 5.44345e-06-0j -8.58473e-05-0j 0.0101799-0j -8.67369e-05-0j -0.0971352-0j 0.0102854-0j -0.0981418-0j 0.000182625-0j 0.000184518-0j 3.90992e-06-0j 4.83827e-06-0j 2.82233e-06-0j -6.0323e-05-0j -9.96496e-05-0j -7.46459e-05-0j 0.000332688-0j -4.35434e-05-0j -0.11398-0j -0.00012331-0j -0.020126-0j 0.000411681-0j -7.19309e-05-0j -0.141044-0j 1.5997e-05-0j 0.000240147-0j -0.0822754-0j -0.0249046-0j 1.97953e-05-0j -0.0145277-0j 1.15473e-05-0j 3.0717e-06-0j 3.58365e-06-0j 2.19453e-06-0j -4.64333e-05-0j 3.13569e-06-0j 1.29341e-06-0j -7.42691e-05-0j -5.41722e-05-0j 2.55975e-07-0j 0.000247953-0j -3.31736e-05-0j -4.74007e-05-0j -8.66472e-05-0j 0.00118342-0j -1.95518e-05-0j 2.98637e-07-0j 0.00126975-0j -5.30604e-05-0j 0.000289279-0j 7.31128e-05-0j 1.82877e-07-0j 0.000177146-0j -7.58163e-05-0j 0.468508-0j 2.61308e-07-0j 0.00138065-0j 0.000253119-0j -3.12726e-05-0j -0.00251751-0j 0.000845474-0j 0.00148138-0j 1.07784e-07-0j 8.52983e-05-0j 0.000104406-0j 1.21939e-06-0j 0.000907154-0j 5.22343e-05-0j 0.546593-0j 0.00120807-0j 0.334719-0j 0.0012962-0j -0.0029371-0j 0.000498304-0j 7.4636e-05-0j 0.478269-0j -0.0017986-0j 0.000534657-0j 1.42262e-06-0j 3.07858e-05-0j -0.00256996-0j 8.71171e-07-0j 0.197276-0j 1.24479e-06-0j -0.00106005-0j 5.13449e-07-0j 
8.65892e-05-0j -0.00358679-0j -7.37783e-07-0j -0.00241195-0j 0.0284898-0j -4.48968e-07-0j -4.53621e-07-0j 1.43827e-05-0j 8.86338e-06-0j 1.45318e-05-0j 0.0248493-0j 8.95523e-06-0j 0.0251068-0j -0.0661353-0j -0.0668207-0j -3.25826e-07-0j -4.0319e-07-0j -2.35194e-07-0j 1.01064e-05-0j 4.1306e-06-0j 1.2506e-05-0j -0.000171102-0j 7.29519e-06-0j -0.000199517-0j 5.11136e-06-0j -0.159505-0j -0.000211728-0j 2.98162e-06-0j -0.00024689-0j -0.0180837-0j -0.000123508-0j -0.000144019-0j -0.197377-0j -0.0223775-0j -0.115137-0j -0.0130535-0j -2.55975e-07-0j -2.98637e-07-0j -1.82877e-07-0j 7.77936e-06-0j -2.61308e-07-0j -1.07784e-07-0j 3.07855e-06-0j 9.07592e-06-0j -2.13312e-08-0j -0.000127523-0j 5.55784e-06-0j 7.94143e-06-0j 3.59164e-06-0j -9.86213e-05-0j 3.27567e-06-0j -2.48865e-08-0j 5.47986e-07-0j 2.19942e-06-0j -0.000148777-0j 0.00116491-0j -1.52398e-08-0j -9.11067e-05-0j 3.14268e-06-0j 0.00251751-0j -2.17756e-08-0j -0.000115058-0j -0.00013018-0j 1.29629e-06-0j 0.453486-0j -7.04585e-05-0j 6.39317e-07-0j -8.982e-09-0j 0.00135906-0j -5.36963e-05-0j -0.00279013-0j 3.915e-07-0j 0.00083225-0j 0.0029371-0j -0.000100676-0j 0.0017986-0j 5.59402e-07-0j 0.529067-0j -4.15267e-05-0j 0.00118918-0j 0.00256996-0j 0.323986-0j 2.30742e-07-0j -0.00325516-0j 0.00049051-0j 0.462933-0j -0.00199337-0j 0.00106005-0j -0.00284826-0j 0.19095-0j -0.00117485-0j 
3.35397e-08-0j 0.000336043-0j 2.74956e-08-0j -1.40381e-06-0j -0.00539299-0j 1.67321e-08-0j 1.69055e-08-0j -8.05412e-07-0j 1.70771e-09-0j -8.13759e-07-0j 2.41971e-05-0j 1.72541e-09-0j 2.44479e-05-0j 0.0391501-0j 0.0395558-0j 1.21428e-08-0j 1.5026e-08-0j 8.76516e-09-0j -5.65945e-07-0j 1.59996e-09-0j -7.00322e-07-0j 1.60304e-05-0j -4.08521e-07-0j -5.77616e-08-0j 1.97985e-09-0j -0.000313816-0j 1.98366e-05-0j 1.15491e-09-0j -7.14763e-08-0j -0.193268-0j 1.15713e-05-0j -4.16945e-08-0j -0.000388328-0j -0.239157-0j -0.000226525-0j -0.139508-0j 9.53962e-09-0j 1.11296e-08-0j 6.81544e-09-0j -4.35634e-07-0j 9.73836e-09-0j 4.01687e-09-0j 1.19245e-09-0j -5.08239e-07-0j 7.94969e-10-0j 1.19475e-05-0j -3.11232e-07-0j -4.44709e-07-0j 1.39119e-09-0j -5.73998e-08-0j -1.83433e-07-0j 9.27463e-10-0j 7.0266e-11-0j 8.51929e-10-0j 1.39387e-05-0j -0.000220512-0j 5.67953e-10-0j 8.5357e-06-0j 1.2173e-09-0j 1.21939e-06-0j 8.1153e-10-0j -6.69664e-08-0j 1.21964e-05-0j 5.02109e-10-0j 0.00279013-0j -4.10084e-08-0j 8.1977e-11-0j 3.34739e-10-0j -0.000257264-0j 5.03076e-06-0j 0.438493-0j 5.02004e-11-0j -0.000157541-0j 1.42262e-06-0j -5.85956e-08-0j 8.71171e-07-0j 7.17298e-11-0j 0.00325516-0j -2.41694e-08-0j -0.000225106-0j 1.24479e-06-0j 0.00199337-0j 2.9587e-11-0j 0.511576-0j -9.28514e-05-0j 0.00284826-0j 0.313275-0j 5.13449e-07-0j 0.447629-0j 0.00117485-0j 0.184637-0j 
