-0.00354659-0j -0.000591099-0j -0.000361973-0j -7.38873e-05-0j -4.35385e-06-0j -0.00318497-0j -0.000513972-0j -0.000419656-0j -6.05722e-05-0j -5.2457e-05-0j -6.18212e-06-0j -2.82174e-07-0j -0.00204301-0j -0.00206418-0j -0.000323028-0j -0.000326376-0j -0.000255376-0j -0.000170251-0j -3.68604e-05-0j -0.000258023-0j -0.000172015-0j -3.72424e-05-0j -4.25627e-05-0j -1.50482e-05-0j -3.54689e-06-0j -4.30038e-05-0j -1.52041e-05-0j -3.76205e-06-0j -3.58365e-06-0j -3.80103e-06-0j -3.13504e-07-0j -1.16836e-08-0j -3.16753e-07-0j -1.18047e-08-0j -0.0015347-0j -0.00189909-0j -0.0011078-0j -0.000239263-0j -0.000296073-0j -0.000172709-0j -0.000185332-0j -2.67504e-05-0j -0.000169184-0j -0.000229337-0j -3.3102e-05-0j -0.00013378-0j -2.99079e-05-0j -0.000209355-0j -1.93095e-05-0j -1.99386e-05-0j -2.49232e-06-0j -0.000122124-0j -1.72673e-05-0j -3.70091e-05-0j -2.46727e-05-0j -3.52468e-06-0j -2.15886e-05-0j -3.08409e-06-0j -1.76234e-06-0j -2.13672e-05-0j -1.43924e-05-0j -2.07694e-07-0j -1.79905e-06-0j -1.24642e-05-0j -2.54372e-07-0j -4.36157e-06-0j -2.18078e-06-0j -1.64196e-08-0j -2.57008e-07-0j -2.54425e-06-0j -1.27212e-06-0j -3.14769e-07-0j -5.17169e-10-0j -1.49921e-07-0j -1.83615e-07-0j -2.03182e-08-0j -1.18523e-08-0j -6.39964e-10-0j -3.73313e-10-0j 
0.000547251-0j -0.00431439-0j 5.58536e-05-0j -0.00109-0j -0.00012913-0j 0.000491451-0j -0.00375145-0j 6.47544e-05-0j -0.000893572-0j -0.000382881-0j -0.000137277-0j -1.0472e-05-0j 0.000315243-0j 0.00031851-0j -0.00235776-0j -0.0023822-0j 3.94054e-05-0j 2.62703e-05-0j -0.000543771-0j 3.98138e-05-0j 2.65425e-05-0j -0.000549406-0j -0.000310663-0j 2.32199e-06-0j -7.87603e-05-0j -0.000313882-0j 2.34605e-06-0j -5.54984e-05-0j -7.95765e-05-0j -5.60736e-05-0j -9.29811e-06-0j -5.20682e-07-0j -9.39447e-06-0j -5.26078e-07-0j -0.0829087-0j -0.102594-0j -0.0598466-0j -0.00174637-0j -0.00216102-0j -0.00126059-0j 2.85974e-05-0j -0.000394627-0j 2.61057e-05-0j 3.53875e-05-0j -0.000488326-0j 2.06427e-05-0j -0.000218296-0j 3.23042e-05-0j -0.000284857-0j -0.000145531-0j -5.53431e-05-0j 1.88441e-05-0j 2.66441e-06-0j -0.000270127-0j -0.000180085-0j -5.19967e-05-0j -0.000157574-0j -6.84836e-05-0j -1.28632e-05-0j 3.29703e-06-0j -0.000105049-0j -6.15992e-06-0j -3.99488e-05-0j 1.92327e-06-0j -5.64843e-06-0j -6.43426e-05-0j -1.59174e-05-0j -6.09364e-07-0j -7.62251e-06-0j -3.75332e-05-0j -9.28515e-06-0j -6.98958e-06-0j -2.69023e-08-0j -4.44646e-06-0j -4.07725e-06-0j -7.54049e-07-0j -4.39862e-07-0j -3.32899e-08-0j -1.94191e-08-0j 
0.00041797-0j 6.96617e-05-0j -0.00825142-0j -0.000837803-0j 5.13107e-07-0j 0.000375352-0j 6.05722e-05-0j -0.00475845-0j 7.1385e-06-0j -0.00119579-0j -7.00986e-05-0j 3.32545e-08-0j -0.0717653-0j -0.072509-0j 3.80692e-05-0j 3.84638e-05-0j -0.00289569-0j 2.00643e-05-0j 4.34404e-06-0j -0.0029257-0j 2.02722e-05-0j 4.38906e-06-0j -0.000482615-0j -0.000515438-0j 4.18005e-07-0j -0.000487617-0j -0.000520779-0j -8.57585e-05-0j 4.22337e-07-0j -8.66472e-05-0j -3.5548e-06-0j 1.37693e-09-0j -3.59164e-06-0j 1.39119e-09-0j 0.000180866-0j 0.00022381-0j 0.000130556-0j -0.00840465-0j -0.0104002-0j -0.0060668-0j -0.00210147-0j 3.15257e-06-0j 1.99386e-05-0j -0.00260044-0j 3.9011e-06-0j -0.00151692-0j -0.000339123-0j 2.46727e-05-0j 2.27564e-06-0j 2.34978e-06-0j 2.93723e-07-0j 1.43924e-05-0j -0.000393621-0j -0.000419644-0j 2.90771e-06-0j -3.99661e-05-0j -0.000244792-0j 3.63464e-07-0j -6.03645e-05-0j -0.000487081-0j 1.69616e-06-0j 2.44769e-08-0j 2.12021e-07-0j -0.00028413-0j -5.79858e-06-0j -4.94555e-05-0j -7.46972e-05-0j -1.86181e-07-0j 3.02886e-08-0j -2.8849e-05-0j -4.35734e-05-0j -7.17538e-06-0j 6.0949e-11-0j 1.76684e-08-0j -4.18564e-06-0j -2.30387e-07-0j -1.34392e-07-0j 7.54205e-11-0j 4.39953e-11-0j 
-6.03288e-05-0j 0.000961289-0j -6.15728e-06-0j -0.00562322-0j -0.00204498-0j -5.41774e-05-0j 0.00083586-0j -7.1385e-06-0j -0.00460986-0j 8.53096e-05-0j -0.00144174-0j -0.000221662-0j 0.0103584-0j 0.0104658-0j 0.000525333-0j 0.000530777-0j -4.34404e-06-0j -2.89603e-06-0j -0.00280527-0j -4.38906e-06-0j -2.92604e-06-0j -0.00283434-0j 6.92187e-05-0j -2.55975e-07-0j -0.000827177-0j 6.9936e-05-0j -2.58628e-07-0j -0.000286312-0j -0.000835749-0j -0.000289279-0j -0.000147251-0j -1.37958e-05-0j -0.000148777-0j -1.39387e-05-0j -2.61057e-05-0j -3.23042e-05-0j -1.88441e-05-0j -0.115979-0j -0.143517-0j -0.0837182-0j -3.15257e-06-0j -0.00203585-0j -2.87789e-06-0j -3.9011e-06-0j -0.00251923-0j -2.27564e-06-0j 4.86384e-05-0j -3.5612e-06-0j -0.00146955-0j 3.24256e-05-0j -0.000581239-0j -2.07737e-06-0j -2.93723e-07-0j 6.0187e-05-0j 4.01247e-05-0j -0.000268247-0j 3.51091e-05-0j -0.000719247-0j 2.86605e-06-0j -3.63464e-07-0j 2.34061e-05-0j -9.75523e-05-0j -0.000419561-0j -2.12021e-07-0j -5.93225e-05-0j -0.000331938-0j 3.54655e-06-0j -1.28984e-05-0j -0.000120715-0j -0.000193631-0j 2.06882e-06-0j -7.34078e-05-0j -8.56115e-07-0j -7.04169e-05-0j -4.28212e-05-0j -1.5961e-05-0j -9.31057e-06-0j -1.05939e-06-0j -6.17977e-07-0j 
0.000373844-0j -0.00908067-0j 3.81553e-05-0j 7.78841e-06-0j 4.58936e-07-0j -0.0828098-0j 5.41774e-05-0j -0.00644691-0j -0.000930531-0j 5.52946e-06-0j 6.51653e-07-0j 2.97437e-08-0j 0.000215352-0j 0.000217584-0j -0.0083988-0j -0.00848583-0j 2.6919e-05-0j -0.00524885-0j 3.88543e-06-0j 2.7198e-05-0j -0.00530325-0j 3.92569e-06-0j -0.000653863-0j 1.58622e-06-0j -5.44886e-05-0j -0.000660639-0j 1.60266e-06-0j 3.96555e-07-0j -5.50533e-05-0j 4.00664e-07-0j 3.30462e-08-0j 1.23156e-09-0j 3.33887e-08-0j 1.24432e-09-0j 0.000161771-0j 0.000200182-0j 0.000116773-0j 2.52205e-05-0j 3.12088e-05-0j 1.82051e-05-0j -0.00481868-0j -0.000695516-0j -0.00259907-0j -0.00596281-0j -0.000860657-0j -0.0034783-0j 3.15257e-06-0j -0.00321619-0j -0.00050205-0j -0.000614709-0j 2.62714e-07-0j -0.00187611-0j -0.000265267-0j 3.9011e-06-0j -0.000760663-0j -5.41473e-05-0j 2.27564e-06-0j 3.25092e-07-0j 1.85767e-07-0j -0.000328251-0j -0.00044372-0j -3.19066e-06-0j 1.89637e-07-0j -0.00019148-0j 2.68131e-08-0j -6.70039e-05-0j 2.29875e-07-0j 1.73078e-09-0j -3.94824e-06-0j -3.90856e-05-0j 1.34094e-07-0j 3.31795e-08-0j 5.45144e-11-0j -2.30314e-06-0j 1.93547e-08-0j 2.14173e-09-0j 1.24934e-09-0j 6.74582e-11-0j 3.93506e-11-0j 
-0.100532-0j 4.26589e-05-0j 2.61231e-05-0j 5.33236e-06-0j 3.14212e-07-0j 0.000229855-0j -0.014569-0j 3.02861e-05-0j 4.37142e-06-0j 3.78576e-06-0j 4.46156e-07-0j 2.03641e-08-0j 0.000147442-0j 0.000148969-0j 2.33126e-05-0j 2.35541e-05-0j -0.00723889-0j 1.22868e-05-0j -0.00104484-0j -0.0073139-0j 1.24141e-05-0j -0.00105567-0j 3.0717e-06-0j 1.08601e-06-0j 2.55975e-07-0j 3.10353e-06-0j 1.09726e-06-0j 2.71502e-07-0j 2.58628e-07-0j 2.74316e-07-0j 2.26252e-08-0j 8.43191e-10-0j 2.28597e-08-0j 8.51929e-10-0j 0.000110757-0j 0.000137055-0j 7.99488e-05-0j 1.72673e-05-0j 2.13672e-05-0j 1.24642e-05-0j 1.33752e-05-0j 1.93055e-06-0j -0.0047957-0j 1.6551e-05-0j 2.38893e-06-0j 9.65474e-06-0j -0.000847768-0j -0.00593437-0j 1.39354e-06-0j 1.43894e-06-0j -7.06473e-05-0j -0.00346172-0j 1.24616e-06-0j -0.00104906-0j 1.7806e-06-0j 2.54372e-07-0j -0.000611951-0j -8.74216e-05-0j 1.27186e-07-0j 1.54205e-06-0j 1.03868e-06-0j 1.4989e-08-0j -5.09959e-05-0j 8.99527e-07-0j 1.83577e-08-0j 3.14769e-07-0j 1.57384e-07-0j 1.18498e-09-0j 1.85479e-08-0j 1.83615e-07-0j 9.18076e-08-0j 2.27165e-08-0j 3.73235e-11-0j 1.08196e-08-0j 1.32513e-08-0j 1.46634e-09-0j 8.55367e-10-0j 4.61855e-11-0j 2.69415e-11-0j 
-6.60868e-05-0j 0.000521013-0j 0.00130466-0j -0.0126646-0j 1.55939e-05-0j 0.0146388-0j 0.000453031-0j 0.000752377-0j 0.000107909-0j -0.00894358-0j -0.00159501-0j 1.26462e-06-0j -3.80692e-05-0j -3.84638e-05-0j -0.0702306-0j -0.0709584-0j 0.000457849-0j -3.17244e-06-0j 6.56666e-05-0j 0.000462594-0j -3.20531e-06-0j 6.63471e-05-0j -0.00360957-0j 8.14979e-05-0j 9.51121e-06-0j -0.00364698-0j 8.23425e-05-0j -0.00129637-0j 9.60977e-06-0j -0.0013098-0j -0.000108034-0j 6.28783e-08-0j -0.000109154-0j 6.35299e-08-0j -2.85974e-05-0j -3.53875e-05-0j -2.06427e-05-0j 0.000210894-0j 0.000260968-0j 0.000152231-0j -0.0819579-0j -0.0117547-0j -3.15257e-06-0j -0.101418-0j -0.0145458-0j -0.0591604-0j -0.00253637-0j -3.9011e-06-0j -0.00848502-0j 1.75745e-05-0j 6.68331e-06-0j -2.27564e-06-0j 6.22369e-05-0j -0.00313859-0j 2.17473e-05-0j -0.000604146-0j -0.00183085-0j 8.27018e-06-0j -0.000451477-0j 7.70142e-05-0j 1.26859e-05-0j 7.43881e-07-0j 4.82427e-06-0j 4.4925e-05-0j -0.00013194-0j -0.000747593-0j -0.000558675-0j -7.08016e-06-0j 9.20505e-07-0j -0.000436096-0j -0.000325893-0j -0.000163267-0j 3.24876e-09-0j 5.36961e-07-0j -9.52391e-05-0j -8.76125e-06-0j -5.11073e-06-0j 4.02014e-09-0j 2.34508e-09-0j 
5.50724e-06-0j -0.000132089-0j 5.6208e-07-0j 0.001573-0j -0.017722-0j -0.0012199-0j -0.000114854-0j 6.51653e-07-0j 0.00128953-0j -1.17222e-05-0j -0.00609215-0j -0.00290177-0j 3.17244e-06-0j 3.20531e-06-0j 0.0178051-0j 0.0179896-0j 3.96555e-07-0j 2.6437e-07-0j 0.000784729-0j 4.00664e-07-0j 2.67109e-07-0j 0.000792861-0j -9.51121e-06-0j 2.33672e-08-0j -0.00349527-0j -9.60977e-06-0j 2.36094e-08-0j 8.00911e-05-0j -0.0035315-0j 8.09211e-05-0j -0.00127609-0j -0.000241559-0j -0.00128932-0j -0.000244062-0j 2.38312e-06-0j 2.94896e-06-0j 1.72022e-06-0j -5.34665e-05-0j -6.61614e-05-0j -3.85942e-05-0j -7.09858e-05-0j -0.140472-0j 2.62714e-07-0j -8.78405e-05-0j -0.173825-0j -5.12403e-05-0j -6.68331e-06-0j 3.25092e-07-0j -0.101398-0j -4.45554e-06-0j -0.00245605-0j 1.89637e-07-0j 2.68131e-08-0j -8.27018e-06-0j -5.51345e-06-0j 7.50376e-05-0j -4.82427e-06-0j -0.00303921-0j -3.93818e-07-0j 3.31795e-08-0j -3.21618e-06-0j -0.0008454-0j -0.00177287-0j 1.93547e-08-0j -0.00025067-0j 9.28544e-05-0j -4.87325e-07-0j -0.000168853-0j -0.00104613-0j 5.4165e-05-0j -2.84273e-07-0j -0.000310188-0j -1.87705e-05-0j -0.000610242-0j -0.000180943-0j -0.000208945-0j -0.000121885-0j -2.32273e-05-0j -1.35492e-05-0j 
0.0118176-0j -0.0693165-0j -6.15728e-06-0j 0.000120161-0j 1.42352e-05-0j -5.41774e-05-0j -0.0810106-0j 0.00104037-0j -0.0143564-0j 4.22086e-05-0j 1.51333e-05-0j 1.15443e-06-0j -3.47523e-05-0j -3.51124e-05-0j 0.000259919-0j 0.000262613-0j 0.000850939-0j 0.00084703-0j -0.0117425-0j 0.000859757-0j 0.000855808-0j -0.0118641-0j -0.00499121-0j -2.55975e-07-0j -0.00126539-0j -0.00504293-0j -2.58628e-07-0j 6.11813e-06-0j -0.0012785-0j 6.18153e-06-0j 1.02502e-06-0j 5.73998e-08-0j 1.03564e-06-0j 5.79946e-08-0j -2.61057e-05-0j -3.23042e-05-0j -1.88441e-05-0j 0.000192519-0j 0.00023823-0j 0.000138967-0j -3.15257e-06-0j 4.35035e-05-0j -0.0821594-0j -3.9011e-06-0j 5.38329e-05-0j -2.27564e-06-0j -0.00471398-0j -0.101667-0j 3.14025e-05-0j -0.00469233-0j -0.00119511-0j -0.0593058-0j 4.28072e-05-0j -0.00583326-0j -0.00580646-0j -0.000835396-0j -0.00340273-0j -0.00147887-0j 1.41803e-06-0j 5.29712e-05-0j -0.0033871-0j -9.89673e-05-0j -0.000862672-0j 3.08999e-05-0j 6.22681e-07-0j -0.00103375-0j 1.75473e-06-0j 6.7176e-08-0j -0.000122466-0j -0.000603021-0j 1.02359e-06-0j 7.70528e-07-0j 2.9657e-09-0j -7.14383e-05-0j 4.49475e-07-0j 8.31261e-08-0j 4.84902e-08-0j 3.66987e-09-0j 2.14076e-09-0j 
0.00723677-0j -6.15728e-06-0j -0.0698051-0j 0.000148874-0j -4.53526e-08-0j -3.31767e-05-0j 0.00104875-0j 0.000845555-0j -6.3096e-07-0j -0.0101162-0j 1.24562e-05-0j -2.93931e-09-0j -2.12814e-05-0j -2.15019e-05-0j -3.36488e-06-0j -3.39975e-06-0j -0.100794-0j -1.77345e-06-0j 7.52131e-05-0j -0.101838-0j -1.79182e-06-0j 7.59925e-05-0j 8.57585e-05-0j -0.00879709-0j -3.69468e-08-0j 8.66472e-05-0j -0.00888825-0j -0.000725498-0j -3.73297e-08-0j -0.000733016-0j 6.31671e-07-0j -1.21704e-10-0j 6.38217e-07-0j -1.22965e-10-0j -1.59864e-05-0j -1.97822e-05-0j -1.15396e-05-0j -2.49232e-06-0j -3.08409e-06-0j -1.79905e-06-0j 0.000373421-0j -2.7865e-07-0j 0.000345219-0j 0.000462085-0j -3.44812e-07-0j 0.00026955-0j -0.0118043-0j 0.000427186-0j -2.0114e-07-0j -2.07694e-07-0j 5.08555e-06-0j 0.000249192-0j -0.00332994-0j -0.014607-0j -2.57008e-07-0j 7.10178e-06-0j -0.00852076-0j 6.29305e-06-0j -0.00103025-0j -0.00412059-0j -1.49921e-07-0j -2.16347e-09-0j 3.67094e-06-0j -0.00240368-0j -4.90547e-05-0j 8.78801e-06-0j -0.00127487-0j 3.30835e-08-0j -2.67716e-09-0j 5.12634e-06-0j -0.000743676-0j -6.07021e-05-0j -5.38718e-12-0j -1.56168e-09-0j -3.54095e-05-0j 4.09387e-08-0j 2.38809e-08-0j -6.6663e-12-0j -3.88867e-12-0j 
-3.48308e-05-0j 0.00169789-0j 0.000687618-0j 6.98169e-05-0j -4.27589e-08-0j -3.12793e-05-0j -5.04768e-06-0j -0.115979-0j 0.000173989-0j 9.96496e-05-0j 5.84155e-06-0j -2.77121e-09-0j -2.00643e-05-0j -2.02722e-05-0j -3.17244e-06-0j -3.20531e-06-0j 0.000241308-0j -0.0710264-0j -3.62003e-07-0j 0.000243808-0j -0.0717624-0j -3.65755e-07-0j -0.011763-0j 4.29532e-05-0j 1.01882e-05-0j -0.0118849-0j 4.33983e-05-0j 7.14654e-06-0j 1.02938e-05-0j 7.2206e-06-0j 2.96233e-07-0j -1.14744e-10-0j 2.99303e-07-0j -1.15933e-10-0j -1.50722e-05-0j -1.86508e-05-0j -1.08797e-05-0j -2.34978e-06-0j -2.90771e-06-0j -1.69616e-06-0j 0.000175122-0j -2.62714e-07-0j 0.00048597-0j 0.000216703-0j -3.25092e-07-0j 0.00012641-0j 2.82603e-05-0j 0.000601357-0j -1.89637e-07-0j -0.00831811-0j -2.44769e-08-0j 0.000350792-0j -0.00959385-0j 3.49703e-05-0j -0.0102931-0j -0.000974106-0j 2.03993e-05-0j -3.02886e-08-0j 5.03037e-06-0j -0.0118718-0j -0.00600433-0j 5.96585e-07-0j -1.76684e-08-0j -0.00692521-0j 4.83215e-07-0j -0.0012054-0j 6.22477e-06-0j 1.55151e-08-0j 7.38236e-07-0j -0.000703147-0j 3.63111e-06-0j 5.97948e-07-0j -5.07908e-12-0j 4.30637e-07-0j 3.48803e-07-0j 1.91989e-08-0j 1.11994e-08-0j -6.28504e-12-0j -3.66628e-12-0j 
