-0.0650958-0j -0.0735336-0j -0.0600399-0j -0.0606621-0j -0.0525349-0j -0.0433391-0j -0.013847-0j 0.40313-0j 0.446184-0j 0.352739-0j 0.235159-0j 0.356395-0j 0.411529-0j 0.145497-0j 0.240059-0j 0.254621-0j 0.148529-0j 0.0387474-0j 
0.0464775-0j 0.00103914-0j 0.0428676-0j -0.0415974-0j 0.000742399-0j -0.0600496-0j -0.038568-0j 0.0061201-0j 0.000134068-0j 0.00535509-0j 0.00357006-0j -0.00519641-0j 0.000123656-0j 0.00220886-0j -0.00707247-0j -0.00371249-0j -0.00658612-0j -0.00287135-0j 
-0.00670845-0j -0.000149987-0j -0.00618741-0j 0.00600406-0j -0.000107156-0j 0.00866742-0j 0.00556681-0j 0.0839725-0j 0.00183952-0j 0.073476-0j 0.048984-0j -0.0712987-0j 0.00169665-0j 0.0303073-0j -0.0970398-0j -0.0509383-0j -0.0903667-0j -0.0393971-0j 
0.0268169-0j 0.030293-0j -0.0237855-0j 0.0249904-0j -0.0632669-0j -0.0171693-0j 0.00570444-0j 0.00353122-0j 0.00390835-0j -0.00297132-0j 0.00205988-0j 0.00312184-0j -0.00346654-0j -0.00622579-0j 0.00210279-0j -0.00651997-0j -0.00125114-0j 0.000339408-0j 
-0.0270948-0j 0.0293953-0j -0.0249904-0j 0.0252296-0j 0.021001-0j -0.0159392-0j -0.060022-0j -0.00356782-0j 0.00379253-0j -0.00312184-0j -0.00208123-0j 0.00315172-0j 0.00349797-0j -0.00128769-0j -0.00187727-0j 0.0022517-0j -0.0061625-0j -0.00619381-0j 
-0.00474061-0j -0.00535509-0j 0.00420472-0j -0.00441772-0j 0.0111841-0j 0.00303513-0j -0.00100841-0j 0.029358-0j 0.0324934-0j -0.024703-0j 0.0171255-0j 0.0259545-0j -0.0288202-0j -0.0517602-0j 0.0174823-0j -0.054206-0j -0.0104018-0j 0.00282178-0j 
0.000395051-0j 0.000446257-0j -0.000350393-0j 0.000368144-0j -0.00093201-0j -0.000252927-0j 8.40344e-05-0j -0.00744354-0j -0.00823849-0j 0.0062633-0j -0.00434207-0j -0.00658059-0j 0.00730719-0j 0.0131235-0j -0.00443253-0j 0.0137436-0j 0.0026373-0j -0.000715445-0j 
0.00478974-0j -0.00519641-0j 0.00441772-0j -0.00446001-0j -0.00371249-0j 0.00281768-0j 0.0106105-0j -0.0296622-0j 0.0315305-0j -0.0259545-0j -0.017303-0j 0.0262029-0j 0.0290816-0j -0.0107057-0j -0.0156074-0j 0.0187202-0j -0.051234-0j -0.0514943-0j 
-0.000399145-0j 0.000433034-0j -0.000368144-0j 0.000371667-0j 0.000309374-0j -0.000234807-0j -0.000884208-0j 0.00752068-0j -0.00799437-0j 0.00658059-0j 0.00438706-0j -0.00664358-0j -0.00737345-0j 0.00271436-0j 0.00395715-0j -0.0047464-0j 0.0129901-0j 0.0130561-0j 
0.0189505-0j 0.0214069-0j -0.0339841-0j -0.0343363-0j 0.0152938-0j 0.0126168-0j 0.00403112-0j 0.00249538-0j 0.00276188-0j 0.00218346-0j -0.0071161-0j 0.00220609-0j -0.0049529-0j 0.000900631-0j -0.00288919-0j 0.0015761-0j 0.000919395-0j 0.000239847-0j 
-0.0234501-0j -0.000524296-0j 0.0207992-0j 0.0209878-0j 0.00109499-0j -0.0291359-0j 0.0194594-0j -0.00308788-0j -6.76439e-05-0j 0.00259827-0j -0.00180126-0j 0.00262183-0j 5.99972e-05-0j 0.00544414-0j 0.0035684-0j -0.0054757-0j -0.00319556-0j 0.00144873-0j 
-0.00315842-0j -0.00356782-0j 0.00566402-0j 0.00572271-0j -0.00254897-0j -0.00210279-0j -0.000671853-0j 0.0195597-0j 0.0216486-0j 0.0171148-0j -0.0557786-0j 0.0172921-0j -0.0388226-0j 0.00705947-0j -0.0226465-0j 0.0123541-0j 0.00720655-0j 0.00188-0j 
0.0136792-0j -0.0299871-0j 0.0126168-0j 0.0112636-0j -0.0214238-0j 0.0348072-0j -0.0365534-0j 0.00180126-0j -0.00386889-0j 0.0015761-0j 0.00105074-0j 0.00140707-0j -0.0035684-0j 0.00065011-0j 0.00409949-0j 0.00100526-0j 0.000812043-0j -0.0074768-0j 
-0.00193413-0j -0.00218483-0j 0.00346849-0j 0.00350443-0j -0.00156092-0j -0.00128769-0j -0.000411424-0j -0.000254684-0j -0.000281884-0j -0.000222848-0j 0.000726284-0j -0.000225158-0j 0.000505504-0j -9.19203e-05-0j 0.000294877-0j -0.000160861-0j -9.38353e-05-0j -2.44792e-05-0j 
0.00390835-0j 8.73827e-05-0j -0.00346654-0j -0.00349797-0j -0.000182499-0j 0.00485598-0j -0.00324323-0j -0.0242039-0j -0.000530217-0j 0.0203662-0j -0.0141189-0j 0.0205509-0j 0.00047028-0j 0.0426732-0j 0.0279704-0j -0.0429205-0j -0.025048-0j 0.0113557-0j 
0.000394803-0j 0.000445977-0j -0.000708002-0j -0.000715339-0j 0.000318621-0j 0.000262849-0j 8.39816e-05-0j -0.00494192-0j -0.0054697-0j -0.00432418-0j 0.0140929-0j -0.00436899-0j 0.00980885-0j -0.00178363-0j 0.00572183-0j -0.00312136-0j -0.00182079-0j -0.000474998-0j 
