0.00204102-0.00835095j 0.00704181+0.0108612j 0.00684261+0.00311092j -0.00797636-0.025871j 0.00374201+0.0243706j -0.000678519+0.0149668j 0.00115934+0.00343081j -0.000584735+0.0177049j -0.000370905-0.0197153j 0.00120561-0.00574355j 0.00256166+0.00144626j -0.000455407+0.000865567j -0.000532456+0.00548687j 0.00408286-0.0219327j 0.000457505-0.00774863j 0.000373024+0.000202137j -0.00252848+0.0137651j -0.0049831+0.0122602j -0.00821795+0.0107447j -0.00256378-0.00691178j 0.00757219-0.00521954j -0.000973856-0.00999557j 
-0.00250786+0.0111986j -0.0180654+0.00727773j -0.0151674+0.0066934j 0.0101707-0.000921164j -0.0018765+0.00470424j 0.0192283-0.00857703j -0.0131119+0.000680156j 0.00964091+0.00738512j 0.00731522-0.00461254j -0.00728251+0.00386325j -0.020526+0.00021087j 0.0077015+0.000446082j -0.00320291+0.000825854j -0.00425493-0.0157666j 0.00685211-0.00154881j -0.00967743+0.00070535j -0.00586358-0.000189498j 0.00606112+0.00985152j 0.00368613+0.00850589j 0.00359212+0.00559797j -0.0256454-0.00930346j -0.00290742+0.0190303j 
0.0171356+0.00269541j 0.0102092+0.00325337j 0.00516597+0.000299154j 0.00176931+0.00643926j 0.00842734-0.00344909j -0.0133656-0.00656628j 0.00535205-0.00103617j 0.00225421+0.00217799j -0.0100755+0.000204834j 0.00920195+0.00675669j 0.014698-0.00465481j -0.0107048-0.000498034j 0.00117593-0.00465394j 0.010738-0.00604168j -0.00655111-0.00269539j 0.0114321+0.00627192j 0.00718963-0.00440085j -0.00770656+0.00187334j -0.0198434-0.00057773j -0.00970826-0.0035737j -0.00194093-0.00399913j -0.0144721+0.0123176j 
-0.00931087+0.0107337j -0.00922144-0.00566555j -0.00627744-0.00604495j -0.00198684+0.0122887j 0.00441998+0.00139192j 0.00880383-0.00300884j 0.00628634+0.0076606j -0.00335316+0.00360007j -0.00201528-0.00754253j -0.00546659+0.00207564j -0.00412634-0.000624212j -0.00120053-0.0145866j -0.000130058+0.00550738j 0.0113542+0.00674144j 0.000860634-0.00419621j -0.00354133+0.0126723j -0.00217343+0.00611714j -0.00270578-0.0027275j -0.00525602-0.00094748j -0.00504356-0.00500135j 0.0113488-0.0173413j -0.0179818-0.0171408j 
-0.00350886+0.00986346j 0.00116632+0.00193729j 0.00321301+0.000778929j -0.0113619-0.00385363j -0.00347253+0.00816737j 0.00941529-0.0039414j -0.013723-0.012308j -0.00238622+0.00610955j 0.00570068+0.00300041j -0.00989861+0.00600363j 0.0133817+0.00586697j 0.00597682+0.00781355j 0.00546406-0.00736952j 0.00608344+0.00193018j 0.00387381+0.00442889j -0.00979611-0.0111174j 0.0105465-0.00112238j -0.0089348-0.00125438j -0.00377059-0.0225211j 0.0044389-0.0037885j -0.0022908-0.00526465j -0.0147551-0.00180829j 
-0.00318762+0.00787487j -0.00603221+0.00449735j -0.00417681+0.00658654j 0.011123-0.00834121j -0.0047849-0.000802862j -0.0019564+0.00090695j 0.0188616-0.0134603j -0.00497749+0.00326231j -0.00506488+0.00245816j -0.00241731+0.000848713j -0.00311883+0.0103333j -0.018562+0.00359635j 0.0128871+0.000930565j 0.00279276-0.00136567j -0.00459483+0.00195808j 0.0172656-0.00224963j 0.0080921+0.00755198j -0.000570442-0.00383214j 0.0197454-0.0013447j 0.00207651+0.00617925j -0.00614506-0.0073289j -0.00876279+0.000736638j 
0.00820167+0.0125678j -0.007283-0.000183471j -0.00276463-0.0029335j -0.00113768-0.00199838j 0.00938414+0.00421503j -0.00461917+0.00759998j 0.00331168-0.0165824j 0.00478176+0.00964002j -0.00442847-0.00139695j 0.0159477+0.000567962j -0.0084112+0.00290817j -0.00488201+0.00560825j -0.00844008-0.00886196j -0.00537886+0.000199623j -0.000751541+0.000849911j 0.0110087-0.00563052j -0.00744468-0.00469201j 0.00565324+0.000506829j 0.00785505-0.0143663j 0.00304602+0.00141158j 0.0109233-0.0044081j 0.00951889-0.00409036j 
0.0103128+0.0139838j -0.00180966-0.00331863j 0.00171831-0.00783236j -0.00142424+0.00801252j 0.00209514+0.0097429j -0.0112032-0.00509529j -0.00219498-0.00099583j -0.000517511+0.00739809j -0.00172497-0.00123423j 0.00345429+0.0132468j 0.00253335-0.00249607j -0.00284451-0.00876156j -0.0035693-0.00412462j -0.00652225-0.00654419j -0.00286334+0.00240385j -0.00224781+0.00540921j -0.00565487-0.00172152j -0.000980352+0.00973016j 0.00327785-0.000152675j 0.00164754+0.0107843j 0.00520137-0.00801304j 0.00535273+0.0117574j 
0.0131839-0.00895793j -0.00581808+0.00126524j -0.00944209-0.00429027j 0.00547584+0.00475412j 0.00787339+0.00186024j -0.00179707+0.00881595j -0.00606563+0.0081363j 0.00444631+0.00122144j 0.000331989+0.00496118j 0.00442954+0.00197766j 0.00530752-0.00117491j -0.0106116-0.00441706j -0.000854786+0.0101396j -0.000942674+0.0112179j 0.00242808+0.0079242j -0.00271699+0.00604826j 0.00332851+0.0132305j 0.00490923-5.58746e-06j -0.00352402-0.00782356j 0.0130729-0.00195545j -0.0105901-0.0167944j -0.0010085-0.0122381j 
-0.0120116+0.00090739j -0.00262412-0.00631495j -0.00710952-0.00336355j 0.000973545-0.00104383j 0.0128882+0.0113828j 0.00519713+0.00540228j 0.0101764+0.000964746j 0.000449879+0.00810964j 0.0071357-0.00525916j 0.0135276+0.0166232j -0.0117001-0.015334j -0.00154488+0.00782866j 0.00241717-0.0159426j 0.00422473+0.00270886j 0.00856412+0.00139204j 0.00666569+0.00934568j 0.00538169-0.0123196j 0.00603438+0.00521059j 0.000399267-0.0134394j 0.00514587-0.0162501j -0.000445119+0.0132598j 0.00604884-0.00315933j 
-0.000757106+0.00573479j -0.00428641+0.00427579j -0.00230928+0.00968695j 0.00925504-0.00101856j -0.00668442-0.0115703j -0.00797299-0.00567025j -0.00971608+0.000677519j -0.0113375-0.00203914j -0.0114259+0.00244274j -0.00513804-0.00921556j 0.0112302+0.0106624j 0.0075148+0.0042694j -0.0149479+0.00347712j -0.00409096-0.00369518j -0.0102448-0.00755436j -0.00677652-0.00741461j 0.00908665+0.00277517j 0.00737546+0.00306583j 0.00180485+0.0160601j -0.0107882+0.00630338j 0.000669017-0.000826441j -0.00629293+0.00614367j 
