-0.00669341+0.00638777j 0.00626059+0.00652218j 0.0129917-0.00868718j -0.0174719+0.00266674j -0.000527726+0.00193777j -0.00525946-9.95439e-05j 0.00472467-0.00935281j -0.0035764+0.00551077j -0.00983373-0.0010244j -0.00832975-0.00300943j -0.00182463+0.0125274j 0.0229146-0.0148398j 0.011648+0.00779004j -0.0107974-0.00910515j 0.00360278-0.0198286j -0.003462-0.00947245j 0.0105601-0.0110533j -0.000107748+0.00480379j -0.0103734+0.013937j 0.00343705-0.00102964j -5.11626e-05+0.0102942j -0.0091144+0.00472105j -0.0114977+0.00983174j -0.0121701-0.00177662j 0.0187747-0.0138141j -0.0122486-0.0147655j 
0.00640717-0.000243615j -0.0116418-0.00516991j -0.0132788-0.0103542j 0.0225203+0.0240862j 0.0054231+0.00202926j 0.00197089+0.00815366j -0.00299847-0.0179978j 0.00168268+0.00912097j 0.00727974+0.0124428j 0.00289199+0.0102255j -0.0141804-0.000286497j 0.00279527-0.0247774j 0.018013-0.00805313j 0.0108639+0.0159243j 0.00245699+0.0039084j 0.00776778+0.00491069j -0.000316162+4.49758e-05j -0.00361026-0.00204492j -0.0177654-0.00584414j 0.000514615+0.000900812j -0.00824129-0.00383477j -0.00589332-0.00267803j -0.0164068-0.00825154j -0.00566832-0.00357203j 0.00562162+0.00229922j -0.00255758-0.000747908j 
0.00740612+0.000721808j 0.00682239-0.00819328j -0.00787832+0.00204115j 0.00880761+0.000212311j 0.00603487-4.72026e-05j 0.00296119-0.00148078j -0.017922+0.0186221j 0.0164156-0.00547367j 0.00387539+0.000808464j -0.00185169+0.0001393j -0.000178654-0.0100715j -0.0117802-0.00132237j -0.0011326+0.018608j -0.00757005+0.0118245j -0.000489059-0.0078676j -0.00923617+0.00717666j 0.0101125-0.00592618j 0.00620852-0.00112355j 0.000729672-0.0154063j 0.00430943+0.00119408j 0.0131776+0.00101942j -0.00640045-0.00635933j 0.00994293-0.0154194j -0.00091998-0.00590639j 0.011973-0.0119828j -0.0145517-0.0198767j 
0.00100498-0.0135755j -0.00360087+0.00078312j -0.000114462+0.00959841j -0.00457719-0.00501522j 0.00188388-0.0121217j -0.00387664+0.000960229j 0.0147196+0.00882388j -0.00172343-0.0142872j -0.00848738-0.00450223j -0.0072945+0.00465383j -0.00485293+0.0101028j -0.00373004-0.00145035j 0.0268899-0.000791927j 0.00151452+0.0170149j -0.0220305-0.00242683j -0.00172003+0.00163147j -0.0139171-0.00242115j 0.00241697+0.00059685j 0.000850589+0.00749305j -0.00211382+0.00192484j 0.00594193+0.00135905j 0.0028931+0.00260532j -0.00126496+0.0025631j -0.000338688+0.00209034j -0.0182988-0.0157638j -0.0142462+0.00549967j 
0.0190129-0.00293072j -0.00717934+0.000281049j -0.0128062-0.00571351j 0.00140183+0.000234243j 0.0143298+0.015251j -0.0049162-0.00762535j 0.00750719-0.00722624j 0.00133096+0.0040939j 0.00440204-0.0123275j -0.00241077-0.0110796j -0.0108625-0.011414j 0.0036622+0.000329664j -0.000727287+0.0213416j -0.0169821+0.00486196j -0.00302963-0.0131213j 0.00763294-0.00640092j -0.0182947+0.00046454j -0.00622017+0.00213713j -0.00096897+0.00765242j -0.0137254+0.00101017j -0.0124015+0.00369952j 0.0126565+0.00383151j -0.000938502+0.00520971j 0.00976343+0.00339832j -0.00799306-0.00404796j 0.0148684+0.00635687j 
-0.00251772+0.00132336j -0.00919387+0.0020719j 0.00588729-0.00671611j -0.000798751-0.000395634j -0.0226744+0.0105204j 0.00978624-0.00685793j 0.0176858-0.00368292j -0.0106224-0.00581275j 0.00371525-0.00244573j 0.0143749+0.00174276j 0.00929056+0.00534892j -0.0117837-0.00848588j -0.0136156-0.000257495j 0.00110718+0.00875374j 0.00159702-0.00610956j 0.00801536+0.00226137j -0.0061348+0.000544997j 0.00333635+0.00307559j -0.0082188-0.00247207j -0.00547091+0.0003315j -0.00115664+0.00618454j 0.00122431-0.00329426j -0.000773106-0.00932225j 0.0107292+0.00417938j -0.00378653-0.0198119j -0.00379751-0.00647231j 
0.0153077-0.00742669j -0.00164686-0.00794035j 0.000468993+0.00445149j -0.004465+0.00081981j 0.00114322-0.0214258j 0.00203869+0.00801641j 0.0050007+0.00949512j 0.0068239-0.00751202j 0.011395+0.000275832j -0.00248541+0.0113836j -0.00661868+0.0091643j 0.0132667-0.00995744j -0.00807058-0.0130356j -0.0222524-0.00458848j 0.0109037+0.000113396j 0.00448208+0.00164826j -0.00882758-0.002026j -0.00445791+0.00210264j 0.000726106-0.00573658j -0.0117366-0.00356819j -0.0109779+0.00244798j 0.00938748+0.00200833j 0.00945032-7.79291e-06j 0.00739952+0.0081266j 0.0113043+0.00198982j 0.0172706-0.00321281j 
0.00256723+0.0106943j 0.00510271+0.00826969j -0.00146034-0.00131807j -0.00866373-0.00560217j 0.0138523+0.00019889j -0.00122282-0.00949493j 0.00111377-0.00954078j 0.00300063+0.00255675j -0.0137854+0.00761069j -0.00329036+0.00290422j -0.0109929+0.0169673j -0.0145684+0.00403475j 0.00796706-0.00500692j 0.0103277-0.0118105j -0.00286544-0.00139175j 0.0155585+0.00379054j 0.0010961+0.000100761j -0.00246638-0.00882204j -0.00168101-0.00579918j -0.0119601-0.00766172j 0.00316144+0.00442272j 0.00085235+0.00356969j 0.00192068-0.0162931j 0.0173062-0.00475736j -0.00576907+0.00249092j 0.0135669-0.00752623j 
-0.00297786+0.00132762j -0.000540566+0.003504j 0.00773886-0.00350856j -0.00678759-0.00704622j 0.0169949+0.00469725j 0.0078359-0.00349453j 0.00835094-0.00135799j 0.000225162+0.00110183j 0.00196926-0.0120748j -0.0122633-0.00142588j -0.0232363-0.00434742j -0.00265046-0.0133481j -0.00520525-0.00631564j 0.0147448+0.0036132j 0.0126847+0.00471389j -0.00934893+0.00778368j 0.0080339+0.00633476j 0.0163367+0.00637059j -0.000791278-0.00452972j 0.0112241-0.000919548j -0.0021083+0.00542592j -0.00979637-0.00935354j 0.0168976+0.0050412j 0.00643763+0.016681j -0.000143831-0.00639517j 0.000881242+0.00432355j 
0.00675868+0.00842254j 0.00283687+0.00676273j 0.0019011+0.0102125j 0.00494592-0.0165579j -0.00310775+0.0222505j -9.68649e-05+0.00613058j 0.00108023+0.00382149j 0.000745248-0.000818139j 0.00680371+0.0190883j 0.00392351-0.00844997j 0.00680537-0.00737397j 0.0118988-0.0022521j 0.0168294-0.0142683j -0.00333577-0.00141777j -0.00640907+0.0120331j -0.00161091-0.000785619j -0.00761649+0.00498308j -0.00146069+0.00902195j 0.00456318-0.00720556j -0.00323946-0.00273602j -0.00328691+0.00504655j 0.00638432-0.00660997j 0.00368326+0.00303752j -0.00526953+0.0063717j 0.00499816-0.00652718j -0.000577191-0.0114846j 
0.00749865+0.00528838j 0.000332171+0.00161294j -0.003559-0.000964244j -0.000828869+0.00333159j 0.00322992+0.00907634j -0.00309478-0.00823111j 0.000434839+0.000409752j 0.00226816-0.00540142j -0.0011368+0.0120321j -0.000688731-0.000993806j -0.00280785-0.00192579j 0.000816062+0.0124917j 0.00554617-0.0104477j 0.0060099-0.0035233j -0.000849175+0.01196j -0.00281033-0.00889286j -0.00344716+0.00580326j 0.00145656+0.0141574j -0.00111432-0.000521705j -0.00033479+0.0098931j -0.00304808-0.00458467j 0.00332182-0.00893365j -0.00227931+0.0100477j -0.00449613+0.00565775j -0.00237724-0.000853085j -0.00291334+0.00156219j 
0.00685613+0.0100836j 0.0014851-0.00312557j -0.00400405-0.0100667j 0.00498051+0.0158804j -0.00365953-0.0156427j -0.00616752-0.01321j 0.00339397+0.000953145j 0.000681549-0.00718468j -0.00208898+0.00236784j -0.003223+0.0131289j -0.000627051+0.0136909j -0.00462642+0.0166308j -0.00483275+0.012371j 4.08746e-06-0.00481289j 0.00386916+0.000564601j -0.0023455-0.0055686j -0.00309224-0.00227651j 0.00434157+0.0168238j -0.00395919-0.00199713j 0.000846793+0.00557538j -0.00589443-0.0024123j 0.000934702-0.00934231j 0.000228374+0.00698449j -0.000415936+0.00333675j 0.00454346-0.00829212j 0.000257192-0.00715321j 
-0.00581709-0.00119718j -0.000673606-0.00348603j 0.00204851+0.00484426j 0.000341759-0.00646165j 0.000620477+0.000373693j 0.00434578+0.011697j 0.00175221+0.00953066j -0.0020981+0.00584275j 0.00315506-0.0115595j 0.00204877-0.00513964j -0.0021304-0.00926122j 0.00140683-0.0158049j -0.00285701+0.000232713j -0.00243463+0.0131698j -0.00256703+0.000545089j 0.000519982+0.00423851j 3.33536e-06-0.00126349j -0.00450881+0.000539243j 0.00388599-0.00359436j -0.000867262-0.00305635j -0.000712078+0.00326025j 0.0044404+0.000288345j -0.00041665+0.0012613j -0.00174402+0.00541274j 0.0038395-0.00443575j 0.00280115+0.0013456j 
-0.00527139-0.00111995j 0.0075484-0.00428332j 0.0131767-0.000990278j -0.0176993+0.00664999j 0.0229161+0.000201178j 0.00920778-0.00377539j -0.0019984+0.00591995j -0.00120828-0.00398257j 0.0108413+0.00443239j -0.0102928-0.00993499j -0.0024003-0.00275407j -0.0146038-0.00211307j -0.0163034-0.0116187j -0.00225421+0.00524176j -0.000273224+0.00313109j 0.00941346-0.00848609j 0.00671237+0.00116207j -0.0125765+0.00641089j -0.00378988+4.01794e-05j -0.0145+0.00772163j 0.00729715-0.0050167j 0.00560572-0.00128109j -0.0164983-0.000977889j -0.00342388-0.000768327j 0.00191131-0.00189179j -0.00764165+0.00213771j 
-0.0149893+0.00369832j -0.00597598-0.00480386j -0.00956146-0.00115649j 0.0021142-0.000321611j 0.00967001-0.000107036j -0.0196839-0.000115664j -0.00986108+0.00609671j -0.0187191+0.00227628j -0.00200473+0.00286894j 0.00581872+0.000570897j -0.00267748+0.00729857j 0.0049611+0.0041677j -0.00598391-0.0018099j 0.00520869+0.00261827j -0.015921-0.00398535j -0.00374201+0.00347445j 0.00826103-0.00210252j -0.00640793+0.00512071j 0.0107974-0.000182804j 0.0131382+0.00225534j -0.00980099-0.000241321j 0.00732154+5.43591e-05j -0.00680669-0.00962078j 8.07723e-05+0.00641774j 0.00763262-0.0112486j 0.0113568+0.00397976j 
0.00980012-0.0130403j 0.0105408+0.00118533j -0.00364708+0.00323193j 0.00364636+0.00137014j 0.0113312+0.00923039j -0.0173897-0.0052829j -0.00320477-0.00381268j -0.012249-0.00986828j 0.0172401+0.00921392j 0.0074327+0.000812167j 0.00739404+0.00304006j 0.0134668+0.0035171j -0.00428959-0.0114784j -0.0118593-0.00362879j 0.00911926-0.00614752j -0.0013289+0.00105331j 0.00650888+0.00719814j 0.0142689-0.0107962j -0.00570147+0.00593828j -0.00121338+0.00298282j 0.000657968+0.00274645j -0.0118676+0.00219277j 0.00353245-0.00788629j 0.00672088-0.00159957j -0.00548085+0.00113835j -0.00964572+0.00402757j 
-0.00412223-0.00171448j 0.00442204+0.00132242j -0.00597607-0.0016869j -0.00847995-0.00097709j -0.0104295+0.00463245j -0.0069374-0.00746812j -0.0172343+0.00547561j 0.00757743-2.75435e-05j -0.0195812-0.0135941j 0.0168438+0.011502j -0.00519096-0.00210315j 0.00122809-0.00379253j 0.00970884-0.00243601j -0.00594374+0.0029562j 0.00906927+4.0774e-05j 0.0150951+0.00545802j 0.0135555+0.0137517j 0.00188336+0.00930944j -0.000968275-0.00336138j -0.0194517-0.0114516j 0.00440798+0.0042502j -0.000152117-0.00420662j -0.000402271-0.00313434j -0.00185452+0.0159432j 0.00518612+0.000538441j -0.0021367+0.00715136j 
-5.12749e-05+0.00695065j 0.00882245-0.002723j 0.00317965+0.0020024j 0.00697363-0.00615557j 0.01106-0.0123914j -0.0112561+0.00653275j 0.000656158-0.00278173j -0.0168036+0.0161042j 0.01722-0.0100971j -0.00144376+0.00348879j 0.0126943+0.00288135j 0.00272572+0.00012638j -0.00123543+0.00738197j 0.000503803+0.00301773j -0.0035878+0.00787258j 0.00558289+0.00501245j 0.000722441+0.0023039j 0.00407237+0.00697076j -0.000933106-0.00454115j -0.00295893-0.00959342j 0.000112427+0.00602045j -0.00190148-0.0062082j -0.00805609-0.00186902j 0.00202359+0.00144867j -0.0100925-0.00853815j -0.00537708-0.00336206j 
-0.00161139-0.00327037j -0.00668351+0.0108593j 0.00185206-0.000773402j -0.00133609-0.00145734j 0.00232918+0.00170278j 0.0156807-0.0185969j -0.0032272-0.00804079j -0.00463434-0.00251766j 0.0162043+0.00859717j -0.0186944+0.0124223j 0.00233313-0.000848055j 0.000768874+0.00217889j 0.000447235+0.00282262j -0.00676764-0.00725175j -0.00871008+0.00352845j -0.00721097+0.017994j -0.0122604+0.00996128j -0.0101996-0.00303668j 0.00559575+0.000359009j 0.0131381-0.0192033j -0.00486826+0.00846225j 0.00440433+0.00375581j -0.000358516-0.00564761j -0.0142759-0.00129384j 0.00409661-0.00580002j -0.00861205-0.00712921j 
