0.0099587-0.0015041j -0.00248203-0.0103337j -0.00144858-0.0063754j 0.00603835-0.00112919j 0.00128917+0.00167601j -0.00288591-0.00318534j -0.00412526+0.00340327j -0.00123942-0.00212894j -0.000653436-0.00029204j 0.00129428+0.00052391j 0.00118154-0.00149056j -0.000205377+0.00569692j 0.00765907-0.00173399j 0.00249315+0.00727634j -0.00160473+0.00174839j 0.00165157+0.000498324j -0.00332352-0.000785941j 0.00127216-0.000241651j 0.00105655+0.00611824j 0.00199514+0.00150787j 0.000894719+0.00451696j 0.000277182-0.00307402j 0.00256642-0.00108247j -0.00321135-0.0045879j 0.00205154+0.00494679j -0.00134062+0.00155769j 0.00113096-0.00232805j 0.00166978+0.00358867j 0.00596821+0.00162132j -0.00210188+0.000482706j -7.00866e-05-7.15101e-05j -0.00181735+0.00546386j -0.00207368-0.00374599j 0.00059723-0.000319656j -0.00409213+0.00184493j -0.00393307-5.28487e-06j 0.000792901+0.000832284j 0.00702337-0.00237837j 0.00629667+0.00143181j -0.000518093-0.00185514j -0.00447083-0.00470922j -0.000590551+5.3424e-05j -0.0037001+0.0022772j -0.0027552+0.00077333j -7.73761e-05-0.00131029j 0.00117784-0.00310848j -0.000429131+0.00190815j 0.00056598-0.000706917j 0.00068404-0.00443371j 0.00330515-0.000230476j 0.00200806-0.00332764j -0.000271757+0.000122518j 0.000713801+0.000589488j -7.63799e-06+0.00168888j -0.00625374-0.00469996j -0.0125866+0.00441132j 0.00703341+0.014843j -0.00627333+0.002283j 0.0028774-0.00723308j -0.000457315-0.00567323j 0.00477322+0.00325415j 0.000426872-0.00296977j 0.00410672+0.00361918j -0.00153231-0.00384521j -0.00486816+0.00817118j -0.00992163-0.00586659j 0.00487824-0.00464725j 0.0150657-0.0173569j 0.0155881+0.0168474j 
0.00247842+0.00788742j 0.00653511-0.00273695j 0.0043907-0.00549389j 0.006443+0.00386062j -0.00623127+0.00338683j 0.00404913+0.00175981j -0.00271404-0.00216376j 0.00119469-0.00571156j -0.00238588+0.00188001j 0.00116496+0.00119037j 0.003537+0.00396397j -0.00401699+0.00220923j -0.000152357+0.00669932j -0.00626423+0.00127267j -0.00520809-0.00126333j -0.00161772+0.000986079j 0.00180979-0.000131923j 0.000222705+0.00273811j -0.0048628-0.00214483j -0.00281185+0.000850457j 0.000151552+0.00292543j 0.00497745-0.000978469j 0.000175411+0.00202665j 0.00422554-0.00291645j -0.00440702+0.00247974j -0.00210531-0.000108838j 0.00424245+0.000723636j -0.00105137+0.00143252j 0.000144024+0.00584099j -0.00159907-0.00233083j -0.0010214-0.000417906j -0.00516885+0.000233357j 0.00380659-0.000482686j -0.000856662-0.000781824j -0.00278963-0.00217269j 0.00077483-0.00351678j 0.000811974+0.00319367j 0.00153671+0.0050527j 0.000134751+0.00600187j 0.000509067+0.00213806j 0.0047929-0.00256048j -0.00100989-0.00173561j -0.00426659-0.0043904j -1.16757e-05-0.00475219j 0.00113652+0.000196395j 0.00352726+0.000719492j -0.00274823+0.00157691j 0.00585663-0.00080019j 0.0016507-0.000968156j -0.000608465+0.00420897j 0.00655276+0.0034769j -0.00359191-0.00100086j 0.00314541-0.000320278j -0.00227612-0.00359174j 0.000933799-0.00605395j -0.00631321-0.0125065j -0.0151351+0.00680272j 0.00110785-0.0049909j 0.00505262+0.00881689j 0.00174474-0.00179457j -0.00474188+0.00198398j -0.0011787+0.00412502j -0.00663353+0.00600984j 0.00782349+0.0014354j -0.00543605-0.0101535j -0.00231502-0.00904679j 0.00539025-0.00412484j 0.0113743+0.0177698j -0.0184961+0.0121779j 
0.00483345+0.00161081j -0.000302623-0.00506685j 0.000604481+0.00101628j -0.00197412-0.00124733j 0.00422842-0.00028188j -0.00324902-0.00327487j 0.00336937+0.00464908j -0.00155392+0.00284083j 0.0018456-0.00216212j -0.0031568+0.00269064j 0.00509838+0.00315846j -0.00743514+0.00351011j 0.00652061-0.0003399j 0.00255198+0.00720951j -0.00550932-0.000972551j -0.00152749+0.00339706j 0.000693791-0.00352083j -0.0042824-0.00148783j -0.00238543+0.00285576j 0.00273143+0.00173344j -0.00631289+0.000493914j 0.00232837-0.0012962j 0.00147937+3.38853e-05j 0.00342976-0.00112305j -0.00478888+0.00502882j 0.000545341+0.000197817j 0.00467004+0.0010885j -0.00369819+0.00138331j -0.000296474+0.00189653j -0.00293345+0.000877459j 0.00123034+0.00173715j -0.00543145+0.00338684j -0.00136617-0.00221185j 0.00327278-0.000996413j 0.00137504-0.000105559j -0.00163555+0.000109095j 0.00199262-0.0014487j 0.00336668-0.000562477j 0.00128323-6.29664e-06j -0.00100594-0.00257515j -0.00541763-0.00575419j 0.00198777+0.00157547j -0.00298978+0.00396497j 0.00204267+0.00179848j 0.00680308-0.000793542j 0.00227792+0.00127241j 0.00236658+0.00295258j -0.000817809-0.00101935j 0.00788877-0.000830458j 0.00143292-0.00490794j 0.0062839-0.00209465j -0.000806651-0.000823951j -0.00726962+0.000730026j 0.00103508+0.00452956j -0.000277053+0.00439169j -0.00199404-0.00128336j -0.00827918+0.00333992j 0.00138666-0.00115697j 0.0109537+0.000996317j 0.00341084-0.000749144j 0.00287816+0.00760152j 0.0115035-0.00246131j 0.00151036+0.00119109j -0.00055415-0.00368693j -0.00245748+0.0118379j 0.00576187+0.0117469j -0.0146863-5.95666e-05j 0.00546344+0.00185781j -0.00792823+0.0076347j 
0.000454121-0.00332674j -0.00186106-0.00254441j 0.000940526+0.00183171j -0.00438673-0.000176561j 0.00269127-0.00265609j -0.00209228-0.000792149j 0.00273853-0.000200113j -0.00106407+0.00039012j -0.00229238+0.00234935j 0.000802227+0.00415561j 0.00406069-0.00571911j 0.00344512+0.00371133j -0.000195193-0.00494741j 0.00299802-0.00231034j -0.00151032+0.00667692j 0.00284202+0.00150316j -0.00261281-0.00284584j 0.000914804-0.00046184j -0.0051164+0.00121466j 0.00231521-0.00295808j -0.00137183+0.00351535j -0.00402755+0.00196845j 0.0023129+0.00127286j -0.00286321-0.00211241j 0.00366719+0.00306399j 0.00185626-0.000139046j 0.000638338-0.00521453j 0.00126224-0.000297566j 0.00267091+0.000285156j 0.00328834+3.32073e-05j -0.000637547+0.00189581j 0.000641507+0.0040041j -0.0028771+0.00076749j 0.000770446-0.00161931j 0.000263931-0.00174236j 0.0030011+0.000727802j -0.000800562-0.00356986j 0.0022881-0.00460807j 0.0021241-0.00510948j -0.00147926+0.000826016j -0.00562582+0.000935226j 0.000713304+0.00335793j -0.000699597-0.00175877j -0.000204688-0.00191752j -0.00294752-0.00369995j -0.00356434-0.000315288j 0.00189361-0.00127417j 0.00159303+0.000756815j 0.000314264+0.0011302j -0.00423698-0.00128128j 0.00538464-0.00456754j -0.00206725+0.00726723j -0.00299701+0.00282411j -0.000816128-0.000195391j -0.000411724+0.00125421j -0.0099039+0.00297805j 0.00110845-0.000593741j -0.0129677-0.00871688j 0.00672509-0.00500674j -0.00920325-0.0104461j -0.00285699-0.00713679j 0.000677752-0.000563001j -0.00349621-0.00988747j -0.0027451+0.0013334j -0.00454859-0.00606981j 0.00660623+0.00186153j -0.00681029+0.0071295j 0.00419058-0.00780579j 0.00164652+0.0019012j 
-0.00149969+0.00349373j 0.00391367+0.00197594j -0.00298619+0.00261304j -0.00170616-0.00447047j 0.00220044+0.00246885j 0.0016377+0.000246224j 0.00175974+0.00461082j -0.00400341+0.00266213j 0.00244798+0.00191428j -0.0041956+6.78942e-05j 0.00310533+0.00611387j -0.00369385-0.00272335j 0.00244335+0.00408062j -0.00226794+0.000155409j 0.000786195-0.0043864j 0.000668221+0.00036422j 0.000209359-1.55094e-05j 0.00177443-0.00205184j -0.000598214-0.00340476j 0.00338104+0.00390284j 0.0018953-0.00351201j -0.00089127+0.000389426j 0.00354675-0.000843584j 0.000426593+0.00351497j -0.00131655+0.00149485j -0.000545658+0.00418643j -0.00421916-0.00123781j 0.000750031-0.00444134j 0.00164209-0.00298729j 0.00195779-0.00130237j -0.00412411-0.000196854j -0.00359022-0.00116855j 0.00187105-0.00274144j 0.00265902+0.00276415j -0.000125979+0.00611917j -0.00448627+0.00387139j -0.00118905+0.00171051j 0.00401046-0.0027036j 0.00400858-0.0015765j 0.00502884+5.07725e-05j 0.000214216-0.00808391j -0.00336494+0.00400989j -0.000499235+0.00193924j -0.00389673+0.00374124j 0.000645362+0.00533871j -0.00446307+0.0012965j -0.00387076+0.00439123j -0.00134943-0.00563221j -0.00248249+0.00449648j 0.00983303+0.00124126j 0.00020831+0.00751468j -0.000464369-0.00521692j -0.000862797-0.00671242j 0.00103897+0.00541584j -0.0151865+0.00843205j -0.00995563+0.00413546j 0.00650308+0.0018064j -0.00472488-0.00205258j -8.86062e-05+0.00174481j -0.00478136+0.000316171j 0.00244621-0.00460008j 0.0021743+0.00985j -0.00167358+0.00130639j -0.00240838+0.0038132j -0.00560058-0.000743357j -0.0206893+0.013066j -0.00503075-0.0205153j 0.00206125+0.00329388j 0.00126846-0.00208102j 
0.00248861+0.000336402j 0.00153049-0.00184188j 0.000824933+0.00235758j -0.00218581+0.000237929j 0.000641174-0.00184245j 0.00302003-0.00110254j 0.00153995-0.00508883j 0.00344044+0.00344792j 0.000979998+0.00124996j 0.0040428+0.00246074j 0.00523665-0.00592225j -0.00126285+0.0037155j 0.00288293-0.000876352j 0.00158391-0.00322423j -0.00167358-0.000501645j 0.00226456-0.00345511j -0.000177238-0.00118637j 0.00131933-0.000990852j 5.57349e-07-0.00313864j 0.00342977+0.000170538j -0.00474361+0.00177896j -0.00272755-0.000235891j 9.97516e-05-0.00157794j -0.000415899-0.000724421j 0.00177234+0.00246046j 0.00538332+0.000455946j -0.000308775-0.000455978j -0.003888-0.000273866j -0.005167-0.00129265j -0.00039809-0.00194377j -0.00181183-0.000347967j -0.0013528-0.000607386j -0.00574755+0.000494699j 0.00310863-0.00106586j 0.00380869+0.00125257j 0.00489038+0.00558799j 0.00372277-0.00139341j -0.000444243-0.00019734j 7.94856e-05-0.000955956j -0.0005428-0.00710672j -0.00420202-0.000227965j 0.00263312+0.000914124j 0.00215747+0.00263851j 0.0100509+0.000508858j 0.00648865-0.00233633j 0.00174351+0.000663466j -0.00040493-0.000357872j -0.00321023+0.00748607j -0.00196473+0.00699008j -0.00524263-0.00668711j 0.00793456+0.00749992j -0.00527875-0.00203927j -0.00627594+0.00199039j 0.00844013-0.00276706j 0.00694291+0.00734153j 0.00153689+0.00286827j 0.0176006+0.00149756j 0.00146737-0.000681513j -0.0109922-0.0057047j 0.00608646+0.00571749j 0.00114257-0.00995018j 0.0013386-0.00468114j 0.00509161-0.000483199j 0.000287925+0.00412082j 0.0145865-0.00157423j 0.00735773+0.0114689j -0.0106835+0.00449693j 0.00193866+0.00130926j -0.00183627-0.000391872j 
0.00565103+0.000573703j -0.00391249-0.00255932j -0.00199653+0.00447793j 0.00185976-0.00414487j 0.00299058+0.000255218j -0.00166595-0.00569851j -0.004987+0.00635494j 0.0011992+0.000194781j -0.00177731-0.00489782j 0.00300478+0.00232235j -0.00298486+0.00621048j -0.0035887+0.00171859j 0.00541761-0.000977626j -0.00420113+0.00281482j -0.00323986-0.00818265j 0.00117973-0.00190636j 0.00220074-0.00462673j 0.0041608-0.00496716j 0.00090458-0.00297379j 0.00199594+0.002559j -0.00262299-0.0012257j 0.00117156+0.00276952j 0.00160415+0.000476522j -0.000340546-0.000133768j 0.00309096+0.00143189j 0.0067215+0.00338871j -0.000128208+5.68341e-05j -0.001781+0.000489337j 0.00123651+0.00107294j -0.00106366-0.000590616j 0.000676851+0.000645333j 0.00051695-0.00116899j -0.00192337-0.00293456j 0.00257004+0.00256673j 0.00416658-0.00123343j -0.00128119+0.000825003j 0.000201769-0.00634564j -0.000599211+0.00362718j 9.56083e-05+0.00287875j 0.00199233-0.00443854j -0.00267583-0.00864453j -0.00114795+0.00278568j 0.00125363-0.00154984j -0.00201659-0.00482814j -0.000286013-0.00776089j -0.00684082+0.00258624j -0.000198691+0.00560068j -0.00233887-0.00184719j 0.00144332-0.000552661j 0.0015269+0.00155701j 0.00389769+0.00472484j -0.0038458+0.00720759j -0.00871733+0.00177845j -0.000643094+0.00316752j 0.00422525+0.00221241j 0.00435646-0.00665127j 0.001383-0.0090699j -0.000111628-0.0106218j 0.00345288+0.0114998j 0.00908119-0.00432217j -0.00760567-0.00410976j 0.00113161-0.0077326j 0.0138359+8.66656e-05j -0.00105651-0.00360707j 0.00726933-0.0141542j -0.000359073+0.00490412j 3.05337e-05-0.00341096j -0.00214317+0.00954041j 0.0054063+0.000831822j 
-0.00344378+0.00147588j -2.49603e-05+0.0020504j -0.00543286-0.000592934j -0.000193128-0.0021106j 0.0021002+0.00152732j -0.000683863+0.00423221j 0.000591426+0.00153624j -0.00469788-0.00193994j 6.61015e-05-9.22966e-05j -0.00452488+0.00417873j 0.00016256+0.00292315j 0.000312528+0.00407824j -0.000541444+0.00291753j 0.00289991-0.00486196j 0.00404757+0.000268913j 0.00108395+0.00433476j 0.00218311-0.001496j 0.00215675+0.00680346j 0.000380762-0.00199936j -0.000765102+0.00166226j 0.00420512+0.00520464j -0.00439284-0.00233855j 0.00402458+0.00577618j -0.000933567-0.00273554j -0.0015204+0.00807223j -0.00516454+0.00471592j 0.00107844-0.00957155j 0.00409432+0.00130649j 0.00430356+0.00227268j 0.00226195+0.00292637j -0.000616505-0.00125659j 0.00283125+0.00425229j 0.00378307-0.00280003j -0.00341643+0.00012012j -0.00283146+0.000739388j -0.00332757+0.00300537j 0.00295514-0.00165247j -0.00139342-0.00364511j -0.001958-0.00252755j 0.00272508+0.00314727j 0.00229038-0.00427685j -0.00169646+0.000842887j 0.0050982+0.00353322j 0.00364608-0.00290266j 0.00714148-0.00506246j -0.003891-0.00661746j -0.00712399-0.00399136j 0.00383923-0.000932649j 0.000125044-0.00247282j -0.00445352+0.00293397j -0.00570417+0.00186059j -0.00547818-0.000639951j -0.00213201-0.00229114j 0.00307594+0.00575524j -0.00228892-0.00197397j 0.00156611-0.0066448j 0.00467973+0.0152678j 0.00983617-0.0119043j 0.00140275-0.00300561j 0.00476034-0.00268922j 0.0125279-0.00504426j 0.00044082-0.00271461j 0.000162004-8.42207e-05j -0.00755031-0.00252957j 0.0223507+0.00735615j -0.00171541-0.00418925j 0.00227202-0.00479266j -0.00757447+0.00183236j -0.00143121+0.00869918j 
0.00416317+0.00384553j 0.00205548-0.00186276j 0.000868753-0.00228131j 0.00557646+0.00220105j -0.00415344-0.000283848j -0.00305145+0.00329186j -0.00164164+0.00102282j 0.00368542-0.00383125j -0.00446834-0.00292858j -0.00261523+0.00184637j 0.00281891+0.00202695j -0.000285985+0.00548998j 0.00145358+0.000162834j 0.000196225+0.00157139j -0.0030739-0.00419255j 0.00155124-0.00035336j 0.00119547+0.000899024j 0.00235272+0.00205377j -0.00419157+0.000859372j 0.00117231+0.000132755j 3.81432e-05+0.000920189j 0.000675383-0.00275804j 0.0010721+0.00234661j 0.00139358-0.00151012j -0.00463764-0.0029998j 0.000992478+0.000362799j 0.00163669+0.00140067j 0.00455565+0.00320021j 0.00483562-0.000562213j -4.00479e-05+0.00269444j -0.00149617+0.00153113j 0.00313785+0.00291353j 0.00324213-0.0029344j 0.00352668-0.000776899j 0.000920857+0.000353894j -0.000193259+0.0122409j 0.00279686+0.00736208j 0.00116935-0.000496975j -0.000491163-0.00298407j 0.00353348-0.00567153j -0.00442545+0.000948808j 0.000622541+0.000449695j 0.0019517+0.000639146j 1.75544e-05+0.0031053j 0.00161878+0.00906424j -0.00295881+0.00610942j -0.00575274-0.00881889j -0.00471908+0.00180346j -0.00259055+0.00252947j 0.00118428-0.000805705j -0.00535391+0.00170612j -0.00103081+0.000369778j -0.00146638+0.000592591j 0.00645628+0.00696395j 0.00222495+0.0106969j 0.0020158+0.0171829j 0.000354473+0.00170624j -0.00106787+0.0100442j 0.00128939-0.00165079j -0.00554479+0.00921243j -0.00528168+0.00255267j -0.00072436-0.0083025j -0.002994-0.0124165j -0.00698346+0.00187414j 0.000272453+0.0144726j -0.00381349+0.00353883j 0.00387496+0.000380893j 0.00125658-0.0034143j 0.00187007+0.00252507j 
-0.00194384-0.00112057j -0.00316424+0.00227474j -0.000677387+0.00219319j -0.000475523-0.00110815j -0.000125886+0.00124822j 0.00220833-0.00314239j -1.03704e-05-0.00688817j 0.00219004+0.000991042j -0.00222953+0.00193546j 0.00338254+0.00591534j -0.00214491-0.00601098j -0.00012796-0.00102815j -0.00425233-0.000614681j 0.00115959-0.00500582j 0.00105883+0.00384138j 0.00510994-0.00409583j 0.00115307-0.00279555j 0.000981381-0.000600851j 0.00405192-0.00341674j 0.00144857-0.000251658j 0.00017265+0.000488709j -0.000121962-0.00121977j 0.000510408-0.000367859j 0.0021735-0.00409313j 0.00227694+0.00636878j 0.00106575+0.00146383j 0.00275348-0.00578787j -0.0019572-0.00437593j -0.00196519-0.00201347j 0.00772523-0.00276953j 0.000616428-0.00184301j -0.00226611-0.00474037j -0.000566211-0.00341655j -0.00276297-0.00188285j 0.00420765-0.00169487j 0.00329185-0.00163387j 0.0033048-0.00381299j -0.00239758-0.0033485j -0.00373812-0.00232975j 0.00253758-0.00169746j 0.00588785-0.000621929j -0.00542935+0.00609391j 0.000508355+0.00123459j -0.00575054+0.00574228j 0.00534081-0.00145908j 0.00192015+0.00144117j -0.00450551+0.00972262j -0.00167549+0.00354272j -0.00102079+0.00291943j 0.00700812-0.00385578j -0.00204276+0.00297025j -0.00171099-0.00411176j -0.000520828-0.00156023j 6.37197e-05-0.001193j 0.00441421+0.013217j 0.00678513+0.00610534j -0.014566+0.00902577j -0.00371144-0.000828349j 0.0088127-0.00792329j -0.00655091+0.00356199j -0.00241319-0.00191563j -0.00144633-0.0050306j -0.0111697+0.0115914j 0.0105197+0.00622636j -0.00248539+0.00258592j -0.00158923+0.00563183j 0.00485258+0.00158645j 0.00120024+0.000169982j -0.00710479+0.00366083j 
-0.00149881+0.000865282j 0.0012664+0.00186356j -0.00252587+0.00011262j -0.0008334+0.000104851j 0.00350928-0.000394084j -0.00343334-0.00158076j -0.00344535+0.00154738j 0.00188995+0.00234562j 0.00207575-0.00280462j -0.00229939+0.00142673j -0.00408594+0.00437607j -0.00618818+4.61556e-05j -0.000854109+0.00256773j 0.000707282-0.000247955j 0.0043579-0.00250072j -0.000148536+0.000919214j -0.00106555+0.000719785j -0.00293524+0.00284945j 0.00305613-0.00292085j 0.00105103-0.00255728j -0.0024137+0.00100763j 0.00209417-0.00103651j -0.00159053+0.000921878j 0.000739894+0.000430184j 0.0044603+0.0063305j 0.000593112+0.00262531j -0.00044513-0.0032336j -0.00513711+0.000529349j -0.00153486-0.000440075j 0.000860912-0.0022164j -0.00135406-0.000876724j -0.00595523+0.00519429j -0.00132628+0.00111927j 0.00328659+0.000311552j -0.000655502+0.00207984j -0.00899907+0.000257137j -0.00557889-0.00132636j -0.000769959-0.00170106j -5.20536e-05-0.00402248j 0.00687142+0.00198625j 0.000447224-0.00388705j -0.000657155+0.00259846j 0.000833909+0.00599514j 0.00224896+0.00669729j -0.00115588+0.000375125j -0.0034784-0.000343947j 0.00705338-0.00143162j 0.0021205+0.00240518j -0.00548874-0.00235188j -0.00456773-0.00810283j -0.00191538-0.000299052j -0.00308213-0.00552505j 0.00247313-0.00227186j -0.00374918+0.00870244j 0.000970985+0.00511908j 0.00265638+0.00495639j -0.0048439+0.0111625j -0.00435227+0.00267057j -0.000278029-0.0104773j -0.00657392+0.00273655j 0.007133+0.000127158j 0.0023869-0.00420209j 0.00570626+0.00915284j 0.00717723-0.00753909j -0.000752412+0.0136294j 0.000589676+0.00468511j 0.0002442-0.00148012j -0.00804199-0.00295699j 0.000801169+0.00115373j 
