0.00992485+0.0519974j 0.0296388+0.0386419j -0.0127595-0.0376485j -0.0156063-0.00782767j 0.0259959+0.00960544j 0.0184039+0.0242795j 0.00753002-0.00933036j -0.014397-0.00504515j 0.00333516-0.0120068j -0.0018751-0.00450462j -0.00193152-0.00357454j -0.0127377-0.00472704j -0.000158437+0.00981563j -0.00195776+0.0095299j -0.00860312-0.00828424j 0.0191476+0.00600841j 0.00130985+0.000642298j 0.00800008+0.00842164j 0.00383734+0.00959376j 0.00232628+0.00991518j -0.000373457+0.00496354j 0.00683019-0.00419004j 0.000118595-0.00224825j -0.00153417-0.00580043j -0.0038399-0.00179865j 0.00043309-0.00535572j -0.00399307-0.0103343j -0.00367029-0.00249435j -0.00323583-0.00147939j -0.00238592+0.00536703j 0.0053209+0.00210859j 0.00368414-0.00321208j -0.005071-0.00628454j 0.00336657+0.0138123j 0.0138214-0.00299713j 0.00451512+0.0159533j 
0.0518161-0.0107495j 0.0402241-0.0299554j -0.0416798+0.0133696j -0.0082814+0.0133874j 0.00814369-0.0246188j 0.0262684-0.0157674j -0.0123707-0.00708671j -0.00032602+0.0130534j -0.0126021-0.00359538j -0.00674226+0.0017308j -0.00249329+0.00216896j -0.00249838+0.0106896j 0.011353+0.0016511j 0.0118688+0.00159466j -0.00460745+0.00381412j 0.00319004-0.0187427j 0.00319061+5.542e-06j 0.00389551-0.00568699j 0.00733341-0.00178757j 0.00922342+8.74229e-05j 0.00671158+0.00143682j -0.00439294-0.0106884j -0.000392364-0.00300772j -0.00604269+0.00326772j -0.000728806+0.00284474j -0.000774505-0.00140689j -0.00791895+0.00373778j -0.00192566+0.00368519j -0.00408138+0.0073485j 0.00330677+0.00482794j -0.00372806-0.00567024j -0.000972085-0.00694728j -0.0105234+0.00606326j 0.00903025-0.00276083j -0.000360492-0.0165052j 0.0126783-0.00319766j 
0.00905415+0.0135581j 0.034361+0.00650495j -0.00234138-0.0086219j -0.0188639-0.00138771j -0.00121389+0.00586409j -0.00872753-0.0073051j -0.00278596+0.00496117j 0.00302216-0.00322736j -0.000266256-0.00492333j -0.0137343+0.00535873j -0.00364362-0.0104302j -0.00700011-0.0018577j -0.00376921-0.00229784j 0.0241436+0.0156496j -0.00213089+0.00998908j -0.0243684+0.0151252j -0.00322808+0.00444132j -0.00249345-0.00895221j -0.0027364-0.00835843j -0.00297737-0.0043909j -0.00192612+0.00734948j -0.002321+0.0100461j 0.015614+0.00500668j -0.0140395-0.000385825j 0.00407183+0.000248722j -0.0123791+0.0113139j -0.006258-0.00327713j -0.0053263+0.00405696j -0.00921891-0.0163164j 0.00849309-0.0100687j -0.00192719-0.00891259j 0.0107218+0.0142015j 0.00732287-0.0171921j 0.0170157+0.000438194j -0.0232594+0.00881501j 0.00256912-0.00637044j 
-0.00928292+0.00736519j -0.020511+0.0465375j 0.00482302-0.0040475j 0.0119154-0.0162259j -0.0126511-0.0167631j 0.00854437-0.0131295j -0.0118944-0.00875551j 0.00421233+0.00917125j 0.00910786-0.00271055j -0.00237586-0.0253567j 0.0102091-0.00101377j 0.00313712-0.0128447j 0.0042842-0.00355497j -0.00882361+0.0250478j 0.000459743+0.00323939j -0.0111753-0.0102371j -0.00543244+0.0069417j 0.00106748-0.00919246j -0.0031575-0.000871772j -0.0076181+0.0062432j -0.0010564+0.00687058j 0.00786229-0.00886243j 0.00279829+0.00132397j -0.00755606+0.00185188j -0.00458805+0.00628973j -0.00324001+0.00698328j -0.00241962+0.00277086j 0.00445812-0.00218595j -0.00337331+0.00014842j -0.00887365+0.00280063j 0.00601009-0.0119535j 0.0137168-0.00344875j 0.00129476-0.00662101j 0.00783832-0.00296181j 0.00283402-0.00797079j 0.00331144-0.00340361j 
-0.00595961+0.0129043j -0.0204252-0.00116992j 0.00370393-0.00465547j 0.00913991-0.00534094j -0.0258942+0.00983152j -0.000609151+0.00437571j -0.00365812+0.00840145j 0.0108295-0.00586197j 0.00392186-0.00912768j -0.0157444+0.0112135j 0.0102711-0.00241244j -0.00813131+0.00952864j 0.00489667+0.00935466j 0.0207988+0.00332234j -0.0138661-0.0132722j -0.0116116-0.0104706j -0.00641704+0.001299j 0.00290287+0.00882223j -0.00302181+0.00401051j -0.0080541+0.000428679j -6.91419e-05+0.00392565j 0.00700618-0.000528839j 7.82329e-05-0.00683177j -0.00445031-0.00268935j 0.00261438-0.00715664j -0.00201218-0.00980634j -0.0019638-0.00864287j 0.00440151+0.0103225j -0.00711831+0.005151j -0.00202428-0.00155824j 0.0023737+0.0137375j 0.00530887+0.00485923j 0.000651711+0.00528013j -0.00198766+0.0186421j 0.00755423-0.00580546j -0.00331749+0.0112288j 
0.00816486-0.00642596j 0.0149286+0.0211744j -0.00691358+0.0051346j -0.00183405-0.00546808j 0.00595872+0.00213224j 0.00113317-0.00908814j -0.00468625-0.00255603j 0.000531794+0.00940283j -0.00450433-0.00186507j 0.00042422+0.00562255j -0.0036461+0.0027292j -0.00138319+0.0152313j -3.06321e-05+0.00514267j 0.0106678-0.00692214j 0.00867573+0.00656813j 0.0108724-0.0112955j 0.00313854+0.000518843j -0.00225046-0.00982421j -0.000577479+0.00118661j -0.00515713-0.00204048j -0.00145954-0.0251409j 0.00208063+0.00399565j -0.00641109+0.0299878j 0.00168655-0.00964051j -0.00559854+0.00547166j 0.0088196-0.00787975j 0.00023244+0.00742594j 0.011631-0.0171814j 0.00907889-0.0170939j -0.0116585-0.000826322j -0.00120161-0.00542736j -0.0014491+0.0153191j -0.00284039-0.00401646j -0.0058353-0.00382302j 0.00296809+0.00415037j -0.000503379-0.00526561j 
-0.0217139-0.0238757j 0.00825994-0.0270938j 0.0258723+0.0238677j 0.000739978+0.00467094j 0.0243185-0.00385793j -0.015864-0.0211249j 0.00378198+0.00754461j -0.00644901-0.00339421j 0.0163087+0.0104123j -0.00110269-0.00330663j 0.000984024-0.00296054j -0.00704419-0.00584855j -0.00622263-0.0199359j 0.00544006+0.0112038j 0.0034123+0.00754566j 0.00295634-0.00930053j -0.0152612-0.00768374j 0.0030161+0.00111534j -0.00205291-0.00669055j -0.0117149-0.0109618j -0.0130377+0.000500498j 0.0114757+0.00147157j 0.00111131-0.00614411j -0.00421615-0.00273918j -0.00193604-0.000587604j -0.00718311-0.00777623j 0.00317639+0.00765019j 0.00123358+0.0126196j -0.00928392+0.00724965j -0.00529696-0.0016837j 0.00880249+0.00803007j 0.00911344+0.00747277j -0.00235561+0.0133856j -0.00119848+0.000681585j 0.0147616-0.00745195j 0.00335641-0.0015774j 
-0.0225775+0.00698714j -0.0064062-0.0334594j 0.0190137-0.00898435j 0.0011408+0.0148611j -0.00155621-0.0372066j -0.0113415+0.0133086j 0.00371052-0.00513174j -0.00118207+0.00574768j 0.00767786-0.00344654j 0.00174027-0.00904085j -0.00224585+0.0103027j 0.00149257-0.00351762j -0.00922281+0.0108888j 0.000478819-0.00720465j 0.00174149-0.0160537j -0.0046902+0.00188208j -0.0017451+0.00790808j -0.00247591+0.000277278j -0.00569541+0.00710622j -0.00765539+0.0104554j -0.0056086-0.00500136j 0.00318772+0.000999211j 0.00432703+0.0107417j -0.00404943+0.00472075j 2.64474e-05+0.00534242j -0.00288197+0.000664812j 0.00312961-0.00474695j 0.00553316-0.0168079j 0.002028-0.00763312j -0.0041985+0.00301078j 0.00115929+0.00209571j 0.010776-0.00447125j 0.00598584-0.0034437j 0.000467673+0.00262603j -0.00725551+0.00816562j -0.00667877-0.00146993j 
0.00595224+0.0145935j -0.0206374-0.0152474j -0.015182-0.00885484j -0.00149335+0.00959963j 0.0231197-0.00614185j 0.0151456+0.0043328j -0.00349465-0.00496023j 0.00908749-0.00386381j -0.00618606+0.00326594j 0.00737776-0.00744005j 0.00547352-0.00455674j 0.0137178-0.0109332j 0.0141363+0.00297583j -0.00462896+0.0199123j 0.000893914-0.000741936j -0.013443+0.00471976j -0.00349194+0.00219797j -0.00108525-0.000311556j -0.0100532-0.0028002j -0.00933742-0.00524504j 0.0156112+0.0077318j 0.00681982+0.00528488j -0.00927093-0.00514395j -0.00467326-0.00266681j -0.0039571-0.00475419j 0.00745525+0.00715262j -0.00139359-0.00746981j 0.0146483+0.013692j -0.000621418+0.000339206j -0.00658799-0.0138615j -0.00443913-0.00123701j 0.00504745+0.0100973j -0.000172835-0.00916203j -0.00446277+0.0042296j 0.000337887+0.00697784j -0.0051587+0.00174714j 
-0.00896331-0.00523674j 0.0146535+0.00866623j 0.00704298+0.00121282j -0.00158655+0.00155366j -0.0123221-0.014905j -0.00854537+0.00278453j -0.00313587-0.00265778j 3.90614e-05+0.0110442j 0.0072441+0.00322939j -0.0135031-0.0100411j -0.00422114+0.011235j -0.0158477-0.000383088j -0.0138322+0.00624246j 0.00958651+0.0161592j 0.00645858-0.0134699j 0.0121083-0.0104107j -0.00146308-0.00773145j -0.00163373+0.00232683j -0.00209005-0.00494063j 0.0011268-0.00737496j 0.00835857+0.00527753j -0.00508993+0.00802747j -0.0073694-0.0101106j 0.00667468-0.00257778j 0.00146081-3.42655e-05j 0.00722757+0.00460536j 0.00445957-0.00299101j -0.000330104+0.0142298j 0.0058842+0.00199793j 0.0049184-0.00696282j -0.00795861+0.00458959j -0.0101463+0.000990851j -0.000258466+0.00133991j -0.0089318-0.00356632j -0.00513254+0.00532802j -0.00488417-0.00426207j 
-0.0332726+0.012713j -0.0100253+0.00991296j 0.0258161-0.00881728j -0.0124683-0.00936293j 0.0305074+0.00562955j -0.00819447-0.00569065j -0.00401667+0.00118361j 0.00786615+0.00929127j 0.00947767-0.0155791j -0.00500097+0.00158154j 0.0167309+0.00591892j 0.0099058+0.0134075j 0.00157168+0.0102798j -0.00499659-0.0109165j -0.00601255-0.00243753j -0.0170765-0.0199148j -0.00105153+0.000583107j -0.00182369-0.00499023j 0.000149443-0.00263931j -0.00282164+0.00591651j -0.0017828+0.00817501j -0.00113713-0.00423676j -0.006038-0.00536944j 0.0057805+0.00235423j -0.00763889+0.00538131j 0.00124681+0.00570179j 0.00799118+0.00315065j 0.00342105+0.000611382j 0.0102224+0.00699046j -0.00485311+0.00213808j 0.00435745-0.00399118j -0.00054278-0.0116673j 0.00284686+0.0043414j -0.00304791-0.00980361j -0.0020473-0.00359234j -0.00251201-0.00658168j 
0.0140697-0.0284323j 0.0491614+0.0136976j -0.0113284+0.024939j -0.0105763-0.0056913j 0.00038352+0.00425374j -0.00492305-0.000879319j -0.000576848+0.00819152j 0.00908372-0.00687982j -0.0150809+0.0110286j 0.0108274-0.00855781j -0.00669539+0.000881752j 0.0211732-0.00587303j 0.00866974+0.00181733j -0.0041555-0.000399484j 0.00517459-0.023493j -0.0125698-0.00401677j 0.00194708+0.0017558j -0.00384512+0.00828959j -0.00611265+0.00647325j -0.00165861+0.00667143j 0.0106078+0.000577431j -0.00327904-0.00494592j -0.00387749-0.0105603j -0.00519189+0.00788075j 0.00055545-0.000991053j 0.0028614-0.00344773j 0.00233801-0.00542168j 0.0121098+0.00134734j -0.000214535+0.0114206j -0.000513044+0.00519192j -0.0101783+0.0117129j 0.00660783-0.010234j -0.00397234+0.00658712j -0.00359459+0.00781325j -0.00782311-0.00408503j -0.00431637+0.00289994j 
0.0256751+0.018212j -0.0247788+0.0418664j -0.00754135-0.00294639j -0.00510731+0.0048665j 0.0143792-0.0332219j -0.0155731-0.00970597j 0.00456974+0.0102171j -0.00797595-0.00753945j -0.00848798-0.00897409j 0.0036059+0.0150811j -0.00982-0.0128271j -0.00563069+0.00958927j -0.00870269-0.00528725j 0.00876508-0.00749356j 0.00923573-0.00252711j 0.00193452+0.00394531j 0.00271895-0.00536298j -0.000273103+0.00613469j 0.00192518-0.00141532j 0.00167241-0.000734535j 0.00187264+0.00349786j -0.00841256+0.0018165j 0.00662042-0.00365279j -0.00201939-0.00288429j -0.000624395-0.00140616j -0.00474187-0.00762401j -0.000566991-0.00733044j -0.00615839+0.0073795j 0.000424128+0.000407386j 0.00652108+0.00249951j -0.00836058+0.00859685j -0.00107727+0.00304537j 0.00132755+0.00551051j 0.00147519+0.0128229j -0.00953306-0.00937292j 0.00226866+0.00404844j 
-0.0144747+0.0079493j 0.0308127+0.0104277j 0.0137117-0.00544388j 0.00125611+0.0151105j -0.0215053-0.0238836j 0.00266748-0.00891397j -0.0057279+0.00609145j 0.00287226-0.00475778j 0.00656218-0.0103604j 0.00313827+0.0107659j 0.0195458-0.00828055j -0.00151792+0.000841222j 0.0072966-0.00421879j -0.0205063-0.011505j -0.0109529+0.0134746j 0.000578426+0.00923806j -0.00955631-0.00537062j 0.00264039+0.00547312j -0.000205662-0.00341779j 0.00189131-0.00401667j -0.00472759+0.00339734j 0.00636585+0.00692877j -0.00523584-0.0054522j 0.0024017-0.00566693j -0.000730108+0.00456296j 0.000978786-0.00299576j 0.00209626-0.00153117j -0.00232774+0.0065313j 0.0015437-0.00239031j -0.00246216-0.00127474j 0.00688511+0.00593122j -0.00489462+0.00175788j 0.00130897+0.00489126j -0.00486462-0.0015276j 0.00928586+0.00792669j -0.00157023+0.00248605j 
0.0278329-0.0292199j 0.00326704+0.0180021j -0.0158411+0.0124473j -0.00320018+0.0078865j 0.0107924-0.0106244j 0.00983573+0.0176817j 0.00416503-0.0103323j 0.0057009+0.000158431j 0.000450984+0.0228636j -0.00874902+0.000345771j 0.00198651+0.0160443j 0.000559631-0.0102346j 0.0131216-0.00410873j 0.0206041-0.0101994j -0.0220991+0.00641109j -0.00812908+0.00985217j -0.0110042-0.00692775j -0.000403552-0.00122489j 0.00192921-0.00252634j -0.000758036-0.00133625j -0.0125526-0.00275459j 0.00879196+0.00669136j -8.66448e-05-0.00577951j 0.00279605-0.000521329j 0.00361061+0.000336389j -0.00643797+0.00436593j 0.00220482+0.0101171j 0.000300229+0.00378588j -0.00811194+0.00160248j -0.000579705-0.0033088j 0.0123515+0.00316308j -0.00221205+0.000108562j -0.00289052+0.00215722j 0.00123612-0.0128719j 0.00608677+0.0132425j 0.000320462-0.00233744j 
