0.000866423+0.00639729j 0.0184255-0.00638836j -0.0220086+0.00848724j 0.0312559-0.003315j -0.0142148+0.00196787j 0.0124138+0.00194609j 0.00422334+0.00016012j -0.0290027-0.00315851j -0.00264954-0.00183257j -0.0138666+0.000332614j 0.0115464+0.00350105j 0.022867+0.00692441j 0.0097243+0.00895144j -0.00255017+0.00904716j -0.0159217-0.00502617j 
-0.0144437-0.00555903j 0.0115928+0.00988953j -0.00782295-0.00689524j -0.0018955-0.00200704j -0.0101016-0.00754239j -0.00777779-0.0149245j 0.00330431+0.00838869j -0.00925768+0.00743924j 0.00303269+0.00897773j -0.00541589-0.0135027j 0.000998366-0.0117191j 0.0100014-0.00268721j 0.000849569-0.00987525j 0.00707722-0.0228624j 0.0117372+0.00765636j 
-0.00896723+0.0153955j 0.0106437-0.00738792j -0.0071684+0.00630183j -0.00198994+0.00222082j -0.00909874+0.00966178j -0.016025+0.00926315j 0.0101856-0.00337151j 0.00690958+0.00532366j 0.0105951-0.00448405j -0.0140581+0.00435219j -0.0132502+0.00017144j -0.00397566-0.00546896j -0.0112009+0.000312012j -0.0240711-0.00473874j 0.00620139-0.0114213j 
-0.0110262-0.0175143j -0.00323721+0.00524186j -0.000562661+0.00426087j 0.0026934-0.0105917j -0.00729728-0.00947069j -0.0054991-0.00804031j 0.00449648-0.0010805j 0.00222472-0.00905191j 0.00574765+0.0108288j -0.00638214+0.00207762j -0.00444446-0.00227161j -0.00761911+0.00543988j -0.00384207-0.00903813j -0.00965408+0.00865615j -0.0105225+0.0101926j 
0.0195667-0.0023965j 0.000796064-0.00476668j -0.00740088-0.000440573j 0.0107824+0.00284539j 0.00983134-0.00870216j 0.00657549-0.00318808j -0.00149015+0.0129929j 0.0122633+0.00759214j -0.0113575+0.00549144j -0.00317595-0.00950577j 0.00292494-0.00891546j -0.0086496-0.00727336j 0.00294724-0.00279801j -0.0140398-0.0216634j -0.00217063-0.0181166j 
-0.000288538+0.00423353j -0.00333968-0.00509304j 0.0117635+0.00701531j -0.0102463-0.0113707j -0.0136505-0.00860356j 0.00161185+0.00223263j 0.00289437+0.0198226j -0.00364749-0.00072224j 0.00929248+0.00971283j 0.0074915+0.00309346j 0.00290917-0.00887583j 0.00606063+0.0186616j -0.00734776+0.0141335j 0.00404234+0.00591292j 0.00603193-0.00146832j 
-0.013952+0.0075344j 0.00831327+0.000763603j -0.00854004+0.00360064j 0.0105452-0.000438412j 0.0094126-0.00355601j -0.00520999+0.00471411j -0.0301519-0.00536011j -0.00706276-0.000236833j -0.00574459-0.000718408j 0.00045646+0.00727741j 0.0127578+0.00893133j -0.0141334-0.00206025j -0.0159734-0.0101761j 0.00750019-0.00141976j 0.0140299+0.00994603j 
0.00184954-0.00380876j 0.00300653-0.00789116j -0.00534796+0.0139367j 0.00546653-0.0114789j 0.00484492-0.0171557j -0.00145495-0.000152405j -0.00582065+0.0115098j 0.00434839-0.00577027j -0.0108276+0.0129361j -0.00413904+0.00623239j 0.00341413-0.00239235j -0.0136038+0.0120186j -0.0106339+0.00213931j -0.0133181+0.00824232j -0.00374561-0.000416836j 
0.00416439-0.0172171j 0.00288165+7.71661e-05j -0.00394587-0.00302857j -0.00242754+0.00417369j 0.0038856-0.00105123j 0.000221664-0.00700141j 0.00689096-0.0180059j 0.00628052-0.00854096j -0.00468829+0.00272081j -0.00814897+0.00198069j -0.00851329+0.00707364j 0.000679569-0.00515354j 0.0053051-0.0113678j -0.00857072+0.00775274j -0.010956+0.00998871j 
0.00451962+0.0130341j 0.00762903+0.0169365j 0.00220993-0.00685721j -0.00118525-0.0153909j 0.00528331+0.00632831j 0.00457656+0.00541948j 0.000408383+0.00695452j 0.00211605+0.00628463j -0.00235861-0.014504j -0.0038911-0.00369564j 0.000725352-0.00606414j -0.00400723+0.00877872j -3.64278e-05-0.00108271j -0.00131378-0.00619309j -0.00753937+0.00300357j 
-0.00449871-0.00829409j -0.00783018-0.00438635j 0.0020357-0.00253543j 0.00591653+0.00344352j -0.00880355+0.0092067j 0.00395191-0.00963797j -0.00810894+0.000170627j -0.00376225-0.0033595j 0.0158059-0.00605925j 0.00829954-0.00466386j 0.00310186+0.0011517j 0.000710657-0.00589899j -0.00829442+0.000233237j 0.000234257-0.00271764j 0.00591697-0.00437199j 
-0.00576794-0.00720358j 0.00118546+0.000282487j -0.00636411-0.00451926j -0.00688322-0.00842427j 0.0146699+0.0128954j -0.00760466-0.0186708j -0.00177708+0.010826j -0.00463116-0.00147031j -0.0131676-0.0241073j -0.00362485-0.00897687j 0.000254096-0.00259128j 0.00017944+0.00144855j -0.00719134+0.0139675j -0.0059348+0.00704763j -0.000784094+0.000651965j 
0.00906898+0.00476247j 0.0222478-0.00149048j -0.00479059-0.0031513j -0.0180446-0.00148292j 0.0020273-0.00197915j 0.00960643-0.000697332j 0.00627146-0.00417519j 0.00320282-0.00233068j -0.00927948-0.000477297j 0.00194585+0.00507302j -0.00661824+0.000761528j 0.00998236+0.00861227j -0.00356742-0.00270703j 0.00162274+0.000757663j 0.00702808+0.0144673j 
-0.0124398-0.00132854j -0.00732619+0.00155886j -0.00464585-0.0045007j -0.00360857+0.00581793j 0.00709539-0.00347634j -0.0153038+0.00943709j 0.00371997+0.0120727j -0.00300446+0.00797631j -0.0114043-0.000314876j -0.00783251+0.00948j 0.00311159-0.00594215j 0.00378073-0.00805891j 0.0102505+0.00938893j 0.00567555+0.00533175j -0.000817062-0.00327586j 
-0.00195849-0.00612596j 0.00777197+0.00169867j -0.0125942-0.0114751j -0.00187078+0.00202169j -0.00508422-0.000533738j 0.0170285+0.0117746j -0.000550049+0.0132178j 0.00862284-0.000223581j 0.00311719-0.00413898j 0.00808371+0.0228639j 0.000464365-0.00917818j 0.00067613-0.00556271j -0.00571174-0.00517859j -0.0025402+0.0011077j 0.00149737+0.00598327j 
0.00489382-0.00181762j 0.000435316+0.00141834j -0.00209495-0.000647198j 0.0135821-0.00611118j -0.0123889+0.00921399j 0.0219884-0.00261386j -0.00485227+0.00120812j 0.00684052-0.0063303j 0.0204691-0.00791886j 0.0133966+0.000250702j -0.000867889-0.00194991j -0.0101745+0.000136959j -0.013794-0.00862979j -0.0110474-0.00574684j -0.00289625-0.00373815j 
-0.00112835+0.00165073j 0.00307222+0.00271916j -0.00154956-0.00180393j -0.00339184+0.000124488j 3.98086e-06-0.00165474j 0.00137823+0.00382849j 0.00325363+0.000543826j 0.00126611+0.00085508j -0.00203768+0.00101961j 0.000597022+0.00418299j -0.00153243-0.00154233j 0.00137355+0.000401309j 0.00206241-0.00145834j 0.00241271+0.00059186j -3.52556e-05+0.00379543j 
-0.0149425+0.00735907j -0.00221779+0.000636037j -0.0154565+0.013807j 0.00560899+0.00185802j 0.00302398+0.00334094j 0.00914305-0.0101341j 0.0209704+0.00298178j 0.000696496-0.00639445j -0.00973098-0.00298708j 0.0247519-0.00513931j -0.0113627-0.00346898j -0.0115912-0.00319967j 0.00264743+0.00575534j 0.00538228+0.00445406j 0.000412144-0.0014882j 
