-0.328373-0.139949j -0.0187221+0.0408064j -0.0208998-0.0363924j -0.011154-0.0155284j 0.0204327+0.00719745j -0.00873235+0.0228903j 0.0066198+0.0197342j -0.01312-0.00590051j -0.00635045-0.00618993j 0.0173899+0.019362j -0.0121885-0.00126957j -0.00675668+0.00674476j -0.00731789-0.00870797j -0.00524951+0.0102333j 0.00876582+0.0161126j -0.004087-0.000695532j -0.000441917-0.00573748j -0.00015624+0.00549677j -0.00217411-0.0079839j -0.00303223-0.00205475j 0.00048494-0.0058732j -0.00369125+0.00135442j 0.00730328+0.00512821j -0.00235529-0.000703918j -0.00181543-0.00130438j -0.00204644-0.00718811j 0.00421191+0.00246513j -0.00129693-0.00109664j -0.00405244+0.000828163j -0.00204047+0.000172345j 9.22586e-08-0.00118034j 0.00570097+0.00963232j -0.00086703+0.0015201j -0.00206788-0.00182064j 0.00280863+0.00563159j -0.00610648-0.00720257j 0.00603059+0.011057j 0.000337817+0.00880227j 0.00593823+0.00543966j -0.00273087-0.0102402j 
-0.143993+0.336238j 0.0417336+0.0202561j -0.0368013+0.0185766j -0.0155018+0.00984841j 0.0059155-0.0203212j 0.0228894+0.0104452j 0.0158489-0.00656806j -0.00408419+0.0111355j -0.00269584+0.00527846j 0.0181318-0.015855j -0.00331046+0.0113347j 0.00727312+0.00702042j -0.00480655+0.0086108j 0.0119216+0.00795696j 0.0126656-0.00950278j 0.000885926+0.00577481j -0.00629197-0.00115271j 0.00692864+0.000119827j -0.00646769+0.00329655j -0.00271167+0.0022727j -0.00563758-0.00229592j 0.00281634+0.00376053j 0.00471716-0.00700742j -0.00259566+0.00124553j -0.000262479+0.00264234j -0.00751134+0.0026424j 0.00259271-0.00374763j -0.000484037+0.00134536j 0.00188926+0.00630283j 0.0021262+0.00293075j -0.00177647+0.000300183j 0.0104765-0.00545556j 0.00380128+0.00121276j -0.0025699+0.000337719j 0.00570132-0.0020172j -0.00530973+0.00524596j 0.0103675-0.00758498j 0.00808169+0.00319433j 0.00513499-0.00809847j -0.00994431+0.00214318j 
0.184966-0.0997308j 0.0267522-0.0108779j -0.00757256+0.000420877j -0.00736966-0.00359934j 0.0196157+0.0175657j 0.00442818-0.0236694j 0.0175231+0.0081258j -0.0114458+0.00602584j -0.015548-0.000881631j 0.000837526-0.00275819j 0.00831459-0.00359521j -0.00714896-0.0129218j -0.0164719-0.00356346j -0.0159152-0.0121446j 0.0175863-0.00819386j -0.0133116+0.00533077j 0.0067621-0.00279271j -0.00762285+0.00466457j -0.0111972-0.000603298j 0.00846942+0.00621108j 0.00478143-0.00148796j -0.00224446+0.00972354j 0.00391341-0.00434053j 0.00236787-0.00616417j -0.00670837+0.00454278j 0.00671596+0.0104472j -0.00699592-0.0103562j -0.00448731+0.00112142j -0.0124785+0.00320211j -0.0144984+0.00585002j 0.00488947+0.00408211j -0.00390651-0.0102791j 0.000542438+0.0120513j 0.00542481-0.00024907j -0.00439025-0.00905835j -0.00660236+0.00897845j 0.014464-0.00699834j -0.0179197-0.00492539j 0.0171648-0.000343709j -0.00192612-0.00182961j 
-0.0907103-0.270369j -0.010386-0.042298j -0.00626162+0.0171927j -0.00564258+0.013059j 0.0260982-0.0203854j -0.0304653-0.00800911j 0.0152477-0.0129425j 0.000303732+0.0135733j -0.008063+0.0149502j 0.00261132-0.00106993j -0.00490614-0.000654188j -0.0163692+0.00552388j -0.001945+0.0139757j -0.00772052+0.0115952j -0.00696308-0.00813218j 0.00872144+0.00209376j -0.00928918-0.00106361j -0.000130988+0.00167533j -0.00113326+0.000724568j 0.00274013-0.00946773j -0.00825877-0.00178775j -0.0011284-0.000599365j 0.00638239+0.00220781j -0.00808147+0.0105354j 0.00914988+0.000951207j 0.000116712-0.00476726j 0.00244849-0.00161779j -0.00139997+0.00060916j 0.00471092+0.0017189j -0.000368567-0.00362132j 0.00893289-0.000210617j 0.00185431+0.00641729j 0.00532728-0.00950777j -0.00744145+0.00385702j -0.000643051+0.0029829j -0.00920802-0.00241001j -0.00474369+0.00173657j 0.0128769+0.0113601j -0.0035831-0.00586707j -0.00446244+0.00102361j 
-0.163077-0.120194j -0.0345268-0.026679j 0.0167024+0.013871j -0.000502135+0.00923077j -0.0078821-0.0164243j 0.0115536+0.0145647j 0.00262192-0.0054469j 0.00190037+0.000504j 0.00900374+0.000235377j 0.0171874-0.0011232j 0.000343141+0.0158657j -0.015473-0.00400357j -0.00306523-0.00357139j 0.0039361-0.00670829j 0.0124523-0.00415549j -0.0093123+0.00122748j 0.00188806+0.00105335j -0.00834788+0.00248449j -0.0121705-0.00383446j -0.0115338+0.00130598j -0.00235968-0.00324118j 0.00569115+0.0049043j -0.00205092-0.0126343j 0.0154434-0.00805929j -0.018888-0.011093j 0.0141289-0.00551865j -0.00517203-0.00161382j -0.00190333+0.00188662j 0.00690452+0.0102751j -0.0125347+0.00631082j -0.00740852-0.0165456j -0.0086343-0.0112718j -0.0124486+0.00929564j 0.00177911-0.00309734j -0.00243365+0.00652672j 0.00166135+0.010863j 0.00954299-0.00406153j -0.0108813-0.00472742j 0.00830803-0.00154724j -0.000275626+9.20993e-05j 
-0.139371+0.0285575j -0.000901081-0.00919998j -0.0154733+0.0140127j -0.00651721-0.00208023j 0.0128927+0.00755695j -0.00246154-0.00294626j -0.00191143+0.0151008j -0.00896783-0.00419714j -0.00434919-0.0183238j 0.0054318-0.0206529j 0.0195483+0.0199056j -0.015623+0.0173648j 0.00665309-0.016223j 0.00828829-0.0187057j 0.00120226+0.00713799j 0.000506315-0.0102262j -0.00257501+0.0137671j 0.000742502+0.00370255j -0.00203651+0.00225858j 0.000191861+0.0155j -0.00579597+0.0131219j -0.00186472+0.00304146j 0.0043289-0.0110486j 0.00218687+0.0106419j 0.00193823+0.00265952j 0.0125359-0.00499054j -0.00958027-0.00665662j -0.00233305+0.00177998j -0.00416875-0.0146916j -0.00695052+0.00714768j 0.00725632+0.00306262j -0.00482441-0.00539904j 0.00080669-0.00467237j 0.00612607+0.0114591j -0.00142798-0.00939005j -0.00456958+0.00875603j 0.00212032-0.00446483j 0.0112263-0.0149283j -0.00506287+0.0032148j -0.00375555+0.00520988j 
-0.0428823-0.0259613j -0.00938914+0.0171715j 0.00253829-0.0123345j 0.00427018+0.00395861j -0.0117433+0.0152217j 0.0200616-0.026535j 0.00484024-0.015387j -7.86041e-05+0.00612223j 0.00103826+0.00673369j 0.0181245-0.0101162j -0.013477+0.00258026j -0.0170109+0.00854243j -0.00678704+0.00552633j -0.0105352+0.0132218j -0.00310132+0.00255308j 0.00137448+0.000704435j -0.00289281+0.00107769j -0.00479571+0.00525907j -0.00532989+0.0035554j -0.00654469+0.00608741j -0.00695683+0.00630838j -0.00658139-0.0113658j -0.00241488+0.00852309j -0.00342244-0.00901186j -0.0138696+0.0125358j 0.000190036+0.00604875j 0.00233745-0.00613504j -0.000100143-0.000164101j 0.0109063-0.0177603j 0.000196812-0.000625957j -0.0156081+0.0101536j -0.00618783+0.0033492j -0.00113368+0.00900783j -0.00288314+0.00765285j 0.0120226-0.00503478j 0.00120399+0.00288574j 0.000401709+0.00115026j 0.00734562-0.00170737j -0.00398859-0.000960363j -0.0027415+0.00147885j 
-0.137816+0.0162137j -0.0377487-0.0132572j 0.0187094+0.0114575j -0.00034109+0.0073448j 0.00384107-0.0097078j -0.0035616+0.00161846j -0.000837306+0.00360888j -0.00127411-4.05124e-05j -0.00244703-0.00666646j -0.00933654-0.00911574j 0.00701302-0.00259638j 0.00791577+0.0271227j 0.000862359-0.00627637j -0.00689375+0.00788347j -0.00225168+0.00534662j -0.00478068+0.0017079j 0.00711873-0.00236643j 0.00132815-0.00146333j 0.0044563-0.00400043j 0.00163478-0.00022252j 0.00840498-0.00230987j -0.00140523-0.00188932j -0.00535887+0.00476582j 0.000393083-0.00814222j -0.00161193+0.00130923j -0.0176622+0.0189527j -0.00288871-0.0231718j 0.00290991-0.00167811j -0.0026246+0.00294464j 0.0102997-0.00606596j -0.0112709+0.00637486j 0.0193793-0.0108033j 0.000997131+0.00763105j 0.00263728-0.00345467j 0.0126451-0.00720505j 0.0041042+0.00420516j 0.00895641-0.0042317j -0.00413583-0.00337211j 0.005264-0.00148885j 0.000601724+0.000165212j 
0.16097+0.0271632j 0.0403681-0.00609811j -0.019152+0.00566837j -0.0072963-0.00608846j 0.00234834+0.00076805j 0.00378025+0.0131495j 0.00125846+0.0104425j -0.00216771-0.00381098j 0.00112193-0.00391519j 0.00745202+0.00805661j -0.0120834-0.00142787j -0.0191425-0.00843428j 0.00331515-0.0091858j -0.00343742-0.00327555j -0.00819859+0.00757632j 0.00283247-0.00511764j -0.00329562+0.00188619j -0.0101502-0.00462466j -0.00046559-0.012337j 0.0123964-0.00015123j -0.00605268-0.00179368j 0.00164659-0.00590173j -0.0173966-0.00313767j 0.00540114+0.00244468j -0.00167947-0.0102942j 0.00369632+0.00203531j -0.0197124+0.00116715j 0.0011646-0.00119325j 0.0111197+0.00153312j 0.00489762-0.00422201j -0.000912337-0.00585083j -0.012329-0.0137622j -0.00562011-0.00650813j -9.21556e-05-0.00065463j -0.00576206-0.000904159j 0.00625905+0.00132874j -0.00986176-0.00390044j 0.00409976-0.00491989j -0.00818879-1.96807e-05j 0.000149216+0.00240345j 
0.050718-0.04204j 0.00172064+0.0014227j 0.00445958-0.0130136j 0.00785691-0.00596122j -0.010778+0.0117685j 0.00655289-0.00262541j -0.0149639+0.00356352j 0.00477487-0.00982012j 0.0132218-0.0130187j -0.000795366-0.00761045j -0.00103215+0.0137824j -0.0159799+0.0136335j 0.0159512+0.00603464j 0.00739403+0.00496336j -0.00658893-0.00577817j 0.00176223+0.00442517j -0.0053422-0.00350844j -0.00823555+0.0125886j -0.0134575-0.00141894j 0.00467095-0.0124064j -0.00595997-0.00729817j -0.0018963+0.015562j 0.000781779+0.0122111j -0.00844252+0.00275304j 0.00239833+0.00107877j -0.00553427+0.0145119j -0.0135228+0.006054j -0.00360535-0.00204042j 0.0013175+0.00711934j -0.0153789-0.0050137j 0.00764355+0.0071209j -0.00237536-0.00737071j 0.0066339+0.00370632j -0.00680259-0.00123684j -0.00338793-0.00338108j -0.00795994-0.00531908j 0.0053853-0.00253638j -0.00669508+0.0105023j 0.00733202-0.004022j 0.000627487-0.00457203j 
0.0535804+0.0960727j -0.000485019-0.0149725j 0.00154013+0.0174794j -0.00829862+0.0117404j 0.0110214+0.00289196j 0.0119796-0.0134619j 0.00965879+0.0115497j -0.00767571+0.00359415j -0.0112243-0.00770878j -0.0100171-0.0121874j 0.0071522-0.00386637j 0.00233442+0.0111258j 0.000526539+0.00526703j -0.00257568-0.000204354j -0.00319818-0.00106112j 0.00204335-0.00317969j -0.0041888-0.00237861j -0.00810123-0.0137064j -0.00330256-0.0179891j 0.00599377+0.0120975j -0.00533793-0.00714267j -0.0101658-0.00564228j -0.00181733+0.00126397j -0.00701509-0.000982093j -0.00194432+0.00149798j -0.00243803-0.0311187j 0.002975+0.00288676j -0.00159715-0.00563172j 0.00672468+0.000694327j -0.00163993-0.0213937j 0.000233295+0.0060543j -0.00659522+0.00577111j -0.00428443-0.00318221j -0.0115485-0.00753707j -0.000739317+0.0052856j -0.00436299-0.0249464j -0.00845716+0.0103192j -0.00275397+0.00287986j -0.00131119+0.0108299j 0.00351673-0.00137118j 
