0.00204243-0.000130519j 0.000919258+0.00377117j -0.00461193-9.92851e-05j 0.00259933+0.0115283j 0.00481718+0.00150057j -0.00430511-0.0213928j -0.00393492-0.0174518j -0.00034901+0.0153118j -0.000120434+0.0234343j -0.00373942-0.000404404j -7.11652e-05-0.0124612j -0.00185151+0.00175256j 0.000383041+0.00166795j -0.00230722+0.00846695j -0.00157313+0.00672894j 0.00172995-0.00544945j 0.000929873+0.000630139j -7.10959e-05+0.00193798j 0.000408437-0.000988708j -0.00271054+0.00608921j -0.000262223+0.00288498j -0.000493864-0.00029572j -0.000642703+0.00163594j -0.00254942+0.0074025j 0.00252541-0.0060978j 0.000718179-0.000886472j -9.5564e-05+9.87433e-05j 0.00214462-0.00475945j 0.000997956-0.00299937j 0.000417004-0.00158862j -0.000290074+0.000556738j -0.000436171-0.000285189j -9.54546e-05-0.000603811j -0.000405533-0.000558861j 0.000288915-0.00248892j -0.00101834+0.00297388j 0.000707834-0.00201711j 0.000335553-0.00205299j 0.000796154-0.000837836j 0.000206378-0.000733873j 0.00176399-0.00177123j 0.00360514-0.005253j -0.00115637+0.00200298j -0.00238777+0.00293309j 0.000668682-0.000613307j 0.00172996-0.0022605j 7.04172e-05-1.21833e-05j -0.00106843+0.00147127j 0.000188248-0.000100461j -0.000881034+0.00182476j -0.000137031+0.000105591j 8.75543e-05-9.48494e-05j -0.00109855+0.00101694j -0.000513405+0.00154379j -0.0027001+0.00366302j 0.000725-0.000324147j 0.00183103-0.00248598j -0.00184432+0.000414003j -0.00184146+0.000352293j -0.000149154-0.000673983j -0.00188068+0.000290175j 0.00155995-0.000291442j 0.00149842-0.000546408j -0.00214177-0.000616264j 0.0013741-0.000355776j -0.00152068-0.000828573j -0.000793696-0.00197337j -0.00072402-0.00106341j 0.000158119+0.00434591j 0.0020215-0.00373583j 0.00137268-0.000962944j 0.00183221-0.000948541j 0.00113561+0.00222149j -0.00158443+0.00340348j -0.00196334-0.00126472j 0.000684633-0.00206029j -0.00147059-0.000449797j 
0.00691062-0.00441052j 0.00377283+0.00259243j -0.0141481+0.0062559j 0.00543445+0.00315187j 0.0149943-0.00711376j -0.00900409+0.00202342j 0.00194815+0.0014896j -0.00771139-0.00360154j 0.00279302-0.00691844j -0.0177443+0.00555194j 0.016396+0.00251148j -0.00713043-0.00225788j 0.0146235+0.00115233j 0.00330247-0.00682254j 0.00581502+4.58088e-05j 0.00527944+0.000881576j 0.0118498+0.00178894j 0.00633072-0.000515111j -0.000631901-3.03352e-05j -0.00825618-0.00188255j 0.00517777+0.00144482j -0.00383897-0.00233955j 0.00184448-0.000209331j -0.00146674-0.00413278j -0.00148456+0.00175224j 0.00372747+0.00268643j -0.00412217-0.00073339j 0.00176828+0.00241481j 0.000883661-0.000628035j -0.00268091-0.00126483j -0.00170224+0.000534687j -0.00448684-0.0013833j -0.00258023-0.000537283j -0.00292505-0.000542211j -0.00387983-0.00169085j -0.000852155-0.00112252j -0.00470718-0.00125363j -0.00322757-0.00113888j 0.00330167+0.00207468j -0.00181278-0.000939725j 0.00331592+0.00246333j 0.00253073+0.00314186j 0.000903274-0.000851372j -0.00334711-0.00303064j -0.00018166+0.000650651j 4.22591e-05+0.00141474j 0.000815051+0.000757595j 0.00198545-5.10386e-06j -0.000996658+0.000160457j 0.00235151+0.000965839j -0.00194657-0.00163601j 0.00155761+0.000550781j -0.00042331-0.000477464j 0.00190578+0.00121691j -0.00222668-0.000383993j 0.00237363+0.00122215j 0.000492889-0.00086114j -0.00373219-0.00276384j -0.00213661-0.00280953j -0.000813087-0.00157106j -0.000244209-0.001365j 0.000421554-7.92778e-05j 0.00153586+0.00141882j -0.00144618-0.00132114j 0.00273976-0.00109892j -0.00528749-0.00191302j -0.00121218-0.00241716j -0.00245721-0.00283167j -0.000647891+0.00175072j 0.00198687-0.000492124j 0.00322486-0.000956676j 0.00579152+0.00206905j 0.00207332+0.00354602j -0.00464043+0.00226108j -0.00529911-0.00477357j 0.0045786-0.00444494j -0.00641783-0.00496488j 
0.0047625+0.00533298j -0.00556723+0.000598335j -0.00174471-0.00470698j -0.00476127-0.00443653j 0.0060981+0.0044046j 0.000508799+0.00350963j -0.000898632+0.00627071j 0.00351928+0.0026089j 0.000713992+0.00311541j -0.00826052-0.00190745j 0.00543232+0.000677222j 0.00157921+0.00332994j 0.00454617-0.00582289j 0.00365239+0.0068467j 0.00363298-0.00102491j 0.00581508+0.00109494j 0.00523482-0.00352487j 0.00189762-0.000556654j -0.000251717-0.00265229j -0.00193275-0.00294689j 0.000418691-0.00385691j -0.0029744+0.00253405j 0.00157953+0.00104247j -0.00361099+0.00199076j -0.00257113-0.00296022j 0.00239227-0.00179522j 0.000997781-0.0020392j 0.00268315+5.73035e-05j -2.59531e-05+0.00396301j -0.00278765+0.00122758j 0.000546805-0.00277219j -0.00179038+1.94878e-05j -0.00108564-0.000786476j -0.00149467-0.00146586j -0.00347516+0.00124872j -0.000857217-0.000919327j -0.00235528-0.000713503j -0.00296069-0.000509792j 0.00184707-0.0015936j -0.00201934-0.00111169j 0.00303258-0.000409419j 0.00331892-0.00132157j -0.000780522+0.00128657j -0.00389703-0.000679732j 0.0014198+0.000286115j 0.002695+0.000696228j -0.000137302-0.000166184j -0.000352034-0.000349716j 0.000423407+0.000317652j 0.00187894+0.000306871j -0.00229598-0.000655454j 0.00106263+0.00095503j 3.28344e-05-0.00077115j 0.000513238+0.000896127j 0.000547277-0.00106443j 0.000890798+0.00122971j 0.000598288-0.00199408j -0.00327284+0.000178582j -0.001447+0.00138821j -0.00120468-0.000766121j -0.00297425+0.000596531j 0.000531237+0.00166652j 0.00356977-0.000975999j -0.00196027-0.00292041j 0.0013+0.00191338j 0.000302672-6.55807e-05j -0.00148452+0.00165089j -0.00304928+0.00240887j 0.00201032+0.00169152j 0.00101022-0.0012131j -0.000746434+0.00271348j -0.00074228-0.00180932j 0.00329734-0.00115905j 0.00242753-0.000200659j -0.00261871+0.00421273j -0.010897+0.00749393j 0.0054614+0.0105346j 
-0.00661167+0.000800255j 0.00134865-0.00619579j 0.00713111+0.0038346j 0.00495125-0.00686703j -0.00610216-0.000960729j -0.00298733+0.00194095j -0.00128707+0.00438512j -0.0021203+0.00116357j -0.00298928+0.00516906j 0.00355222-0.00408152j 0.00133554+0.00538437j -0.0019851+0.00707992j 0.0062653+0.00966256j -0.00801641+0.000506947j -0.000704968+0.00849451j -0.000804427+0.0055998j 0.0016339-0.00256388j -0.00017285+0.00406708j 0.000431559-0.00229868j 0.00176308+0.00395006j 0.00376504-0.00165789j -0.00280796-0.000341563j -0.00223299+0.00335762j -0.00255664-0.00635073j 0.00409478-0.0034282j 0.00237851+0.00238582j 0.00172501-0.00179542j 0.00148853+0.000638705j -0.00317383-0.000717232j -0.000420643-0.00430974j 0.00261743+0.000964257j 0.000325054-2.47618e-05j 0.000830561-0.00143655j 0.000250102+0.00060366j -0.00105992-0.00127352j 0.00200633-0.00262772j 0.00143744-0.00383525j -9.1515e-05-0.00062738j 0.000896383+0.00199167j 0.00127251-0.00240845j 0.00139867+0.000862654j 0.00299193+9.42072e-05j -0.000932939-0.00149398j -0.000567163-0.0029387j -4.68141e-05+0.00156456j -8.60006e-05+0.00201731j 0.000183271+0.00136546j -0.000329903+0.000140606j 0.000142856-0.000553127j -0.00047072+0.00111205j 0.0019425-0.00297384j -0.00169494+0.00155533j -0.000281436+0.00160203j -6.37181e-05-0.000151627j 0.00120123+0.00204955j -0.000823153+0.00078152j 0.00245191-0.00168538j -0.00124191-0.00141107j -0.00153586-0.000770605j 0.000817318-0.00116791j -0.00179661-0.00057504j -9.72169e-05+0.000349417j 0.000293896+0.00205393j 0.00162908+0.000711877j -0.000335871+0.000487542j -0.00105384+0.00156097j -0.00274148-0.000362811j -0.00200711-0.00288317j 0.000729522+0.00132047j 0.000613381-0.003339j -0.000311319-0.00169835j 0.00144856-0.00126645j 0.00283128+0.00119563j 0.00138667+0.00599159j -0.00647521+0.000129635j -0.00601068-0.0110584j -0.0105774+0.00494784j 
-0.00180949+0.000786191j 0.00344077-0.00258485j -0.00203097-0.00231077j 0.00585786+0.000192405j -0.000996666+0.00604908j -0.00188832+0.0013564j -0.0127134-0.00439007j -0.00339283+0.00573596j -0.00808016-0.0055171j 0.00356513-0.00361301j -0.00644561-0.000521531j -0.00965353-0.00298323j -0.00421269-0.00632109j -0.00497129+0.0034741j -0.00242908-0.00786993j -0.00404867+0.000909543j 0.00926481+0.00691825j -0.000176751-0.00381266j 0.00740324+0.00193568j 0.000231527-0.0058655j 0.00678548+0.00132279j -0.0021015-0.00283754j -0.00155743-0.00319224j 0.00131934+0.00212475j 0.00341787+0.00237868j 0.0012641+0.000103241j 0.00454932+0.00459356j 0.000137081+0.00312036j -0.0040012+0.000610136j -0.00174921+0.00210905j 0.00258938+0.000369198j -0.00128226-0.0012903j 0.00165263+0.00121869j 0.000961042-0.0022039j -0.00369275-0.00249946j 0.00144593+0.00300961j 0.00118968+0.00327972j -0.00229139-0.00295632j 0.00219522-0.000927785j 0.000314879+0.000914116j 0.00171215+0.00274929j 0.000960534+0.00442179j -0.00122238+0.000752456j 0.000766415-0.00133372j 0.00120979+0.000495684j 0.00166833+0.00187171j -0.000941185-0.00223116j -0.00193136-0.00243237j 0.00204537+0.00215637j 0.000169603-0.000418699j -0.00247847+0.00177723j -0.000545897-0.00191134j -0.00069351-0.00323605j 0.000950455+0.00108459j 0.00141063-0.000388066j -0.0010833-0.000920718j -0.000640217+0.00249264j -0.00123373-0.00183969j -0.00295173-0.00168001j -0.00180647-0.000118968j -0.000875767-0.00473874j -0.00189204+0.0016955j 0.00162197+0.000953059j -0.000938189-0.00410444j -0.00443891+0.000605742j 0.000312441-2.73978e-05j -0.00204459-0.00283602j -0.00191655+0.000630508j -0.000897012+0.00341216j 0.00208762+0.00417325j -0.00444818+0.000605126j 0.00156708-0.00163637j 0.00215652+0.00336272j 0.000298443-0.000437513j -0.0016704-0.0022976j -0.004312-0.00184112j -0.00246471+0.00192811j 
0.0031427-0.00151685j -0.00122734+0.00171497j -0.00464697+0.00531888j 0.00128029-0.00038823j 0.00630518-0.00440867j 0.00152256+0.00025311j -0.00580355+0.0100525j 0.00680596-0.000921203j -0.00641987+0.00374065j -0.00112009+0.00227343j -0.00404759+0.00461196j -0.00488316+0.00503507j -0.013586+0.00625723j 0.00621886-0.00253084j -0.0119368+0.00178941j -0.00194065+0.000317445j 0.00607774-0.00637803j -0.00664323+0.00106137j 0.00182055-0.00345736j -0.00827699+0.00275989j -0.000358191-0.00134224j -0.00225738+0.00138903j -0.00390221-0.000517237j 0.00626194-0.00173613j 0.00212831+0.000225236j -0.0021184+0.000133697j 0.00431345-0.00189502j 0.00335852+0.000108606j 0.00283273+0.000725223j 0.00583985+0.000560729j -0.0014443-0.000253403j -0.000775409+0.00131293j 0.00123597-0.000255163j -0.00278082+8.43004e-06j -0.000317088+0.00179871j 0.0039339+0.000440392j 0.00490849+2.71815e-06j -0.00192908+0.00117873j -0.00313799-0.000771202j 0.00270968+0.000623391j 0.00187213-0.000423285j 0.0048405+6.72871e-05j 0.00194203+0.000291535j -0.000395252-4.26783e-05j -0.00111728-0.000569435j -7.56325e-05-0.000854831j -0.00238676+0.000474298j -0.000931755+0.000656938j 0.00122231-0.000810312j -0.000462439-0.000148217j 0.00430814+0.00223501j -0.00213689-0.000518454j -0.00331794+0.000201453j 2.84658e-05-0.000332655j -0.00246127+0.000580381j -0.000314962+0.00021883j 0.00445574+0.0014094j -0.000979915-9.05715e-05j 0.000285741+0.00152353j 0.00138842+0.0013018j -0.00356164+0.000320073j 0.00202864+0.00137087j 0.000480327-0.00113591j -0.00398292+0.00136851j 0.00202931+0.00285179j -0.00101566-0.00105879j -0.00109795-1.28492e-05j 0.00235677+0.000467709j 0.00213876+0.00114935j 0.00527321-0.00233868j 0.00312477+0.00281611j -0.00083074+2.46829e-05j 0.00139291-5.08947e-05j -0.00400469+0.00090373j -0.00171246-0.0014009j 0.00343632+0.00116192j 0.00057679-0.00191056j 
-0.00357066-0.00410857j 0.00663539-0.00535029j -0.00142782+0.00116301j 0.0028411-0.000579878j -0.000755994+0.00178555j -0.00132478-0.00147878j 0.00681578+0.000989623j -0.00639682+0.00298514j 0.00287516+0.00334131j 8.29539e-05-0.00498169j 0.00359069+0.00280354j 0.0006862+0.00464571j 0.0075165+0.00254376j -0.00425126+0.00356297j 0.00356203-9.25792e-05j -0.000802773+0.00427328j -0.00298231-0.00438156j 0.00427334-0.00196199j -0.000268959-0.00701679j 0.00352515-0.00292792j 0.0025033-0.00590636j 0.00265209-0.000713683j -0.000512176+0.00253043j -0.00213899+0.000598909j 0.0017566-0.00199625j 0.000921328-0.000921323j -0.00226931-0.0046371j -0.00284964-0.0016232j -0.0015704+0.00137641j -0.00359489+0.00198193j 0.000687989-0.00181834j -0.000386977+0.00037184j 0.000887704-0.00215644j 0.00182954-0.000789047j -0.000366016+0.00361498j -0.00166466-0.00152169j -0.000566147-0.00186687j 0.000544657+0.00369323j 0.00251588-0.0012743j -0.00210361+0.000689654j -0.00043775-0.00320766j -0.00394954-0.00166562j -0.000153311+0.000646539j 0.00187385+0.000439802j 0.00131027-0.00254184j 0.000880552-0.00393064j 0.000392132+0.00167202j -0.00238821+0.00365804j 0.00158647-0.00290231j -0.00127332-0.000950918j -0.00338886+0.0022125j -0.000581154+0.000460907j -0.00106518+0.00188851j 0.00268006-0.00142125j 0.00146733-0.00310959j -0.00122706+0.000610798j -0.00433683+0.000496668j 0.00119572+0.00273523j -0.00183174+0.00105401j -0.00236095+0.00222107j 0.00127523+0.0016162j -0.000226991-0.00119631j -0.00313242-0.00202008j -0.000527643+0.0030123j -0.00209259+0.000389273j -0.000326023-0.00038238j -0.000883755+0.00179653j 0.00138457+0.000882353j 0.000908466-0.00296595j -0.00297358+0.000801576j -0.00142091+0.00101998j -0.000243886+0.000509124j -3.1873e-05-0.00332896j 0.00205377-0.00298576j 0.00283451+0.000417281j 0.00898451+0.00387893j 0.00144531-0.00959544j 
0.00303558-0.00197122j 0.00118011+0.00897594j 0.0027816-5.05117e-05j -0.00026779+0.00518073j -0.00273647-0.00509893j -0.000190444-0.00245453j -0.000619394-0.000903158j 0.000876387-0.00825351j -0.00105732-0.0024532j 0.00411576+0.0063306j -0.00194026-0.00197263j -0.000755146-0.00627317j -0.00228402+0.00374973j -0.00218623-0.0100049j 0.000917732+0.00251688j -0.00100078-0.00467822j -4.63353e-05+0.00340412j -0.000561449+0.00478117j 0.000666417+0.00577523j 0.00140974+0.00442443j 0.0004365+0.00906155j -6.88662e-05+0.000277833j -0.000252784-0.00185531j 6.10154e-05-0.00296553j -0.00103864+0.00440505j -0.00039481+0.00326711j 0.00201938+0.00203291j 0.000290501+0.000123531j -0.000396671-0.0044128j 0.000577941-0.00518397j 0.000509371+0.00325654j 0.00108382-0.000562498j 0.00028052+0.00198376j -0.00069302+0.00152308j 0.000188429-0.00388365j 0.000662024+0.000513879j 0.000316581+0.000632468j -0.000421798-0.00282056j -0.00139024+0.00343034j 8.99804e-05-0.00168009j -0.000185349+0.00258962j 0.00049009-0.000485944j -0.000148453-0.00168759j -0.00014847-0.000132263j -4.09469e-05+0.00328102j -1.47449e-05+0.00379628j -0.000589803+0.000221696j 0.000786653-0.00436136j -0.000597978+0.00340293j 0.00126271-0.00022076j 0.00133722-0.00424545j 0.000891763-0.000741908j 0.00138168-0.00150875j -0.001524+0.00295775j 0.000588833+0.00378699j 0.000487656-0.000954342j 0.00162089-0.00387876j -0.000700681-0.00184977j 0.00242413-0.00336926j 0.00101312-0.0035759j 0.000337768-0.000428454j -0.000871206-4.90017e-05j 0.0019433-8.7003e-05j 0.00165797-0.00180099j 0.00159395-0.00371012j 0.000525409-0.00016079j 0.00112771-0.00253062j -0.00148249-0.00181008j -0.000928277+0.00214877j 0.000779705-0.0022201j 0.000824097-0.00274905j -2.8911e-05+0.000752386j 0.000236725+0.0035542j -0.0021274+0.0052419j -0.00230971-0.00201956j -0.00464885-0.00109714j 0.0023962+0.00307266j 
-0.00156013+0.00180865j -0.00749533-0.00160353j -0.000363186+0.0043066j -0.00306653+0.000707082j 0.0018735+0.000987054j 0.00577948-0.000243902j -0.00501001-0.000259842j 0.00213038+0.00436175j -0.00233354-0.00280523j -0.00369551+0.000320892j 0.00121377+0.000693106j 0.0023302+0.00353112j 0.00229665+0.00131212j 0.00688247-0.00565493j 0.00281775+0.00481251j 0.00207368+0.00466081j 0.00434987+0.00115355j -0.00392713+0.000861337j 0.00364694+2.94119e-06j 0.00382795+0.00231383j -0.00411726+0.000632314j -0.000135606-0.000248847j 0.000872169-0.000400429j -0.000469133-0.00315744j -0.00445102-0.00261343j -0.00253647+0.000911196j 0.00339194+0.00583238j -0.00060057-0.00315255j 0.000939639-0.00334477j 0.00242038-0.00424386j -0.000696916+0.00270009j -0.00103318-0.000232843j 0.000613659+0.00101653j 0.0027747-0.00172485j 0.000167791-0.00233937j -0.00143695-0.00219175j -0.000562573-8.99721e-05j 0.000896259-0.00135195j -0.000364694-0.00102353j 0.000518445-0.00512408j -0.000790655-0.00115516j 0.000196657-0.00315185j 0.00107897+0.000206497j 0.00151094-0.000376556j -0.00276171+0.00192541j -0.000986572+0.00256784j -0.00262743-0.0028561j 0.00239464-0.00248816j -0.00113959+0.00159496j 0.00113395-4.91991e-05j -0.000510532-0.00234666j -5.48277e-05+0.00091222j 0.000586933+0.000467819j -0.00258439+0.000281441j -0.000304997+0.00169054j -0.00107671-0.00161427j 0.00415785-0.00285702j 0.000499529+0.00111405j 0.00124184+0.00126634j 0.00176112-0.000889542j 0.000923373-0.00271322j -0.00145631-0.00305687j 0.00218079+0.0012178j 0.00228288+0.000958198j 0.00116681+0.000112019j 0.000403983+0.00457974j -3.87378e-05-0.000230966j 0.00056106-0.00152242j -0.00307099-0.000307996j 0.000626653+0.00388j -0.00376199-0.00331574j 0.00125569-0.00470972j -0.00167079+0.00154942j -0.00176402-0.00272556j 0.00394953+0.000827972j -0.00634738-0.00589106j -0.00250949+0.00954577j 
0.00200175+0.00375793j -0.00303237+0.000216819j -0.00466258-0.00637214j -0.00511588-0.00195468j -0.00176458-0.00028757j 0.00276868+0.00508919j -0.00282821-0.00365768j -0.00533378-0.00699565j 0.00153657-0.000766276j -0.000558201+0.000371493j 5.96627e-07-0.000413257j -0.00641529-0.00383023j -0.000976933+0.00316159j 0.00701998+0.00415433j 0.000331666+0.00561699j -0.00420054-0.00620883j 0.00635426+0.00490851j -0.000817753+0.00307245j 0.0073522+0.0133576j 0.000645738+0.00867507j 0.00229569+0.00107945j 0.00028198+0.004948j 0.00108102-0.00107101j -0.00133848-0.000783971j -0.000463586-0.00318971j 0.000304413-0.00390952j 0.000306151+0.00235674j 0.00495019-0.00246206j 0.00193023+0.00219504j 0.00198939-0.000964243j -0.000342811-0.00128327j -0.00122814-0.00338356j 0.00113783+0.00366576j 0.00170199+0.00873554j -0.000875547-0.00126843j 0.000596598-0.00416426j -2.44948e-05+0.00164455j -0.00245844+0.000629195j 0.00020757+0.00394109j 0.00158434-0.000429723j 0.00197238+0.000239862j 0.00302087-0.00331357j 0.000273777+0.00188832j -0.0024407+0.00580696j -0.000200468-0.00222418j 0.00152954-0.000786246j 0.000864993-0.00304066j -0.000129159+0.000551674j 0.000258627-0.00022142j 0.000214445+0.00125425j 0.00083262-0.00531649j -0.000332532-0.000219848j -0.00171198-0.00195236j 9.51451e-06-0.00085572j 0.000756949-2.03696e-05j 0.00164225-0.00325596j 6.29675e-05+0.00161468j -0.00182422+0.00191252j -0.00142668+0.000625861j -5.27022e-06-0.00122694j 0.000177575+0.00338512j 0.00372702-0.00248835j 0.00110518+0.00161646j -0.00265207+0.00146332j 0.000206758-0.00216454j -0.00177676+0.000209533j -0.000289642+0.0011834j 9.61383e-05+0.00176169j 0.00294729-0.00410739j -0.00438946-0.000492205j 0.00161087-0.00551068j 0.00142755+0.00195394j 0.000202571-0.00359481j 0.00694866-0.00278177j 0.000934029+0.00829202j -0.00247883+0.00226295j 0.000916754+0.00322502j 
-0.00161382+0.0022668j -0.00288326+0.00206175j 0.00370511+0.000212743j 0.00113238-0.0012622j 0.000933464-0.0024721j -0.000381861+0.00119406j -0.00189756+0.00440756j 0.00583966-0.00322756j -0.00200887+0.00217121j -0.00161403+0.00390697j 0.00102286+0.0019004j 0.00566764-0.0104754j -0.00206624-0.000236747j -0.00515695+0.00464468j 0.00128869+0.00127374j 0.00639911-0.00471658j -0.00136626+0.00500465j 0.00106178-0.00384471j -0.00121507+0.00128786j -0.00314799+0.00236698j -0.00354449+0.00538728j -0.00296147+0.00151898j 8.62808e-06-0.000631673j -0.00207234-0.00279424j 0.00246906-0.00109818j 0.00199575+0.000997897j 0.00375679-0.0011123j -0.00219858+0.00343375j -0.00327919+0.000534243j -0.0019607-0.000261242j 0.00176712+0.000314651j 0.00103091-0.000906923j -0.00295842+0.00352464j -0.00577685+0.00171821j -0.00179574-0.000384663j -0.000500295-0.000498102j 0.00112522+0.000253725j 0.000403508-0.00216859j -0.00306241+0.000687358j -0.00319348-0.00121867j -0.000122153+0.000352574j 0.00029982+9.29669e-05j -0.00223883+0.000760999j -0.00421401+7.0832e-05j 0.00489087-0.000702659j 0.00246307+0.000684759j -0.000592227+1.99162e-05j -0.00351627-0.00057867j 0.00168234+0.000943959j -0.00245701+0.000561587j 0.000472766-0.000357386j 0.000456205-0.000496109j 0.00132174-0.00190413j -0.000663666+0.00180208j -0.000154979+0.000928299j 0.000358344+0.000282274j -0.00239441-0.0028299j 0.000429316+0.000788577j -0.00235956-8.6128e-05j -9.47177e-05-0.000747157j -0.00402557+0.0002784j 0.00271742-0.000142183j 0.00170656-0.000438148j -0.00312963-0.00258556j 0.00186189-0.000602191j 0.00378921-0.00110875j -0.00102329+0.000706947j -0.00221296+0.00131802j 0.00298293+0.00408142j 0.00322765-0.00239446j 0.000245766+0.000572669j -0.00149035-0.00156942j 0.0027629+0.00174666j 0.000645608+0.00286557j -0.00149625-0.000182325j -0.00473221+0.00304389j 0.00527314+0.00296835j 
