-0.0118779-0j 0.0993231-0j 0.0251807-0j -0.0103281-0j 0.0814241-0j -0.00105411-0j 0.0205712-0j 0.00243702-0j -0.00649114-0j -0.00655841-0j 0.0495496-0j 0.0500631-0j -0.000855283-0j -0.000864146-0j 0.0118024-0j 0.00505713-0j 0.0119247-0j 0.00510954-0j 0.00181317-0j 0.00183196-0j 0.000138316-0j 0.000139749-0j -0.00480791-0j -0.00594948-0j -0.00347053-0j 0.0359593-0j 0.0444973-0j -0.000600989-0j 0.0259568-0j -0.000400659-0j 0.00829328-0j -0.000743685-0j -0.00049579-0j 0.00473805-0j -0.000433816-0j 0.0102624-0j -3.54136e-05-0j -0.000289211-0j 0.00120121-0j 0.00598641-0j 0.00084643-0j 0.00586303-0j -4.38221e-05-0j 0.0034201-0j 0.00148642-0j 0.000141809-0j -2.55629e-05-0j 0.0010474-0j 0.000867076-0j 7.94113e-06-0j 0.00017548-0j 0.000610985-0j 9.82665e-06-0j 0.000102363-0j 5.73221e-06-0j 
0.00843285-0j -0.143429-0j 0.000124228-0j 0.00010437-0j 1.7395e-05-0j -0.00206044-0j -0.000209205-0j 1.28126e-07-0j 0.00460845-0j -0.00452366-0j 0.000743685-0j -0.000730002-0j -0.0584227-0j 0.0573478-0j 8.76442e-05-0j -0.0146816-0j -8.60315e-05-0j 0.0144114-0j -0.000860648-0j 0.000844812-0j 4.08288e-07-0j -4.00776e-07-0j 0.00341342-0j 6.01222e-05-0j -0.00482266-0j 0.000539709-0j 9.50615e-06-0j -0.0410524-0j -0.00076253-0j 0.000284452-0j 6.15856e-05-0j -0.000723074-0j 5.01018e-06-0j -0.00684206-0j 0.0580009-0j 1.08474e-06-0j -0.00730738-0j -0.000401888-0j 5.92608e-06-0j -8.70114e-05-0j -0.0012158-0j -0.000120512-0j -0.000128708-0j 0.00966682-0j 1.04379e-07-0j -5.03965e-05-0j 0.0103243-0j -2.14145e-05-0j -8.37268e-06-0j 1.95207e-08-0j -8.87657e-07-0j 0.00171775-0j 3.43828e-10-0j 7.12029e-05-0j -2.75799e-08-0j 
-0.00121718-0j 0.0205712-0j -0.24583-0j -1.50645e-05-0j 0.00024004-0j -1.53751e-06-0j -0.00140416-0j -0.000510644-0j -0.000665172-0j 0.000652933-0j 0.0102624-0j -0.0100736-0j -8.76442e-05-0j 8.60315e-05-0j -0.0565984-0j 0.0010474-0j 0.055557-0j -0.00102813-0j -0.0177013-0j 0.0173756-0j -0.00272149-0j 0.00267141-0j -0.000492685-0j -8.67789e-06-0j 0.000696091-0j 0.00744767-0j 0.000131179-0j -6.15856e-05-0j -0.0105225-0j -4.10571e-05-0j -0.0397705-0j -1.08474e-06-0j -7.23157e-07-0j 0.000981316-0j 8.70114e-05-0j -0.000700495-0j -3.62897e-06-0j 5.80076e-05-0j -0.0117269-0j 0.0561898-0j -0.00405905-0j 1.72844e-05-0j -6.39187e-08-0j -0.00138646-0j -0.000206552-0j -0.00208758-0j 5.1272e-06-0j -7.1494e-05-0j 0.0165684-0j -0.000195583-0j -3.67695e-05-0j 0.00573485-0j -3.4449e-06-0j 0.00294944-0j 0.00027633-0j 
-0.705121-0j 0.000855283-0j 7.12736e-05-0j 0.00420692-0j -0.102186-0j 0.000429367-0j 8.76442e-05-0j 5.16448e-06-0j -0.00260161-0j 0.00267142-0j -0.000419833-0j 0.000431099-0j 0.0499586-0j -0.0512992-0j 0.0072109-0j -4.2849e-05-0j -0.0074044-0j 4.39989e-05-0j -5.04981e-06-0j 5.18532e-06-0j -2.30491e-07-0j 2.36676e-07-0j 0.0019584-0j -0.00238452-0j 0.00141364-0j 0.00030965-0j -0.000377025-0j 0.000244799-0j 0.000223517-0j -0.0477327-0j 3.53338e-05-0j -0.000298065-0j 0.0581187-0j -0.00594618-0j 0.000176706-0j -4.30219e-05-0j 1.44249e-05-0j -0.0344553-0j -0.000495515-0j 2.55053e-05-0j 3.60624e-06-0j 0.00723999-0j -1.75636e-05-0j -0.00429218-0j 0.000603333-0j 3.0052e-07-0j 1.04125e-05-0j -4.39091e-06-0j -0.000357682-0j 1.11997e-08-0j -3.65909e-07-0j 2.60312e-06-0j -1.36366e-08-0j 2.16927e-07-0j 8.08438e-09-0j 
0.712429-0j -0.000864146-0j -7.20122e-05-0j 0.00412951-0j -0.100306-0j 0.000421467-0j 8.60315e-05-0j 5.06946e-06-0j -0.00267142-0j 0.00269801-0j -0.000431099-0j 0.00043539-0j 0.0512992-0j -0.0518098-0j 0.0074044-0j -4.39989e-05-0j -0.0074781-0j 4.44368e-05-0j -5.18532e-06-0j 5.23693e-06-0j -2.36676e-07-0j 2.39032e-07-0j -0.00197869-0j 0.0023788-0j -0.00130805-0j -0.000312858-0j 0.000376122-0j -0.000247336-0j -0.000206821-0j 0.0482273-0j -3.56999e-05-0j 0.00029735-0j -0.0579794-0j 0.0060078-0j -0.000163506-0j 4.29188e-05-0j -1.45744e-05-0j 0.0318816-0j 0.00050065-0j -2.36001e-05-0j -3.64361e-06-0j -0.00722264-0j 1.75215e-05-0j 0.00397157-0j -0.000601887-0j -3.03634e-07-0j -9.6347e-06-0j 4.38038e-06-0j 0.000330964-0j -1.13158e-08-0j 3.65032e-07-0j -2.40867e-06-0j 1.36039e-08-0j -2.00723e-07-0j -7.4805e-09-0j 
-0.000855283-0j -0.68811-0j 0.00181317-0j -0.000743685-0j 0.00586303-0j 0.0146816-0j -0.142517-0j 0.00017548-0j 0.000459904-0j -0.000472246-0j -0.00351064-0j 0.00360485-0j -0.00583035-0j 0.0059868-0j -0.000836212-0j 0.0693059-0j 0.000858652-0j -0.0711656-0j 0.0123601-0j -0.0126918-0j -9.7998e-06-0j 1.00628e-05-0j -0.000346199-0j 0.000421527-0j -0.000249899-0j 0.00258929-0j -0.00315268-0j 0.00416364-0j 0.00186905-0j -2.88499e-05-0j 0.000597167-0j -0.0050696-0j 3.51273e-05-0j -0.0328252-0j 0.00300548-0j -0.000727103-0j 0.000741135-0j -2.0825e-05-0j 8.64942e-05-0j 0.000431058-0j -0.0117891-0j 0.0399675-0j -0.000902397-0j -0.0236945-0j -0.000105314-0j -0.000982455-0j 0.00053498-0j 0.0143542-0j 6.24348e-05-0j 5.7181e-07-0j 0.00119622-0j -0.0085098-0j -6.96229e-07-0j -0.000709173-0j 4.12754e-07-0j 
0.000864146-0j 0.69524-0j -0.00183196-0j -0.000730002-0j 0.00575516-0j 0.0144114-0j -0.139895-0j 0.000172251-0j 0.000472246-0j -0.000476946-0j -0.00360485-0j 0.00364073-0j -0.0059868-0j 0.00604639-0j -0.000858652-0j 0.0711656-0j 0.000867198-0j -0.071874-0j 0.0126918-0j -0.0128181-0j -1.00628e-05-0j 1.01629e-05-0j 0.000349786-0j -0.000420517-0j 0.000231233-0j -0.00261612-0j 0.00314512-0j -0.00420679-0j -0.00172943-0j 2.91489e-05-0j -0.000603355-0j 0.00505745-0j -3.50431e-05-0j 0.0331653-0j -0.00278098-0j 0.00072536-0j -0.000748816-0j 1.92694e-05-0j -8.73905e-05-0j -0.000398859-0j 0.0119112-0j -0.0398717-0j 0.000900234-0j 0.0219246-0j 0.000105062-0j 0.000992636-0j -0.000495019-0j -0.0143198-0j -5.77711e-05-0j -5.77736e-07-0j -0.00119336-0j 0.00787414-0j 6.9456e-07-0j 0.0006562-0j -3.81923e-07-0j 
7.12736e-05-0j -0.00181317-0j -0.66632-0j 6.19738e-05-0j -0.00148642-0j 6.32517e-06-0j 0.0177013-0j -0.199428-0j -3.83254e-05-0j 3.93538e-05-0j 0.000890029-0j -0.000913913-0j -5.04981e-06-0j 5.18532e-06-0j -0.0099929-0j 9.08382e-05-0j 0.0102611-0j -9.32759e-05-0j 0.0472095-0j -0.0484763-0j 0.0224865-0j -0.0230899-0j 2.88499e-05-0j -3.51273e-05-0j 2.0825e-05-0j -0.000656445-0j 0.000799278-0j 3.60624e-06-0j -0.000473847-0j 2.40416e-06-0j 0.00713627-0j -4.39091e-06-0j -2.92727e-06-0j -8.64942e-05-0j 2.60312e-06-0j -0.00868902-0j 2.125e-07-0j 1.73541e-06-0j -0.0317857-0j 0.00515123-0j 0.000728342-0j 0.000105314-0j -2.58737e-07-0j -6.24348e-05-0j 0.0387019-0j -0.0116047-0j 1.5339e-07-0j -0.00088682-0j -0.0229442-0j -0.00219672-0j 0.0141297-0j 0.000525745-0j 0.00267469-0j -0.0083767-0j -0.00158567-0j 
-7.20122e-05-0j 0.00183196-0j 0.673226-0j 6.08335e-05-0j -0.00145907-0j 6.20879e-06-0j 0.0173756-0j -0.195759-0j -3.93538e-05-0j 3.97455e-05-0j 0.000913913-0j -0.00092301-0j -5.18532e-06-0j 5.23693e-06-0j -0.0102611-0j 9.32759e-05-0j 0.0103632-0j -9.42043e-05-0j 0.0484763-0j -0.0489589-0j 0.0230899-0j -0.0233197-0j -2.91489e-05-0j 3.50431e-05-0j -1.92694e-05-0j 0.000663247-0j -0.000797362-0j -3.64361e-06-0j 0.000438452-0j -2.42907e-06-0j -0.00721022-0j 4.38038e-06-0j 2.92025e-06-0j 8.73905e-05-0j -2.40867e-06-0j 0.0086682-0j -2.14702e-07-0j -1.60578e-06-0j 0.0321151-0j -0.00476645-0j -0.00073589-0j -0.000105062-0j 2.58116e-07-0j 5.77711e-05-0j -0.0386091-0j 0.0117249-0j -1.41933e-07-0j 0.000884694-0j 0.0212303-0j 0.00221948-0j -0.0140958-0j -0.000486474-0j -0.00266828-0j 0.00775099-0j 0.00146723-0j 
0.0033997-0j 0.000600989-0j 5.00824e-05-0j -0.579062-0j 0.000492685-0j 0.000301707-0j 6.15856e-05-0j 3.62897e-06-0j 0.0018579-0j 0.00187715-0j -0.0587301-0j -0.0593387-0j 0.000244799-0j 0.000247336-0j 3.53338e-05-0j 3.05999e-05-0j 3.56999e-05-0j 3.0917e-05-0j 3.60624e-06-0j 3.64361e-06-0j 1.64601e-07-0j 1.66307e-07-0j -0.00274494-0j 0.00170286-0j 0.000993337-0j -0.000434014-0j 0.000269246-0j 0.0672122-0j 0.00015706-0j -0.000228745-0j 0.00970125-0j -0.041696-0j 0.000141905-0j -5.71863e-05-0j -0.0243227-0j -0.0060183-0j -2.02184e-05-0j 8.27781e-05-0j -4.76553e-06-0j -0.00351068-0j -5.0546e-06-0j 3.54763e-05-0j 1.25428e-05-0j 2.06945e-05-0j 2.95636e-06-0j -4.21217e-07-0j 7.31662e-06-0j 3.13569e-06-0j 1.72454e-06-0j -1.56978e-08-0j 2.61308e-07-0j 1.82915e-06-0j 9.73836e-09-0j 1.5243e-07-0j 5.68071e-09-0j 
-0.00420692-0j -0.000743685-0j -6.19738e-05-0j 0.0101993-0j -8.67789e-06-0j -5.3141e-06-0j -1.08474e-06-0j -6.39187e-08-0j 0.00226215-0j 0.00225673-0j -0.071509-0j -0.0713376-0j 0.000298065-0j 0.00029735-0j 4.30219e-05-0j 3.72581e-05-0j 4.29188e-05-0j 3.71688e-05-0j 4.39091e-06-0j 4.38038e-06-0j 2.00417e-07-0j 1.99936e-07-0j -0.00170286-0j 2.95122e-05-0j 0.0024059-0j -0.000269246-0j 4.66629e-06-0j 0.041696-0j 0.000380405-0j -0.000141905-0j 0.0060183-0j -0.000722631-0j 2.45935e-06-0j -3.54763e-05-0j -0.0589103-0j -0.000104303-0j -1.25428e-05-0j 0.000200491-0j -2.95636e-06-0j -0.00850297-0j -3.13569e-06-0j 6.14837e-07-0j 2.17378e-07-0j 5.01228e-05-0j 5.12364e-08-0j -2.61308e-07-0j 1.77211e-05-0j 5.43445e-08-0j 4.1769e-06-0j -9.73836e-09-0j 4.5287e-09-0j 4.43027e-06-0j 1.68775e-10-0j 3.69189e-07-0j 1.37589e-08-0j 
0.0825789-0j 0.00473805-0j 0.00120121-0j -0.000492685-0j -0.566085-0j -5.02844e-05-0j 0.000981316-0j 0.000116254-0j -0.00030965-0j -0.000312858-0j 0.00236368-0j 0.00238818-0j 0.00594618-0j 0.0060078-0j -0.0820538-0j 0.000241242-0j -0.0829041-0j 0.000243742-0j 8.64942e-05-0j 8.73905e-05-0j 6.59812e-06-0j 6.6665e-06-0j 0.00045749-0j -0.000283811-0j -0.000165556-0j -0.00342166-0j 0.00212267-0j 5.71863e-05-0j 0.00123823-0j -0.0111506-0j -0.000789137-0j -3.54763e-05-0j 0.00691741-0j 0.0657059-0j -2.06945e-05-0j 0.000489552-0j 3.36974e-06-0j 0.00403516-0j 0.016658-0j 0.000285572-0j -8.0541e-05-0j -0.0407616-0j -2.09046e-06-0j -0.0237776-0j -0.010334-0j -1.34937e-05-0j -1.21944e-06-0j 4.99647e-05-0j -0.00602817-0j -7.55629e-07-0j 8.371e-06-0j 2.91461e-05-0j 4.68765e-07-0j 4.88308e-06-0j 2.73446e-07-0j 
0.00245404-0j 0.000433816-0j 3.61514e-05-0j 0.81813-0j -0.000696091-0j -0.000426267-0j -8.70114e-05-0j -5.1272e-06-0j 0.0013411-0j 0.00124093-0j -0.0423936-0j -0.039227-0j 0.000176706-0j 0.000163506-0j 2.55053e-05-0j 2.20882e-05-0j 2.36001e-05-0j 2.04383e-05-0j 2.60312e-06-0j 2.40867e-06-0j 1.18816e-07-0j 1.0994e-07-0j 0.000993337-0j -0.0024059-0j 0.00277627-0j 0.00015706-0j -0.000380405-0j -0.0243227-0j 0.000438967-0j 8.27781e-05-0j -0.00351068-0j 0.0589103-0j -0.000200491-0j 2.06945e-05-0j -0.0679793-0j 0.00850297-0j 7.31662e-06-0j 0.000231356-0j 1.72454e-06-0j -0.00981197-0j 1.82915e-06-0j -5.01228e-05-0j -1.77211e-05-0j 5.7839e-05-0j -4.1769e-06-0j 1.5243e-07-0j 2.04492e-05-0j -4.43027e-06-0j 4.81992e-06-0j 5.68071e-09-0j -3.69189e-07-0j 5.11229e-06-0j -1.37589e-08-0j 4.26024e-07-0j 1.5877e-08-0j 
-0.000346981-0j 0.0118645-0j -5.11151e-06-0j -0.000301707-0j -5.02844e-05-0j -0.570075-0j 0.0012158-0j -3.7038e-07-0j -0.000189621-0j -0.000191586-0j -3.05999e-05-0j -3.0917e-05-0j 0.00483275-0j 0.00488283-0j -3.60624e-06-0j -0.0578186-0j -3.64361e-06-0j -0.0584178-0j 7.11931e-05-0j 7.19309e-05-0j -1.67996e-08-0j -1.69737e-08-0j 0.000280155-0j -0.000173798-0j -0.000101382-0j 4.42963e-05-0j -2.74798e-05-0j -0.00677372-0j -1.60299e-05-0j 2.33462e-05-0j 5.0546e-06-0j 0.00420217-0j -1.44831e-05-0j -0.00112895-0j 0.00245126-0j -3.13569e-06-0j 0.115808-0j -8.4485e-06-0j 4.86379e-07-0j -1.82915e-06-0j 0.00955068-0j 0.000700361-0j -0.0718429-0j 0.000408544-0j -3.01732e-07-0j -8.31552e-06-0j -0.0419084-0j -0.0059249-0j -1.7601e-07-0j 1.60215e-09-0j 5.15865e-06-0j -0.00345619-0j -9.93918e-10-0j 3.00921e-06-0j -5.79785e-10-0j 
