-0.00412106-0j -0.000651597-0j 0.100908-0j -0.000343422-0j 0.0145648-0j -8.58555e-05-0j -3.03545e-05-0j -7.15463e-06-0j -7.58863e-06-0j -6.32386e-07-0j -2.35676e-08-0j -0.00383076-0j -0.000597224-0j -0.000462608-0j -6.67717e-05-0j 0.0827232-0j 0.0146235-0j -4.97687e-05-0j 0.00121863-0j -4.31009e-05-0j -8.79794e-06-0j -4.39897e-06-0j -5.18424e-07-0j -6.34937e-07-0j -4.0985e-08-0j -1.29091e-09-0j -0.00251794-0j -0.00254403-0j -0.000388526-0j -0.000392552-0j -0.000296742-0j -0.000299817-0j -4.2831e-05-0j -4.32748e-05-0j -0.000265414-0j 0.0713734-0j -0.000268164-0j 0.072113-0j -4.6919e-05-0j -4.74052e-05-0j -3.90992e-06-0j 0.00839002-0j -3.95043e-06-0j 0.00513782-0j 0.00847696-0j -2.47285e-05-0j 0.00519106-0j 0.00104875-0j -2.49847e-05-0j -3.56925e-06-0j 0.00105962-0j 6.17983e-05-0j -4.37142e-06-0j -3.60624e-06-0j 6.24387e-05-0j -1.09285e-06-0j -4.41672e-06-0j -5.15177e-07-0j -3.1548e-07-0j -1.10418e-06-0j -5.20515e-07-0j -2.35145e-08-0j -3.18749e-07-0j -3.21985e-08-0j -2.37582e-08-0j -3.25322e-08-0j -1.69701e-09-0j -1.7146e-09-0j -4.62898e-11-0j -4.67695e-11-0j 
0.000686844-0j -0.00513704-0j 8.58555e-05-0j -0.0167407-0j -0.00118475-0j 0.0986462-0j 5.05908e-06-0j 0.0250091-0j -0.000120919-0j -2.02585e-05-0j -1.13445e-06-0j 0.00063846-0j -0.00470837-0j 7.71013e-05-0j -0.00106395-0j -0.0102577-0j -0.000588546-0j 0.114759-0j -0.00014921-0j -0.00104692-0j 0.020431-0j -3.46804e-05-0j 0.00242041-0j -1.52287e-05-0j -1.6429e-06-0j -7.25312e-08-0j 0.000419656-0j 0.000424005-0j -0.00306305-0j -0.00309479-0j 4.9457e-05-0j 4.99695e-05-0j -0.000682477-0j -0.000689549-0j -0.00644691-0j 3.02861e-05-0j -0.00651372-0j 3.05999e-05-0j -0.000369898-0j -0.000373731-0j -9.37778e-05-0j 0.0492119-0j -9.47496e-05-0j 4.37142e-06-0j 0.0497219-0j -0.00120543-0j 4.41672e-06-0j -8.53096e-05-0j -0.00121792-0j 0.0166342-0j -8.61936e-05-0j -1.01064e-05-0j 0.00502267-0j 0.0168066-0j -1.02111e-05-0j 1.82142e-07-0j 0.00507472-0j 0.00180081-0j -5.02692e-06-0j 1.8403e-07-0j 0.00181947-0j 0.000137373-0j -5.07901e-06-0j -1.03148e-06-0j 0.000138797-0j -1.04217e-06-0j -8.16872e-08-0j -8.25337e-08-0j -2.97351e-09-0j -3.00432e-09-0j 
0.000420604-0j 6.65034e-05-0j -0.0101696-0j 3.50504e-05-0j 7.58863e-06-0j -0.00169493-0j 0.173866-0j 7.30216e-07-0j 0.0143387-0j -1.24843e-05-0j 2.40536e-09-0j 0.000390975-0j 6.09539e-05-0j -0.00913265-0j 6.81486e-06-0j 4.31009e-05-0j -0.00147377-0j 5.0795e-06-0j 6.34937e-07-0j 0.0814393-0j -0.000173686-0j 0.0251966-0j 5.29114e-08-0j 0.00119971-0j -8.09112e-07-0j 1.31753e-10-0j 0.000256986-0j 0.000259649-0j 3.96538e-05-0j 4.00647e-05-0j -0.00585817-0j -0.00591888-0j 4.37142e-06-0j 4.41672e-06-0j 2.70887e-05-0j 1.85464e-05-0j 2.73694e-05-0j 1.87386e-05-0j -0.000926259-0j -0.000935858-0j 3.99054e-07-0j 4.37142e-06-0j 4.0319e-07-0j 0.0495588-0j 4.41672e-06-0j -0.000488181-0j 0.0500724-0j -0.000105694-0j -0.00049324-0j 3.64285e-07-0j -0.00010679-0j 3.21985e-08-0j 0.0082598-0j 3.6806e-07-0j 3.25322e-08-0j 0.0125626-0j 0.0083454-0j -1.01704e-05-0j 0.00180702-0j 0.0126928-0j -1.02758e-05-0j 2.39994e-09-0j 0.00182574-0j 6.08392e-05-0j 2.42481e-09-0j 6.14697e-05-0j -3.35018e-08-0j -3.3849e-08-0j 4.72443e-12-0j 4.77339e-12-0j 
-8.58555e-05-0j 0.00129783-0j 0.00103256-0j -7.15463e-06-0j -0.00693042-0j -0.016453-0j 0.000183798-0j -0.00204354-0j 0.136818-0j 0.035001-0j -3.40824e-05-0j -7.98074e-05-0j 0.00118953-0j 0.000927278-0j -0.00622376-0j -8.79794e-06-0j -0.0143062-0j 9.91279e-05-0j -0.0017769-0j 0.000173686-0j 0.0789006-0j -0.00254653-0j -0.000298226-0j 0.0350789-0j 0.00379387-0j -2.61722e-06-0j -5.2457e-05-0j -5.30006e-05-0j 0.000773856-0j 0.000781875-0j 0.000594806-0j 0.00060097-0j -0.00399226-0j -0.00403363-0j -5.52946e-06-0j -3.78576e-06-0j -5.58676e-06-0j -3.82499e-06-0j -0.00899139-0j -0.00908456-0j -0.00111677-0j 8.53096e-05-0j -0.00112834-0j 0.000105694-0j 8.61936e-05-0j 4.95672e-05-0j 0.00010679-0j 0.0480139-0j 5.00809e-05-0j -0.000332688-0j 0.0485115-0j -0.000181481-0j -0.00168415-0j -0.000336136-0j -0.000183362-0j 8.83063e-06-0j -0.00170161-0j 0.0141576-0j 0.00854655-0j 8.92214e-06-0j 0.0143043-0j -2.26232e-05-0j 0.00863512-0j 0.00358274-0j -2.28577e-05-0j 0.00361987-0j 0.000236123-0j 0.00023857-0j -1.25256e-07-0j -1.26554e-07-0j 
5.05908e-06-0j -0.000153751-0j 6.32386e-07-0j 4.2159e-07-0j 0.00252036-0j -2.02585e-05-0j 3.72637e-08-0j -0.0230232-0j 0.000257233-0j 0.0931537-0j 0.0551441-0j 4.7027e-06-0j -0.000140921-0j 5.67905e-07-0j 0.00226337-0j 5.18424e-07-0j -1.76151e-05-0j -1.17434e-05-0j -0.0200191-0j 5.29114e-08-0j 0.000298226-0j -1.03798e-06-0j 0.0763665-0j -0.00204319-0j 0.0315193-0j 0.00709721-0j 3.09106e-06-0j 3.12309e-06-0j -9.16767e-05-0j -9.26268e-05-0j 3.64285e-07-0j 3.6806e-07-0j 0.00145185-0j 0.0014669-0j 3.25826e-07-0j 2.23078e-07-0j 3.29203e-07-0j 2.2539e-07-0j -1.1071e-05-0j -1.11857e-05-0j -0.0125819-0j -1.01064e-05-0j -0.0127123-0j 3.21985e-08-0j -1.02111e-05-0j 3.03571e-08-0j 3.25322e-08-0j 0.000181481-0j 3.06717e-08-0j 0.000120987-0j 0.000183362-0j 0.0464718-0j -1.03148e-06-0j 0.000122241-0j 0.0469534-0j 1.34161e-09-0j -1.04217e-06-0j -0.00165781-0j 1.06939e-05-0j 1.35551e-09-0j -0.00167499-0j 0.0180837-0j 1.08047e-05-0j 0.00474301-0j 0.0182711-0j 0.00479216-0j 0.00397071-0j 0.00401186-0j 0.000511119-0j 0.000516415-0j 
0.00370086-0j -0.144335-0j 0.000462608-0j 0.000308405-0j 6.67717e-05-0j 7.71013e-05-0j 2.72594e-05-0j 6.42511e-06-0j 6.81486e-06-0j 5.67905e-07-0j 2.11646e-08-0j 4.89666e-05-0j 7.63401e-06-0j -0.00145857-0j -0.000210526-0j 5.39806e-06-0j 9.54252e-07-0j 6.36168e-07-0j 7.9521e-08-0j 5.50937e-07-0j 1.1246e-07-0j 5.62298e-08-0j 6.62675e-09-0j 8.11607e-09-0j 5.2389e-10-0j 1.6501e-11-0j 0.0022612-0j -0.00221959-0j 0.00034891-0j -0.000342491-0j 0.000266485-0j -0.000261581-0j 3.84638e-05-0j -3.7756e-05-0j -0.0587916-0j 0.000163188-0j 0.0577098-0j -0.000160185-0j -0.010393-0j 0.0102018-0j -0.000866082-0j 3.84638e-05-0j 0.000850146-0j 2.35541e-05-0j -3.7756e-05-0j 2.22071e-05-0j -2.31208e-05-0j 4.80797e-06-0j -2.17985e-05-0j 3.20531e-06-0j -4.7195e-06-0j 2.83312e-07-0j 3.92569e-06-0j -3.14634e-06-0j -2.78099e-07-0j 9.81423e-07-0j -3.85346e-06-0j 4.62647e-07-0j 2.83312e-07-0j -9.63365e-07-0j -4.54135e-07-0j 2.11169e-08-0j -2.78099e-07-0j 2.89154e-08-0j -2.07283e-08-0j -2.83834e-08-0j 1.52398e-09-0j -1.49594e-09-0j 4.15699e-11-0j -4.0805e-11-0j 
-0.000597224-0j 0.00446675-0j 0.0146235-0j -4.97687e-05-0j -0.201796-0j 0.000588546-0j -4.39897e-06-0j 0.00014921-0j 0.000105141-0j 1.76151e-05-0j 9.86424e-07-0j -7.90195e-06-0j 5.82736e-05-0j -9.54252e-07-0j 1.31681e-05-0j 0.000170639-0j -0.00142688-0j 4.85613e-06-0j -0.000361747-0j -8.89071e-08-0j 1.73505e-06-0j 4.29225e-07-0j 2.05547e-07-0j 1.8848e-07-0j 2.03335e-08-0j 8.9769e-10-0j -0.000364899-0j 0.000358185-0j 0.00266338-0j -0.00261437-0j -4.30038e-05-0j 4.22125e-05-0j 0.000593427-0j -0.000582508-0j -3.84638e-05-0j 0.0103434-0j 3.7756e-05-0j -0.0101531-0j 0.000321633-0j -0.000315715-0j 8.15416e-05-0j -0.0575142-0j -8.00413e-05-0j 0.000744572-0j 0.056456-0j -3.58365e-06-0j -0.000730872-0j -0.0145305-0j 3.51771e-06-0j 4.94522e-05-0j 0.0142632-0j -0.0017214-0j 2.99664e-05-0j -4.85423e-05-0j 0.00168972-0j -1.58376e-07-0j -2.94151e-05-0j 1.07441e-05-0j 4.371e-06-0j 1.55462e-07-0j -1.05464e-05-0j 8.19599e-07-0j -4.29058e-06-0j 8.96893e-07-0j -8.04519e-07-0j -8.8039e-07-0j 7.10286e-08-0j -6.97217e-08-0j 2.58552e-09-0j -2.53795e-09-0j 
-0.000487632-0j -7.71013e-05-0j 0.00586462-0j 0.0118852-0j -8.79794e-06-0j -0.142452-0j 0.00104391-0j 0.000123381-0j 0.000173686-0j 7.1995e-06-0j -2.78868e-09-0j -6.45192e-06-0j -1.00587e-06-0j 7.49645e-05-0j -1.1246e-07-0j 0.000103659-0j 1.20973e-05-0j 2.45164e-05-0j -1.04778e-08-0j -0.00204639-0j -0.000207779-0j 2.15335e-06-0j 1.27253e-07-0j 2.06849e-07-0j 6.64152e-09-0j -2.1742e-12-0j -0.000297939-0j 0.000292457-0j -4.5973e-05-0j 4.51271e-05-0j 0.00337831-0j -0.00331615-0j -5.06805e-06-0j 4.97479e-06-0j 0.00457704-0j -2.15019e-05-0j -0.00449283-0j 2.11063e-05-0j 0.000534157-0j -0.000524329-0j -4.62647e-07-0j 0.000738617-0j 4.54135e-07-0j 0.00060031-0j -0.000725027-0j -0.0823407-0j -0.000589264-0j 6.09521e-05-0j 0.0808256-0j 0.000123525-0j -5.98306e-05-0j -3.73297e-08-0j -0.0145815-0j -0.000121252-0j 3.66428e-08-0j 5.01551e-05-0j 0.0143132-0j -0.000854783-0j 1.08496e-05-0j -4.92323e-05-0j 0.000839055-0j 4.05506e-07-0j -1.06499e-05-0j 7.3695e-07-0j -3.98045e-07-0j -7.2339e-07-0j 1.93199e-08-0j -1.89645e-08-0j -5.47732e-12-0j 5.37653e-12-0j 
7.03836e-05-0j -0.00106395-0j 8.79794e-06-0j -0.00171548-0j 0.00568149-0j 0.020431-0j 5.18424e-07-0j -0.244155-0j 0.000579865-0j 0.000298226-0j 2.79405e-05-0j 9.31254e-07-0j -1.38804e-05-0j 1.1246e-07-0j 7.26236e-05-0j -1.49618e-05-0j -1.73505e-06-0j 0.000338312-0j 2.07342e-05-0j -1.52704e-06-0j -0.00139459-0j -1.02239e-07-0j -0.000507164-0j 2.11617e-06-0j 4.60118e-07-0j 3.05397e-08-0j 4.30038e-05-0j -4.22125e-05-0j -0.0006344-0j 0.000622727-0j 5.06805e-06-0j -4.97479e-06-0j 0.00327282-0j -0.0032126-0j -0.000660639-0j 3.10353e-06-0j 0.000648484-0j -3.04643e-06-0j -7.66111e-05-0j 7.52014e-05-0j 0.000915517-0j 0.0101925-0j -0.000898672-0j 4.47956e-07-0j -0.0100049-0j -0.000123525-0j -4.39714e-07-0j 0.000409102-0j 0.000121252-0j -0.0797695-0j -0.000401575-0j 0.000148777-0j 0.00104027-0j 0.0783018-0j -0.000146039-0j 1.86648e-08-0j -0.00102113-0j -0.0175806-0j 2.41066e-05-0j -1.83214e-08-0j 0.0172572-0j -0.00270294-0j -2.3663e-05-0j 1.51845e-05-0j 0.00265321-0j -1.49051e-05-0j 2.01188e-06-0j -1.97487e-06-0j 1.02684e-07-0j -1.00794e-07-0j 
6.09539e-05-0j -0.000455886-0j -0.00147377-0j 5.0795e-06-0j -0.000105141-0j 0.0116189-0j 0.0251966-0j -1.52287e-05-0j -0.198664-0j 0.000347752-0j -1.00677e-07-0j 8.0649e-07-0j -5.94752e-06-0j -1.88385e-05-0j -1.34396e-06-0j 8.89071e-08-0j 0.000143802-0j -4.95627e-07-0j -1.8848e-07-0j 0.00016799-0j 3.42528e-05-0j -0.00245853-0j -2.09786e-08-0j -0.000356132-0j 4.01418e-07-0j -9.16201e-11-0j 3.72424e-05-0j -3.65571e-05-0j -0.00027183-0j 0.000266828-0j -0.000848966-0j 0.000833345-0j -6.05664e-05-0j 5.9452e-05-0j 3.92569e-06-0j 2.68774e-06-0j -3.85346e-06-0j -2.63828e-06-0j 0.00634958-0j -0.00623275-0j -8.32231e-06-0j -2.99664e-05-0j 8.16918e-06-0j 0.00718206-0j 2.94151e-05-0j -7.07472e-05-0j -0.00704991-0j 0.0014644-0j 6.94455e-05-0j -5.0472e-06-0j -0.00143746-0j -8.96893e-07-0j -0.0566216-0j 4.95433e-06-0j 8.8039e-07-0j 0.00182058-0j 0.0555798-0j 0.000212105-0j -0.0250364-0j -0.00178708-0j -0.000208203-0j -8.365e-08-0j 0.0245757-0j -0.00169468-0j 8.21109e-08-0j 0.0016635-0j 1.40222e-06-0j -1.37642e-06-0j -2.63884e-10-0j 2.59028e-10-0j 
-7.18349e-06-0j 0.000163452-0j 8.6394e-05-0j -5.98624e-07-0j -0.0017769-0j -0.00207213-0j 1.53783e-05-0j 0.00791451-0j 0.0350789-0j -0.278012-0j 0.000546972-0j -9.50457e-08-0j 2.1324e-06-0j 1.10433e-06-0j -2.27132e-05-0j -1.04778e-08-0j -2.56459e-05-0j 1.777e-07-0j 9.79546e-05-0j 2.06849e-07-0j 0.000287942-0j -4.565e-06-0j 3.3717e-05-0j -0.00193379-0j -0.000647939-0j 7.48621e-07-0j -4.38906e-06-0j 4.3083e-06-0j 9.74609e-05-0j -9.56676e-05-0j 4.97672e-05-0j -4.88515e-05-0j -0.00102358-0j 0.00100475-0j -4.62647e-07-0j -3.16753e-07-0j 4.54135e-07-0j 3.10925e-07-0j -0.00113239-0j 0.00111156-0j 0.00432518-0j 1.07441e-05-0j -0.0042456-0j 8.8434e-06-0j -1.05464e-05-0j 4.14727e-06-0j -8.68068e-06-0j 0.0123103-0j -4.07096e-06-0j -8.52983e-05-0j -0.0120838-0j 0.0014415-0j -0.000212105-0j 8.37288e-05-0j -0.00141498-0j 7.38855e-07-0j 0.000208203-0j -0.0548316-0j 0.00219126-0j -7.2526e-07-0j 0.0538228-0j 0.000271447-0j -0.00215094-0j -0.0284576-0j -0.000266452-0j 0.027934-0j -0.00378942-0j 0.00371969-0j 3.02381e-06-0j -2.96818e-06-0j 
