-0.166168-0j -0.187707-0j -0.153262-0j -0.15485-0j -0.134104-0j -0.110631-0j -0.035347-0j -0.0217575-0j -0.0240811-0j -0.0190378-0j -0.0126919-0j -0.0192351-0j -0.0222107-0j -0.00785268-0j -0.0129563-0j -0.0137422-0j -0.00801628-0j -0.00209124-0j 0.0872684-0j 0.0125961-0j -0.0154469-0j -0.00222957-0j -0.0119651-0j -0.0120891-0j -0.00172702-0j -0.0109226-0j -0.00174492-0j -0.00157654-0j -0.0135161-0j -0.00901071-0j -0.00788437-0j -0.00195087-0j -0.0078035-0j -0.00130058-0j -0.00113801-0j -0.00112634-0j -0.0111502-0j -0.00557509-0j -0.00160939-0j -0.00459921-0j -0.000804695-0j -0.00563286-0j -0.000663839-0j -0.0025452-0j -0.000813034-0j -0.000367368-0j -0.000561164-0j -8.0997e-05-0j 
0.181342-0j 0.00291577-0j 0.167258-0j -0.16418-0j 0.00208313-0j -0.23631-0j -0.151554-0j -0.121176-0j 0.000374067-0j 0.0207763-0j 0.0138508-0j -0.020394-0j 0.000345013-0j 0.00856977-0j -0.027675-0j -0.0145702-0j -0.0257468-0j -0.0112161-0j 0.0154469-0j 0.00222957-0j -0.00122453-0j -0.000176746-0j 0.0130578-0j -0.0128175-0j 0.00188472-0j 0.01192-0j -0.00185005-0j 0.00172051-0j 0.000209953-0j 0.000139969-0j -0.0168413-0j 3.03041e-05-0j 0.00851609-0j 2.02028e-05-0j -0.00243083-0j 0.00122919-0j -0.011822-0j 8.66013e-05-0j -0.00170635-0j -0.0147718-0j 1.24998e-05-0j -0.012032-0j -0.00213213-0j -0.0109128-0j -0.00173667-0j -0.00157513-0j -0.00361342-0j -0.000521553-0j 
-0.569493-0j 0.158675-0j -0.127479-0j 0.1309-0j -0.336451-0j -0.0920192-0j 0.0298799-0j 0.0183922-0j -0.0825308-0j -0.0158351-0j 0.0107288-0j 0.01626-0j -0.0184742-0j -0.0328711-0j 0.0109523-0j -0.0344774-0j -0.0066677-0j 0.00176779-0j 0.0119651-0j 0.00172702-0j 0.0130578-0j 0.00188472-0j 0.0403491-0j -0.0414319-0j 0.0058239-0j 0.00923323-0j -0.00598018-0j 0.0013327-0j -0.0112423-0j 0.00761702-0j 0.00666489-0j -0.00162268-0j -0.019578-0j 0.00109942-0j 0.000961995-0j -0.00282584-0j -0.00927439-0j -0.0233372-0j -0.00133864-0j 0.00388786-0j -0.00336843-0j -0.0141321-0j 0.000561164-0j -0.00211702-0j -0.0020398-0j -0.000305566-0j 0.000474369-0j 6.84692e-05-0j 
0.575394-0j 0.155755-0j -0.1309-0j 0.132203-0j 0.111277-0j -0.0865337-0j -0.319316-0j -0.0185828-0j -0.0810123-0j -0.01626-0j -0.01084-0j 0.0164218-0j 0.01843-0j -0.0067069-0j -0.0101342-0j 0.0117323-0j -0.0326905-0j -0.0327267-0j -0.0120891-0j -0.00174492-0j 0.0128175-0j 0.00185005-0j 0.0414319-0j -0.0418443-0j 0.00598018-0j -0.00932891-0j -0.0060397-0j -0.00134651-0j 0.0112153-0j 0.00747687-0j -0.00616705-0j 0.00161879-0j -0.00666489-0j 0.00107919-0j -0.000890137-0j -0.000961995-0j 0.0095194-0j 0.00462608-0j 0.00137401-0j -0.0187557-0j 0.000667717-0j -0.00440595-0j -0.00270715-0j -0.0229927-0j -0.000635944-0j -0.00331871-0j -0.0134258-0j -0.00193784-0j 
0.128228-0j -0.437169-0j -0.235911-0j -0.238355-0j 0.103485-0j 0.0853711-0j 0.0272765-0j 0.0167897-0j 0.0185828-0j -0.0443389-0j -0.0488662-0j -0.0447984-0j -0.0341881-0j 0.00605974-0j -0.0199431-0j 0.0106045-0j 0.00618598-0j 0.00161377-0j 0.0109226-0j 0.00157654-0j 0.01192-0j 0.00172051-0j 0.00923323-0j 0.00932891-0j 0.0013327-0j 0.0507425-0j 0.00134651-0j 0.00732406-0j -0.0314788-0j -0.034693-0j -0.0183627-0j -0.00454358-0j -0.0120116-0j -0.00500751-0j -0.00265042-0j -0.00173373-0j -0.017163-0j 0.00430217-0j -0.00247727-0j -0.00707939-0j 0.000620965-0j 0.00434675-0j -0.00102182-0j 0.00196407-0j 0.0006274-0j 0.000283489-0j 0.000433037-0j 6.25035e-05-0j 
-0.158675-0j 0.00770006-0j 0.144003-0j 0.143658-0j 0.00540973-0j -0.203455-0j 0.132609-0j -0.0207763-0j -0.000327308-0j -0.0539865-0j -0.0121195-0j -0.0538571-0j 0.000297044-0j 0.0371319-0j 0.0242156-0j -0.0378377-0j -0.0221671-0j 0.00981412-0j -0.0135161-0j -0.00195087-0j -0.000209953-0j -3.03041e-05-0j 0.0112423-0j 0.0112153-0j 0.00162268-0j 0.0314788-0j 0.00161879-0j 0.00454358-0j -0.000545557-0j -0.000122473-0j -0.044475-0j -7.87444e-05-0j 0.0221157-0j -1.76774e-05-0j -0.00641941-0j 0.00319212-0j -0.0101783-0j 0.000375234-0j -0.00146911-0j 0.0129253-0j 5.41604e-05-0j -0.0312462-0j 0.00186561-0j -0.00939552-0j -0.00451-0j -0.00135613-0j 0.00316175-0j 0.000456359-0j 
-0.105783-0j -0.00170087-0j 0.4868-0j -0.477843-0j -0.00121516-0j 0.137848-0j 0.0884063-0j -0.0138508-0j -0.000218206-0j -0.0121195-0j -0.0562152-0j 0.0118965-0j 0.00100415-0j -0.00499903-0j -0.0805475-0j 0.00849926-0j 0.015019-0j 0.00654275-0j -0.00901071-0j -0.00130058-0j -0.000139969-0j -2.02028e-05-0j -0.00761702-0j 0.00747687-0j -0.00109942-0j 0.034693-0j 0.00107919-0j 0.00500751-0j -0.000122473-0j -0.000568079-0j 0.00982407-0j -1.76774e-05-0j 0.0247859-0j -8.19952e-05-0j 0.00141798-0j 0.00357754-0j -0.0344076-0j -5.05174e-05-0j -0.00496631-0j -0.0429931-0j -7.29156e-06-0j 0.00701866-0j -0.00620552-0j 0.00636579-0j 0.00101306-0j 0.000918823-0j 0.00210783-0j 0.000304239-0j 
0.0925601-0j 0.617655-0j 0.0853711-0j 0.0789941-0j -0.14621-0j 0.238603-0j -0.255105-0j 0.0121195-0j -0.0262548-0j -0.0320055-0j 0.0070697-0j -0.0296148-0j -0.0242156-0j 0.00437415-0j 0.0279435-0j 0.00701033-0j 0.00519572-0j -0.0515296-0j 0.00788437-0j 0.00113801-0j -0.0168413-0j -0.00243083-0j 0.00666489-0j 0.00616705-0j 0.000961995-0j -0.0183627-0j 0.000890137-0j -0.00265042-0j 0.044475-0j -0.00982407-0j -0.0513217-0j 0.00641941-0j 0.00434675-0j -0.00141798-0j -0.00740765-0j 0.0006274-0j 0.00568806-0j -0.00607833-0j 0.000821001-0j 0.00298096-0j -0.000877332-0j 0.0121487-0j 0.000430264-0j -0.0183691-0j 0.00175352-0j -0.00265135-0j -0.0307651-0j -0.00444056-0j 
-0.0916108-0j -0.103485-0j -0.500221-0j 0.170289-0j -0.0692277-0j 0.181019-0j -0.0194873-0j -0.0119952-0j -0.0132762-0j 0.0311506-0j 0.0349117-0j -0.0106045-0j -0.072492-0j -0.0550374-0j 0.014248-0j -0.00709402-0j 0.0131167-0j -0.00115293-0j -0.0078035-0j -0.00112634-0j -0.00851609-0j -0.00122919-0j 0.019578-0j -0.00666489-0j 0.00282584-0j 0.0120116-0j -0.000961995-0j 0.00173373-0j 0.0221157-0j 0.0247859-0j -0.00434675-0j 0.00319212-0j 0.00803531-0j 0.00357754-0j -0.0006274-0j 0.0011598-0j -0.0363922-0j -0.0390743-0j -0.00525276-0j 0.00505776-0j -0.00563989-0j -0.00290781-0j 0.000730025-0j 0.00416459-0j -0.000419706-0j 0.000601106-0j -0.000309377-0j -4.46547e-05-0j 
0.1309-0j -0.143658-0j 0.236962-0j 0.243223-0j 0.304609-0j -0.0785325-0j 0.294515-0j 0.0171395-0j -0.01843-0j -0.0147565-0j -0.0498842-0j -0.0151464-0j -0.033363-0j -0.0306322-0j -0.0186446-0j 0.0321161-0j -0.0296678-0j 0.0301848-0j 0.0111502-0j 0.00160939-0j -0.011822-0j -0.00170635-0j -0.00927439-0j -0.0095194-0j -0.00133864-0j -0.017163-0j -0.00137401-0j -0.00247727-0j 0.0101783-0j 0.0344076-0j 0.00568806-0j 0.00146911-0j 0.0363922-0j 0.00496631-0j 0.000821001-0j 0.00525276-0j -0.0172326-0j 0.0211285-0j -0.00248731-0j -0.0345061-0j 0.00304964-0j -0.0120609-0j -0.00498053-0j -0.0208667-0j -0.00174084-0j -0.00301185-0j 0.012383-0j 0.00178733-0j 
0.0654499-0j 0.00105236-0j -0.298927-0j -0.0592557-0j 0.009558-0j 0.42234-0j -0.0546986-0j 0.00856977-0j 0.000135008-0j -0.0371319-0j 0.00499903-0j -0.00736057-0j -0.000616617-0j 0.0220832-0j -0.00998844-0j -0.0668522-0j 0.0460154-0j -0.00404812-0j 0.00557509-0j 0.000804695-0j 8.66013e-05-0j 1.24998e-05-0j -0.0233372-0j -0.00462608-0j -0.00336843-0j 0.00430217-0j -0.000667717-0j 0.000620965-0j -0.000375234-0j 5.05174e-05-0j -0.00607833-0j -5.41604e-05-0j 0.0390743-0j 7.29156e-06-0j -0.000877332-0j 0.00563989-0j 0.0211285-0j 0.000223161-0j 0.00304964-0j -0.00533143-0j 3.22105e-05-0j -0.0552063-0j -0.000769526-0j 0.0195036-0j -0.00796834-0j 0.00281511-0j -0.00130415-0j -0.000188238-0j 
