0.0344291-0.0651099j -0.00196728+0.045673j -0.0157981-0.0123944j -0.141843+0.0168742j 0.0535956-0.0261233j 0.146423+0.0483249j -0.00434713-0.0310602j -0.0562121-0.0821718j 0.213304+0.00424313j 0.0468589-0.0629727j 0.249579+0.212993j 0.0593868-0.0870638j 0.127936-0.240304j -0.0938805+0.0845631j 0.231261-0.203115j -0.138102-0.212687j -0.0699028+0.169384j -0.405444-0.167719j -0.173444+0.117057j -0.124149+0.267552j -0.435543+0.28296j -0.195255+0.216889j 
0.0141704-0.0876856j 0.0417327-0.11396j -0.139829+0.108971j -0.156403+0.143328j -0.016019-0.103956j 0.0643424-0.0377645j 0.0819013+0.00778622j 0.0784083+0.00719459j -0.185081-0.124784j -0.0682714-0.0216634j 0.0222078+0.206626j 0.0829583+0.224088j 0.248521+0.126147j 0.340543-0.0469518j 0.128261+0.297715j 0.0399741-0.156167j 0.0435127-0.417716j -0.0502008-0.257066j -0.178486+0.117662j 0.0645477-0.208286j -0.275083+0.297058j 0.371862-0.131209j 
0.00379281-0.0997104j 0.0689491+0.19065j 0.00589993-0.0686686j -0.110738+0.0926362j -0.0146824+0.024468j -0.0662654-0.0987685j -0.221329+0.0658706j -0.238684+0.168969j 0.0365675+0.0376517j -0.137013+0.063387j 0.0436954+0.207372j 0.374763+0.0612796j 0.207382+0.0204689j 0.00321494+0.255912j 0.151216+0.154131j -0.269822+0.454612j -0.270462-0.0605298j 0.230028+0.0690703j 0.0555877+0.107495j -0.22179-0.0254731j -0.175118-0.0990475j -0.117621+0.254026j 
0.0592025+0.0811433j -0.0184406-0.113865j -0.0482901+0.107686j 0.0456869+0.0478035j -0.150345-0.0698542j 0.0835965+0.0720218j -0.261892+0.198429j -0.0425421+0.260761j -0.0971858+0.346267j -0.0344342-0.142919j -0.105481-0.0315841j -0.166676+0.0319166j 0.259739+0.257657j 0.277556+0.19368j -0.00375649-0.441732j 0.13615+0.0500487j 0.0243517+0.0517554j -0.0141446-0.347981j 0.0584442+0.0130187j -0.0591807+0.00476772j 0.030567-0.0587696j 0.101905-0.165828j 
-0.0765959-0.0265015j -0.0212956-0.0433174j 0.0371129+0.0330971j -0.0822553+0.0226878j 0.0976191+0.238345j 0.0111176+0.0710418j 0.0548046+0.00429192j 0.0733429-0.14884j -0.136142-0.155726j -0.284507-0.00928245j -0.10543-0.0953791j -0.0647915-0.284096j 0.16208+0.265836j -0.12817+0.0922365j 0.264605-0.137237j -0.441032-0.0300585j -0.0918526+0.0124805j 0.0265686+0.1179j -0.0655464+0.015613j 0.0233607+0.0113264j 0.00927505+0.0720756j 0.0563698-0.0145976j 
0.19479+0.0550978j 0.00246798+0.136023j -0.0352503-0.0450921j 0.0533712+0.0198781j 0.124744-0.110967j -0.0844664-0.0981587j -0.140185+0.00958835j -0.118905-0.187805j 0.0213681+0.106979j 0.0199398+0.0276661j 0.262685+0.00711068j -0.134329+0.0042703j -0.0152436+0.026177j 0.0203147-0.0976882j 0.11672-0.186762j 0.134284+0.0100611j -0.0918284+0.0976886j -0.127284-0.109525j 0.0561298-0.0134418j -0.0385058+0.0478991j -0.0130846-0.129477j -0.196371+0.0679462j 
0.0561592+0.00979486j -0.00461769+0.0718482j -0.0202138+0.0133931j 0.0603802+0.019418j 0.0249709-0.111631j 0.0968082+0.0136104j -0.450373+0.0312016j 0.268369+0.131779j 0.121417+0.0918831j 0.153733-0.268761j 0.102448-0.0936022j 0.0578927-0.290026j -0.278855+0.0192161j 0.132706-0.151841j 0.0825161+0.135522j 0.0460727-0.00420003j -0.0165176+0.0716045j 0.09615-0.242015j 0.0824294+0.0286926j -0.0406673+0.0338913j 0.0154269-0.0406901j -0.0772331+0.0296767j 
0.107485+0.16816j -0.0223313-0.0375351j 0.0555011-0.00033919j -0.0516699+0.00991532j -0.0190733+0.364014j -0.0355045+0.0395384j 0.142464-0.0462008j -0.00116406+0.437265j -0.277386+0.1692j 0.257331-0.262072j 0.104173-0.0296739j 0.178381+0.0270829j -0.0353434+0.136415j 0.0908026+0.348869j -0.0346095-0.243797j -0.270297-0.187434j -0.0890576+0.0765656j -0.142324+0.0927675j -0.0413525+0.0512266j 0.0509666+0.112898j 0.0220904-0.122918j 0.0538367-0.069459j 
0.132464+0.249928j -0.160671+0.123495j -0.222331+0.0138517j 0.0749873-0.09948j -0.223175+0.0704218j -0.274592+0.0390468j 0.271164+0.453123j -0.14449+0.134643j 0.00472687-0.265353j -0.20183+0.0271148j 0.0465036-0.207376j 0.370304-0.0638325j 0.12616+0.0549946j 0.0332988-0.0541305j 0.24547+0.171213j 0.234927+0.0719585j -0.06825+0.101495j 0.0129737+0.0246244j -0.102004-0.0864594j 0.00775165+0.0775648j 0.0684314-0.19942j -0.0143453-0.0830037j 
0.343049+0.0933107j 0.312251+0.314213j -0.0449846-0.186845j 0.194665+0.131958j -0.0606717+0.258628j -0.0391205-0.411286j 0.0244797+0.151044j 0.134491-0.301715j -0.333085-0.0360033j 0.256002-0.108652j -0.0365949+0.228208j -0.0931839+0.221891j -0.0702175+0.0190985j 0.162517-0.130658j 0.0696496+0.0016209j 0.0726993-0.000379644j -0.0749047-0.0433217j -0.00770155+0.109878j 0.17199+0.147495j 0.13436+0.101428j -0.0409928-0.0986362j 0.0157707+0.101494j 
0.230076+0.233388j -0.409853-0.254763j -0.139092-0.28025j -0.167184-0.0985026j 0.40143-0.165214j -0.0759518-0.189527j 0.135493-0.20606j -0.227175-0.215635j -0.117006-0.080539j -0.111282-0.249036j 0.253202-0.199118j 0.0547066+0.0986638j -0.0528343-0.0595392j 0.22348-0.00788527j 0.0645081-0.087097j 0.0104943-0.0332401j 0.141212-0.045319j -0.0553551-0.0214958j -0.129418-0.0104271j -0.0037818+0.0199376j -0.00555416-0.0549442j -0.0333242-0.0594885j 
-0.00776756-0.0244786j 0.0350378+0.0457431j -0.00980844-0.0224578j -0.0285702+0.0552224j 0.0202463-0.0183786j 0.0478819-0.0710299j -0.0199605-0.00321758j -0.0426721+0.0111789j 0.0698405-0.072089j -0.00878355-0.0274196j 0.0880682+0.0265336j 0.0187942-0.00491072j 0.0484699-0.042483j -0.0369354+0.0421535j -0.00575948-0.0663305j -0.109355-0.0926263j 0.0782727-0.0171661j 0.0194357-0.231102j -0.104918-0.0200963j 0.0555098+0.0034263j 0.141834-0.147536j -0.130398+0.122694j 
0.0439687+0.0537165j 0.0131936+0.0287064j -0.0114577-0.0759473j 0.0148069-0.0981705j 0.0195593+0.0285015j -0.0278581+0.0350335j -0.0120142+0.0265433j -0.00847347+0.0202976j 0.0506239+0.0277811j 0.0235012+0.0148674j 0.00690958-0.0299978j -0.0412279-0.0462742j -0.0249836-0.046996j -0.178326+0.0388555j -0.0586662-0.0115511j -0.0792986+0.100025j -0.0921765+0.0020111j -0.159871-0.114328j 0.0386013-0.0440253j 0.0334398-0.12132j -0.000816655-0.0834723j 0.100045-0.0957144j 
-0.0138349+0.00263533j -0.0900487-0.0552203j 0.0404538+0.0529053j 0.00921869-0.0344825j -0.035928-0.0099607j 0.026137+0.0701591j 0.0367428-0.044417j 0.0214543-0.0651545j -0.00203914+0.0427958j 0.0340022-0.0251847j 0.113315-0.0920481j -0.113484+0.00903894j -0.0554791-0.0467174j -0.0945358+0.089096j 0.0581012-0.0316172j 0.157524+0.0367197j 0.0908836-0.0897011j 0.046295-0.0080494j -0.0455809+0.146713j -0.0207694-0.126687j 0.0621897-0.127344j -0.237918+0.039967j 
-0.081221+0.000686101j 0.0719289+0.000171979j 0.0331752-0.00203444j 0.0286279+0.0067324j 0.0598886+0.0719243j 0.00981332+0.0893272j 0.0441133-0.0429152j 0.0123074-0.0751523j 0.0937311-0.0469684j -0.0351927-0.00179913j 0.00559038-0.0794185j 0.0558202-0.0832727j -0.0796117-0.0658766j 0.10346+0.085218j 0.0057259+0.148896j -0.000567916-0.0731855j -0.0387507+0.0128833j -0.00613125-0.0614389j 0.183258+0.0819719j -0.0136461-0.149959j 0.149879-0.0656474j 0.044002-0.145766j 
