-0.609783-0.555791j 0.615193-0.550985j -0.0519981+0.290729j 0.39443+0.00149737j -0.0502989-0.290332j 0.0924988+0.0253912j 0.0267325+0.0372864j -0.0335875+0.224414j -0.17314+0.0273652j -0.113932-0.0199126j 0.119311-0.0178066j 0.16747+0.0308458j 0.0312373+0.22446j -0.0277177+0.0386211j -0.092487+0.0250712j -0.0152254+0.0218486j -0.0076081+0.0247387j -0.102341-0.0375481j 0.0170356-0.0597564j -0.0326761+0.0616322j 0.00257481+0.150279j 0.0380529-0.0689553j 0.00531934-0.0468576j -0.150332+0.0256286j 0.0203035+0.0350522j 0.0995323+0.00171438j -0.0221688+0.0343981j -0.148454-0.031067j -0.00537011-0.05214j 0.0354459+0.0678374j -0.00765374+0.148242j 0.0303759+0.0648798j -0.0157447-0.0596215j 0.10282-0.035438j -0.00585497-0.0251168j -0.0153998-0.0218363j 
0.202736-0.291843j -0.204134-0.289213j 0.605622-0.0967337j 0.194062-0.000558231j 0.607663+0.096256j -0.265638-0.270778j -0.105789+0.201042j 0.12283+0.00978684j -0.00147446-0.0178879j -0.245854+0.0519115j 0.246312+0.0526077j -0.00692378-0.0185822j -0.122563+0.0067867j 0.10047+0.202106j 0.264416-0.270634j 0.115085-0.0924842j -0.00606812-0.0589265j 0.101826+0.140455j -0.0620931+0.0758559j 0.0452913+0.0266815j 0.0249505+0.118137j 0.0182381+0.0721543j -0.00727102+0.0135216j -0.0690011+0.000692367j 0.146488-0.00998961j -0.00525618-0.00045095j -0.147689-0.0116731j -0.0678467-0.00136863j 0.00583105+0.019049j 0.0177689-0.0691175j -0.0254852+0.117555j -0.0446812+0.0269448j 0.0615109+0.0770141j -0.102193+0.140258j -0.00839306+0.0602183j 0.115603+0.0909682j 
-0.0495474+0.125542j 0.167536+0.0355553j -0.170366-0.134323j 0.174788-0.163607j -0.042775+0.138803j -0.0193574-0.0848986j 0.0686802+0.209537j 0.0237858+0.149505j 0.306494+0.0317234j 0.127826+0.0465112j 0.195733+0.388108j 0.0204784-0.153972j 0.084421-0.12765j -0.261173-0.0890518j -0.292143-0.229713j 0.076086-0.0522166j -0.0173648+0.0444332j -0.115518+0.0386422j 0.0356664+0.162029j 0.0343049+0.0364356j -0.0683988-0.00604832j -0.0792744+0.142114j 0.223801-0.262772j 0.00975068+0.0131738j 0.00686263+0.0456377j -0.164328-0.109509j 0.185541-0.142236j -0.0376637-0.0177549j -0.059323-0.083038j 0.0815871+0.126741j -0.0230495-0.0128088j 0.117853-0.0255455j 0.0125651+0.0101601j 0.0636919-0.0204576j 0.132443+0.114932j 0.315316-0.0728385j 
-0.0928691+0.0364812j 0.0934704+0.0363873j 0.0801347+0.0668544j -0.0356282+0.00126222j 0.0792627-0.066828j 0.0102116+0.155495j 0.118637-0.0775844j 0.298966-0.0340358j -0.0500396-0.0893975j 0.0195922+0.516691j -0.0178926+0.511664j 0.0486422-0.108439j -0.298552-0.0297342j -0.120496-0.076818j -0.00785467+0.156834j -0.131009+0.0386603j 0.0212122+0.0231027j 0.163465+0.0925848j -0.0035776-0.095427j 0.092033-0.246094j 0.06097+0.0176366j -0.00869803-0.123529j -0.121545-0.0430983j -0.0910596+0.0355819j -0.048027-0.065967j 0.0715814+0.0024545j 0.0465304-0.0640617j -0.0890977-0.0360161j 0.121641-0.0527336j -0.00186624+0.11656j -0.0592234+0.0188727j -0.0922225-0.245731j 0.0021962-0.0959186j -0.163194+0.0918308j 0.0204467-0.0230178j -0.132122-0.0367494j 
0.198055-0.104422j -0.136488-0.177971j -0.0309292-0.176273j 0.30972+0.0681171j -0.100867+0.147115j 0.104513-0.0435773j 0.177524+0.312362j 0.232351-0.0229204j -0.105875-0.235272j 0.273907-0.114298j -0.192519-0.224754j 0.202018-0.159935j -0.198282-0.122838j -0.294931+0.210328j -0.0773659-0.0831022j 0.0836353-0.0460418j -0.133503+0.0850382j -0.0445301+0.045308j -0.143033-0.186983j -0.138182-0.104457j -0.0997792+0.0359951j -0.159453+0.00155262j 0.00450185+0.183786j 0.0830272-0.0219497j 0.00925347+0.00412009j 0.21604+0.0475305j -0.00779644-0.000203538j 0.0638593+0.0562449j -0.0701406+0.168866j -0.147946-0.0554418j 0.0738587+0.0758986j 0.171238-0.0340702j 0.208384-0.106213j 0.023579+0.0623567j -0.0859195-0.135461j 0.0549062+0.0741867j 
0.165821-0.035606j -0.0494336-0.12498j 0.0419503+0.141163j -0.176301-0.162772j 0.168647-0.135564j -0.288187+0.231827j -0.261331+0.0898465j 0.0819352+0.127652j 0.0313096+0.137591j 0.193808-0.391927j 0.140634-0.0449971j 0.304072-0.0351644j 0.0211702-0.148086j 0.0644887-0.212889j -0.0209346+0.0861444j -0.315991-0.0717008j -0.138741+0.11425j 0.0656902+0.0218342j 0.0123603-0.0102372j 0.118654+0.0250477j -0.0212101+0.0119091j -0.0854446+0.130935j -0.0544835+0.0711071j 0.0351042-0.0168134j 0.185984+0.139225j 0.162-0.111419j 0.00554324-0.0492965j -0.00905673+0.0134041j 0.218079+0.249995j 0.0946116+0.162261j -0.0689319+0.0057411j 0.0325297-0.0380029j 0.0360591-0.163649j -0.116257-0.0388646j 0.0181215+0.0433392j -0.0769912-0.0505816j 
0.0534423+0.0096641j -0.00933243+0.0162252j -0.0430013+0.0136803j 0.13541-0.0677412j 0.136997+0.195884j 0.0195462-0.0349209j 0.00324309+0.117161j -0.0194066-0.0308906j 0.107772+0.210018j 0.070991+0.0370999j -0.0295854+0.157057j 0.0506888-0.0566288j -0.106979+0.168417j 0.0550682-0.127471j -0.0399228-0.0561702j -0.0113401+0.00313874j 0.0143502-0.0168196j 0.0322195-0.0227933j 0.00271006-0.0610103j -0.0285106+0.0541925j 0.0843371-0.0368301j 0.00543594-0.0577567j -0.0278956+0.094106j 0.0214318-0.242913j -0.0060636+0.00191866j 0.0235708-0.00778323j -0.152152+0.179589j 0.00899516+0.0211856j -0.107171-0.0363216j 0.182059+0.00610412j -0.0486347-0.012293j -0.0458471-0.245371j 0.0874921-0.0739657j 0.0733099-0.232315j 0.163562+0.0259996j 0.0710926+0.186968j 
-0.0556528+0.0732086j -0.0500453-0.00105593j -0.0315948+0.0793806j -0.034886+0.110624j -0.100019+0.11882j -0.0890839-0.0883776j 0.181724+0.0632009j -0.00197868-0.0603342j -0.015568-0.0256891j 0.0170936-0.0964703j -0.148811+0.0466589j 0.129198-0.142586j -0.0921107+0.221184j 0.148873-0.156968j 0.107916+0.0239022j -0.00234968+0.0179092j -0.00553321-0.0598117j -0.0450331-0.0376504j -0.000726936-0.0873852j 0.0879276+0.0458761j -0.181473-0.0620335j 0.0224403+0.0159364j -0.0439001+0.0207562j -0.083043+0.275267j 0.0263133-0.0568481j -0.163374+0.00232338j -0.0304018-0.0344841j -0.0296628-0.104029j -0.0384228+0.137872j -0.0568013+0.0987678j 0.0672503-0.0688486j 0.0310174+0.118383j -0.130914-0.0963508j -0.144834+0.120836j -0.0527275-0.248313j 0.104585-0.0506149j 
0.0702854+0.0492307j -0.0657639+0.0788789j 0.0139426+0.108006j -0.0722301+0.0399344j 0.0362746+0.00687345j -0.00610698+0.00584778j 0.0272431-0.0499474j 0.132813+0.115842j -0.0851817-0.116963j -0.0621033+0.096304j -0.198716+0.0254574j -0.0293264+0.232401j -0.082198-0.0220962j 0.121544+0.0299535j 0.099678+0.0682666j 0.0260461-0.0171305j -0.0377069+0.0256483j -0.0434517-0.0332105j -0.0330872+0.0624817j 0.0252409+0.0542774j -0.114531-0.229199j -0.0464795+0.0311206j 0.0796253-0.0564045j -0.0143028+0.0126623j -0.0270706+0.050634j 0.197074+0.00276689j -0.183107+0.157114j 0.0277733+0.0214522j -0.0458752-0.220324j 0.130016-0.0588895j 0.0517925+0.0872153j -0.0541314-0.0213067j 0.104573-0.162531j -0.179371-0.171507j 0.0394021-0.0985115j 0.0680209-0.0914133j 
-0.0591417-0.0867995j 0.0605366-0.0854842j 0.027804+0.0538148j -0.0673369-0.000256716j 0.0281881-0.0521784j -0.197745-0.00106395j -0.0226944-0.125988j 0.155422+0.116019j -0.175581-0.0336347j 0.153434+0.0802376j -0.149328+0.0789244j 0.182865-0.0326421j -0.155474+0.114983j 0.0219906-0.125222j 0.199093-0.00167964j 0.060796+0.0577533j -0.087803-0.0319696j -0.088607-0.128614j -0.0441343+0.146199j -0.0598097-0.0438325j 0.158862+0.0129161j -0.0961533-0.0216574j -0.13189+0.100196j -0.0165073-0.0770484j 0.00785555-0.178625j -0.14896-0.00105233j -0.0138315-0.176469j -0.0157567+0.0814632j 0.139406+0.0917223j -0.0819797+0.0281312j -0.159255+0.0195204j 0.0556161-0.0464871j 0.046637+0.142789j 0.0869773-0.132181j -0.0843834+0.0305973j 0.0629357-0.0589954j 
-0.00828592+0.0311459j 0.00828741+0.0307439j 0.17185+0.086505j 0.000378371+0.0010316j 0.172022-0.0856216j 0.152328+0.0135785j -0.0391698+0.0696111j 0.0156027-0.0231587j 0.117482+0.187133j -0.0526548+0.13031j 0.0460989+0.137729j -0.120488+0.18461j -0.0152195-0.023698j 0.0416481+0.0677932j -0.152619+0.0144957j -0.0147883-0.072614j 0.0333455+0.0349832j 0.0652175-0.0712745j 0.0340299-0.109174j -0.0877289+0.176033j -0.0413722-0.0956268j -0.247248+0.00352603j -0.120319+0.0484066j -0.101678+0.128732j 0.0655836-0.309213j -0.159643+0.00395807j -0.0721067-0.306419j -0.102728-0.123058j 0.137974+0.0466791j -0.235848-0.000510233j 0.0416708-0.0963652j 0.0892977+0.17332j -0.0340084-0.110967j -0.0675531-0.0715461j 0.0336233-0.036962j -0.0157489+0.0726479j 
