-0.00261501+0.0116698j 0.0128223+0.00175378j -0.0148175+0.00592851j 0.00169938+0.0207054j 0.00877524+0.00283467j 0.00339344-0.019758j -0.0138433+0.00731836j 0.00444025-0.0132467j 0.0195702+0.0220124j 0.00114014+0.0133071j -0.00206354-0.0274517j 0.00409774-0.0226297j 0.0105314+0.023939j 0.0101235-0.00912424j -0.00479299-0.00932434j -0.0158708-0.0129568j -0.0106047+0.00368786j 0.00221778+0.0113864j -0.0018818+0.00879128j -0.0378132-0.00086719j -0.0116545+0.0129051j 0.0108197+0.030346j -0.00604234+0.0180424j -0.0171072+0.0062298j 0.0165023+0.0110487j 0.00179892+0.00674563j 0.00760098+0.00831894j 0.00453309+0.00348513j -0.00144383-0.0107146j 0.00236349+0.0037245j -0.0134613+0.00623131j -0.00435313+0.00374136j 0.00261688+0.00941203j -0.000773655-0.00131483j 0.00139382+0.00853808j 0.00257935+0.00569229j -0.00849464+0.00563717j 0.0074011-0.00737961j -5.10992e-05-0.00318317j -0.000801578-0.0108696j -0.00349516+0.00455975j 0.00246934-0.000167596j 0.0114289+0.00387548j -0.00485179-0.00754971j -0.00319003-0.00222177j 0.0124414+0.00496441j 0.000617433+0.000696186j -0.00804281+0.0128959j -0.00194601-0.000527769j 0.00940893-0.00697873j -0.00860335-0.0104615j -0.00313344+0.0124685j -0.00861239+0.00422131j 0.000750846+0.00759989j 0.00600963-0.000362443j 0.00760689-0.00654768j 0.000843342-0.00411827j -0.00618153-0.00464845j 0.00731542-0.00592887j 0.00939324+0.000435661j 0.01524+0.00484472j 0.00214801+0.000828597j 0.00791788+0.00484114j 0.00429216+0.00546492j -0.00225301-0.000649167j 0.00480994+0.0117513j 0.0011445-0.0062293j -0.00152571+0.0147605j -0.000959949-0.0106293j 0.00195042+0.00106863j 0.00998264-0.00639661j 0.00110667+0.00265557j -0.00185282-0.00279681j -0.000355167+0.00742058j -0.00539116-0.0016004j 0.0088213+0.00455451j 0.00398846-0.000928838j 0.00772006+0.00297352j 0.00245698+0.00137851j -0.0119126-0.00300589j 0.000725456+0.00300789j 0.00833907+0.00661982j -0.00251042+0.00441016j -0.00871827-0.00506052j -0.00218975-0.000488594j -0.00144033+0.00518769j 0.00498882+0.00307132j -0.00614509+0.00548982j -0.00220427-0.00953954j -0.00218956+0.0132577j 0.0106214+0.00414054j 0.0013875+0.00700408j 0.00972754+0.00772974j -0.0301314-0.0149689j 0.0162616-0.0369649j 
0.00903923+0.00431612j 0.00355749-0.0123934j 0.00889778+0.0159748j 0.0203952-0.00709883j 0.00439527-0.00745016j -0.0145565-0.00349961j 0.00642856+0.0222221j -0.00387104-0.00250905j 0.0238596-0.0146164j 0.0100913+0.000948762j -0.0227612-0.00270521j -0.0130524-0.00517855j 0.0276314-0.00473649j 0.0012453-0.00601659j -0.00934187-0.00198091j -0.019181+0.0196619j -0.00812662+0.0127629j 0.0022715+0.00720083j 0.0031854+0.00565367j 0.0012224+0.0429718j 0.01493+0.0156093j 0.0258035-0.00152538j 0.0215+0.00750036j 0.00481599+0.0219148j 0.0119773-0.0205636j 0.00281423-0.00300166j 0.00406474-0.0135502j -0.00234664-0.00238676j -0.00665096+0.00249975j -0.00181089-0.00495617j -0.000581147+0.00649418j 0.000677926+0.00305533j -0.00238528-0.00952719j 0.00136167+0.00531041j 0.0152551-0.00444196j 0.00186192+0.00639581j 0.013013+0.00136108j -0.00550048-0.000771612j -0.00494002-0.00306141j -0.00435468-0.00305835j 0.0063264-0.000827409j -0.00506583-0.00710475j 0.00562199-0.00902462j -0.00965543-0.000698571j -0.00672917+0.00322102j 0.00331704-0.0140753j -3.70239e-06+0.000912471j 0.00664947+0.00945823j 0.00248506+0.00193785j -0.00195679-0.00582646j -0.00525161+0.000783456j 0.012906+0.00919617j 0.000598253+0.00903602j 0.00531438+0.00289401j 0.00378212-0.0122155j -0.00846525-0.0074606j -0.00609007+0.00341371j -0.00313184+0.00801466j -0.0105123-0.00651767j -0.00307679-0.0174077j 0.0063178-0.0110966j -0.00330557+0.00465786j 0.00653647-0.00482007j 0.00210174-0.00609791j -0.00651535-0.00214303j 0.00911835-0.0027054j -0.00895948+0.0032256j 0.00827993-0.00401186j -0.0017003+0.00351927j 0.00300901-0.00126034j 0.00305107-0.00379939j 0.00340474-0.00295391j -0.00191875+0.00533848j -0.00278013+0.0014575j -0.00272777-0.00499287j 0.00630128+0.002347j -0.00846407+0.00382017j -0.000625416+0.000441377j -0.00369275-0.00289118j 0.00216044+0.00325145j -0.0142689-0.00734428j 0.00536966+0.00222678j -0.00553762-0.00117157j 0.0131084-0.00164625j -0.00198396+0.00751111j -0.0137995-0.000498365j 0.00571867-0.00113225j -0.00347991-0.00311605j 0.00722673-0.0027501j 0.0154912+0.000294962j -0.00068124-0.0131415j 0.00904166-0.0133575j -0.0114229-0.00771787j -0.0151177+0.033327j -0.0267031-0.0124857j 
0.00409949-0.00945741j 0.00703301+0.00247009j 0.00290171-0.0100136j 0.0138182+0.00698719j 0.00549708+0.000804988j 0.00901747+0.00973946j 0.00702166-0.00170226j 0.00334342+0.0050948j 0.00537506+0.0228657j -0.00332549-0.011739j -0.00563393-0.019576j 0.00927938+0.0130287j -0.00224095+0.00140222j 0.00304649+0.0026533j -0.00132105+0.0093232j 0.0052888+0.0181086j -0.000743191+0.0243597j 0.00514832-0.0103778j 0.00503287+0.00841498j 0.00872217+0.0149464j 0.0212491-0.0191252j -0.00280694-0.00195751j 0.00379861+0.00604779j 0.0010157+0.000640957j 0.00825703-0.00901198j 0.0111521-0.00889285j -0.00815159+0.00612069j -0.0111885+0.00168611j 0.0150607-0.00898806j 0.00908787-0.00174261j -0.00543204-0.00371574j 0.00825475-0.000313888j -0.00375746+0.00328828j -0.00055332-0.00595826j -0.00319172+0.000376668j 0.00330897-0.00609566j -0.0181206+0.00832446j -0.00327332+0.000972275j -0.00461774-0.000944485j -0.00228257-0.00136608j 0.00390449+0.00147369j -0.0174779-0.00638949j -0.000124583+0.00290487j 0.0108651-0.000520112j -0.000734977-0.00301418j -0.000896197-0.00370236j -0.000186614-0.00344912j 0.00272308+0.00747044j -0.000902571-0.00363856j -0.00591092-0.00390651j -0.00897992-0.00730971j -0.0123021+0.00693455j 0.00249237-0.00411115j -0.00485881-0.0016096j 0.00490382+0.00342387j 0.0103079-0.00734868j -0.0056096-0.00599693j -0.00227871+0.00267057j -0.00431932+0.000887988j -0.00229835-0.00327638j 0.00720511-0.000167559j -0.00973841+0.000491813j -0.0103953-0.00323605j 0.00126183+2.4772e-05j 0.00691894+0.00271355j -0.00774271-0.00193658j 0.00615008-0.00192179j -0.00106218-0.00609849j 0.00834655-0.00125854j 0.00385928+0.000404046j 0.00713938-0.00281299j -0.00458943-0.00144486j -0.00461096+0.00534393j -0.00532589+0.00627205j -0.00753463-0.00351294j -0.00553111+0.00251316j 0.00148193+0.00392439j 0.00140466+0.00449651j -0.0102992-0.00604504j -0.00169349+0.00359841j 0.0116083+0.00223403j -0.00138698-0.0104822j 0.00594616+0.00481835j -0.00163752-0.000412518j 0.00326346+0.00658327j -0.00940286+0.00197712j 0.00613166-3.80976e-06j 0.00128266-0.00679564j -0.000420283+0.00993552j -0.00896518+0.00585551j 0.0114128+0.00601706j 0.00788508-0.000242152j -0.00139752+0.00278148j 0.00196554+0.000848966j -0.000158809+0.0112864j 
-0.00183417-0.00714968j -0.0104935+0.000696999j 0.019278-0.000955287j 0.00637221+5.2482e-05j 0.00721072-0.0166224j -0.010502-0.00141401j 0.00945086-0.00396239j -0.0162746-0.00303572j 0.00141474-0.00187946j 0.00566244+0.00514197j -0.0194319-0.00557691j -0.0263697-0.00560189j 0.0103293+2.83538e-05j -0.0217132-0.00482132j 0.00215804+0.000816593j -0.00486542+0.0100781j 0.00826729+0.00726828j 0.0107615+0.00250315j 0.0027588+0.000434912j -0.00321741-0.00521037j -0.0132077-0.0217598j 0.0265904-0.00607196j 0.0130948-0.0152024j 0.0307992+0.0141736j 0.00995207-0.0117322j 0.0106997+0.00044037j -0.00023495+0.00171683j 0.00240922+0.00659768j -0.00250584+0.000450629j 0.00642132+0.00279462j 0.0099718+0.00693213j 0.00437723+0.000672461j 0.00352025-0.0111318j 0.00734592+0.00621393j 0.0139151-0.00178345j 0.0182844+0.00410094j 0.0012249-0.00621828j -0.000566995+0.00116095j -0.00141042-0.00538199j -0.00421977+0.00536558j -0.00202582-0.0048584j -0.0139517-0.00312074j 0.00631643+0.00522953j -0.00865064-0.00248228j 9.60023e-05+0.00807361j 0.0187276+0.00052379j 0.000615571+0.0039704j -0.00939779+0.00151413j 0.00496989-0.00074572j 0.00696323-0.000492936j -0.00326418+0.00197238j -0.00568705-0.0124115j -0.00270513+0.00697695j 0.00497168+0.000964866j -0.00580061+0.000103715j 0.00532198+0.00408778j 0.00822744+0.00376581j -0.0111627-0.00805798j -0.00124237-0.00699267j 0.00391567+0.000598721j 0.000689034+0.00339364j 0.000955041-0.00580385j 0.00123261+0.00255043j 0.00529531+0.0011876j -0.000863056-0.00203597j 0.00741254-0.000404483j -0.00550999+0.00373338j 0.0159925+0.00326718j -0.00547685-0.00337166j 0.00272168-0.00362009j -0.00430049-0.00121846j 0.00176058-0.00203909j -0.000265685-0.000723487j 0.0032093-0.00408112j -0.00408305+0.00161626j -0.00437496-0.00407644j -0.00645878-0.00685501j 0.00241269-0.00513868j -0.00158761+0.000899039j 0.00561522+0.00526641j 0.00838331-0.00203713j 0.00176741-0.00801519j 0.00429218+0.000831576j -0.00678137-0.00104705j -0.00664938-0.00218202j -0.00762021-0.00231083j -0.0086617-0.00584189j -0.0120871+0.00210562j -0.00980541-0.00561006j 0.0197065-0.00612902j 0.00168203-0.0169391j -0.0207721-1.75246e-05j 0.017697+0.0256429j -0.00324339+0.00729232j 0.00434888+0.00263588j 
-0.00422416+0.00378421j 0.00228767+0.00676289j -0.00700296-0.00329196j -0.0138021+0.00364059j 0.0124017-0.00472009j 0.0107839-0.00146985j 0.00380723+0.00507114j 0.0142595-0.00529418j -0.0218062+0.0130285j -0.0300496+0.0122072j 0.0192832-0.0106423j 0.00569487-0.00456692j -0.00487299+0.00888501j -0.00925589+0.0021342j 0.0220038-0.00643514j 0.0027759-0.00405959j -0.0161927-0.00187201j -0.0212714+0.00643662j -0.00781486+0.00659645j 0.0213002-0.0342367j -0.0170318-0.0272613j -0.0297512+0.0047478j 0.00146394+0.00482975j -0.00877541-0.00300589j -0.0147051+0.00591914j -0.00756883+0.00603387j -0.00868176+0.00658568j -0.00523326-0.00592012j 0.00546149-0.00078517j 0.00665081+0.00188958j -0.00185359+0.00123478j -0.00286464+0.00313689j 0.000677383+0.0072073j -0.00185858-0.00494143j -0.0114676+0.00554697j -0.00386391+0.000963096j 0.000752398+0.00127203j -0.00270192-0.00129653j 0.0113873-0.0100496j 0.00637642-0.00431049j 0.00979133-0.00535572j -0.00946701-0.00543603j -0.00429052+0.00264846j 0.0011863-0.00388085j 0.00108722-0.00341982j 0.00252774+0.00297624j -0.00736279+0.000127455j 0.00248705-0.00215918j 0.00427384+0.00425458j -0.000657404+0.00307185j -0.00139975+0.000426903j -0.00871634+0.00289854j 0.0017328+0.00308492j -0.00914307+0.0036752j -0.00427737-0.000607428j -0.00174478+0.00605153j -0.00815538+0.000382645j 0.00159376-0.00178099j -0.00250009-0.00540603j -0.000768862-0.00464242j -0.0054229-0.00448663j -0.00885683+0.00298771j -0.00157779+0.00276152j 0.00407456+0.00473539j 0.00928494+0.0103904j -0.00356506+0.00046397j 0.00683174+0.00543775j 0.000904319+0.00515367j -0.00634916+0.00058153j -0.00345044-0.000474669j -0.000512905-0.00473574j -0.00461227-0.000498345j -0.00854104+0.00147969j 0.000617184-0.00821302j 0.00368979-0.00616141j 0.00458935-0.00040875j -0.00103302-0.00115926j 0.00615787-0.00231385j 0.0018735-0.00276695j -0.00202633-0.0122623j -0.0151787-0.000719025j 0.00273974-0.00272206j 0.00368332-0.00710269j 0.010329-0.0045442j 0.0120756-0.0146399j -0.000931603+0.00631687j -0.00336929-0.000128071j -0.00666149-0.0097095j 0.010358-0.00289707j -0.011582-0.0074878j -0.0082779+0.00216797j 0.0141878-0.00512632j -0.0153519-0.000904519j -0.00546809-0.000100274j -0.00464782-0.00602158j 
-0.00640847+0.00298794j -0.00217107+0.00591826j -0.003861+0.00105159j -0.00420506+0.00746218j 0.0014442-0.00627242j -0.00286718+0.0058017j -0.00789037-0.000205512j -0.0100025+0.00322348j -0.00680595+0.00214794j 0.0212565-0.00646322j -0.00143164+0.0046332j -0.0130374+0.00358942j -0.0231634+0.00458125j 0.0103221-0.00243502j 0.0164027+0.00834533j -0.000630327-0.00951136j 0.0269394+0.00530601j -0.0160589-0.00737879j -0.0186169-0.00466718j -0.0159195-0.0113492j -0.00538221+0.0101857j -0.00458516-0.0043685j -0.0054225-0.00499454j 0.00190224-0.00932907j -0.0135805+2.33203e-05j -0.003464-0.0021738j -0.00885112+0.00303337j 0.000181736-0.0044298j 0.00213074+0.00106007j 0.00755214-0.0042029j -0.000133816+0.00130731j 0.00973152-5.04137e-05j -0.00734382+0.00248349j 0.00224448+0.00446694j -0.00357523-0.00319042j -0.00481889-0.00451852j 0.00295109+0.00355745j -0.00449469-0.00436554j 0.00211199-0.000425863j -0.00799818-0.00579149j 0.0123893+0.00420511j 0.00353069+0.00339846j -0.00591398-0.000348207j -0.000976988+0.00559257j 0.00280493-0.00161304j 0.00318651-0.00368646j -0.00100143-0.00388305j -0.00550911-0.00036459j -0.000578182-0.00177536j 0.00198294-0.0111157j -0.0106524+0.00129158j -0.00753651+0.00310526j 0.00211949-0.00243012j -0.00018673+0.00318216j 0.00419145+0.00427024j 0.00314183-0.00529344j 0.0017395+0.00386538j -0.00305358-0.00665657j -0.00490899-0.0031086j -0.00918297+0.00416069j 0.00848511+0.00209471j -0.00467283+0.000301069j -0.00598152-0.00215377j -0.00415795-0.00813459j 0.00191696-0.000889277j 0.00175474-0.00528066j 0.00522902-0.00091876j 0.00643996+0.00112258j 0.00151296-0.00657606j -0.0021962-0.00502117j -0.000927481+0.00707133j 0.00286171-0.000411668j -0.0078541-0.00308065j 0.00117259+0.00290426j 0.000698859+0.0078147j -0.00831693-0.000833503j 0.00383823+0.0114267j -0.0056268-0.00754152j -0.00434208+0.00591505j 0.00192388-0.00726708j -0.00985284+0.00103287j 0.0139078+0.00218478j -0.00441914+0.00794139j 0.00365812-0.000907217j 0.000109762-0.004162j -0.00311288-0.0139513j 0.00152097-0.00714324j 0.00404704-0.000951591j 0.0243375-0.000858774j -0.00603404-0.00852944j -0.00564052+0.000286797j 0.00500512+0.00994044j 2.95998e-05+0.000771588j -0.0072169+0.00375795j -0.00784122-0.000202324j 
0.00344815+0.00396902j 0.00748807-0.00693145j -0.0067079+0.0106968j -0.00984456+0.000413725j 0.0131291-0.00604102j -0.000128743-0.0124797j 0.00637215+0.00946744j 0.0142016-0.0175454j -0.000296748+0.00711002j 0.00356076+0.0172938j -0.00401234-0.0184233j 0.022735-0.0281992j -0.0112213+0.0251741j 0.0194658-0.00912137j -0.00545514-0.0136225j -0.00413903+0.00671944j 0.00909759+0.00417431j -0.015672+0.019793j -0.00207468+0.00622456j 0.0149846-0.0249906j 0.0147985-0.022256j 0.00115886+0.0272855j 0.0124873+0.00259633j -0.00970781+0.0212881j 0.00581279+0.00728354j -0.00196856+0.0123415j -0.0078237+0.00847542j -0.0104451+0.0022438j 0.00650715-0.00021074j 0.00768434+0.00857386j -0.0054161+0.00469002j -0.00307688-0.00177309j 0.00667249-0.00308165j 0.00263449+0.00399396j -0.00923879+0.00931182j -0.00259064+0.012356j 0.0043602-0.005997j -0.00680904+0.00379177j -0.0042855+0.00134515j 0.00304786+0.0126329j -0.000642551-0.0126641j -0.00268574-0.0144647j -0.00821261+0.00567389j 0.000877798-0.00615583j 0.0013373+0.00878882j -0.00962184+0.00495641j -0.0088136-0.0041312j -0.000903428-0.00958163j 0.00435368-0.0055088j 0.00527806+0.00252798j -3.36335e-05+0.00885369j 0.00963642-0.000743845j -0.0069698+0.00108983j -0.00295415+0.0102951j -0.00437083-0.00543673j -0.00470606-0.00507606j 0.00502079+0.00966076j 0.0128142-0.010323j -0.00159157-0.00137953j -0.00403151-0.0087008j -0.00624014-0.000782852j 0.000711775+0.00345273j 0.00586708-0.00524241j -0.0031426-0.0033054j 0.00222736-0.00235517j 0.00206741+0.000285503j -0.00202815-0.00175512j 0.00418491+0.00223043j -0.00106801-0.00876848j -0.00263695+0.00341353j 0.00143839+0.00563766j 0.0113217+0.00928556j 0.000296259+0.00418794j -0.00357309+0.000316886j -0.0018224-0.000873722j -0.00301608+0.0135458j 0.00295568-0.00918467j -0.00257279-0.00650851j -0.00270488+0.00411273j 0.00442802+0.00504074j 0.0117357+0.0045956j -0.0129497-0.000997352j -0.0097485-0.00655027j -0.00309543-0.00709135j 0.00974395-0.00998254j 0.00756952-0.0018252j 0.00279869+0.00242122j 0.00838604+2.90983e-05j -0.0101121+0.0100153j -0.00629901+0.00141835j 0.000741651+0.0106643j -0.0107731-0.0142682j -0.0100879+0.0189067j 0.00802536-9.44621e-07j 0.00144464-0.00480383j 
0.000147529-0.00299781j 0.00218442+0.000704876j 0.00776848-0.00510904j -0.00629635+0.00281005j -0.0152837-0.00984438j -0.00660561-0.0080802j 0.0165708-0.0111362j 0.0108408-0.00463874j -0.00588939-0.0018784j 0.00572549+0.0040999j -0.00570643+0.00501992j 0.00254461-0.00369697j 0.00870939-0.00450457j 0.00711267-0.00968405j -0.0182604-0.00211562j 0.0165689+0.00485453j 0.00323925+0.00174405j 0.0107245+0.0101703j 0.0124484-0.00462058j 0.0311783-0.011714j 0.00963954-0.0135079j 0.00436302-0.0066597j 0.00321042-0.0183229j 0.017524-0.00383842j -0.0205036-0.00778884j 0.0015826-0.00128521j -0.00380167-0.0050036j -0.00486393-0.00314057j -0.0034006+0.00309006j 0.00374884+0.00663552j 0.0134658+0.00765107j 0.00705217-0.00142654j -0.00216018+0.00634989j 0.0041923+0.000712004j 0.000475033+0.000172401j -0.000833962-0.0117792j 0.0125097-0.00314452j -0.0111037-0.00284064j 0.00653988-0.00183912j -0.00662341+0.00299323j 0.00605364-0.000735863j -1.70451e-05+0.000292994j -0.00968916+0.00411996j -0.00227176+0.00249063j 0.00116744-0.0021772j -0.00199328+0.00118383j -0.00103675-0.000184747j 0.000398966+0.00513457j -0.000927004-0.00999248j -0.00279123+0.00616312j 0.00313778+0.00863821j -0.00189516-0.007753j 0.00672573+0.0010154j -0.003327+0.000795492j -0.00287789+0.00601712j 0.000320783-0.00042738j -0.00204159-0.000359921j 0.00260547-0.000428816j -0.00526551+0.000142998j 0.00304961-0.00501996j -0.00293983+0.00239378j -0.00163839+0.00259908j 0.00183726-0.00885566j -0.00111466+0.0059868j -0.00392122-0.00108984j 0.00327877-0.0012556j -0.0030922-0.00801121j 0.00903404-0.00169036j 0.000411289+0.0040179j -0.00107469+0.00522735j -0.00421672+0.000195229j 0.000389842+0.0039718j 0.00114501-0.00772604j -0.000969534-0.00403442j 0.00222444-0.0027834j -0.00485871-0.00442861j 0.000387971+0.00534694j 0.00413473+0.00998762j 0.00940921+0.00427824j -0.000539962+0.00370842j -0.00563596+0.00480871j 0.00871895-0.00533903j 0.00243019+0.000177553j 0.00719145-0.00877501j -0.000394971-0.00792926j 0.00463288-0.00165633j 0.0040523-0.00504951j -0.011612-0.00347838j 0.0202928-0.00113978j 0.00304894-0.00796444j -0.0245217+0.00586481j 0.00722448+0.00823722j 0.0017142+0.0130202j -0.0164483-0.00255925j 0.00414967+0.00221082j 
-0.00553118-0.00331514j 0.00309771+0.00603572j -0.0047558-0.00693771j -0.00231315-0.00485447j 0.00684431+0.0110271j 0.00347103-8.33347e-05j -0.00387963-0.00218334j 0.00387511+0.0171395j -0.00698097-0.0085806j -0.00678022-0.011426j 0.00803063-0.000612079j -0.00500711+0.00526116j -0.0192106-0.014439j 0.00608163+0.0168073j 0.00560977-0.0166094j 0.00788063-0.00790778j 0.0194751+0.00215831j -0.00960195-0.000273858j -0.000592473+0.00423598j 0.0373653+0.0132389j 0.0374981-0.00838219j -0.00162716-0.0110431j 0.00816521+0.00939154j -0.00718323+0.00314548j -0.00470465-0.00330742j 0.00164287-0.00148809j -0.00217793-0.00636203j -0.00649103+0.00374827j 0.00499021-0.00165372j 0.00217816-0.00495567j -0.00155179-0.00428643j -0.00911409+0.00459788j -0.00480557+0.00270044j 0.00721566-0.0103091j -0.00163899-0.0121187j -0.00334399+0.00599208j 0.000545866-0.00779167j 0.00367334+0.0011881j 0.00622289-0.00905744j 0.0143746-0.00736441j 0.00555887-0.00115293j 0.0146685+0.000264179j -0.00423098+0.00900921j 0.00361851-0.00348697j -0.00571859+0.00406604j 0.0102403+0.0109951j -0.00312594-0.00743652j 0.000750163+0.00228798j 0.00691065-0.000420881j -0.000544426+0.0120565j 0.00732258+0.00424637j 0.00195984+0.00945471j 0.00211801-0.000885825j -0.00170509-0.000137004j 0.0111614-0.000907174j 0.00210499-0.00102733j -0.00255992+0.000282948j 0.000809239+0.00154569j -0.00272867+0.0063619j 0.00550134-0.004349j -0.00419661+0.00699977j -0.00501882-0.00187315j 0.00814449-0.00320457j 0.00074517-0.00443417j -0.00740104-0.00486783j 0.000277462+0.000843553j 0.00266146+0.00418836j -0.00437681-0.000803823j -0.00287213-0.000851185j -0.0015271+0.00185883j -0.00524101+0.002143j -0.000286767-0.00324968j -0.00337436+0.00221003j -0.0131937+0.00252521j 0.00426175-0.000900458j 0.00278789-0.00240905j -5.02032e-06+0.0121784j 0.00193937-0.0045556j 0.0084216+0.00126626j 0.00332773+0.00191932j -0.00242094-0.000263514j 0.00899281-0.00237893j 0.00402216-0.000301004j -0.008325+0.00184215j 0.0143988-0.000279365j 0.000148993+0.00470278j -0.0139222+0.00118356j -0.0105338+0.00449761j 0.000635644-0.0170818j 0.0118047-0.00156041j -0.00196245-0.00738896j 0.0089457-0.00482657j 0.00557455-0.0101763j 0.0066984-0.00371648j 0.016501+0.000849255j 
0.000456192+0.00311062j -0.0069818+0.00224295j 0.00132785-0.00167605j 0.00595794-0.00434246j -0.0156844+0.00317434j -0.00804904+0.000853221j -0.00113757+0.0062817j -0.00326714+0.00421977j 0.00394336+0.00101116j 0.00315901+0.000635099j -0.01261-0.000238471j 0.00215231-0.00181775j 0.0109623+0.00453073j 0.0012481+0.0208286j 0.0100168-0.00124764j -0.00562951-0.00964909j -0.00494764-0.0111007j -0.0074433-0.0141394j 0.00483116+0.00320127j -0.0182357-0.0193927j 0.0177534-0.0072909j -0.000911212-0.0068746j -0.00588011-0.00193896j -0.00521012-0.0174754j -0.00606865+0.00574086j 0.00598302-0.00138121j 0.0105432+0.0182708j -0.00595005+0.00463843j 0.00276551-0.000411537j 0.0115487+0.00374704j 0.00445087-0.00442281j 0.00248558+0.0103417j 0.00370795+0.00393945j -0.0037319-0.00461339j 0.00535725-0.00155895j 0.00317582-0.00273286j -0.000638822+0.00533269j -0.00161745-0.00281243j 0.000268956+0.00237858j 0.0114711-0.00773821j -0.000661997-0.000737739j -0.00266411-0.00206041j 0.00740868-0.00225547j 0.0017761+0.00760309j -0.000685831-0.0017779j 0.00935069+0.0131256j -0.00293965+0.00572384j 0.00198568-0.0158228j 0.000673203-0.00599723j 0.00148005-0.00504511j 0.00325531+0.00614145j 0.00646689-0.00827825j 0.00687012+0.00673828j 0.00750352-0.00505118j -0.00122816-0.000415718j -0.000780644+0.00641343j 0.00392372+2.06479e-05j -0.00208746+0.0088074j -0.00606674+0.00277308j -0.00510436+0.00966346j -0.00114706-0.00094204j 0.00171743+0.00158227j 0.00396089-0.00641636j 0.000485107-0.00733292j 0.00690929+0.00420294j 0.00241671-0.00699324j -0.000187253-0.000328248j -0.000546731+4.44714e-05j -0.00541636+0.00603411j -0.00598171+0.00410465j -0.00369899+0.00166981j 0.00483054-0.00284141j 0.00227777+0.00268928j -0.00513179+0.00239624j -0.006096-0.00323898j 0.00550695+0.00757785j 0.00176607+0.00625425j -0.00545587-0.00608766j 0.000868986-0.00709065j -0.00408152+0.00442759j 0.00520769+0.000363754j -0.00288307-0.00269037j 0.00118605-0.00397492j 0.00229246+0.0037928j -0.00242618+0.00401211j -0.00933675+0.000888551j 0.00776031+0.00996486j -0.00222438-0.0103686j -0.00470916-0.000351074j 0.00185106+0.0061083j 0.00618419+0.00643245j -0.0138767-0.00017447j 0.000763717+0.00497464j -0.0193238-0.00118899j -0.00584452+0.000179818j 
0.00406882+0.000485037j -0.00730074-0.001227j 0.00823148-0.000421462j 0.00923434+0.0038267j -0.0018972+0.00475851j -0.00387241+0.0065039j -2.7166e-05+0.000570536j 0.00293962-0.00509945j 0.0077655-0.00201j 0.00805504-0.00826161j -0.00573729+0.00804536j -0.0207927+0.00315059j 0.00627015-0.0196792j 0.0241559-0.00115277j -0.0102687-0.00904872j -0.00950283-0.00248622j -0.00804869+0.00279179j 0.00189215+0.00898764j -0.00216506+0.00593859j -0.0236129+0.00130205j -0.0208715-0.00913662j 0.00136209-0.0113678j 0.00558886-0.00114912j -0.00230797-0.0110774j -0.00509151-0.00248611j 0.0075978-0.000934053j -0.00235629-0.00505839j -0.00348611-0.0151041j 0.00401813+0.00369085j -0.00563033+0.00576131j 0.00706196+0.00900845j -0.0114661-0.00179854j -0.0038883+0.00599756j -0.00534111-0.00668552j 0.0015848-0.0026558j 0.00547971-0.00740708j -0.0116321+0.000529373j 0.000785497+0.00121001j -0.00584661+0.00207997j 0.00358787+0.0210203j -0.00133043-0.00144649j 0.0030153-0.00513429j 0.00494603+0.00370569j 0.00537389+0.00767562j 0.00114149-0.00146322j -0.00420561+0.00542928j -0.00138189-0.0134551j 0.00846332-0.00611981j -0.0011327+0.00584129j 0.00345023+0.00565045j -0.0074405+0.0119808j 0.00306127+0.0041576j -0.00126951+0.00518632j 0.00581392+0.000848741j 0.00236284+0.00219264j -0.00054407-0.00270365j -0.00367651+0.00294945j -0.0137867+0.00519881j 0.00385906-0.00682046j -0.00243769-0.00881514j 0.00565481-0.0154312j 0.00305093+0.000313364j 0.00398927+0.00203732j 0.00753023-0.00384379j -0.00156285+0.00421891j 0.00751064-0.00526877j 0.000520163+0.0032393j -0.000662558-0.0047428j -0.000579349-0.00477431j 0.00536546-0.00197315j -0.00058535-0.00938328j 0.005415+0.00697218j 0.00130241-0.00448861j -0.00128893-0.00747966j 0.00596741-0.000630146j 0.000417259+0.00207552j -0.0060666+0.00670991j 0.00335599-0.000746711j -0.00584576-0.00205604j -0.0110677+0.00143524j 0.00569104-0.00548154j -0.000884993-0.00381295j 0.000973602-0.00220116j -0.00499478+0.00163712j -0.0094023+0.000220168j -0.000857439-0.00560803j -0.00336127+0.00525056j 0.0111758+0.00384287j -0.00733163+0.00511625j -0.00395461-0.00143878j 0.00763507+0.00169203j -0.00413655-0.00161286j 0.0117576-0.000833948j -0.00561411-0.00393828j -0.00119335+0.00357489j 
