-0.0663005-0.0729902j 0.00277401+0.0764433j -0.190897-4.69027e-06j -0.072605-0.267056j 0.026521+0.00543847j 0.030436+0.00743509j 0.0172741+0.0180006j 0.0241208-0.0163254j 0.0352857+0.0321295j -0.00764302-0.0239756j 0.00690533-0.0200219j -0.00815346-0.000691521j -0.000488168+0.00232506j 0.00420687+0.00829298j 0.0018483-0.00778586j 0.0117483+0.00190211j 0.0041518-0.000536276j -0.0107507-0.00262843j 0.00144707+0.00857876j 0.00910638+0.030932j 0.0204909-0.00666208j -0.00806373-0.00756336j 0.00475177+0.0212126j 0.0013597-0.0122966j 0.00216915+0.00297485j 0.000612538-0.0077297j 0.00309545+0.0069597j -0.0081917+0.00978593j 0.00165756+0.000817643j 0.00183002-0.00727749j 0.00537105+0.0024594j -0.0162589-0.00864507j 0.00679197+0.0157038j 0.0114209-0.00197932j 0.0119424+0.0135817j 0.00186535+0.0208413j 
-0.0653938+0.0652128j 0.070395+0.00117278j 0.0139302+0.189262j -0.25035+0.0520917j -0.00366611-0.0237467j 0.00754624-0.0305374j 0.0154737-0.00799862j -0.0183953-0.0153757j 0.0299279-0.0341145j -0.0274751+0.00721959j -0.0161739-0.0134597j -0.000619252+0.00376165j 0.000494384+0.00171296j 0.0082594-0.00660107j -0.0075145+0.000595291j 0.00442487-0.0126325j -0.0024546-0.00189393j -0.00453336+0.00765759j 0.00638019-0.00228361j 0.0284117-0.0078715j -0.00759812-0.019474j -0.00441677+0.00898268j 0.0211632+0.00358831j -0.0124667+0.000246957j 0.00238324-0.00748849j -0.00846812-0.000673312j 0.0064964+0.00143366j 0.000418216-0.00358206j 0.00960127+0.000747021j -0.0170314+0.00203721j 0.0064595-0.015947j -0.0120652+0.0128199j 0.0218566+0.00298857j -0.00573538-0.00218807j 0.0133801-0.00802227j 0.0215892+0.00189315j 
-0.0542486-0.075035j 0.0513701-0.0143974j -0.0460973-0.251696j -0.221486+0.0494669j 0.022197+0.0504472j -0.00505004+0.0240467j 0.0500148-0.018188j -0.0177271-0.0329459j 0.0129941+0.0462036j 0.000121876-0.00572301j -0.0127557+0.0260221j 0.00541405+0.00184061j 0.00477909-0.00507345j 0.00102359+0.0110948j -0.0103175-0.0049294j -0.0176031+0.019438j -0.00537661-0.0134136j 0.00100481-0.0208684j 0.0117178+0.0076675j 0.0244705+0.0221965j -0.0168737+0.0147591j -0.00409192-0.0142703j 0.00777848+0.0173729j 0.000171398-0.00441959j -0.0118839-0.00709492j -0.00200862-0.00873142j 0.00492891-0.00117456j -0.0238292-0.00837668j 0.0135831-0.0192379j -0.0176325+0.017503j 0.000802778-0.00523783j -0.0148923-0.0201673j 0.0382029+0.00851551j -0.00803229+0.0268426j 0.00552381+0.0192477j 0.0213463+0.0162333j 
0.106057-0.0671477j 0.0143071+0.0567959j 0.356756-0.0532018j -0.0235758-0.259812j -0.0760396+0.0118027j -0.0373101-0.00541982j -0.000738531+0.059796j 0.0135475-0.0200263j -0.0623146+0.0267139j 0.0014256-0.0172135j -0.0202062-0.00770746j 0.00572484-0.00738775j 0.00198097-9.80132e-05j -0.00713843-0.00274205j 0.0030458-0.00508776j -0.00697293-0.00680957j 0.00198788-0.00466368j 0.0115334-0.0198895j -0.00733857+0.00532115j -0.0136731+0.0187091j -0.0328841+0.00248221j 0.0212289-0.00471623j 0.00616358+0.0110102j 0.00638125-0.017864j -0.00630922+0.0010882j -0.000340217-0.00907186j -0.0104724-0.00286792j 0.00427781+0.0263188j -0.0152986+0.00669078j 0.0111886-0.0130877j -0.0238851-0.00328762j 0.0147482+0.00314899j -0.00874399+0.00330694j -0.00200732-0.00192717j -0.0138602+0.00648934j -0.00826578+0.0105884j 
0.0100079+0.0590604j 0.0181228+0.0284158j 0.0717692+0.237898j -0.0550685-0.00910835j -0.00440886-0.0341328j -0.015661-0.00716481j 0.0142691-0.0304881j -0.0114095-0.0261931j -0.00591831-0.0400977j 0.00519104-0.00492288j -0.0158783+0.0030442j 0.0222008+0.000884901j 0.00262673+0.01151j 0.0291235-0.0134493j 0.000395786+0.0137744j -0.00595989+0.0151616j -0.00774529+0.000226378j 0.00209408-0.0128017j 0.0139723-0.0139632j 0.00417409-0.00171632j -0.00447126-0.0250923j 0.0019572-0.00520269j 0.00456427+0.00605849j 0.0127714-0.012264j -0.00295894-0.0166211j -0.0116371+0.000126113j 0.0012452-0.0132772j 0.0111168+0.0210235j 0.00518847+0.0087405j 0.00295421-0.0258281j 0.002282-0.0253874j -0.00199542+0.017779j 0.00335928+0.000338922j -0.00673446-0.00496269j -0.00414358-0.00474834j 0.00356905+0.00627512j 
-0.00902582-0.03264j 0.0278973+0.00540452j -0.0634449-0.157895j -0.0676407-0.00162802j 0.049773+0.0533921j 0.0423471+0.0441608j 0.0216792-0.00470385j 0.00782466-0.00135149j -0.0147414+0.00121855j 0.0127967+0.000827342j 0.00322562+0.00595856j 0.0113623+0.00711238j 0.0232642+0.0114083j -0.00424102+0.00969761j 0.00468243+0.00754459j -0.0105212+0.0208737j 0.00449312+0.0106313j 0.0141372+0.0109211j 0.0117349+0.00588199j 0.0242227+0.00149616j -0.011148-0.00590197j -0.00447084-0.000853889j -0.00758465-0.00367127j -0.00694697+0.00507961j -0.00603068+0.0101118j 0.0165302+0.000276906j -0.00453214+0.00653768j 0.000531102-0.00341834j -0.0225556-0.0221328j -0.00290205+0.00796941j -0.00326569+0.0150135j 0.00119373-0.015736j 0.00113046-0.0109635j -0.00994176-0.00557857j -0.00663861-0.000567015j 0.00350375-0.0029819j 
0.019462+0.0227562j 0.041579-0.0444814j 0.245506-0.0859999j -0.123648+0.205163j -0.0660987+0.0224802j -0.0315057+0.0345089j -0.0148012-0.0448277j -0.00740509+0.00618196j -0.00747563-0.000844385j -0.00909249+0.0108212j -0.00323389+0.0360461j -0.0153014-0.0160155j -0.00514022+0.005925j -0.0213892-0.0355666j -0.0103687+0.00548561j -0.00910209+0.00142702j -0.00227958+0.00775435j 0.0159161+0.00900522j 0.000352559-0.00219452j 0.00591859-0.00249309j -0.0141913+0.00372732j 0.00278554+0.00466302j -0.00395851-0.00962862j 0.000917094+0.0104562j 0.0124026+0.00432314j -0.00626487-0.00389471j -0.00154216-0.00799933j -0.00223862-0.00733547j -0.0062483-0.0151243j 0.00533715+0.0165797j 0.00959087+0.00929817j 0.00512158-0.00565113j -0.00080408-0.0171517j -0.0125333+0.00290203j -0.00250947-0.0029398j 0.00346133-0.0132828j 
-0.00062228+0.00580318j 0.00793752-0.00391378j -0.0432128+0.0391193j -0.00813211+0.000531665j 0.0174097-0.0200112j 0.0378021-0.00523333j -0.00336477-0.00711002j 0.0218731+0.00348885j 0.00944424+0.000977061j -0.00932554-0.00839768j 0.000415916+0.00110217j -0.0136259-0.0147149j 0.00657807-0.00367915j 0.00236177-0.0108758j -0.00300249-0.0053534j -0.0354657-0.0299137j 0.00270039-0.00896009j 0.00177652-0.00877741j 0.00505161-0.000419681j 0.0130169-0.00895279j -0.0085377-0.0103432j -0.00430976-0.0136726j 0.0155776-0.00784066j 0.00662513-0.0130396j 0.0099714+0.0115267j -0.00439493+0.00997047j 0.0156616+0.0222181j -0.0226562-0.0153531j -0.00301067+0.00939702j 0.0159456-0.000216742j -0.0120704+0.00135262j -0.00772359-0.00441642j 0.00668259+0.0105162j 0.012941+0.00586213j 0.0071452+0.00313985j 0.000277649+0.00474134j 
-0.0159835-0.0298993j -0.00612909+0.0400025j -0.0340219-0.0113293j -0.0382449-0.146564j -0.00152601+0.00846346j -0.0214948+0.0236266j 0.0268168+0.0113144j 0.0120781+0.0110215j 0.00584087+0.00022203j 0.00704271-0.018903j 0.00209789-0.0327377j 0.00939013-0.0172633j -0.00300611+0.00251786j 0.0172418-0.00984077j -0.00111028+0.00124866j -0.00786731+0.0259442j -0.00644612+0.0140916j 0.00823141+0.00169835j 0.00667249-0.0037263j -0.00629433+0.00583255j -0.00637654+0.00143211j -0.00565382+0.0106532j -0.00442924-0.00221665j 0.0110586-0.0229807j 0.00424196+0.0114579j -0.00816663+0.00911908j 0.00273727+0.0161092j -0.00994799-0.00338717j -0.00536792+0.0148622j 0.015393-0.0234976j 0.00512806+0.0151134j -0.00533565-0.0129971j -0.00381353+0.00938024j 0.00504813-0.011334j -0.000533954+0.0045749j -0.00323316+0.00673334j 
0.0330953-0.0349699j 0.00103458+0.0215462j 0.114591-0.101234j 0.0197445-0.0775763j -0.0280165+0.0334982j 0.00495779+0.0362289j -0.0200928+0.0104754j -0.0161141+0.00704637j -0.0183163-0.025899j -0.0247682-0.0073598j -0.012352-0.00838126j -0.0101867+0.00177177j -0.00213886+0.00141962j -0.00317477+0.00440694j -0.00903216-0.0071971j -0.021707+0.0187616j -0.0108025-0.0121749j -0.0168809-0.00973449j -0.0067735+0.0133765j -0.01131+0.0132035j -0.0137031+0.0116855j -0.00724642-0.00589995j -0.00513457+0.0232406j -0.021318+0.00870603j 0.0100186+0.010883j 0.0154214-0.00873784j 0.0107779+0.0139631j -0.0072302+0.020398j -0.00157064+0.0184101j -0.0128026-0.0119624j -0.0029674+0.00103899j 0.000669487-0.00782635j 0.00319373+0.0118365j -0.00271136+0.000175172j -0.000564441+0.0050537j 0.00165273+0.00805704j 
-0.08006-0.0185098j 0.054603-0.0118787j -0.132069-0.0249977j -0.238824+0.0107558j 0.0319371-0.00736038j 0.0367788-0.00840016j 0.051696-0.0105842j -0.0058+0.0163924j 0.0607315+0.000743987j -0.031322+0.00568816j -0.0142263+0.00544901j -0.0166324-0.00727037j 0.0110115-0.00216092j 0.00949069-0.0122486j 0.0157448-0.00340904j -0.0011958+0.00532918j 0.019645+0.00241655j -0.0140149+0.00221294j -0.00111634-0.00942169j -0.00469971-0.00878208j 0.02219+0.00602458j -0.0125692-0.0115739j -0.0185431-0.00921666j -0.00925902+0.0152932j -0.00297567-0.00617754j 0.000478248+0.000353843j 0.0114728-0.0176492j -0.0198587+0.0141343j 0.000506128-0.00515476j -0.00162387+0.00448675j 0.0158035+0.00304423j -0.0184218+0.00311096j 0.0100619-0.0119413j -0.0028682+0.000877856j 0.0103735+8.89613e-05j 0.0113181-0.0106451j 
