0.000757662-0.00980279j -0.00384807+0.00216467j -0.00102047-0.00288015j -0.000955755+0.00728576j 0.000705614-0.00230616j -0.000178644-0.00735039j -0.0020353+0.00564356j -0.000519897-0.00199685j -2.61905e-05+0.00350587j -0.000582046+0.000263768j -0.00113367-0.00599087j 0.00126645-0.00483086j 0.000615246-0.000797114j -0.000300107+0.0019584j -3.92896e-05-0.00319424j 0.000776857+0.000167428j 0.000936456+0.0020427j 0.000464671+0.00306295j -0.000994816+0.0030503j 1.25599e-05+0.000368399j 0.000875183+0.00299851j -0.000502302+0.00290892j -0.000219088-0.00382288j -2.76537e-05+7.23026e-05j 0.000921396+0.00120393j 0.000965087-0.000188738j -0.000365748-0.00528056j -0.000246966-0.00104302j -4.72562e-05-0.000245033j -0.000278744-0.00413327j -0.000585039+0.00143658j -0.000254327+0.000615127j 0.000320681-0.000318041j 0.000710481-0.000109012j -2.38834e-05-0.00418025j -0.000325994+0.00155119j -0.000290756-0.00147533j 0.00102198+0.0011073j -0.000326846+0.000490855j 0.00140485+0.0019265j 3.61676e-05+0.00213577j 0.00129649-0.00315632j -0.000687954-0.00498363j 0.00198407-0.000302023j -0.00180829-0.00816192j -0.00118188+0.00430327j 0.00215615-0.00386057j -0.000652984-0.00513975j -0.00851589-0.00154383j 0.00609318+0.0270089j 0.0211891-0.00685649j -0.0091211-0.0304669j 0.00668608+0.0273594j -0.0819332+0.00654397j 0.0434832+0.0352177j 0.207286-0.0206264j 
0.00394227-0.00218931j 0.000770228-0.00992798j 0.000893375-0.00728665j -0.00135302-0.00278067j -0.00073909-0.00722134j -0.00196907+0.00390034j -0.000392481+0.0031037j 0.00028624-0.00526215j 0.000777228-0.00110606j -0.000271976-0.00197609j -0.000681345+0.00195483j -0.0005275-0.00291719j -0.00108686+0.00410197j 0.000243898+0.00475434j -0.000889493+0.000882564j -2.36279e-05-0.00201779j 0.000397051-0.00313462j 0.000597208-0.002242j 0.000987702+0.00114927j 9.31617e-05+0.000594434j -0.000344566-0.00267026j 0.000361639+0.00386309j -0.00137557+0.00307683j -0.000514186+0.00114861j -0.00113396-0.00120013j -6.41238e-05-0.00339733j 3.28521e-05-0.00103695j -0.000216832+0.00223945j 0.000259454+0.000868128j -0.000327852-0.00214531j -0.00100003+0.0022802j 0.000605237-0.00167549j -0.00030379-0.00127806j -0.00107189-0.0015229j -0.000528205+0.00187604j -0.000258506+0.000904532j 0.00014635+0.00324849j 0.0014449-0.00359118j 0.00110189+0.00156162j 0.000183847-0.00277203j 0.00233188+0.00417194j -2.79937e-05-0.00138677j -0.000363065+0.00411298j -0.00180863-0.00264772j -0.002459-1.14069e-05j -0.000219207+0.00875627j 0.00173772+0.00652849j 0.00345454+0.00155056j 0.00212782+0.00513829j 0.0180799-0.00325444j -0.00839022-0.0402717j -0.0139178+0.00505656j -0.0795395+0.00366916j -0.00642588-0.0284761j 0.206676-0.0204009j -0.0434555-0.0351793j 
-0.00582719+0.00170774j -0.00089087+0.0101152j 0.000741784+0.00121539j 0.00166554-0.0028772j 0.00142106-0.000525775j 0.00239577-0.00538025j 0.0015515-0.00747089j 0.00145768+0.00194637j -0.00143003-0.0102682j -0.000102319+0.00190886j 0.00189519-0.00369031j -0.000361629+0.00396346j -3.78049e-05-0.000352791j 9.53393e-05+0.00653047j 0.00125241+0.0101459j -0.000964834-0.00414535j -0.000971896-0.00162984j -0.000415741+0.00493466j -0.00149293-0.00590984j 0.00162617+0.00530181j -0.00147204-0.0100937j 1.62697e-06-0.00493497j 0.00181672+0.00192526j 0.000703409-0.00514093j 0.000319748-0.00071501j -0.00084892+0.00429806j -0.000225459+0.00157326j 0.000398811-0.00334712j 0.000230793+0.00220571j -0.000184225-0.000238127j 0.00216292-0.000357213j -0.00125157-0.00438508j -7.44187e-06-0.00126562j 0.00306702+0.00900773j -0.000506008-0.00116972j 0.00298388+0.0111205j 0.00163766+0.020883j -0.0045649-0.00490918j -0.00191093+2.39278e-05j -0.00111712-0.00513997j -0.00460753+0.00280182j 0.000749747+0.0201045j 0.000599119+0.00530755j 0.00525532+0.017964j 0.0159817+0.0134164j 0.0106974-0.0206326j -0.0147101+0.00163554j -0.0249888-0.0252533j 0.0137766+0.0420589j -0.0616728+0.0342315j -0.0107773-0.014859j -0.0657603+0.00930998j 0.014907+0.05702j 0.140669-0.0352079j -0.00805713+0.00509146j -0.0179793+0.0010611j 
0.000104339+0.0103946j 0.00624873-0.00340929j -0.000155835-0.00377797j -0.00168784+0.00239935j -0.00283746+0.00626514j -0.00171677+0.00211014j 0.00168084-0.00336529j -0.00101275-0.00756922j 0.00181075+0.00848173j 0.00112639+0.00547083j -0.000314652+0.00247427j -0.00181062+0.0033915j -0.00165019+0.00491279j -0.00159337-0.000989568j -0.00149357-0.000683224j -0.000101254-0.000734055j -2.08055e-05+0.00286787j -7.4134e-05-0.00449472j 0.00242443-0.00298277j 0.000270743-0.00212042j 4.6732e-05+0.00676446j 0.00079984+0.00225116j -0.00190403+0.000678871j -0.000692323+0.00432723j -0.00217409+0.00100012j -0.00215761-0.00535136j 0.00211059-0.00151007j 0.000373063-0.000341674j -0.00042228+0.00289846j 0.0029269+0.00361626j -3.84137e-05+0.0039911j 0.00237451-0.00193666j -0.00166262-0.00453713j -0.00186576+0.00885548j -0.000346086+0.000599084j 0.00232324+0.00879602j 0.00113663-0.000193189j 0.00130842-0.00419156j 0.000970409-0.00535021j -0.00180323+0.00200892j 0.00592813+0.0134166j -0.00488739-0.0116347j 0.0081868+0.0286915j -0.0169414-0.000561847j -0.0036148+0.031722j -0.000746373+0.0166129j -0.00826228-0.0187925j 0.0147562+0.003431j 0.0718771-0.00934131j 0.0124638+0.0557791j 0.00593309+0.0219654j -0.00415096+0.0390876j -0.123081+0.0274392j 0.0133732+0.0512549j 0.0202268-0.000199478j -0.00987215+0.00494242j 
-0.00184568+0.00264226j 0.00090913+0.00274398j -0.00299027-0.00567867j -0.00301202+0.00819085j -0.00339388+0.0091088j -0.00185426-0.00789322j 0.000397557-0.0039896j -0.00288301-0.00371212j 0.00205357+0.00990296j 0.00103311+0.00310054j -0.000398763+0.000876309j 4.74264e-05+0.00465782j -9.95951e-05+0.00248275j -0.0019946-0.00715915j -0.00150446-0.00733404j -0.000244837-0.000505569j 0.000188367+0.00904343j -0.00113524+0.0015337j -0.000105363-0.00507507j 0.000581544+0.00318308j -0.000676411+0.00525965j 0.000548321+0.00927983j 0.000213283-0.00104349j -0.000680001+0.00416488j -0.000949269-0.00339856j -0.00242982-0.00985119j 0.00262972+0.00619721j 0.00254114+0.0150325j 0.000437988+0.00631871j 0.00429312+0.0110498j -0.000637544-0.0141126j 0.00156135+0.00595295j -0.00279036-0.00390337j 0.000975622+0.00657955j 0.00116601-0.00706191j 0.00513859+0.00126736j 0.00394188-0.0275609j -0.000644655+0.00481416j 0.00133328+0.013504j 0.00260624+0.0332806j -0.00539806-0.0144873j -0.00319793-0.0135517j 0.0231389+0.0239466j -0.0143525+0.0336658j -0.00292541-0.01477j -0.0285872+0.00143446j 0.0122057+0.0233671j -0.0286387-0.00783201j 0.00231937+0.0574523j 0.0102399-0.00573523j -0.00962232+0.0463026j 0.0901109-0.0282393j -0.00634897+0.00812925j -0.00722444+0.00635201j -0.0104439+0.00113976j -0.00628392-0.00271601j 
-0.00396029+0.00558105j 0.00225793+0.00459912j -0.000545703+0.00806259j 0.00397245-0.00064711j 0.00191722+0.00722402j 0.0008473+0.0115227j 0.000394809-0.0014205j -0.0016035+0.00213538j 0.00104-0.0012695j -9.58684e-05-0.00043846j -0.000252291+0.000752022j -0.00134812+0.00250506j 0.00157508+0.00120269j 0.000156853-0.0115013j 0.000278052+0.00552844j 0.000273948+0.00915628j -0.000384648-0.00501034j -0.00147619-0.0015158j 0.00050186-0.00381255j 0.000527664+0.000530797j 0.00138834+0.00364011j -8.2765e-05-0.00312624j -1.28107e-05+0.0112498j 0.00195005-0.000428742j -0.000105497+0.00991555j -0.00157026-0.00426273j 0.000297876+0.0114797j 0.00383836+0.0234635j -0.00227285-0.0183479j 0.000217923+0.00895523j 0.0039381+0.00530252j -0.000731019-0.00325205j 0.00115792+0.0120965j 0.000177838+0.00312234j 0.00515199+0.0246435j -0.0001629-0.0111828j 0.00514434+0.0222174j -0.0093386-0.0067482j -0.00749002-0.0425642j -0.0168431+0.000708885j 0.00344207-0.032478j -0.016892-0.0400491j 0.00482344+0.0229069j -0.00773003-0.0247912j 0.0226324-0.0627064j 0.0287499-0.00938083j -0.0209-0.000600759j 0.00063228+0.0333304j 0.0189443-0.0197782j 0.00717373-0.0462384j -0.0674099+0.0155219j -0.0117186+0.0217358j -0.00259416+0.00314588j 0.000987078+0.00199458j 0.0012075+0.00564034j -0.0211692+0.000710639j 
0.00280913+0.00771295j 0.0061612-0.00729062j 0.00223929-0.00472962j -0.00200398-0.00311055j -0.00145686-0.00534548j 0.000980331+0.00488447j 0.00222402+0.00634491j 0.000436003-0.00291018j 0.000239716-0.00022794j 0.00129896+0.00943228j -0.000270062+0.00647062j -0.00285437-0.00461766j -0.00190286-0.000620924j -0.000206998+0.00497379j -0.00196938+0.00117318j -0.000727596-0.00921805j 0.000391204-0.00151066j 0.00148794-0.00230473j 0.00483347+0.0117169j -0.000730254-0.0112609j 0.00190442+0.00190112j 0.00134416+0.00469066j -0.00453717+0.000585352j -0.000661018-0.00457431j -0.00372092-0.00481307j -0.00197792-0.00948964j 0.00168894-0.0010301j -0.00290783+0.00366035j -0.00063633+0.00328972j 0.00264736+0.00121078j -0.000351675+0.0135384j 0.00753741+0.0119957j 0.00216777+0.0115882j -0.0118523-0.0196976j -0.00217329+0.00581559j -0.0011309-0.00699837j -0.00197135-0.0110797j 0.0115035-0.0134031j 0.0124994-0.00973832j -0.00479569-0.0631182j 0.0186226+0.0120146j 0.00042565-0.013974j -0.00326179-0.0279192j -0.0326314+0.0472493j -0.0242544-0.0224926j -0.012146-0.0457298j 0.00154017+0.032035j 0.010401-0.00822792j -0.00420757+0.0498377j 0.0644012-0.0219565j 0.00991045-0.0277789j -0.00197668-0.00530471j -0.00525152-0.000738936j -0.0158149+0.0104392j 0.0200187-0.00104756j 0.000742295+0.00504812j 
0.00404639-0.00305684j -0.000493179-0.00572907j -0.000190457+0.006087j 0.00189363+0.00123314j 0.000985574-0.00555388j 0.000501158+0.0075717j -0.00265995+0.0050921j 0.000908891-0.00443527j -0.00257203+0.00103865j -0.00108308+0.00208787j -0.00174088-0.00517615j -0.000369551-0.0101821j 1.98701e-05-0.00783712j 0.00299231+0.0107175j 0.00213303+0.00567028j 0.00179318+0.00658222j 0.000374451-0.0037707j 0.00103578-0.00694971j 0.000948044+0.00642041j -0.00283767-0.00563688j 0.00244863+0.0065917j -0.00161809-0.0136548j -0.00222712-0.010451j 0.000138256+0.00147886j 0.000624369+0.000844095j 0.00403327+0.0111512j -0.00197673-0.00655167j -0.00265773-0.0158049j -0.000988234-0.0118139j -0.00445631-0.0112232j -0.00673489+0.00511665j -0.00165129+0.00385958j 0.00185979-0.00416552j -0.00419165-0.0307605j -0.0013427+0.00658484j -0.0204571-0.0211162j -0.00138195+0.0154026j 0.0127602+0.0210698j 0.00455792-0.0046317j 0.00622663+0.0200881j 0.017267-0.0229351j 5.32404e-05+0.0101538j 0.0094285+0.0380281j 0.0268594+0.0419186j -0.0216362+0.0236674j -0.00924788+0.0421257j 0.0271391-0.0469894j 0.0114138+0.0545243j -0.0457772+0.0143745j -0.00030566+0.0154758j -0.00121778-0.00763423j -0.00770192+0.0170326j 0.0123093-0.00885674j -0.0146072-0.000773143j -0.000487319-0.0036317j 0.012796-0.000398521j 
0.000572411+0.00238686j 0.00202071-0.00199408j 0.00037596-0.00927621j -0.00378533+0.0016573j -0.00140754-3.34225e-05j -0.000694341-0.000590794j -0.000130498+0.000961595j -9.52086e-05-0.00724233j 0.000954598+0.00102329j -0.000735503+0.00374863j -0.000296764-0.00864806j -0.00297366-0.00316879j -0.00356047+0.00210689j -0.00193168-0.00135706j -0.00223077-0.000266261j 1.12147e-05+0.00351164j 0.00208579+0.00724447j 0.000775209-0.00226433j 0.00205633-0.00211057j 0.00240151+0.00644171j -0.000152163+0.00974781j 3.71252e-05+0.00674198j -0.00422086-0.00114075j -0.00309119-0.005032j -0.0048603-0.00581305j -0.00188337-0.0147062j 0.00845916+0.00886779j -0.00143367+0.00842377j -0.00437604-0.00797973j 0.0046951-0.00729121j -0.00187864+0.00189518j 0.00817686+0.000966505j -0.00583811-0.0437431j -0.000781878+0.00865764j -0.00343178-0.0373329j 0.00481102-0.0141608j 0.0134358-0.0110526j 0.015575+0.0172137j 0.0115899-0.0251249j -0.00604184-0.0074228j -0.00279788-0.00403093j -0.00885328+0.0639124j 0.00256513+0.0400304j -0.0102423-0.0168202j -0.00231079-0.0267168j -0.0306108+0.0160985j -0.0021545-0.0404739j 0.0235568-0.0215166j 0.00428165+0.00949351j 0.00176305-0.00744277j -0.000714586+0.00844173j 0.00847798-0.00224821j -0.0110541+0.000905423j -0.00623059+0.00465629j 0.0112285-0.0019303j 0.00676817+0.00331446j 
-0.00118266+0.00603991j 0.00380027+0.00042794j -0.000116652-0.0072491j -0.00349481+0.00247217j -0.00198235+0.000945145j 0.00207888-0.00159761j 0.00144463+0.00805661j -0.00250527-0.00446813j 0.000459779+0.00744245j 0.002276+0.0159007j -0.000335241+0.000238191j -0.00162304+0.000922716j -0.00109521+0.00162542j -0.00158788-0.00407235j -0.00192479-0.00506762j -0.00189621-0.00715728j 0.000834848-0.00152105j 0.000689427-0.00158976j 0.00342493+0.00574677j 0.00125788-0.0143863j 0.00172956+0.0169175j -6.6244e-05-0.00463879j -0.0040942-0.00314585j 0.00133204+0.00920633j -0.00441322+0.00309565j -0.00187532-0.00365994j 0.00610339-0.00891831j -0.0046688-0.004291j -0.00164285-0.000823151j 0.0137532+0.0165335j -0.00432335+0.00518554j 0.0144084+0.0217515j -0.00150069+0.0194818j -0.0138852+0.0175465j 0.0123914+0.00579374j 0.00895176-0.0523349j 0.0110691+0.0331857j 0.0149762-0.0303168j 0.00929943-0.000158758j 0.005327+0.052989j 0.0127867-8.78694e-05j 0.00913358+0.0133454j 0.0186908-0.0415506j -0.0187858-0.0496236j -0.0186278+0.0334406j -0.00687027-0.0212548j 0.0268365-0.0186232j -0.000835289+0.000520329j 0.0054993+0.0102118j 0.0167865-0.0114392j 0.00417661-0.0103803j 0.00951406-0.00461238j -0.00898666+0.00353599j -0.0128471+0.00413479j -0.00238536-0.00133595j 0.00223505-0.000455642j 
-0.00108597-0.00437123j -0.00322268+0.00365296j -0.00311371-0.000344176j -0.00118687+0.0083388j -0.000377164+0.0054449j -0.00055602-0.0032761j -0.00308177+0.000603086j -0.00162135-0.00258272j -0.00129602+0.00474864j -0.000142971+0.0106151j -0.00296922-0.0117409j 0.00200064+0.00275816j 0.000290576-0.00113442j -0.00165479-0.00812945j 0.00104984-0.00370939j 0.00225026+0.014403j 0.0014308+0.00464852j -0.00251792-0.0037145j -0.00388571-0.00793672j -0.000292192-0.0070129j -0.000620994+0.0152158j -0.00260429-0.00282779j 0.00170272-0.00507967j -0.00234666-0.00443417j 0.000800576+0.031625j 0.00308149+0.0185626j 0.00693016-0.00495384j 0.009667+0.0358191j -0.000112433-0.0290359j 0.00857973+0.0193775j -0.00544391-0.0182562j -0.00333267-0.00854806j 0.00435249-0.0308507j 0.0114356+0.0149049j 0.00333834+0.0369987j -0.00468778+0.0161533j 0.00672259-0.0391161j -0.00649309-0.0196839j -0.0146969+0.0468441j -0.0110592-0.0224274j 0.0196304+0.00537306j 0.017026-0.0349288j 0.0148618-0.00709756j 0.00100766+0.0294597j 0.0305817-0.0171145j 0.00935531-0.0463603j 0.0160116-0.0263712j 0.00871494+0.00839931j 0.00585185-3.084e-05j 0.000564904-0.00787821j -0.0107905+0.0018098j 0.0023889+0.00758811j 0.000637998-0.00102476j -0.00519586-0.00402878j -0.0159242-0.0035502j 0.0118074-0.0041639j 
