-0.131786-0.140778j -0.123045-0.0592332j 0.0108349+0.00954991j -0.194814-0.204922j 0.0450702+0.012953j -0.0769202-0.056091j -0.000503906+0.0269977j 0.0235078+0.014816j 0.0241826-0.00526219j -0.0340906-0.0668459j -0.0041497-9.27181e-05j 0.000857466+0.00639597j -0.00123848+0.00567128j 0.00361471+0.00327303j 0.000743038+0.00870323j 0.00184982+0.0094114j -0.00225523-0.00470676j 0.0149488+0.0377152j 0.000993677+0.00769483j 0.00312736+0.00588653j 0.0110252-0.00352838j 0.00114415+0.00146092j 0.00669722-0.00380477j 0.00884637+0.0303605j -0.00419884-0.00628348j -0.00256909-0.00175113j 0.00711188+0.00154486j 0.00139822+0.000639448j -0.00451136-0.0062513j 0.00322467+0.0148686j -0.00548458-0.00378641j -0.00762172-0.00630243j 0.0029133+0.00247074j -0.00573721-0.00281764j 0.00470412-0.00031333j 0.000178552-0.00518073j 0.0130212+0.0103745j -0.00506731-0.024915j -0.0131908+0.000315772j 0.0129169+0.032948j 
0.136685-0.122448j 0.0626041-0.123689j -0.00817543+0.0156551j 0.199918-0.178416j -0.0147563+0.0423435j 0.0564366-0.068555j -0.0289811-0.000750407j -0.0157593+0.0167412j 0.00167116+0.0192436j 0.0613156-0.0341563j -0.00195987-0.00134891j -0.00454307+0.000158061j -0.00187958+0.0029839j -0.00510031+0.00562401j -0.00514969+0.000211131j -0.00988766+0.00848011j 0.00675624-0.00275332j -0.0334438+0.0132992j -0.0112952+0.00586301j -0.0046325+0.00575945j -0.00369148+0.00887822j -0.00024899-0.00722077j 0.000669505+0.00856843j -0.0354253+0.0141862j 0.00725329-0.00551833j 7.6049e-05+0.00367641j -0.00496897-0.00324525j -0.00461046-0.00275939j -0.00188461+0.00337364j 0.000215861+0.00925875j 0.000494632-0.00211158j 0.0154601-0.0153461j 0.00251378-0.00399498j -0.00369159+0.00210745j -0.00177668-0.00712289j -0.00876473+0.010176j -0.0291638+0.00672677j 0.0242802-0.027131j 0.0122022+0.000130192j -0.0364967+0.0108205j 
0.0319789-0.00333424j 0.195225+0.0522632j -0.0129223+0.011774j -0.107523-0.00722591j 0.0036922-0.0190457j -0.0230388+0.00230813j -0.022654-0.0127692j 0.0354057-0.0297272j -0.0244824-0.0172029j -0.0224085-0.0205529j -0.00814724+0.00474204j 0.00890781-0.00464j 0.00524878+0.0132284j -0.0010829+0.0286889j 0.00895741-0.00300983j -0.00596512+0.0185366j -0.0129996+0.000999154j 0.0251887+0.0119749j -0.010843+0.0105078j -0.0137636-0.0134494j 0.000479073+0.013596j 0.00447424-0.00266905j -0.0130858-0.00899862j 0.00759623+0.0128792j 0.010229-0.0108275j -0.0069478+0.00764657j -0.0035115-0.00199137j 0.00888335+0.00320567j 0.00229459-0.00810079j -0.000983218+0.0140928j -0.00303616-0.00258004j 0.00477639+0.0202402j 0.00501231+0.0054184j 0.00733132-0.00204126j 0.00766639+0.00695714j -0.00322984+0.00594885j 0.0262985-0.0100135j -0.00123745+0.00929378j -0.00574413-0.0162265j 0.0214352+0.0182274j 
0.00958737-0.00537589j 0.145855-0.271513j 0.0187795+0.0142535j -0.040531+0.230029j -0.0139258-0.0225007j -0.00188059+0.0600131j -0.0185157+0.0160401j -0.0425433-0.048182j -0.00592579+0.0127364j -0.0138937+0.0246965j -0.0131117-0.0106397j -0.00626294-0.000575651j -0.00699829-0.00777725j -0.00130606-0.0104805j -0.00959934-0.0091544j 0.0142671-0.00573452j 0.00331022-0.000464063j 0.00908195-0.0104459j 0.00318473+0.0107274j -0.00292247+0.0112621j 0.00363064+0.000667031j -0.00389995-0.00141368j -0.012429-0.00875201j 0.0036439-0.00891551j -0.00811912+0.00993991j -0.0133269-0.00432923j 0.00876889+0.000785308j -0.000408326-0.00550453j 0.00338097+0.000264054j 0.00451896-0.0136949j 0.00648982-0.00536391j -0.0135965+0.0102288j 0.000785352+0.00308953j 0.00261963+0.00383228j 0.0106314+0.0101049j -0.00164144+0.0102427j 0.00610828-0.00236871j -0.0103932+0.00680186j -0.00416181-0.00563915j 0.0136158-0.00477633j 
0.103607+0.0157737j 0.235868+0.199934j 0.00859969-0.00157398j 0.0133753-0.116628j 0.013988+0.0286993j 0.0156378-0.0194339j 0.0163515+0.0333536j 0.00241026-0.0023899j 0.0108574+0.0192659j 0.0196947-0.00897816j 0.00176363+0.000716824j -0.0221444+0.0049547j 0.00599828+0.000679904j -0.00174861-0.00579238j -0.0092164+0.0155702j -0.0165808-0.00121892j -0.00722406-0.00448661j -0.0157289+0.00159783j 0.00531465+0.00254791j -0.00306781+0.00202993j 0.0159326-0.00406552j -0.000659067+0.00324263j 0.0114388-0.00193877j -0.0103644+0.00429394j -0.00476154+0.00331196j 0.00442526-0.0158081j -0.000810477+0.00984428j -0.00129315+0.00226196j -0.00473902-0.00509711j -0.00777638-0.0133209j 0.00379405+0.00520909j -0.00715739+0.00105545j -0.00731452+0.00111777j -0.0045654-0.00183642j 0.000283444+0.0113007j 0.010322-0.0027741j -0.00584761+0.00741747j 0.0157785-0.00273525j -0.0130876+0.000112175j -0.0154897+0.00259707j 
-0.0346203+0.039294j -0.0686041+0.0843915j 6.69484e-05+0.0072548j -0.0377833+0.00913868j 0.00561138+0.00578384j -0.0254945-0.00397271j -0.0245322+0.00221143j 0.0143966-0.0200816j 0.00478915-0.00240326j 0.0105726+0.0236198j -0.000113727+0.0224003j 0.0123963-0.00231107j -0.0156032-0.00965165j -0.0188114-0.00174889j -0.0196723+0.0111899j -0.0107317+0.00241411j -0.00378186+0.0118826j -0.00167993-0.00473592j -0.00712949+0.000182185j 0.00344021-0.00264532j 0.00365616-0.0112878j -0.0227148+0.000502648j 0.00988051-0.000238559j 0.00604506-0.0153168j -0.00419111-0.00259295j -0.0137937+0.00556731j 0.0105281-0.0014695j 0.0064625-0.0126212j 0.00976009-0.00597541j -0.0195897-0.0075673j 0.0197926+0.0156298j 0.00872848-0.000882649j 0.0084113+0.00184258j -0.00164647-0.00772766j 0.00444454+0.0168255j 0.00514559+0.0164703j -0.0010199-0.00752829j -0.000884806-0.00241619j 0.00658609+0.00260185j -0.00783394-0.0158015j 
0.0579183-0.0832507j 0.290207-0.136448j 0.00728612-0.0106019j -0.113649-0.066051j 0.028602+0.000163694j -0.006072-0.0584892j 0.0133231+0.00566322j 0.013752+0.00207677j 0.0159259-0.0209185j -0.00875027-0.0078461j 0.00404335+0.0120393j 0.0112668+0.023076j -0.0138629+0.00254395j 0.00204344+0.0150066j 0.00259641-0.0069695j 0.0268298+0.000332856j 0.00763261+0.00937043j -0.0101808+0.00888261j 0.0104373-0.00444558j 0.00503663-0.00743355j -0.0029046-0.00133632j -0.00577221+0.00201455j -0.00372745+0.00186607j 0.0055789+0.00531908j -0.00901444-0.00240571j 0.00370804+0.00733149j -0.0106705+0.0010457j -0.00100663+0.00118296j 0.00642323+0.0127719j 0.000860507+0.00225127j 0.000824908+0.00306217j 0.00700342-0.014989j -0.00136307-0.00802693j 0.00761734-0.00196476j 0.000824079-0.00774926j 0.0090653-0.00082269j -0.0117624+0.0126203j -0.0138968-0.0107739j 0.00340153+0.00139857j 0.00217823+0.00852199j 
0.00822805+0.021387j -0.0777813-0.0585685j 0.00972318+0.00487111j 0.0821953+0.0715401j -0.0260513-0.00813808j 0.0296882+0.0217528j -0.00519513+0.0163244j 0.0142445+0.0118538j -0.0137191-0.00447029j 0.000271189+0.014936j -0.0054023-0.017437j 0.0250082+0.00819941j -0.00747521+0.00398069j 0.0173939+0.00552849j -0.0159092+0.0071477j 0.000899339-0.00155632j 0.00787297+0.00855569j -0.0251994-0.0126839j -0.000187193+0.000297243j -0.00147699-0.00927385j 0.00753502+0.00591206j 0.00271765+0.00385374j -0.0038268-0.0074541j -0.00539366-0.0169394j 0.0201718+0.016854j 0.00266584-0.0102677j -0.00822516+0.0217425j -0.00184527+0.003863j -0.00681046+0.00865933j -0.0026309+0.00520526j -0.00713301-0.00919438j 0.00860811+0.0203503j -0.0157232+0.00122669j -0.00734868+0.00226036j -0.0147844-0.00564593j 0.00766845-0.0120428j -0.00515285-0.0118502j 0.00379897+0.010828j 0.00660151+0.007491j -0.0112364-0.0177208j 
-0.0144734+0.0748928j 0.0662467+0.213521j 0.0035583+0.000648862j -0.0884997-0.013603j 0.0252682+0.0129593j -0.0416835-0.00916869j -0.000251662+0.0157168j -0.0135894-0.0151769j 0.00959928+0.00810633j -0.0116867+0.00919666j -0.000220287-0.0206046j -0.0200684+0.0173735j 0.00697877+0.0156277j 0.00388835+0.00229693j -0.00819589-0.00294256j 0.00325297-0.00729426j 0.00105293-0.00384798j -0.000613687-0.011662j 0.0108235+0.00650928j -0.00053397-0.0201263j -0.00374069+0.00568568j 0.0172194+0.00422665j -0.00101771-0.0236657j 0.00290415-0.0270598j -0.00178189+0.00734864j -0.00203895+0.0136087j 0.00440894+0.00643675j -0.00345394-0.0135101j 0.000737479+0.016417j 0.00868165+0.00856063j -0.00476001-0.00770051j -0.000569039-0.00153194j -0.00289397+0.0034109j 0.00398741-0.00154529j -0.000430838+0.00463692j -0.000653574-0.00870253j -0.00622183-0.00738766j -0.0159469-0.00171146j 0.00521131+0.00779022j 0.00678321-0.00666664j 
0.0276743-0.0894988j 0.0261737-0.291174j 0.00472005-0.0134704j 0.03317-0.00765459j -0.011677-0.00641751j -0.0225709-0.0505689j 0.00567438+0.0139115j -0.0184268+0.04423j -0.0111978-0.0240158j 0.0109327-0.0105454j 0.00230965+0.00169416j -0.00902739+0.0178152j 0.0126154+0.0124158j -0.00187636-0.000967513j -0.000631868+0.00909338j -0.0195802-0.0105468j -0.0076617-0.0163366j 0.00806773-0.00369866j 0.0037524-0.00466871j -0.00271242-0.00529188j 0.000504056-0.00467217j 0.00674684-0.00642623j 0.0118499+0.00440775j 0.00419547+0.00675965j -0.00229363-0.000388056j -0.0116041-0.00707833j 0.000355547+0.00843588j 0.00257134+0.0107321j -0.00598602-0.00155459j 0.00214717-0.00159756j 0.00277591+0.0067253j 0.00543131-0.00976983j 0.00199408+0.0014234j -0.00743138+0.00669812j 0.00193369-0.0110515j -0.00185849-0.00649489j -0.00830874+0.0065245j 0.00787193-0.00782741j 0.000380158+0.0102199j -0.00444145+0.000758964j 
0.000985736-0.00536916j -0.0272876-0.0774472j 0.00271382+0.00855467j 0.0367625+0.0535359j -0.0162675+0.00209226j 0.0188981+0.0243494j -0.00371667+0.00927636j -0.00309149+0.000526647j -0.0223284+0.0113363j 0.00495056+0.00226279j 0.0180361-0.00240921j -0.0328666+0.00931413j -0.008209+0.00990886j -0.00639431+0.0247361j 0.00340514+0.00655793j -0.00693298+0.00260285j 0.00637609+0.0215896j 0.00384156+0.000824396j 0.00824721-0.00886069j 0.0108262+0.00285418j -0.0108913-0.0147752j 0.00454809+0.00141225j 0.0136928+0.0124285j 0.0169369-0.0143279j 0.00866906-0.0062156j -0.00162547-0.00536265j -0.0180206-0.0157605j 0.00381312-0.00805302j 0.0279441+0.00739983j -0.0132805+0.0128363j -0.00263344+0.00174774j 0.00690588-0.0142091j 0.00537233+0.0153579j 0.00595039-0.00994235j -0.011435-0.00109989j 0.010242+0.000161586j 0.00715135+5.17155e-05j -0.00487104+0.00241654j 0.000274863-0.000482288j 0.00151767-0.00625441j 
