-0.00334143+0.00245308j -1.87189e-05+0.00289776j -0.00983702+0.000995305j 0.00247443+0.00420007j -0.00825742-0.00397454j -0.0054324-0.00444936j 0.00505178+0.0122471j -0.00691357+0.00355702j 0.0084376-0.0177595j -0.00149234-0.00321281j 0.00400666+0.00950355j -0.00381709+0.00858735j 0.00641168-0.00014457j -0.0042176+0.00925578j -0.00484464-0.0186984j 0.00179795-0.018074j -0.00240311-0.00443226j 0.00352296+0.000339904j 0.00184863+0.0050691j 0.00548758+0.0010163j -0.00142161+0.00616831j -0.00269963+0.000235784j -0.00199736+0.00203857j 0.00108556+0.00116229j 0.0020232+0.00299416j 0.00565585+0.00280002j 0.000104946+0.00301452j 0.00324246+0.000183576j -0.00054153-0.000930111j 0.00102605-0.00110449j -0.000860828-0.00112638j 0.000158521-0.00202337j 0.00106182-0.00185261j 0.000522936+0.00148603j -0.000226491-0.00115262j -0.000785082-0.000443494j 0.00164591-0.00241038j 0.00718192-0.000720907j 0.00292089-0.00232554j 0.00197433-0.00121777j 0.0060007-0.00457156j 0.00250329+0.00437573j -0.00353238-8.80727e-05j -0.000285269+0.000273339j -0.000226134+0.00108103j -0.00084383-0.00132478j 0.000359455+0.00192502j 0.000168568-2.40925e-05j -7.79472e-05-0.00118528j 0.000453972+0.00173134j 0.000271949-2.67185e-05j -0.000625976+0.000142644j -0.00160778-0.000240396j 0.000787841+0.000762598j -0.000513906-0.0011993j -0.000526805+0.000263076j 0.000276033+2.22614e-06j -0.00229642+0.000502979j 0.00160229+0.000299976j -0.00133248+0.00349435j 0.0019361+0.000144211j 0.00113942-0.000415317j 0.000441364+0.00130294j -9.91504e-06-0.000226034j 0.000125254-8.00667e-05j 0.00132493-0.000136091j -0.00163099+0.000587767j 0.000916163+0.00225157j -0.00128036+0.000466985j 5.64602e-06-0.000476275j 
0.000130158-0.00193796j 0.00321782-0.00400443j 0.00905411+0.00035271j 0.0115558+0.00245323j -0.00257497+0.00506781j -0.0020087+0.00560393j 0.0106115+0.00284005j 0.00948209-0.00309872j -0.0117144+0.00115519j 0.0062391-0.00268579j -0.0104612+0.0085613j -0.00949371+0.00226015j 0.0126087+0.00199406j -0.016078+0.00577606j 0.0109692+0.000525079j -0.00996353-0.00585637j 0.00578931+0.00438429j -0.00211559+0.00286396j -0.00143047+0.00182373j -0.00210387-0.00292871j 0.00128815+0.00325335j 0.00127182-0.00120596j -0.00127493-0.00389466j -0.000941096-0.00164169j -0.000759879-0.0043943j -0.00132889-0.00108647j -0.00126007+0.00040508j 0.00178639+0.00415214j 0.00308278+0.00658614j 0.00107938+0.000232769j 0.000289838+0.00193738j 0.00220442+0.00218911j -0.00132145-0.00275332j -0.000316737-0.00344892j 0.00132244+0.00125499j -0.00105241-0.00462502j -0.000591938-0.00320812j 0.000595508+0.0020265j 0.000966003+0.00288321j 8.40639e-05+0.00162959j -0.000642514-0.00585633j 0.0023253-0.00805781j 0.00107582+0.000338847j -0.000242026-0.000868902j 9.84528e-05+0.000435911j 0.000788663+0.00124358j -0.000667315-0.0010935j 0.000642662-0.000345479j 0.000315818+0.000175388j -0.000335546-0.000297376j 0.000102082-4.49771e-05j -7.47952e-06-0.000183053j -0.000395767+0.00138532j -9.80402e-05+0.000102275j -0.00118635+0.00145082j 4.92133e-05-0.00168862j 0.000810125-0.00136641j 0.000850622+2.66213e-05j 0.000603516-0.000909579j 0.00429082-0.000512718j -0.00144254-0.00197953j -0.000765494-0.000647896j 0.000225791-0.000567416j 6.99731e-06+0.000145235j -0.000317404-0.00012624j -0.000958826-0.00011984j 0.00186597+0.00128874j 0.000290026-0.00225085j 0.00110804+0.00050664j -0.000226911+0.000129365j 
0.000616428+0.000694368j -0.0013889+0.000339937j -0.0020705-4.4655e-05j -0.00759602-0.00214963j 0.000424495-0.00043949j 0.00146684-0.00102959j -0.0072219-0.00574248j -0.0021561+0.000309774j 0.0106851+0.00359717j 0.00523977+0.000985139j -0.000466355-0.0052705j -0.019688-0.00159148j 0.0246543-0.00171082j -0.0047633-0.00585991j -0.0185223+0.0043731j -0.0105335+0.00505262j -0.00139101-0.000651782j 0.000977366-0.00112889j 0.00157909-0.00125997j -0.00143604+0.00252085j 0.00165422-0.000335531j 0.000645398+0.00069168j -0.00126972-0.00105601j 0.000392324+0.000876733j -0.000452116+0.00235491j -0.00151529+0.00026626j 0.00110516-0.000565832j -0.000547039+0.000128469j -0.000585584-0.000330174j -0.000933243-0.000569696j 1.12551e-06-0.00331738j -0.000747584-0.000134761j -5.15241e-05+0.00191974j -0.00147754-0.000772867j 0.000500048+0.00172135j -0.000900119-0.00442878j -0.00118853-0.00119211j -0.00155306+0.000821865j -0.00252597-0.00566393j 6.85292e-05+0.000911005j -0.00186105-0.0019555j 0.000200043+0.000292138j 0.000120792-0.000158643j 8.77905e-05+0.00035368j 0.000216247+1.64586e-08j -0.000133055-5.3736e-05j 0.000141526+0.000143801j -0.000332198+0.000135562j -0.000368876+0.000104388j 0.000244871-7.13426e-05j -0.000172267+2.08537e-05j -0.000110749+0.000121051j 3.87064e-05+8.97598e-05j 0.000149942-6.34148e-05j 3.4008e-05-0.000111556j -7.70166e-05+0.000488723j 0.000603031-0.000287641j -0.000246735+0.000102582j 0.000403399-0.000151375j 0.00033023-0.000189802j 4.89474e-05+0.000135326j 6.11175e-05+5.08152e-05j 0.000114787+5.25422e-05j -5.43724e-05-2.77699e-05j 1.89352e-05+3.21098e-05j 6.26224e-05-4.87727e-05j -9.08021e-05-7.74145e-05j 0.000140896+0.000110955j -5.64874e-05-4.34658e-05j -5.23167e-06+9.99381e-06j 
-0.000371404+0.0024036j -0.000527397-0.00397093j -0.00396506+0.000136139j -0.000699765-0.0058219j -0.0147699-0.00197143j 0.0143954-0.00816745j 0.00503479-0.00671982j -0.0138041+0.00280879j -0.00739399-2.06024e-05j -0.00223186+0.000302237j 0.00428279-0.008668j -0.0150152-0.000765023j -0.0163772-0.00450443j -0.0126741-0.00634137j 0.00638054-0.000279851j -0.00990206+0.000244862j 0.000761092-0.00200751j 0.000420167-0.000523j -0.000939068-0.00571151j -0.000808461+0.00125632j 0.000591768+0.00452054j 0.000351733+0.00241951j -0.000511356+0.00121685j -0.000563849+8.16451e-05j -0.000738132+0.00157184j 0.00249055+0.00324447j 0.000674773+0.00105529j -0.000955285-0.00131551j -0.00169874-0.000532354j 0.000113379+0.00124898j 0.00135328-0.000878066j 0.000764187+0.00136667j -0.00210288-0.00547242j -0.00176582-0.0026147j -0.000970759-2.67443e-05j 0.00072855+0.00269706j 0.000746872+0.00248263j 0.0010123+0.00372686j 0.000208865-0.000411159j 0.00218671-0.00487291j -0.00297482-0.0019188j 0.0016514-0.00212644j -0.000357524+0.000552488j -0.000252517-6.5744e-05j -0.000880614-0.000566747j 0.000285036-0.00101336j 0.000524304+0.000728181j -0.0006623+0.000358504j -0.000699773+0.000655845j -0.000272873-0.000350638j -6.49739e-05-4.93075e-05j -0.000605342-4.02627e-05j 0.000404503-0.000722785j 0.000368647+0.000311592j -0.00105898+0.000917069j -0.000299302+0.000332576j -0.000753551+0.000689991j -0.000659312-0.000783969j -0.00191839-0.000148634j 0.000156465+0.000490284j 0.000392057-0.000767367j -1.22347e-05-0.000543538j -0.000316621-0.000242197j 9.7466e-05-2.01126e-05j 2.9992e-05+6.12943e-05j 0.000633032+0.000255431j -0.000149491-0.000645217j 0.000199172+0.000474158j -0.000163936+0.000238253j -9.89679e-05-0.000123502j 
0.000288183+0.00146204j -0.00214632+0.00221572j -0.00516381-0.00018035j -0.00354001-0.00296989j 0.00303181-0.00248974j -0.0125445-0.00084184j 0.0251239-0.00988589j 0.00186568+0.00182523j 0.0177974+0.00308405j 0.000244046+0.00156876j -0.00172337-0.00713086j 0.012043+0.00031348j -0.000791433-0.00245883j -0.0123411-0.00958501j 0.00664473+0.00384728j -0.00683633+0.00469353j -0.00190127-0.00191485j 0.000900752-0.00135689j 0.00240062+0.00350665j 0.000126758+0.00420907j 0.00130342+0.00188979j -0.00282573-0.00354575j -0.00157579-0.00100537j -0.000231089+0.0020416j 0.000258032+0.00246928j -0.00192804-0.00227879j 0.00260727+0.00343443j -0.000450479-0.000194639j 0.000631405+0.0011093j -0.000500171+0.000822015j 0.00150586+0.00117993j -0.00224939-0.00396886j -0.000326635-2.54486e-05j 0.000686415+0.00210821j 0.000644505+0.00241708j 0.000250874-0.000327214j -0.00050268-0.000279612j -0.00232487-0.00109966j -0.00133235+0.00293133j 0.00205296-0.000342598j -0.00210245-0.00206429j -0.00128534-0.00030666j -0.000397068-0.000760415j -0.000148658+0.000731544j 0.00127921+0.000577711j 0.000107951+0.000185548j 0.000193418+0.000711577j 0.000417329-0.00103435j -0.00059394+5.22921e-05j 2.27003e-05+0.000211756j -0.000246842+0.000147723j -0.000167257-8.28455e-05j -0.00113925+0.000775343j 0.000801061-0.0003316j 0.000365724-0.000268695j 0.000211403+0.00101168j -0.000340906-0.000282131j -8.48761e-05+0.000499353j 0.00167837-0.00102092j 0.00102833-9.13285e-05j 2.52669e-05+0.000215943j 0.000310718+1.1984e-06j 0.000561363+0.000511151j -0.000274006-2.12682e-05j 0.000198868-2.14543e-05j 9.61735e-05-0.000269424j -7.70022e-05+0.000621915j 0.000553813+0.000306497j -0.000234964+0.000132853j -3.87857e-05-9.09931e-05j 
0.000571628-0.00171769j 0.000956939+0.00174094j 0.00481962+0.00022477j -0.00231406+0.00398178j 0.0192668+0.00290064j 0.00217727+0.0046507j 0.00658944+0.00251288j -0.0257567-0.0013798j -0.00849073+0.00166726j 0.00898426-0.00197181j -0.00212643+0.00563505j 0.00401148-0.000220839j -0.00311597+0.00304702j -0.0152615+0.00277471j -0.0142448+0.00117084j 0.00728804-0.000536138j -0.0014372+0.00165236j -0.00201023-0.00105678j -0.00145472+0.00103333j 0.00018994-0.00339967j -2.97729e-05-0.000688748j -7.68845e-05-0.00510788j 0.00142246-0.000344705j -0.0010958-0.00402811j 0.00164092+0.00234546j -0.000806142-0.000665021j 0.000677335+0.000552283j -0.000829414-0.00296159j 0.00216156+0.00147822j -0.000693018-0.0010742j -0.00239376-0.00299786j 0.000222226+0.000351401j -0.000386688-0.00100614j 0.000439188+0.000401943j 0.00092535+0.00142547j 0.00090059-0.000577872j 0.00066297+0.000478983j -0.00101066+0.000208403j 0.000151477+0.00141856j -0.00126206-3.71819e-05j 0.00159069+0.00121279j -0.000529701+0.000424446j 0.000317962-0.00053135j -0.000221256+0.000252889j -4.37616e-05-3.5263e-05j 0.000120759+0.000321521j -0.000270124-0.00037816j 0.000397562-0.000308366j 0.000174735-2.13706e-05j -0.000165846+0.000110537j 0.000101048+6.93799e-06j -3.67742e-05+3.00718e-05j -0.000382595+0.000215751j -4.47619e-05-7.21098e-05j 0.000515656-0.000284391j 0.000609665-7.25121e-05j -0.00044803+0.00022627j 0.000457732+3.56033e-05j 2.82724e-05+0.000126539j -0.00024739-0.000199727j -0.000234788+0.000205383j -1.60573e-05+0.000177058j -5.2611e-05-8.46762e-05j 4.34631e-05+3.64738e-05j -4.28689e-05-3.46595e-05j -0.000263379-3.07524e-05j 0.000150304+0.000118074j -0.000166314-0.000344054j 0.000148778-8.84962e-05j 2.52986e-05+6.99456e-05j 
0.00363209-0.00737756j 0.000471718+0.00136602j 0.0101245-0.00395382j -0.0208322-0.00103752j 0.00609013-0.00318928j 0.018923-0.00613532j 0.00991792+0.00103318j 0.0171532+0.00283057j -0.00167747-0.0078947j -0.0055249-0.00157172j 0.000737686-0.000108901j 0.00153465+0.00288065j 0.000694846-0.00249537j -0.00403812+0.000296837j -0.00489946-0.00941423j 0.00251274-0.00490016j -0.0012794+0.00261901j -0.00418822-0.00488509j -0.00577563-0.00376234j 0.00229728+0.000763459j 0.000363749-0.00110651j -0.00171467-0.00165169j -0.00101456-0.00290684j 0.00222546+0.00110339j 1.02862e-05-0.00414407j -0.000513495-0.00358892j 0.000143132-0.000349064j -0.00111513-0.0033552j -0.00161+0.000549371j -3.46673e-05-0.00166404j -0.000245775-0.00145863j -0.000598425+4.85762e-05j 0.00148767+0.000600069j 0.00131164+0.00117851j 0.000495995-0.00081338j -0.000166708-0.000272961j -0.000500827-0.00253854j 0.00343149+0.00160815j 0.000871949+0.000126688j 0.0011576-0.00119527j 0.00334352+0.000328762j -0.000940166-0.00068564j 0.000400413-0.00138254j -0.00146081+0.000642554j -0.00110767-0.00103743j 0.000828834+0.000846436j -0.00134817-0.00148115j -0.000137336+0.000453715j 0.000131783+0.000474047j -0.000212549-0.000216859j -1.83966e-06-8.23533e-06j -0.00052518-0.000135013j 0.00066531-0.000100387j -0.000764051+0.000131782j 0.00142477-0.00056541j 0.00106942+0.000259488j 0.000483475+0.000178608j 0.00154113-0.000794009j -0.000941445+0.000498296j -0.0010072-0.00119907j -0.0011647+0.000624635j -0.00034667+0.000643415j -0.000626834-0.000926867j 0.000258673+0.000123823j -0.000309697+2.01925e-05j -0.000997838+0.000335343j 0.00106121-0.000443041j -0.00134652-0.0012519j 0.000751391-0.000482499j 0.000113238+0.000271286j 
0.00175469-0.000415811j -0.000520186-0.00334968j 0.00683078-0.0046781j 0.00493497-0.0137237j 0.00954907-0.0140912j -0.0104058-0.0159837j -0.00508667-0.00640741j -0.00481875+0.00616248j -0.0100613-0.0123469j 0.00786658+0.00644341j -0.00452478-0.015408j 0.00189134+0.00489903j 0.00701621-0.00866492j 0.00448999-0.00592224j 0.00528147-0.0115329j 0.00324374-0.00265261j 0.00328336-0.00223439j -0.00116962+0.00153575j -0.000537518+0.000444608j -0.00185968-0.000783446j -0.000580767+0.000605255j -0.00477443+0.00138271j -0.00106867-0.000939762j -0.00061758-0.000470181j 0.000214814+0.00126745j 0.00218684-0.000791077j -0.00216084-0.00210478j -0.000221419-0.000747241j -0.00282402+0.00327396j 0.000525151+0.000878801j 0.00252987-0.00036292j -0.00115355+0.000773633j 0.00217098+0.00108648j 0.00176249+0.00140589j -0.00190249+0.000512915j -0.000840033-0.00059162j 0.000894384+0.00182592j 0.00432303-0.00152925j 0.00147083+0.000131251j 0.00551699-0.000450491j -0.00212987+0.000478394j -0.00156933-0.00134j -0.000394615+0.000505474j -0.000179368-0.000518321j 0.0009392-0.000321693j 0.000607549+0.000415036j -0.000359254-0.000403724j 0.000221381-0.000651809j 0.000269494+0.000245669j -0.000253282-0.000696524j -0.000203268+6.72608e-05j 0.000344553-0.000518851j 0.000698215+0.000407841j -7.86833e-05-0.000363629j 0.00014642+0.000628109j -0.00049694+0.000193465j -0.000315438-0.000315549j 0.00103977-0.000259397j 2.5925e-07-0.000604361j 0.000589286-0.00117873j -0.000790662+1.92082e-05j -0.000380404+0.000192831j 7.06273e-05-0.000239454j -5.53928e-05+6.05001e-05j -3.2481e-05+2.193e-05j -0.000491741+8.10311e-05j 0.00073633+4.38875e-05j -0.000493896-0.000506225j 0.000352132-0.000148917j 3.30546e-05+8.56173e-05j 
0.00182766+0.00365245j 0.000626969+0.00222159j -0.00252058-0.00392321j -0.00385777-0.00245366j -0.000233206+0.000733891j 0.000341794-0.00127187j -0.00204901-0.00130203j -0.00100716+0.00108602j 0.00487962-0.000232747j -0.00268437+0.00109858j 0.00275011-0.00105387j 0.0032047+0.00036875j -0.00571981-0.00313369j 0.000282831-0.000173309j -0.008843-0.00265796j -0.00142516-0.00105056j -0.000638773+0.00580958j 0.00386626+0.0085027j 0.000248858+0.00352015j 0.00201153+0.0017733j 0.00615956+0.00774084j -0.00270235-0.000414031j -0.00116183-0.00662184j 0.00328465-0.000311147j -0.00184239-0.00904045j -0.00171224-0.0026635j 0.00284976+0.00326366j 0.0031312+0.00499932j 0.00745636+0.0159095j -0.0030155-0.00418791j -0.00489715-0.00106994j -0.000769169+0.00332062j -0.000777484-0.0106283j -0.00155796-0.0173136j -0.00191475-0.00475317j 0.00201121-0.0107267j 0.00610225+0.00100991j -0.00143925+0.005221j -0.00591764+0.00993416j -0.000704586+0.00297031j -0.00117504-0.00361325j 0.0126331-0.0147036j 0.00204788-0.001431j 0.000886836-0.00143923j -0.00179048+0.00127594j -0.00177697+0.00266585j 0.000907171-0.00210641j -0.000438216-0.000170477j -0.000591588+0.000428051j -0.00099041-0.000140521j -0.000445412+0.000114552j -0.000545814-0.000163758j -0.00218041+0.00168774j 0.00220373-0.000493479j -0.00437606+0.00274519j 0.00416856-0.00251433j 0.00108758-0.00139992j -0.000251439-0.000704779j 0.000705452-0.00275377j 0.00900875+0.000942598j 0.000395339-0.00615528j -0.000144076-0.0025708j 0.000446947-0.00114034j 4.23338e-06+0.000189551j -0.000343816-0.000273757j -0.000283377-0.000434044j 0.00149738+0.00285551j 0.00413454-0.00481449j 0.00138485+0.0021747j -0.000947777+0.000101631j 
0.000379811+0.000875947j 4.19308e-05-0.000180961j -0.00944045-0.00340203j 0.00018398+0.000225582j -0.000561336-0.00171703j -0.00178398-0.00311144j 0.00103182+0.000876849j -0.00164424-0.00156794j 0.00526559-0.00245453j 0.00104142-0.0009134j 0.00219087+0.00258388j -0.00116081+0.00204528j -0.00274806-0.000256539j -0.00188641+0.00358434j 0.00197067-0.00410157j -0.00385843-0.00317282j 0.0146313+0.00515263j 0.00903836+0.000342616j 0.000129613-0.0025623j 0.00397517-0.0047353j 0.00134582-0.0179296j 0.00239502-0.000484468j 0.00569879-0.00428135j 0.000515599-0.00577534j 0.00455838-0.0097185j -0.0035646-0.0121945j 0.000436044-0.00717039j -0.00414417-0.00506423j -0.00281874+0.00276579j 0.000260921+0.00218807j 0.000358471+0.00399704j -0.00141721+0.00683191j -0.00160031+0.00131468j -2.28509e-05+0.00148906j 0.000572742+0.00409761j -0.00148599+0.00341521j -0.00436986+0.00427909j -0.00496725+0.00365785j 0.00180436-0.00751922j -0.00897465+0.00826376j -0.00762267+0.00996966j -0.00188111+0.00156956j 0.00763685+0.0035826j 0.00360582+0.00210394j 0.00247268-0.000542194j -0.0013164+0.00113805j -0.00286238-0.0100061j 0.000243157+0.000901925j -0.00116281+0.00271682j 0.000741348-0.00392111j 8.29862e-05-0.000168271j -0.00025691+0.00136865j 0.000851138+0.00146771j -0.000628255-0.00143808j 0.00132845+0.00167927j 0.00291809-0.00298077j 0.000669678-0.000479164j 0.00241384+0.000850116j -0.00149003+0.00162214j 0.00206771-0.00508092j -0.0033774+0.00223717j -0.00208613+0.00490176j 9.35995e-05-0.00202938j -0.00020039+0.0003221j 3.27361e-05+0.000184655j -0.00418904-5.38564e-05j -0.000203265-0.00192387j -0.00299755-0.00446543j 0.00236681-0.00436456j 0.00123311+0.00228451j 
0.000726433+0.000279513j 0.000675945-0.000316071j 0.000673473+0.00150656j 0.000323242+0.0011885j -0.000274417-0.000681447j 0.00121808+0.000320325j -0.00159931+0.000884323j 0.00142478+0.000798726j -0.00294992-0.0014365j -0.00211708-0.000406857j -0.00237524+0.00124876j -0.000192253+5.66814e-05j -0.00273743-0.00079049j -0.0031036+0.000178488j -0.00360041-0.00150482j -0.00615545-0.00338282j -0.000883656-0.00242529j -0.000608949-0.000249401j 0.00210418+0.00576247j 0.00123368+0.00132767j -0.00246233-0.0057272j 0.000375372+0.000553335j 0.00207376+0.000437607j -0.00129755+0.00551538j 0.00193121+0.00579215j -0.00134725-0.00840279j -0.000808287+0.00533799j 0.00220833+0.00398398j -0.0022-0.0145125j -0.000134084-0.000806793j -0.00101704+0.000760568j 0.00141961-0.00651881j -0.000980654+0.0157306j -0.000715268-0.0293437j -0.00106196+0.0183472j -0.000629053-0.00795084j -0.00480688+0.0206349j 0.00234712-0.0103278j -0.00471143+0.0193272j -0.000922603+0.00566076j -0.00133664+0.000994691j -0.00295786+0.000600919j -0.000613165+0.000750738j -0.000265035+0.000437039j -0.00108076+0.00246011j 0.000424909+0.00025673j -0.000589277+0.00122121j -0.000574187+0.000562642j -0.0031449+0.000628944j -0.00278641+0.00120475j -0.00384967+0.00097274j 0.00301923-1.5918e-05j 0.00206183-9.51981e-05j 0.00451431-0.0013125j 0.00131413-0.000213721j 0.000859353-0.000146652j -0.000693884+0.000274579j -9.83609e-05+0.00206914j 0.00209065-0.000875745j -0.000711457-0.000671552j -0.000327921+0.00159823j 0.000147541+0.000561084j 0.000340368+0.000951247j -0.000535345-0.000355731j 0.000484606+0.000280332j 2.42316e-05-0.000604123j -0.000724869+0.000867023j -0.000428876+0.00111752j -0.000471832-0.000292648j 0.000231597-8.57139e-05j 
